date,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyOtherIncomeExpense,quarterlyOtherIntangibleAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyNetPPE,quarterlyTaxProvision,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyChangeInInventory
2012-09-30,37245000.0,754862000.0,0.0,10310000,236704000,435980000,2692827000.0,2349000,226487000,37570000.0,-803000.0,937000.0,1853732000.0,71939000,-0.07,394359000.0,13324000.0,1323043000.0,-52725000,390033000.0,227548000,-95843000,39520000.0,394359000,-78201000,39444000,,-289207000.0,,7515000.0,754862000.0,751766000.0,16258000,-509000,57845000.0,146126000.0,100000000.0,-41621000,2605498000.0,1070194000.0,105601000.0,90150000,32487000.0,178037000.0,325269000.0,-52725000,-52725000,209781000.0,,-153039000.0,-72772000.0,488109000.0,-43035000,38383000,37817000,155609000,-1061000,6241000,-13889000,928684000.0,-44197000,,-50381000,6868000.0,-0.07,-554981000.0,573729000.0,1535304000.0,-95760000,641148000.0,,-12746000,30147000,316637000,,,
2012-12-31,29392000.0,771533000.0,-11756000.0,-726000,279929000,394359000,2725605000.0,-14272000,234109000,23298000.0,-1447000.0,443000.0,1825503000.0,64652000,-0.06,385949000.0,24584000.0,1284770000.0,-48561000,338964000.0,196499000,-1111000,33663000.0,385949000,-34693000,33430000,,-298815000.0,,15715000.0,771533000.0,750817000.0,13529000,15734000,109047000.0,146883000.0,100000000.0,-8410000,2576320000.0,1091950000.0,106327000.0,77056000,32568000.0,241672000.0,367543000.0,-48561000,-48561000,208955000.0,,-171131000.0,160887000.0,466074000.0,86290000,71040000,14862000,131847000,37610000,6648000,-6250000,898821000.0,-391000,0.0,14550000,8041000.0,-0.06,-603542000.0,509145000.0,1484370000.0,37729000,637205000.0,,-10000000,19779000,311165000,,,
2013-03-31,29742000.0,779949000.0,-2432000.0,13809000,293683000,385949000,2762756000.0,2470000,194195000,25768000.0,-2232000.0,-636000.0,1863500000.0,69947000,0.004994,426251000.0,12653000.0,1268683000.0,4133000,302722000.0,199128000,-863000,30372000.0,426251000,9404000,32061000,,-278719000.0,,15427000.0,827526000.0,659336000.0,21521000,1313000,105303000.0,102381000.0,100000000.0,40302000,2522836000.0,1098825000.0,92518000.0,69394000,3583000.0,228465000.0,402721000.0,4133000,4133000,208012000.0,,-163715000.0,1657000.0,442293000.0,-8766000,27128000,29922000,129181000,-4933000,4780000,-4924000,842432000.0,-37143000,3506000.0,-8591000,10509000.0,0.01,-897024000.0,430871000.0,1424011000.0,-4633000,606008000.0,,0,26445000,263589000,,,
2013-06-30,28714000.0,793541000.0,0.0,19100000,267601000,426251000,2776854000.0,-4114000,169658000,21654000.0,-1911000.0,202000.0,1862000000.0,75704000,-0.02,217332000.0,0.0,1115267000.0,-15805000,262213000.0,200026000,-4531000,33807000.0,217332000,-96615000,30858000,,-344998000.0,,17064000.0,793541000.0,493859000.0,-2011000,-12597000,112810000.0,89321000.0,0.0,-208919000,2355859000.0,1109949000.0,73564000.0,61077000,8984000.0,120671000.0,417655000.0,-15805000,-15805000,228079000.0,-100000000.0,-185967000.0,30617000.0,413344000.0,-17989000,490000,25888000,124322000,-30368000,-111372000,-1366000,897935000.0,-42131000,0.0,-7909000,7861000.0,-0.02,-912943000.0,373188000.0,1245910000.0,-33794000,599311000.0,,-18054000,-645000,230735000,,,
2013-09-30,31090000.0,804129000.0,-6870000.0,6993000,373035000,217332000,2793282000.0,-1084000,143569000,20570000.0,-545000.0,889000.0,1872754000.0,55182000,-8.5e-05,386718000.0,0.0,1098220000.0,-68000,216427000.0,136205000,-9288000,19747000.0,386718000,174645000,33986000,,-198225000.0,,22754000.0,804129000.0,427033000.0,-5912000,-539000,112517000.0,74346000.0,0.0,169386000,2299787000.0,1077794000.0,66571000.0,59011000,7628000.0,115690000.0,425714000.0,-68000,-68000,228296000.0,0.0,-214815000.0,24198000.0,381283000.0,-891000,41350000,9256000,81023000,7364000,-211000,-1054000,711502000.0,-63726000,4386000.0,-1753000,3173000.0,-8.5e-05,-913113000.0,311343000.0,1221993000.0,-959000,596098000.0,,0,-4858000,202580000,,,
2013-12-31,23507000.0,820435000.0,0.0,904000,310522000,386718000,2823743000.0,403000,117486000,20973000.0,-1046000.0,-91000.0,1877271000.0,66488000,-0.03,465523000.0,0.0,1125496000.0,-25242000,186663000.0,144963000,1079000,18282000.0,465524000,60042000,32142000,,-252977000.0,,26148000.0,820435000.0,401814000.0,7263000,-808000,122060000.0,68866000.0,0.0,78806000,2279085000.0,1037686000.0,65667000.0,58876000,6122000.0,125312000.0,416474000.0,-25242000,-25242000,227989000.0,0.0,-208578000.0,22592000.0,348793000.0,-241000,4665000,19327000,78475000,-27477000,10985000,-469000,659973000.0,-21957000,0.0,-513000,3252000.0,-0.03,-945426000.0,276502000.0,1241399000.0,-25483000,557371000.0,,0,7732000,176362000,,,
2014-03-31,27639000.0,850148000.0,0.0,-3388000,233626000,465523000,2991953000.0,-8597000,114516000,12761000.0,4080000.0,200000.0,1989121000.0,87189000,-0.07,122453000.0,20801000.0,782201000.0,-61183000,179245000.0,184773000,1125000,91580000.0,122453000,-328195000,25344000,,-174729000.0,,67339000.0,850148000.0,445027000.0,-25480000,-19000,145797000.0,82415000.0,,-343070000,2434148000.0,1523173000.0,76510000.0,53504000,15804000.0,170606000.0,354921000.0,-61183000,-61183000,682454000.0,,-146782000.0,31112000.0,326879000.0,-7079000,-44913000,28326000,97584000,-70257000,9490000,-1234000,659748000.0,-11966000,2975000.0,-7935000,4008000.0,-0.07,-1006912000.0,274421000.0,910975000.0,-68262000,473661000.0,,-390993000,-24246000,168020000,,,
2014-06-30,28938000.0,872784000.0,0.0,-7495000,292794000,122453000,3022193000.0,10181000,101944000,22942000.0,17130000.0,500000.0,1969684000.0,74439000,-0.07,135628000.0,9568000.0,727238000.0,-62533000,199545000.0,168161000,896000,85893000.0,135628000,-5445000,19926000,,-295445000.0,,21021000.0,872784000.0,472923000.0,14391000,-734000,105761000.0,98508000.0,,13175000,2442607000.0,1539956000.0,84005000.0,51288000,11242000.0,120907000.0,421970000.0,-62533000,-62533000,693814000.0,,-158971000.0,31459000.0,317258000.0,-2012000,-46291000,28847000,93722000,-66217000,680000,-3415000,591610000.0,29198000,0.0,-1140000,5578000.0,-0.07,-1069639000.0,352016000.0,902651000.0,-64545000,476229000.0,,0,17806000,153232000,,,
2014-09-30,24443000.0,884021000.0,0.0,-2560000,141286000,135628000,3062186000.0,-7503000,123325000,15439000.0,-4510000.0,-343000.0,1930884000.0,82541000,-0.06,128278000.0,8458000.0,825762000.0,-57058000,198688000.0,182654000,647000,76479000.0,128278000,-9283000,19283000,,-147082000.0,,20704000.0,884021000.0,460492000.0,-4845000,-210000,78639000.0,153956000.0,,-7350000,2391376000.0,1399009000.0,86565000.0,53286000,59053000.0,92409000.0,319115000.0,-57058000,-57058000,675324000.0,0.0,-169701000.0,38680000.0,307387000.0,-783000,-40046000,36295000,100113000,-59329000,4595000,-2429000,697484000.0,-3136000,3343000.0,-1038000,5312000.0,-0.06,-1126792000.0,368083000.0,992367000.0,-57841000,477088000.0,,-718000,-2416000,176611000,,,
2014-12-31,22688000.0,890350000.0,0.0,-3046000,138526000,128278000,3096982000.0,-474000,137055000,14965000.0,-29175000.0,4314000.0,1895692000.0,80859000,-0.05,131303000.0,5323000.0,916524000.0,-45126000,189923000.0,185993000,5580000,66861000.0,131303000,-1236000,18341000,,-141253000.0,,18911000.0,890350000.0,453101000.0,2222000,-339000,74858000.0,164150000.0,,3025000,2348793000.0,1265854000.0,89611000.0,55492000,55120000.0,84063000.0,231385000.0,-45126000,-45126000,650778000.0,0.0,-179819000.0,38043000.0,297919000.0,2547000,-30597000,35765000,105134000,-48938000,354000,-2123000,785221000.0,-2303000,,-869000,3882000.0,-0.05,-1172115000.0,369038000.0,1082939000.0,-42579000,477738000.0,,-700000,4345000,192547000,,,
