date,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyOtherIncomeExpense,quarterlyOtherIntangibleAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyNetPPE,quarterlyTaxProvision,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyChangeInInventory
2015-03-31,28800000.0,898344000.0,,10090000,234555000,131303000,3143285000.0,1063000,125671000,16028000.0,-51350000.0,0.0,1873138000.0,72220000,-0.05,217455000.0,6406000.0,950440000.0,-46496000,176479000.0,179740000,8359000,57678000.0,217455000,141859000,17722000,,-101091000.0,,16117000.0,898344000.0,382891000.0,-49114000,-11798000,73959000.0,108576000.0,,86152000,2256029000.0,1143744000.0,79521000.0,57622000,54363000.0,81808000.0,148411000.0,-46496000,-46496000,633511000.0,,-190664000.0,43549000.0,288027000.0,1580000,-36347000,41462000,107520000,-54069000,-8408000,-2112000,732985000.0,-56719000,,998000,1443000.0,-0.05,-1218797000.0,301083000.0,1112285000.0,-44916000,478691000.0,,0,-47002000,183293000,,,
2015-06-30,28472000.0,911699000.0,,-3233000,256112000,217455000,3173560000.0,11699000,142139000,51775000.0,-24685000.0,0.0,1901169000.0,78924000,-0.03,475428000.0,7297000.0,1058815000.0,-26868000,151550000.0,169820000,1199000,53451000.0,475428000,252985000,13340000,,0.0,,17976000.0,911699000.0,327472000.0,1075000,-405000,70581000.0,20205000.0,,257973000,2228641000.0,1052612000.0,82754000.0,57779000,7971000.0,78793000.0,40108000.0,-26868000,-26868000,657131000.0,,-174566000.0,29702000.0,283946000.0,991000,-14341000,27905000,90896000,-27681000,540000,-3127000,583387000.0,-12621000,,243000,915000.0,-0.03,-1247706000.0,248679000.0,1176029000.0,-25877000,458512000.0,,0,4202000,199918000,,,
2015-09-30,31475000.0,921116000.0,,-4313000,211350000,475428000,3206629000.0,-536000,138550000,27507000.0,-41414000.0,0.0,1920429000.0,69314000,0.003247,663020000.0,6592000.0,1069721000.0,3052000,132510000.0,147730000,2285000,72497000.0,663020000,190469000,11287000,,0.0,,18886000.0,940032000.0,317355000.0,-6720000,-363000,91007000.0,59541000.0,,187592000,2237784000.0,1043628000.0,87214000.0,57187000,5212000.0,97797000.0,4515000.0,3052000,3052000,667195000.0,,-178005000.0,31493000.0,280535000.0,-9381000,2107000,30436000,78416000,-9180000,2594000,-1608000,406701000.0,-39919000,,-10392000,198000.0,0.003313,-1244786000.0,219558000.0,1194156000.0,-6329000,458540000.0,,-20023000,-5112000,195737000,,,
2015-12-31,40625000.0,922540000.0,-91870000.0,7604000,165181000,663020000,3234551000.0,2169000,122372000,29676000.0,-52388000.0,0.0,1791230000.0,92399000,-0.05,742217000.0,6026000.0,987250000.0,-46869000,128839000.0,173169000,1463000,64016000.0,742217000,164260000,11966000,,0.0,,17432000.0,922540000.0,334037000.0,5941000,-137000,94151000.0,75141000.0,,79197000,2125267000.0,1012340000.0,79610000.0,63397000,9859000.0,100381000.0,0.0,-46869000,-46869000,657671000.0,,-96700000.0,32542000.0,273221000.0,-1862000,-38831000,31772000,80770000,-50797000,-91732000,-985000,245033000.0,12104000,,-3542000,204000.0,-0.05,-1291991000.0,233656000.0,1112927000.0,-48731000,369921000.0,,0,6926000,185769000,,,
2016-03-31,41065000.0,871093000.0,-112392000.0,7217000,118900000,742217000,3270310000.0,-12818000,129582000,13398000.0,-69581000.0,0.0,1676778000.0,68728000,-0.03,731451000.0,6461000.0,857461000.0,-26558000,123920000.0,156465000,2100000,58406000.0,731451000,104144000,10812000,,0.0,,17548000.0,871093000.0,300841000.0,-5959000,-919000,95928000.0,61107000.0,,-10766000,1977619000.0,999980000.0,72393000.0,57139000,9167000.0,102416000.0,,-26558000,-26558000,652436000.0,,-99761000.0,29867000.0,271590000.0,2480000,-16071000,29608000,87737000,-26883000,-110835000,-2654000,126010000.0,-18859000,,1422000,27000.0,-0.03,-1421821000.0,198425000.0,977639000.0,-24078000,371351000.0,,-12500000,-3305000,186721000,,,
2016-06-30,28135000.0,873393000.0,0.0,7319000,85902000,731451000,3297066000.0,-1498000,125632000,11900000.0,-100518000.0,0.0,1667956000.0,66005000,-0.01,828388000.0,5962000.0,868438000.0,-4446000,116765000.0,132238000,1905000,50263000.0,828388000,84068000,10835000,,0.0,,30944000.0,873393000.0,276457000.0,13253000,-746000,79531000.0,62199000.0,,96937000,1944413000.0,978736000.0,65074000.0,56103000,14764000.0,85593000.0,,-4446000,-4446000,627760000.0,,-101283000.0,26951000.0,269769000.0,506000,4229000,26899000,66233000,-6606000,-337000,-1293000,40050000.0,-19173000,,148000,100000.0,-0.01,-1528592000.0,190864000.0,965677000.0,-3940000,371052000.0,,-1720000,14546000,181735000,,,
2016-09-30,27718000.0,882408000.0,0.0,-5793000,35535000,828388000,3323823000.0,4145000,119749000,16045000.0,-106555000.0,0.0,1646845000.0,71458000,-0.05,866319000.0,5243000.0,870820000.0,-41737000,130904000.0,145371000,-19697000,32309000.0,866319000,14909000,10511000,,0.0,,31071000.0,882408000.0,293714000.0,18358000,-498000,76391000.0,64871000.0,,37931000,1940559000.0,966578000.0,72351000.0,62675000,5586000.0,81894000.0,,-41737000,-41737000,633913000.0,,-93860000.0,45163000.0,269285000.0,-2782000,-15111000,24475000,73913000,-25622000,2187000,-2674000,4501000.0,11481000,,-4304000,260000.0,-0.05,-1570423000.0,211820000.0,973981000.0,-44519000,363145000.0,,-19410000,21032000,182424000,,,
2016-12-31,29254000.0,888272000.0,-30204000.0,-4909000,4500000,866319000,3349714000.0,6558000,127911000,23999000.0,-128694000.0,0.0,1580664000.0,69955000,-0.04,852467000.0,5791000.0,852467000.0,-35432000,141998000.0,162372000,1476000,25430000.0,852467000,982000,9612000,,0.0,,32169000.0,888272000.0,325185000.0,24051000,-11489000,75596000.0,75754000.0,,-13852000,1905849000.0,940373000.0,77260000.0,62629000,4987000.0,81545000.0,,-35432000,-35432000,613335000.0,,-94093000.0,26480000.0,269439000.0,3238000,-24849000,26479000,92417000,-34461000,-41342000,-3692000,0.0,26471000,,746000,158000.0,-0.04,-1640356000.0,243640000.0,965476000.0,-32194000,363532000.0,1889000.0,0,27743000,190540000,,,
2017-03-31,0.0,875712000.0,-86164000.0,-8964000,0,852467000,3373988000.0,-8802000,129407000,38973000.0,-123190000.0,-7390000.0,1560628000.0,69185000,-0.01,720437000.0,5848000.0,720437000.0,-9474000,155102000.0,138387000,1436000,47886000.0,720437000,-44741000,8881000,,,,250000.0,875712000.0,271460000.0,-7004000,-415000,24459000.0,25049000.0,,-132030000,1832088000.0,978833000.0,86224000.0,64877000,4083000.0,30435000.0,,-9474000,-9474000,632608000.0,,-97516000.0,17526000.0,268884000.0,2867000,-99000,17526000,69202000,-8980000,-83427000,-2285000,,-22765000,,1075000,128000.0,-0.01,-1690170000.0,241025000.0,853255000.0,-6607000,366400000.0,3141000.0,-35081000,-4719000,194284000,,,
2017-06-30,0.0,863125000.0,-10760000.0,996000,0,720437000,3390996000.0,461000,145059000,14264000.0,-111686000.0,165000.0,1576907000.0,74752000,0.01,738975000.0,6259000.0,738975000.0,5093000,155085000.0,139367000,1614000,43896000.0,738975000,-1558000,7398000,,,,250000.0,887991000.0,280486000.0,35974000,-9008000,23213000.0,76935000.0,,18538000,1857393000.0,993681000.0,85228000.0,64172000,3670000.0,29564000.0,,5093000,5093000,642681000.0,,-100894000.0,16232000.0,267453000.0,3322000,13090000,16232000,64615000,5692000,-18903000,-1856000,,8136000,865000.0,1193000,92000.0,0.01,-1702403000.0,250922000.0,863712000.0,8415000,368347000.0,4638000.0,0,37830000,209231000,,,
2017-09-30,0.0,867377000.0,0.0,-4182000,0,738975000,3410816000.0,2329000,158688000,42059000.0,-91223000.0,0.0,1630128000.0,77770000,0.02,517257000.0,6945000.0,772229000.0,18091000,143907000.0,138736000,1181000,40517000.0,517257000,-257965000,7610000,,,,250000.0,893684000.0,298174000.0,32349000,-5153000,48907000.0,25381000.0,,-221718000,1928302000.0,1027032000.0,89410000.0,65907000,3404000.0,56014000.0,,18091000,18091000,660871000.0,,-100254000.0,15416000.0,266121000.0,4544000,27562000,15588000,60966000,19952000,-921000,-2737000,254972000.0,-7963000,4232000.0,1954000,162000.0,0.02,-1689465000.0,242160000.0,901270000.0,22635000,366375000.0,3892000.0,0,35086000,224595000,,,
2017-12-31,8837000.0,870137000.0,-8089000.0,-14267000,40000000,517257000,3426505000.0,2346000,169265000,18938000.0,-93497000.0,-938000.0,1641240000.0,98976000,0.01,372870000.0,5902000.0,681376000.0,12929000,134007000.0,160205000,2319000,64258000.0,372870000,-155892000,6405000,,-93293000.0,,63251000.0,898410000.0,338093000.0,23287000,-7143000,48912000.0,123089000.0,,-144387000,1979333000.0,1148383000.0,103677000.0,64015000,23733000.0,55382000.0,,12929000,12929000,730464000.0,,-94044000.0,14705000.0,266589000.0,211000,15465000,15169000,61229000,9060000,-14712000,-3093000,308506000.0,-7182000,520000.0,-443000,568000.0,0.01,-1691768000.0,282711000.0,830950000.0,13140000,360633000.0,6677000.0,-98620000,26380000,233280000,,,
2018-03-31,10073000.0,869627000.0,-39544000.0,10682000,160000000,405677000,3443929000.0,-9574000,139190000,11125000.0,-70390000.0,-22800000.0,1643865000.0,74108000,0.01,361581000.0,6438000.0,635431000.0,5609000,140021000.0,134933000,3401000,59792000.0,371588000,10979000,7731000,,-124822000.0,,55495000.0,893774000.0,275146000.0,-5371000,-6364000,34067000.0,79878000.0,,-34089000,1919011000.0,1154719000.0,92769000.0,69042000,28368000.0,42275000.0,,5609000,5609000,751830000.0,,-92842000.0,,264580000.0,3859000,11988000,14113000,60825000,4257000,-42597000,-1424000,273850000.0,-34124000,3311000.0,1322000,1770000.0,0.01,-1729674000.0,232871000.0,764292000.0,9468000,357422000.0,1847000.0,0,-3947000,208232000,,,
2018-06-30,11736000.0,858666000.0,-25874000.0,3327000,151999000,371588000,3462142000.0,-6687000,142863000,11628000.0,-100111000.0,97000.0,1599594000.0,78458000,-0.001061,210177000.0,20998000.0,392179000.0,-911000,156316000.0,145849000,2605000,137172000.0,245183000,-131498000,9178000,,-59267000.0,,72274000.0,858666000.0,386279000.0,38884000,-7609000,93239000.0,99825000.0,,-126405000,1985873000.0,1444743000.0,99970000.0,74182000,28512000.0,116596000.0,,-911000,-911000,949258000.0,,-94884000.0,,264245000.0,2330000,6192000,17369000,67391000,-2986000,-32639000,-2255000,182002000.0,16763000,844000.0,-49000,2359000.0,-0.001061,-1762437000.0,269683000.0,541130000.0,1419000,359129000.0,1914000.0,-222075000,41139000,217045000,,,
2018-09-30,12764000.0,860988000.0,-8392000.0,-6707000,82300000,245183000,3485667000.0,-2352000,154651000,9242000.0,-103210000.0,278000.0,1616438000.0,78757000,0.01,236447000.0,18468000.0,420281000.0,10200000,172172000.0,149881000,4014000,127851000.0,271453000,-4589000,12454000,,-83346000.0,,71257000.0,887228000.0,402989000.0,37292000,-5390000,79456000.0,119782000.0,,26270000,2019427000.0,1448774000.0,107119000.0,78592000,28398000.0,100059000.0,,10200000,10200000,947730000.0,,-96327000.0,-1494000.0,266085000.0,5000,17224000,18754000,71124000,4770000,-9011000,-3826000,183834000.0,6023000,4771000.0,-3082000,2135000.0,0.01,-1766019000.0,302930000.0,570653000.0,10205000,362412000.0,1734000.0,0,41118000,233243000,,,
2018-12-31,12505000.0,860673000.0,-17760000.0,15323000,214669000,271453000,3504713000.0,17803000,165846000,26811000.0,-118439000.0,147000.0,1596610000.0,94142000,0.000633,544990000.0,16087000.0,581222000.0,559000,191299000.0,165125000,3132000,118600000.0,579996000,144089000,12695000,100000000.0,-66397000.0,,49308000.0,882769000.0,550093000.0,85966000,-6444000,52586000.0,156829000.0,,308543000,2146703000.0,1399426000.0,91630000.0,82842000,28344000.0,70259000.0,,559000,559000,934187000.0,,-98472000.0,0.0,266557000.0,4812000,13416000,18003000,70983000,721000,75939000,-3964000,36232000.0,61151000,1043000.0,-1557000,1586000.0,0.000649,-1789664000.0,479834000.0,747277000.0,5371000,365029000.0,4895000.0,-366000,89930000,248688000,,,
2019-03-31,20506000.0,926230000.0,0.0,-30001000,13487000,579996000,3782693000.0,-14293000,143760000,14917000.0,-111462000.0,,1741729000.0,123515000,-0.14,199725000.0,35119000.0,246419000.0,-128828000,285953000.0,285395000,2112000,285146000.0,264749000,-320638000,21080000,100000000.0,-29756000.0,,94119000.0,926230000.0,910397000.0,-3511000,-11336000,181367000.0,257240000.0,,-315247000,2652126000.0,2172853000.0,147958000.0,121643000,43787000.0,237598000.0,5972000.0,-128828000,-128828000,1471365000.0,-1364000.0,-101081000.0,1449000.0,287143000.0,-10252000,-120555000,18773000,161880000,-141635000,-7761000,-5058000,46694000.0,109446000,4939000.0,-20374000,1014000.0,-0.14,-1929502000.0,672799000.0,479273000.0,-139080000,287143000.0,5633000.0,-299357000,1547000,265403000,,,
2019-06-30,9992000.0,937334000.0,0.0,3491000,8000000,264749000,3846919000.0,7005000,179628000,21909000.0,-122026000.0,-10000000.0,1722951000.0,138768000,-0.06,691343000.0,21635000.0,828608000.0,-55830000,356932000.0,240862000,3877000,269923000.0,746349000,-101191000,19669000,,-94335000.0,2167000.0,43712000.0,937334000.0,1461301000.0,93717000,-90441000,187212000.0,276161000.0,558394000.0,481600000,3184252000.0,1840755000.0,144935000.0,126872000,0.0,786102000.0,2004000.0,-55830000,-55830000,1460896000.0,-100000000.0,-62196000.0,2720000.0,35292000.0,-2805000,-36799000,21355000,102094000,-61234000,484333000,-4900000,137265000.0,125131000,2092000.0,-13657000,944000.0,-0.06,-2001942000.0,675199000.0,1343497000.0,-58635000,35292000.0,11155000.0,0,98617000,306500000,,,
2019-09-30,15907000.0,943350000.0,0.0,-5926000,33941000,746349000,3873712000.0,4449000,211434000,25953000.0,-152610000.0,0.0,1938435000.0,147610000,0.24,589446000.0,27873000.0,1380222000.0,230083000,401844000.0,285097000,313757000,247299000.0,644452000,-146356000,19069000,,-749533000.0,6728000.0,13420000.0,973830000.0,1639579000.0,59774000,-23708000,149424000.0,315891000.0,564309000.0,-101897000,3578014000.0,1954555000.0,149507000.0,133859000,0.0,874796000.0,66018000.0,230083000,230083000,1437900000.0,-530000.0,-64612000.0,9698000.0,163166000.0,9880000,265760000,21339000,137487000,-73663000,-18748000,-8841000,790776000.0,92116000,5490000.0,11864000,965000.0,0.24,-1782667000.0,764783000.0,1623459000.0,239963000,163166000.0,5817000.0,-2459000,68615000,345293000,,,
