date,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyEbitda,quarterlyNetPPE,quarterlyTotalRevenue,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyTaxProvision,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyBasicEPS,quarterlyTotalAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyPurchaseOfInvestment,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyGoodwill
1984-03-31,,,,,,,,0.197976,,,,,,,,,,102100000,,102100000,,,,,30965028.0,,,,,,,,,,102100000,,,,,,,,,,,,,,0.197976,,,6000000,,,,,,,,,,,,,,,,,,,,,30965028.0,,,,
1984-06-30,,,,,,,,0.033367,,,,,,,,,,58200000,,58200000,,,,,30965028.0,,,,,,,,,,58200000,,,,,,,,,,,,,,0.033367,,,1000000,,,,,,,,,,,,,,,,,,,,,30965028.0,,,,
1984-09-30,,,,,,,,,,,,,,,,,,46400000,,46400000,,,,,,,,,,,,,,,46400000,,,,,,,,,,,,,,,,,300000,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,,,,0.091202,,,,,,,,,,80900000,,80900000,,,,,30965028.0,,,,,,,,,,80900000,,,,,,,,,,,,,,0.091202,,,2900000,,,,,,,,,,,,,,,,,,,,,30965028.0,,,,
1985-03-31,,,,,,,,0.22022,,,,,,,,,,112300000,,112300000,,,,,30974018.0,,,,,,,,,,112300000,,,,,,,,,,,,,,0.22022,,,6900000,,,,,,,,,,,,,,,,,,,,,30974018.0,,,,
1985-06-30,,,,,,,,0.022245,,,,,,,,,,55200000,,55200000,,,,,31522470.0,,,,,,,,,,55200000,,,,,,,,,,,,,,0.022245,,,700000,,,,,,,,,,,,,,,,,,,,,31522470.0,,,,
1985-09-30,,,,,,,,,,,,,,,,,,34900000,,34900000,,,,,,,,,,,,,,,34900000,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,,,,,,,,0.073407,,,,,,,,,,75800000,,75800000,,,,,31702290.0,,,,,,,,,,75800000,,,,,,,,,,,,,,0.073407,,,2300000,,,,,,,,,,,,,,,,,,,,,31702290.0,,,,
1986-03-31,,,,,,,,0.166834,,,,,,,,,,99500000,,99500000,,,,,32043950.0,,,,,,,,,,99500000,,,,,,,,,,,,,,0.166834,,,5300000,,,,,,,,,,,,,,,,,,,,,32043950.0,,,,
1986-06-30,,,,,,,,-0.008898,,,,,,,,,,45200000,,45200000,,,,,32232758.0,,,,,,,,,,45200000,,,,,,,,,,,,,,-0.008898,,,-300000,,,,,,,,,,,,,,,,,,,,,32232758.0,,,,
1986-09-30,,,,,,,,,,,,,,,,,,33000000,,33000000,,,,,,,,,,,,,,,33000000,,,,,,,,,,,,,,,,,-1500000,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,,,,,,,0.104549,,,,,,,,,,69700000,,69700000,,,,,32439554.0,,,,,,,,,,69700000,,,,,,,,,,,,,,0.104549,,,3400000,,,,,,,,,,,,,,,,,,,,,32439554.0,,,,
1987-03-31,,,,,,,,0.273607,,,,,,,,,,103900000,,103900000,,,,,38247742.0,,,,,,,,,,103900000,,,,,,,,,,,,,,0.273607,,,9100000,,,,,,,,,,,,,,,,,,,,,38247742.0,,,,
1987-06-30,,,,,,,,-0.026694,,,,,,,,,,53700000,,53700000,,,,,38247742.0,,,,,,,,,,53700000,,,,,,,,,,,,,,-0.026694,,,-100000,,,,,,,,,,,,,,,,,,,,,38247742.0,,,,
1987-09-30,,,,,,,,,,,,,,,,,,41100000,,41100000,,,,,,,,,,,,,,,41100000,,,,,,,,,,,,,,,,,-1600000,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,,,,,,,,0.1001,,,,,,,,,,81400000,,81400000,,,,,40266224.0,,,,,,,,,,81400000,,,,,,,,,,,,,,0.1001,,,4300000,,,,,,,,,,,,,,,,,,,,,40266224.0,,,,
1988-03-31,,,,,,,,0.318096,,,,,,,,,,117500000,,117500000,,,,,40266224.0,,,,,,,,,,117500000,,,,,,,,,,,,,,0.318096,,,13000000,,,,,,,,,,,,,,,,,,,,,40266224.0,,,,
1988-06-30,,,,,,,,0.017796,,,,,,,,,,54500000,,54500000,,,,,48083904.0,,,,,,,,,,54500000,,,,,,,,,,,,,,0.017796,,,700000,,,,,,,,,,,,,,,,,,,,,48083904.0,,,,
1988-09-30,,,,,,,,,,,,,,,,,,42100000,,42100000,,,,,,,,,,,,,,,42100000,,,,,,,,,,,,,,,,,-700000,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,,,,,,,,0.135691,,,,,,,,,,89900000,,89900000,,,,,49113374.0,,,,,,,,,,89900000,,,,,,,,,,,,,,0.135691,,,6900000,,,,,,,,,,,,,,,,,,,,,49113374.0,,,,
1989-03-31,,,,,,,,0.264709,,,,,,,,,,131900000,,131900000,,,,,49113374.0,,,,,,,,,,131900000,,,,,,,,,,,,,,0.264709,,,13200000,,,,,,,,,,,,,,,,,,,,,49113374.0,,,,
1989-06-30,,,,,,,,-0.008898,,,,,,,,,,65700000,,65700000,,,,,49113374.0,,,,,,,,,,65700000,,,,,,,,,,,,,,-0.008898,,,-400000,,,,,,,,,,,,,,,,,,,,,49113374.0,,,,
1989-09-30,,,,,,,,,,,,,,,,,,42500000,,42500000,,,,,,,,,,,,,,,42500000,,,,,,,,,,,,,,,,,-2100000,,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-31,,,,,,,,0.135691,,,,,,,,,,112000000,,112000000,,,,,59255230.0,,,,,,,,,,112000000,,,,,,,,,,,,,,0.135691,,,8300000,,,,,,,,,,,,,,,,,,,,,59255230.0,,,,
1990-03-31,,,,,,,,0.157936,,,,,,,,,,120400000,,120400000,,,,,60151138.0,,,,,,,,,,120400000,,,,,,,,,,,,,,0.157936,,9700000.0,9700000,,,,,,,,,,,,,9500000.0,,,,,,,,60151138.0,,,,
1990-06-30,,,,,,,,-0.002225,,,,,,,,,,60200000,,60200000,,,,,59599525.0,,,,,,,,,,60200000,,,,,,,,,,,,,,-0.002225,,-200000.0,-200000,,,,,,,,,,,,,-200000.0,,,,,,,,59599525.0,,,,
1990-09-30,,,,,,,,,,,,,,,,,,32200000,,32200000,,,,,,,,,,,,,,,32200000,,,,,,,,,,,,,,,,-4100000.0,-4100000,,,,,,,,,,,,,-4300000.0,,,,,,,,,,,,
1990-12-31,,,,,,,,0.066734,,,,,,,,,,91700000,,91700000,,,,,62936906.0,,,,,,,,,,91700000,,,,,,,,,,,,,,0.066734,,4400000.0,4400000,,,,,,,,,,,,,4200000.0,,,,,,,,62936906.0,,,,
