date,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyOperatingIncome,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
2001-06-30,203200000,,14100000,4800000,-1800000.0,,707000000,-32700000,-900000,132800000,40800000,,-22700000.0,,264800000,,205600000,-0.002165,760217000.0,1400000,-5500000,,19900000,162400000,200000.0,254000000,109700000,,361800000.0,36000000,1500000,36000000,70700000,-900000,-1200000,700000.0,501400000,,415800000.0,91800000.0,-33800000,,-19000000,5900000,-0.002165,87700000,-189317000.0,79800000,68900000,0.0,-3200000,30800000,-21400000,,570900000,13000000,-3700000,,-2500000,,,415800000.0,961000000,33500000.0,696200000,-3000000,14800000,14800000,9300000,800000.0,80900000,,254000000,154200000,,,
2001-09-30,219400000,,38500000,27600000,,,634200000,-600000,10400000,86400000,60900000,,2500000.0,,310900000,,165800000,0.02,785917000.0,-400000,-11000000,-114600000.0,22900000,158500000,3100000.0,366600000,95900000,,323000000.0,33300000,3200000,33300000,71900000,10400000,10700000,700000.0,468400000,,435900000.0,59100000.0,-6300000,,47700000,4900000,0.02,55900000,-189317000.0,80100000,73500000,101300000.0,-8600000,-14500000,32700000,,596600000,10100000,14900000,,4200000,,,435600000.0,1000800000,33500000.0,689900000,-20800000,86400000,86400000,10900000,2500000.0,73700000,538900000.0,-57700000,132800000,,,
2001-12-31,208000000,,29200000,19100000,,,620100000,-38200000,4600000,39000000,57800000,,-400000.0,,246200000,,169500000,0.01,784517000.0,1800000,15700000,-110000000.0,28800000,150200000,400000.0,344400000,85000000,,305500000.0,38700000,4300000,38700000,81300000,4600000,2500000,0.0,450600000,,452600000.0,65000000.0,-6400000,2000000.0,-45100000,4100000,0.01,86400000,-189317000.0,76900000,63800000,-22700000.0,-17000000,32500000,-47400000,,595200000,8900000,-1300000,,-3800000,,,450900000.0,964500000,33200000.0,718300000,26100000,39000000,39000000,10100000,100000.0,66800000,203500000.0,-64200000,86400000,,,
2002-03-31,-23700000,,33100000,23500000,,,543100000,-5700000,15200000,31100000,45800000,,300000.0,,238100000,,123100000,,576500000.0,-3400000,7100000,-94800000.0,34400000,-69500000,300000.0,370400000,80300000,,325000000.0,22300000,7400000,8200000,72000000,15200000,14600000,31500000.0,420000000,,,4900000.0,-5900000,10600000.0,-24400000,3500000,,215300000,-125500000.0,65400000,23000000,200000.0,300000,27800000,-7900000,,451000000,24100000,20600000,,6000000,,,,913500000,3600000.0,675400000,21900000,31100000,31100000,9600000,1000000.0,59700000,205400000.0,-66300000,39000000,,,
2002-06-30,200200000,,44000000,35900000,,,490700000,326100000,75900000,307300000,71100000,,,,470100000,,152800000,0.17,582200000.0,-1400000,2900000,-18900000.0,25500000,129100000,0.0,466500000,87800000,,225000000.0,35200000,13200000,31200000,76900000,75900000,23000000,0.0,337900000,,458200000.0,13700000.0,-8300000,1900000.0,-86600000,4000000,0.17,21700000,-125500000.0,50800000,36000000,0.0,300000,35100000,276200000,,456700000,52800000,33300000,4000000.0,10300000,,,455800000.0,957200000,3400000.0,487100000,26800000,307300000,307300000,8100000,,60800000,205800000.0,-49000000,31100000,,,
2002-09-30,207600000,,24200000,17800000,,,512300000,-15500000,24600000,321800000,76400000,,,,488800000,,175600000,0.05,588900000.0,-6600000,12600000,-17100000.0,30500000,131200000,200000.0,466900000,86600000,,225000000.0,58600000,200000,35600000,79000000,24600000,23500000,0.0,336700000,,459100000.0,6100000.0,-15700000,300000.0,-6800000,3800000,0.05,21600000,-125500000.0,50600000,32700000,0.0,-200000,37500000,14500000,,463400000,64700000,33700000,4400000.0,10200000,,,456500000.0,979200000,3300000.0,490400000,21800000,321800000,321800000,6400000,,74300000,205900000.0,-50800000,307300000,,,
2002-12-31,197400000,,36700000,29900000,,,413800000,-35900000,15500000,109500000,74500000,,,,275800000,,140900000,0.03,621600000.0,1400000,-26400000,-13100000.0,35900000,122900000,200000.0,382900000,77700000,,165000000.0,44600000,-8800000,39700000,73200000,15500000,15500000,0.0,272900000,,459600000.0,7700000.0,-36200000,1800000.0,-175600000,13500000,0.03,19900000,-125500000.0,60200000,34700000,-117600000.0,1000000,-1200000,-212300000,,496100000,32300000,18500000,4900000.0,3000000,,,456900000.0,796700000,3300000.0,520900000,-37400000,109500000,109500000,6800000,0.0,65000000,269600000.0,-47200000,321800000,,,
2003-03-31,198500000,,35800000,28400000,,,392900000,-36800000,54500000,55100000,79800000,,-11500000.0,,271800000,,136600000,,674200000.0,-4000000,-30100000,44400000.0,39000000,118700000,-56700000.0,434700000,91400000,,165000000.0,51400000,-13100000,45900000,25800000,54500000,23400000,20400000.0,256300000,,,8800000.0,-30000000,200000.0,-10400000,2500000,,9700000,-152900000.0,75200000,65500000,0.0,600000,-6600000,-54400000,,521300000,13600000,26900000,5500000.0,3500000,,,,827600000,3400000.0,555800000,-36600000,55100000,55100000,7400000,1000000.0,75200000,269700000.0,-50700000,109500000,,,
2003-06-30,241500000,,55700000,48300000,,,404600000,-14600000,34700000,70600000,89300000,,,,294800000,,151400000,0.08,693000000.0,-6100000,-3800000,67700000.0,32900000,152200000,200000.0,468100000,96100000,,165000000.0,41000000,2400000,36200000,20200000,34700000,32900000,15700000.0,253200000,,460400000.0,9500000.0,-19800000,700000.0,1700000,2500000,0.08,9700000,-152900000.0,73400000,68000000,0.0,0,31000000,16000000,,540100000,36900000,46000000,4800000.0,13100000,,,457600000.0,872700000,3400000.0,577900000,11200000,70600000,70600000,7400000,,72100000,269900000.0,-41900000,54600000,,,
2003-09-30,251600000,,56700000,47900000,,,388500000,-23900000,32800000,98800000,92400000,,,,308000000,,147100000,0.07,709400000.0,11500000,5800000,100500000.0,44900000,159200000,300000.0,505300000,102600000,,165000000.0,44500000,-2000000,38900000,16500000,32800000,32800000,0.0,241400000,,461500000.0,9400000.0,-24300000,1300000.0,-10500000,2800000,0.07,11500000,-152900000.0,75900000,59900000,-11400000.0,-3300000,60000000,28200000,,556500000,13900000,42200000,5600000.0,9400000,,,458000000.0,893800000,3000000.0,585800000,35700000,98800000,98800000,8800000,,78900000,270200000.0,-39500000,70600000,,,
