date,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
1999-03-31,,25000.0,-859000,6018000.0,0.07,,-14358000,,-15904000,,0.0,16628000,4994000,-45887000,1411000,100000,,513246000,4712000,,15769000,62425000.0,9624000,,534943000,519264000,0.07,3293000.0,3293000.0,6047000.0,0,1882000,,25378000,20641000,30265000,,,4612000,-859000,16113000,11041000,3293000,,-14358000.0,559133000,,,-54571000,11041000,15679000,2392000,62425000.0,,,9265000,12386000.0,,523902000,-4528000,,4612000,,,1752000,4612000,,0.0,0,,,,,,,,
1999-06-30,,0.0,-610000,5592000.0,0.06,342000.0,-14844000,,-17461000,,139000.0,11820000,4994000,-45887000,-3634000,100000,,504818000,3895000,,11210000,62425000.0,9624000,,521147000,510410000,0.06,,,2958000.0,0,3293000,,25251000,21356000,30980000,,,3795000,-610000,15498000,8294000,-342000,,-14983000.0,550705000,,,-65759000,8294000,10737000,-1799000,62425000.0,,,9753000,10737000.0,,512853000,-5858000,,3795000,,,1979000,3795000,,0.0,0,,,,,,,,
1999-09-30,228000.0,,-6949000,5166000.0,0.1,828000.0,-7319000,,-15986000,,7447000.0,12694000,4994000,-45887000,-486000,100000,,501446000,6164000,,5745000,62425000.0,9620000,,520900000,506612000,0.1,,,3480000.0,0,-342000,,25564000,20775000,30395000,,,6064000,-5861000,16050000,16749000,-828000,,-14994000.0,547333000,,,-74689000,9302000,14288000,-3090000,62425000.0,,,9514000,14288000.0,,504151000,-4725000,,6064000,7447000.0,,1641000,6064000,0.0,0.0,0,,7447000.0,,,,,,
1999-12-31,0.0,,-1613000,6744000.0,,901000.0,-16545000,,-14970000,,0.0,18111000,4372000,-83024000,-74000,-18000,,493233000,4835000,,16498000,,10146000,,511552000,499977000,,,,5750000.0,0,-828000,,25142000,20056000,30202000,,,4853000,-1640000,17098000,16914000,-901000,,-14989000.0,576257000,,,-84202000,11023000,11575000,3050000,,,,8044000,11575000.0,,494638000,-2958000,,4853000,5891000.0,,1866000,4853000,0.0,0.0,0,,5891000.0,,,,,,
2000-03-31,,96000.0,-2169000,0.0,0.09,,-11377000,,-17318000,,0.0,16594000,4998000,-83024000,1048000,-3370000,,492819000,2168000,,14425000,62469000.0,12769000,151730000.0,656532000,644549000,0.09,147000.0,147000.0,5740000.0,0,-901000,,25316000,19582000,32351000,,,5538000,-4169000,16511000,171349000,147000,,-14367000.0,575843000,,-3370000.0,-93657000,10738000,11983000,1657000,62469000.0,,,8805000,11836000.0,,485183000,-3071000,,5538000,8881000.0,151730000.0,1478000,5538000,0.0,0.0,-2000000,,160611000.0,,,,,,
2000-06-30,,,-391000,0.0,0.09,2003000.0,-11926000,,-19749000,,0.0,10167000,4998000,-83024000,-2150000,-3370000,,483971000,2099000,,9776000,62469000.0,12769000,148260000.0,645757000,632231000,0.09,,,2889000.0,0,147000,,24995000,20637000,33406000,,,5469000,-391000,15306000,170097000,-2003000,,-14992000.0,566995000,,-3370000.0,-103180000,9890000,13526000,-4701000,62469000.0,,,9689000,13526000.0,,475660000,-5331000,,5469000,11947000.0,148260000.0,1649000,5469000,0.0,0.0,0,,160207000.0,,,,,,
2000-09-30,,4742000.0,-40949000,0.0,0.08,181778000.0,384220000,,-22551000,,30659000.0,10568000,4998000,-83024000,-9775000,-4760000,,876795000,510000,,-30381000,62469000.0,18221000,215240000.0,1128385000,1092035000,0.08,,,11022000.0,0,-2003000,,38075000,27803000,46220000,,,5270000,-404563000,25665000,661183000,-11778000,,,959819000,,-4760000.0,-112938000,206048000,36350000,1987000,62469000.0,,8250000.0,12410000,19350000.0,,467202000,-2138000,,5270000,239895000.0,215240000.0,1996000,5270000,0.0,17000000.0,-3231000,,455135000.0,,,,,,
2000-12-31,85508000.0,6240000.0,446000,4645000.0,,86992000.0,-11830000,,1994000,,-61253000.0,14730000,5937000,-129568000,10786000,-38110000,,852851000,-1899000,,15176000,,21794000,214890000.0,1114799000,1072386000,,,,17538000.0,0,-11778000,,47804000,40107000,61901000,,,36211000,7886000,26233000,543683000,-992000,,,982419000,,-38500000.0,-94532000,118060000,42413000,-13525000,,,7593000.0,21571000,24413000.0,,571116000,-13874000,,36211000,243423000.0,182200000.0,2092000,36211000,0.0,18000000.0,7172000,,425623000.0,,,,,,
2001-03-31,6243000.0,5112000.0,-1865000,0.0,0.07,28141000.0,-12946000,,-7000,,-149000.0,15662000,6574000,-129568000,851000,-4225000,,843944000,1176000,,13797000,74847000.0,20547000,209760000.0,1093127000,1053704000,0.07,,,12955000.0,0,-992000,57981000.0,47423000,6295000,26842000,,,5401000,-1865000,29178000,471908000,-141000,,-19011000.0,973512000,,-4600000.0,-108872000,51170000,39423000,-5686000,74847000.0,,3500000.0,18245000,24523000.0,,621219000,22883000,,5401000,243194000.0,177544000.0,2336000,5401000,0.0,14900000.0,0,,420738000.0,,,,,,
2001-06-30,5650000.0,3793000.0,-2108000,0.0,0.2,1110000.0,-19939000,,2934000,,149000.0,21078000,6655000,-129568000,-969000,-12025000,,830636000,4768000,,18970000,75732000.0,20546000,204630000.0,1075834000,1035266000,0.22,,,10019000.0,0,-141000,55564000.0,46603000,5627000,26173000,,,16793000,-2108000,28460000,453047000,-1110000,,-18428000.0,960204000,,-12400000.0,-112747000,24244000,40568000,-3861000,82526000.0,,6460000.0,18143000,24868000.0,,622787000,22833000,,16793000,264091000.0,164712000.0,2287000,16793000,0.0,15700000.0,0,,428803000.0,,,,,,
