date,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyInventory,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyInvestmentsAndAdvances,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfInvestment,quarterlyCostOfRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,quarterlyNetOtherFinancingCharges,quarterlyTotalRevenue,quarterlyEbitda,quarterlyOtherIncomeExpense,quarterlyBasicEPS,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,quarterlyDeferredIncomeTax,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyChangeInInventory,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyResearchAndDevelopment,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyIncomeTaxPayable,quarterlyBasicAverageShares,quarterlyChangeInWorkingCapital,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyCashDividendsPaid,quarterlyTaxProvision,quarterlyOperatingCashFlow,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyNetIncomeContinuousOperations,quarterlyBeginningCashPosition,quarterlyGrossProfit
2012-12-31,-5419505430.0,12867243030,,7760062080.0,814971690,8327651760,8429007060,,9243978750,1280079900.0,127632600,127632600,0.0,195953580.0,152783730.0,7760062080,,668944980,116978874.0,0.0,-27027205932.0,,489883950.0,114869340.0,0.0,1848795750,2087543790,,4539591270,-3621387330,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,12781900000,,,3386400000,3413800000,17583700000,,20970100000,,2090700000,2090700000,,,,15603600000,500000000.0,1961800000,2913800000.0,0.0,,,,,0.0,3500000000,4064900000,,9368100000,8188200000,1295700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,-4673578682.0,4065776940,,6258968896.0,1084958020,1339116006,7012057404,,8097015424,761347704.0,393062646,393062646,0.0,195217360.0,67950658.0,6258968896,181326894.0,666366950,106243294.0,241051965.0,-11117253234.0,,411458128.0,205729064.0,0.0,541352756,1637573316,,2726660934,4029736812,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,12424900000,,,2356400000,4393900000,24415900000,53200000.0,26771600000,,1256900000,1203700000,,2953600000.0,285300000.0,21255900000,554000000.0,2268400000,195700000.0,700000.0,,844200000.0,95521140.0,795900000.0,930554625.0,1266600000,3799000000,,8031000000,14346700000,18042882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,-9897400000.0,12936000000,,54404900000.0,1940500000,3570600000,25981400000,57100000.0,27921900000,2819100000.0,620000000,562900000,0.0,542600000.0,327700000.0,22704000000,554200000.0,2489100000,197000000.0,711410535.915381,-31700900000.0,736700000.0,1406400000.0,561000000.0,806793013.824503,2615800000,3869300000,,9365400000,14656300000,18524964.246976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,-3142094596.863657,13521300000,,,2284800000,3959800000,25800200000,0.0,28085000000,881281512.793406,854500000,854500000,0.0,2861700000.0,386500000.0,22648600000,542300000.0,2363500000,0.0,692995212.508854,,736700000.0,381500000.0,1043800000.0,790704507.01516,3174000000,3702100000,,9561500000,14563700000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,-9797800000.0,13280900000,,57431700000.0,2750700000,5347300000,25515000000,,28265700000,2938200000.0,717400000,717400000,0.0,508700000.0,405900000.0,22132400000,1995300000.0,2582700000,0.0,582609602.882708,-35299300000.0,736700000.0,1427100000.0,1041800000.0,581909670.056841,1808300000,3561400000,,7933600000,14875000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,18475100000,,,3555600000,8168900000,29271600000,,32827200000,,870700000,870700000,,3881700000.0,550800000.0,23211000000,3780300000.0,4849000000,0.0,674194598.24242,,962400000.0,346100000.0,2134100000.0,848081203.528142,3248600000,3667700000,,10306200000,14352100000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,-8033700000.0,25023900000,,67689800000.0,7703200000,6236600000,34018100000,0.0,41721300000,2978800000.0,967900000,967900000,0.0,1121300000.0,676800000.0,27240700000,752300000.0,5257900000,64364201.394512,848474517.107503,-40449100000.0,936000000.0,3082100000.0,4966500000.0,1531358990.57632,8221500000,4707100000,,18787300000,16679700000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,58298200000,,,15327900000,14845000000,67263100000,,82591000000,,6523200000,6523200000,,7153100000.0,2962000000.0,54501900000,7571800000.0,5389000000,89300000.0,3225000000.0,,6732900000.0,8900000.0,5164500000.0,987900000.0,22636700000,11739400000,,43453200000,24275100000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
