date,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDilutedEPS,quarterlyRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncomeCommonStockholders,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyCurrentDeferredRevenue,quarterlyGrossPPE,quarterlyGrossProfit,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyInvestmentsAndAdvances,quarterlyChangeInWorkingCapital,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyDilutedAverageShares,quarterlyNetIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2009-03-31,,0,,,43467000,,,,,45575000,,,0.129426,,,,12102000,28540000,25834000,10468000,-441000,,,34076000.0,,,,70355000,,,,,,4291000,0.0,-35658000,0.307196,,,,,68076000,-301000.0,-293000,45025000,18840000,,858000,68076000,16000,5426000,96189000,-2409000,42000.0,,,14818000,,-11853000,,23051000,-2108000,80880000.0,13414000,-12278000,39536000,13414000,,,,,,,,,,
2009-06-30,,0,,,40920000,,,,,44114000,,,,,,,8964000,40993000,-25739000,16587000,-1000,,,,,,,96189000,,,,,,5802000,0.0,-13877000,,,,,,88110000,-163252000.0,-372000,54183000,29676000,,859000,88110000,5000,8868000,70450000,-166446000,1000.0,,,7663000,,-4358000,,33927000,-3194000,,20808000,89147000,47117000,20808000,,,,,,,,,,
2009-09-30,,0,,,58318000,,,,,60540000,,,,,,,6800000,55548000,-1431000,25571000,-2000,,,,,,,70450000,,,,,,6531000,0.0,18246000,,,,,,100575000,-62001000.0,-303000,52707000,43676000,,282000,100575000,86000,13794000,69019000,-64223000,326000.0,,,16954000,,-750000,,47868000,-2222000,,29882000,-666000,45027000,29882000,,,,,,,,,,
2009-12-31,46746000.0,0,590336000.0,163461000.0,26408000,1209545000.0,862303000.0,414755000.0,328930000.0,28561000,320741000.0,347242000.0,,235726000.0,75796000.0,,8384000,49332000,15682000,20637000,444000,47314000.0,735496000.0,,197430000.0,-12173000.0,175578000.0,69019000,330720000.0,,84701000.0,22621000.0,84701000.0,6924000,0.0,33234000,,0.0,474049000.0,,72091000.0,97312000,-5543000.0,5363000,56113000,37423000,,667000,97312000,159000,12475000,84701000,-7696000,564000.0,27223000.0,,-18398000,-44868000.0,-4763000,85825000.0,41199000,-2153000,,24948000,-3965000,47980000,24948000,0.0,,,,,,,,,
2010-03-31,44660000.0,0,591966000.0,424544000.0,40649000,1474467000.0,857923000.0,413895000.0,326683000.0,42793000,558249000.0,616544000.0,0.283445,258651000.0,267627000.0,,6119000,55154000,1656000,22925000,-23073000,46446000.0,972144000.0,34076000.0,193142000.0,-12418000.0,235407000.0,84701000,335100000.0,,86357000.0,10555000.0,86357000.0,6811000,0.0,-48385000,0.672761,0.0,502323000.0,,75623000.0,104202000,0.0,684000,57102000,41792000,,853000,104202000,321000,14447000,86357000,-2144000,-44000.0,26369000.0,,554000,-49254000.0,-12625000,87212000.0,47100000,-2144000,80880000.0,27345000,-35377000,49048000,27345000,0.0,,,,,,,,,
2010-06-30,46398000.0,31572000,592972000.0,435829000.0,6852000,1463663000.0,857565000.0,403741000.0,316814000.0,9685000,526639000.0,606098000.0,0.37,283873000.0,255937000.0,,5857000,58931000,-14228000,25224000,-4007000,43980000.0,930380000.0,33988000.0,194749000.0,-11083000.0,214535000.0,86357000,339516000.0,5531000.0,72129000.0,9769000.0,72129000.0,6927000,0.0,-16327000,0.74,0.0,533283000.0,,77367000.0,79865000,-6836000.0,-473000,29308000,45141000,,885000,111437000,133000,15501000,72129000,-9669000,115000.0,25864000.0,,-33667000,-51503000.0,-4210000,86927000.0,50557000,-2833000,80701000.0,29640000,-8084000,21049000,29640000,0.0,,,,,,,,,
2010-09-30,46257000.0,31475000,594812000.0,423634000.0,52277000,1503527000.0,855880000.0,408317000.0,323525000.0,54374000,530592000.0,647647000.0,0.41,369972000.0,239875000.0,,5568000,58683000,38644000,28869000,-25002000,44613000.0,938909000.0,34076000.0,190871000.0,-7605000.0,226348000.0,72129000,110000.0,5557000.0,110773000.0,10801000.0,110773000.0,7573000,0.0,4411000,0.85,0.0,564618000.0,,76514000.0,80180000,620000.0,-3318000,31118000,44201000,,715000,111655000,26000,10803000,110773000,-1477000,696000.0,25584000.0,,9902000,-50930000.0,-750000,84792000.0,49062000,-2097000,80880000.0,33398000,-25726000,22193000,33398000,0.0,,,,,,,,,
2010-12-31,49176000.0,118737000,601666000.0,404163000.0,28783000,1484118000.0,865135000.0,397051000.0,313796000.0,32903000,461122000.0,618983000.0,,387163000.0,144000000.0,,28101000,33600000,4031000,29391000,-12275000,42790000.0,858173000.0,,193861000.0,-8101000.0,177644000.0,110773000,112000.0,,114804000.0,11617000.0,114804000.0,7155000,0.0,21341000,,0.0,625945000.0,78685000.0,83013000.0,-12190000,-3806000.0,-845000,-35964000,20146000,,24302000,106547000,9618000,2632000,114804000,-7926000,552000.0,26818000.0,,-20361000,-56195000.0,-7066000,83255000.0,23774000,-4120000,,17514000,-17357000,-44471000,17514000,0.0,,,,,,,,,
2011-03-31,59002000.0,26209000,602017000.0,532951000.0,-11388000,1622221000.0,862352000.0,398637000.0,317287000.0,-8794000,555917000.0,759869000.0,0.39,419498000.0,154000000.0,,5423000,59128000,4975000,32335000,10237000,43172000.0,954554000.0,79937000.0,190066000.0,-4129000.0,250765000.0,114804000,112000.0,3363000.0,119779000.0,11134000.0,119779000.0,7325000,0.0,-132635000,0.4,0.0,667667000.0,81016000.0,87411000.0,84796000,,-340000,34309000,47158000,,4141000,111005000,484000,14823000,119779000,-2594000,34000.0,27097000.0,,-57384000,-60314000.0,-1729000,81350000.0,50487000,-2594000,83378000.0,32335000,8992000,25702000,32335000,0.0,,,,,,,,,
2011-06-30,51641000.0,34656000,602802000.0,387800000.0,7926000,1618909000.0,863637000.0,363891000.0,285291000.0,11248000,541988000.0,755272000.0,0.44,456212000.0,162000000.0,162000000.0,9037000,65867000,-18579000,36715000,-16331000,47443000.0,905879000.0,80151000.0,185593000.0,-3761000.0,234873000.0,119779000,112000.0,3451000.0,263200000.0,15243000.0,101200000.0,7393000,-785000.0,-21773000,0.46,0.0,713030000.0,78231000.0,90770000.0,99557000,,-425000,39665000,53828000,,7842000,134213000,371000,17113000,101200000,-4107000,-2613000.0,27799000.0,,-49064000,-62971000.0,-329736000,78600000.0,59892000,-3322000,83548000.0,36715000,-27696000,31077000,36715000,0.0,,,,,,,,,
