date,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyBasicAverageShares,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable
2002-09-30,,407000,13954000,,,428377000,-645173000,,15306000,15306000,1559000,,52966000.0,,0.37,,,13942000,,,,,19272000,-315000,1170858000,,32547000,,,0,,26745000.0,4024000,525685000,,,24100000,,,161813000,0.37,196073000,65901000,60547000,,1699000,1721000,9930000,650737000,584836000,,26749000.0,6185000,222360000,,25799000,,9930000,9930000,36000000.0,,124092000.0,0,4557000,11857000,,43660000.0,41275000,6748000,,,,,,,,
2002-12-31,15306000.0,414000,24388000,-2245000.0,,444880000,-665711000,,20261000,20261000,2949000,,45836000.0,,,,550000.0,24614000,-3705000.0,,8499000.0,-12751000.0,22339000,-10814000,1196429000,-22234000.0,119465000,32826000.0,4955000.0,24022000,,,8601000,530718000,,,45825000,10592000.0,,161153000,,211860000,87545000,68253000,,23127000,2130000,15787000,674286000,586741000,21211000.0,,10187000,229406000,,81981000,-108000.0,15787000,15787000,32000000.0,,127023000.0,0,3986000,57367000,571000.0,7524000.0,21892000,37484000,-24166000.0,20261000.0,,,,,,
2003-03-31,20261000.0,415000,50129000,-292000.0,,479399000,-680343000,,17231000,17231000,3913000,,45940000.0,,0.78,,422000.0,50964000,-26063000.0,938000.0,12136000.0,-11722000.0,22441000,-10555000,1245741000,-29979000.0,136384000,53833000.0,-3030000.0,24197000,,41479000.0,18986000,565398000,-1000.0,,72547000,23854000.0,,161054000,0.79,244608000,102004000,76431000,,50144000,16423000,32748000,716884000,614880000,21583000.0,42027000.0,3542000,237485000,,129396000,0.0,32748000,31143000,5000000.0,,139631000.0,-442000,5002000,78432000,-1016000.0,73870000.0,29793000,6988000,-30800000.0,17231000.0,,,,,,
2003-06-30,17231000.0,416000,34135000,292000.0,,502529000,-700664000,,47490000,47490000,3533000,,44852000.0,,0.5,,274000.0,34317000,-3911000.0,1093000.0,5590000.0,17019000.0,21255000,-9987000,1278134000,-32177000.0,99063000,65465000.0,28193000.0,19272000,,41545000.0,13095000,577470000,-4000.0,,55640000,33288000.0,,160618000,0.51,265594000,114739000,75138000,,29557000,17074000,21040000,738285000,623546000,21323000.0,42246000.0,1224000,235756000,,90908000,0.0,21040000,21040000,,,143544000.0,39000,5232000,56591000,-230000.0,56267000.0,34611000,8155000,-33361000.0,47490000.0,,,,,,
2003-09-30,47490000.0,416000,35705000,0.0,,525780000,-722693000,,56858000,56858000,3533000,,44967000.0,,0.53,,302000.0,36125000,232000.0,235000.0,6411000.0,-624000.0,18160000,-9959000,1312277000,-42431000.0,112113000,51862000.0,9368000.0,22580000,,41612000.0,13164000,589584000,-3000.0,,59311000,9431000.0,,167471000,0.54,288135000,125386000,79314000,,4629000,17830000,22541000,772565000,647179000,23186000.0,42297000.0,12628000,246785000,,69557000,0.0,22541000,22541000,,,149641000.0,-482000,6744000,33432000,-1512000.0,56510000.0,38574000,42556000,-42726000.0,56858000.0,,,,,,
2003-12-31,56858000.0,411000,28200000,-158650000.0,,534740000,-746161000,,40420000,40420000,6160000,,44967000.0,,,,591000.0,29447000,1163000.0,1163000.0,6453000.0,-15311000.0,18394000,-9540000,1370465000,,106652000,35153000.0,-16438000.0,18776000,,,9896000,624304000,0.0,,54043000,139740000.0,,185259000,,306439000,123204000,85509000,,35657000,29966000,18304000,805508000,682304000,24596000.0,,13033000,270768000,,97238000,0.0,18304000,18304000,,,155293000.0,-1566000,6700000,67791000,44000.0,15847000.0,48339000,9414000,-52754000.0,40420000.0,,,,,,
2004-03-31,40420000.0,413000,47616000,-1952000.0,,570735000,-771743000,,38493000,38493000,4323000,,44967000.0,,0.7,,296000.0,48583000,4250000.0,4371000.0,10924000.0,-6405000.0,22208000,-9236000,1452924000,-67376000.0,135919000,63047000.0,-1927000.0,24316000,,41305000.0,17751000,681181000,-121000.0,,75389000,-4329000.0,,195715000,0.72,336304000,135517000,96080000,,43164000,31147000,29865000,862530000,727013000,26806000.0,42615000.0,865000,291795000,,126450000,0.0,29865000,29865000,,,164568000.0,-758000,9377000,77867000,-2677000.0,81767000.0,49556000,9469000,-69224000.0,38493000.0,,,,,,
2004-06-30,38493000.0,414000,58598000,1952000.0,,607954000,-801803000,,58081000,58081000,4023000,,44967000.0,,0.85,,280000.0,58776000,153000.0,153000.0,16375000.0,-3120000.0,24676000,-8986000,1521806000,-64309000.0,170193000,81446000.0,19588000.0,34049000,,41379000.0,22128000,720003000,0.0,,90094000,17137000.0,,213167000,0.88,372774000,167286000,125942000,,61700000,32320000,36470000,947063000,779777000,31318000.0,42704000.0,14807000,339109000,,160774000,0.0,36470000,36470000,,,180847000.0,0,13272000,101998000,-3895000.0,90353000.0,67217000,9419000,-62011000.0,58081000.0,,,,,,
2004-09-30,58081000.0,416000,62373000,-8078000.0,,650916000,-832935000,,92197000,92197000,3985000,,44967000.0,,0.91,,290000.0,62750000,2262000.0,2855000.0,15600000.0,24569000.0,25582000,-9141000,1597068000,-74240000.0,170273000,113958000.0,34116000.0,33013000,,41511000.0,23191000,764133000,-593000.0,,95300000,39718000.0,,230231000,0.94,411956000,190276000,120794000,,54395000,35457000,39182000,1001941000,811665000,32550000.0,42885000.0,2565000,351025000,,158929000,0.0,39182000,39182000,,,194774000.0,-638000,11322000,96179000,1950000.0,81215000.0,62199000,11344000,-82104000.0,92197000.0,,,,,,
2004-12-31,92197000.0,417000,77731000,-285625000.0,,700712000,-866660000,,115746000,115746000,4821000,,44967000.0,,,,209000.0,77728000,1104000.0,1644000.0,23950000.0,-7879000.0,26511000,-9984000,1668953000,205601000.0,198544000,102207000.0,23549000.0,39129000,,,29656000,802293000,-540000.0,,113262000,307808000.0,,261732000,,460031000,236447000,143002000,,73193000,36447000,48075000,1105446000,868999000,35534000.0,,21739000,404734000,,196148000,0.0,48075000,48075000,,,225285000.0,-656000,9742000,118420000,1580000.0,22465000.0,77362000,2396000,-79762000.0,115746000.0,,,,,,
