date,quarterlySellingGeneralAndAdministration,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDilutedEPS,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyBasicAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyDilutedAverageShares,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyPurchaseOfBusiness,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyInventory
1998-03-31,,,,0.185,63500000,,,,,,471100000,,,,,471100000,471100000,,,,,,,334210526.0,,,,,,,,,,,,,,,51400000,63500000,,,,,,,,,,,,,343243243.0,,,,,0.19,,,,,,,,,,,,,,,,,,,
1998-06-30,197000000.0,,995600000.0,0.175,61300000,,,-298900000.0,,,141400000,,,,,106000000,484000000,,,966500000.0,,849800000.0,743900000.0,340555556.0,1768200000.0,,176500000.0,,772600000.0,-253700000.0,,,145600000.0,772600000.0,-31100000.0,338400000.0,,,39700000,61300000,247900000.0,,247900000.0,,,232400000.0,70700000.0,188000000.0,31000000.0,303200000.0,,,350285714.0,4200000.0,,,,0.18,475300000.0,,,-440700000.0,,,,1816300000.0,,,,,,,,,,,
1998-09-30,192000000.0,-31700000.0,943000000.0,0.2,68700000,8200000.0,0.0,-261900000.0,34300000.0,-17300000.0,137400000,-65600000.0,,-30400000.0,,103100000,459600000,,18900000.0,969500000.0,-8800000.0,699800000.0,716400000.0,343500000.0,1694300000.0,,168100000.0,,751300000.0,-326900000.0,,,130200000.0,751300000.0,5700000.0,329400000.0,55800000.0,,68700000,68700000,156400000.0,,156400000.0,,,226300000.0,108600000.0,189900000.0,39900000.0,298700000.0,,1500000.0,343500000.0,200000.0,3300000.0,-1000000.0,,0.2,480900000.0,42300000.0,-141900000.0,-417700000.0,-72700000.0,941500000.0,,1669300000.0,,-113200000.0,,15900000.0,-91500000.0,0.0,,,,,
1998-12-31,188800000.0,-30200000.0,1352700000.0,,86600000,-35600000.0,0.0,-240900000.0,36400000.0,-12100000.0,182700000,,,61900000.0,,146300000,519800000,,-108200000.0,1025200000.0,-32000000.0,764000000.0,728400000.0,,1858500000.0,,228200000.0,,0.0,-371000000.0,,,148300000.0,505800000.0,-5400000.0,371500000.0,-77700000.0,,86600000,86600000,90600000.0,505800000.0,90600000.0,,,225200000.0,140600000.0,191800000.0,54000000.0,298300000.0,,36900000.0,,300000.0,19000000.0,4500000.0,,,535100000.0,21100000.0,-50400000.0,-430100000.0,40800000.0,1315800000.0,,1789200000.0,,-79100000.0,,13400000.0,-65800000.0,0.0,,,,,
1999-03-31,204800000.0,-30600000.0,1374700000.0,0.18,60400000,-20000000.0,0.0,-180900000.0,35400000.0,-9900000.0,140000000,10800000.0,,57000000.0,,104600000,490900000,,-36700000.0,1019900000.0,,801400000.0,727700000.0,326486486.0,1887200000.0,,212300000.0,,512500000.0,-367900000.0,,,146100000.0,512500000.0,0.0,344800000.0,-8800000.0,,60400000,60400000,70900000.0,,70900000.0,,,240200000.0,98200000.0,179000000.0,37800000.0,293000000.0,,64300000.0,335555556.0,800000.0,27000000.0,1300000.0,,0.185,547900000.0,67300000.0,-66500000.0,-434700000.0,-10300000.0,1310400000.0,,1821300000.0,,-91100000.0,,9000000.0,-19700000.0,90600000.0,,,,,
1999-06-30,193800000.0,-29900000.0,1363700000.0,0.2,66400000,-39400000.0,0.0,-144900000.0,36200000.0,-3700000.0,151700000,,,114500000.0,,115500000,497300000,,38700000.0,1014200000.0,,705800000.0,727900000.0,323902439.0,1879800000.0,,188000000.0,,0.0,-461900000.0,,,151800000.0,516100000.0,-700000.0,345500000.0,-29000000.0,,66400000,66400000,76400000.0,516100000.0,76400000.0,,,230000000.0,108000000.0,171100000.0,41600000.0,285400000.0,,129200000.0,332000000.0,1200000.0,9800000.0,-700000.0,,0.205,557700000.0,125700000.0,-80400000.0,-442500000.0,-11200000.0,1234500000.0,,1720000000.0,,-124500000.0,,4500000.0,5500000.0,0.0,,,,,
1999-09-30,199600000.0,-29800000.0,1342900000.0,0.205,66100000,-27300000.0,70800000.0,-108700000.0,33500000.0,-4000000.0,145000000,,,76400000.0,,111500000,473700000,,1800000.0,1023600000.0,,689600000.0,728000000.0,322439024.0,1845100000.0,,192800000.0,,0.0,-433600000.0,,,129100000.0,502200000.0,11600000.0,344600000.0,-18800000.0,,66100000,66100000,70800000.0,502200000.0,70800000.0,,,233100000.0,116600000.0,168500000.0,50500000.0,277700000.0,1700000.0,102600000.0,322439024.0,1400000.0,4900000.0,700000.0,,0.205,577400000.0,83700000.0,-62300000.0,-450300000.0,-7300000.0,1240300000.0,,1713200000.0,-229900000.0,-11900000.0,,2800000.0,-5600000.0,0.0,,,,,
1999-12-31,193100000.0,-29800000.0,1414800000.0,,63100000,-23400000.0,113200000.0,-105900000.0,35800000.0,-4200000.0,184300000,5200000.0,,52700000.0,,148500000,509900000,,-98600000.0,1000700000.0,34900000.0,785000000.0,724100000.0,,1900400000.0,,217400000.0,,485600000.0,-416600000.0,,,132500000.0,485600000.0,-27700000.0,377400000.0,-10100000.0,,63100000,63100000,113200000.0,,113200000.0,,,228900000.0,112100000.0,167500000.0,49000000.0,280000000.0,1700000.0,127300000.0,,1600000.0,6700000.0,6200000.0,,,553200000.0,68000000.0,-2500000.0,-444100000.0,-15300000.0,1287500000.0,,1785700000.0,-219500000.0,-10400000.0,,6200000.0,42400000.0,70800000.0,,,,,
2000-03-31,195000000.0,-29900000.0,1365600000.0,0.21,67800000,-35300000.0,70000000.0,-39000000.0,34100000.0,-1100000.0,153900000,6800000.0,,88000000.0,,119800000,495700000,,-1600000.0,1013500000.0,,797900000.0,727300000.0,322400000.0,1841700000.0,,219900000.0,,476100000.0,-332400000.0,,,146800000.0,476100000.0,-300000.0,348900000.0,-6500000.0,,67800000,67800000,70000000.0,,70000000.0,,,229100000.0,113600000.0,174100000.0,45800000.0,275700000.0,1700000.0,38900000.0,325000000.0,1100000.0,16000000.0,-2700000.0,,0.21,563700000.0,99200000.0,-106800000.0,-451600000.0,-11200000.0,1326700000.0,,1811400000.0,-224000000.0,-3500000.0,,900000.0,-43200000.0,113200000.0,,,,,
2000-06-30,140400000.0,-29900000.0,973300000.0,0.21,67900000,-20500000.0,54800000.0,-100000.0,22300000.0,0.0,74500000,0.0,,-225500000.0,,48200000,347800000,,-137600000.0,932800000.0,,495600000.0,673000000.0,323800000.0,1428500000.0,,108600000.0,,455200000.0,-302600000.0,,,132900000.0,455200000.0,-2400000.0,214900000.0,-34200000.0,,21100000,67900000,54800000.0,,54800000.0,,,166700000.0,38300000.0,148800000.0,17200000.0,221400000.0,1700000.0,291900000.0,326600000.0,2900000.0,6900000.0,1200000.0,,0.21,562600000.0,-221500000.0,232000000.0,-451600000.0,-4000000.0,681400000.0,,1428400000.0,-239300000.0,0.0,,300000.0,-11400000.0,70000000.0,,,,,
