date,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyBasicAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyDilutedAverageShares,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue
1998-04-30,42900000,27900000.0,0.0,100000.0,,42560000.0,42300000,34800000,0.0,,,300000.0,,,600000.0,,9200000.0,3000000,8800000.0,-3600000,1100000.0,500000.0,,4600000.0,100000,-2300000.0,-2500000.0,-1300000.0,0,-0.075,,,2100000,,-3500000,-36900000.0,200000.0,,6900000.0,7500000.0,-3600000.0,,2500000,42700000,,2300000,,700000,-3200000,45200000,42560000.0,100000.0,1200000.0,,100000,0.0,,600000.0,2300000,100000,-3000000,-3000000,-0.075,,100000.0,,,3700000,34800000.0,0.0,,500000.0,,,,,
1998-07-31,39200000,34800000.0,0.0,1600000.0,,,37500000,31500000,100000.0,,,300000.0,,,400000.0,,-900000.0,4000000,0.0,-4300000,800000.0,200000.0,,5400000.0,500000,-3500000.0,-3000000.0,-500000.0,0,,,,2400000,,-4100000,-40600000.0,-200000.0,,-3300000.0,6000000.0,-4000000.0,800000.0,4300000,37800000,,2100000,0.0,800000,-3700000,42100000,,200000.0,,,500000,-1500000.0,,600000.0,2900000,1600000,-3700000,-3700000,,,100000.0,800000.0,,4800000,31500000.0,1100000.0,,800000.0,,,,,
1998-10-31,35500000,31500000.0,0.0,0.0,,44904000.0,33600000,29600000,0.0,,,300000.0,,2000000.0,400000.0,,-100000.0,3800000,,-4200000,800000.0,0.0,,5500000.0,300000,-3600000.0,-3100000.0,-200000.0,-100000,-0.0825,,,2400000,,-4000000,-44300000.0,-100000.0,,-1900000.0,4000000.0,-3800000.0,800000.0,4300000,33800000,,1800000,100000.0,600000,-3700000,38100000,44904000.0,200000.0,,,300000,0.0,,500000.0,2600000,1600000,-3700000,-3700000,-0.0825,,100000.0,700000.0,,4500000,29600000.0,1800000.0,,600000.0,,,,,
1999-01-31,31000000,29600000.0,0.0,0.0,,44908000.0,29300000,21700000,-100000.0,,,200000.0,,,400000.0,,300000.0,4700000,,-5300000,1100000.0,100000.0,,5300000.0,200000,-4500000.0,-2900000.0,-100000.0,0,-0.1075,,,2400000,,-5200000,-49100000.0,,,-7900000.0,7600000.0,-4600000.0,700000.0,4300000,29700000,,2300000,100000.0,800000,-4900000,34000000,44908000.0,100000.0,,,200000,400000.0,,400000.0,3000000,1700000,-4900000,-4900000,-0.1075,,,600000.0,,5500000,21700000.0,-3700000.0,,800000.0,,,,,
1999-04-30,37400000,21700000.0,0.0,-100000.0,,45132000.0,33500000,28000000,0.0,,,300000.0,,,400000.0,,300000.0,5700000,0.0,6000000,2900000.0,-2000000.0,,9800000.0,12400000,4600000.0,-3100000.0,-600000.0,-100000,0.1325,,,6700000,,6300000,-42800000.0,,,6200000.0,5500000.0,4000000.0,4500000.0,8100000,38400000,,4600000,0.0,700000,6300000,46500000,45132000.0,300000.0,,,12400000,300000.0,,300000.0,9100000,1100000,6300000,6300000,0.14,,500000.0,4500000.0,,6400000,27900000.0,1400000.0,,900000.0,,,,,
1999-07-31,33300000,27900000.0,0.0,100000.0,,,28300000,24200000,0.0,,,,,1400000.0,400000.0,,0.0,9600000,0.0,-4400000,3500000.0,-500000.0,,10800000.0,6000000,-4200000.0,-3400000.0,-1000000.0,0,,,,7400000,,-4100000,-47000000.0,200000.0,,-3700000.0,4100000.0,-5200000.0,4400000.0,8700000,35700000,,6700000,0.0,900000,-4200000,44400000,,300000.0,,,6000000,200000.0,,300000.0,11100000,1300000,-4200000,-4200000,,,500000.0,4400000.0,,10400000,24200000.0,500000.0,,2300000.0,,,,,
1999-10-31,28400000,24200000.0,0.0,0.0,,45200000.0,21400000,13300000,300000.0,,,,,,400000.0,,200000.0,11100000,300000.0,-5500000,4400000.0,-1900000.0,,11100000.0,6300000,-6900000.0,-3700000.0,-300000.0,1400000,-0.115,,,7400000,,-5100000,-52200000.0,-200000.0,,-11000000.0,8100000.0,-7200000.0,4300000.0,8600000,30300000,,6200000,0.0,600000,-5200000,38900000,45200000.0,400000.0,-4000000.0,,6300000,0.0,,300000.0,10500000,1200000,-5200000,-5200000,-0.115,,,4300000.0,,11800000,13300000.0,-4300000.0,,,8600000.0,,,,
2000-01-31,71100000,13300000.0,0.0,100000.0,,56956000.0,62300000,53300000,9300000.0,,,,,,400000.0,,46500000.0,9800000,46200000.0,-4300000,2800000.0,-1800000.0,,11800000.0,6700000,-4800000.0,-4000000.0,-800000.0,1800000,-0.065,,,7800000,,-4000000,-55800000.0,,,40100000.0,9000000.0,-5600000.0,4200000.0,8700000,71600000,,5000000,0.0,1200000,-3600000,80300000,56956000.0,300000.0,-900000.0,,6700000,400000.0,,700000.0,9200000,900000,-3600000,-3600000,-0.065,,,4200000.0,,11000000,53300000.0,-1600000.0,,,,,,,
2000-04-30,65940000,53300000.0,2000.0,-100000.0,,60080000.0,175530000,168764000,6221000.0,,,,,,368000.0,1013000.0,117162000.0,10438000,1126000.0,-7151000,1672000.0,3108000.0,,12859000.0,4483000,-2786000.0,-4365000.0,-1074000.0,2853000,-0.105,,,8494000,,-6758000,-62122000.0,,,115426000.0,6766000.0,-3860000.0,124106000.0,13188000,181751000,,4893000,0.0,1196000,-6319000,194939000,60080000.0,393000.0,2224000.0,,4483000,-8000.0,,-92000.0,128999000,4694000,-6319000,-6319000,-0.105,,,124106000.0,,11634000,168764000.0,1050000.0,,,,,,,
2000-07-31,61604000,168764000.0,2000.0,-40000.0,,,174529000,91858000,5551000.0,,-20000.0,,,,369000.0,1980000.0,382000.0,8769000,490000.0,-5992000,2100000.0,2862000.0,,13029000.0,3991000,-1272000.0,-4816000.0,-55000.0,4709000,,,,8213000,,-5316000,-67214000.0,,,-76906000.0,82671000.0,-1327000.0,123920000.0,12622000,180080000,,7178000,0.0,1214000,-5092000,192702000,,676000.0,-75921000.0,,3991000,135000.0,,,131098000,4409000,-5092000,-5092000,,,,123920000.0,,9983000,91858000.0,-76016000.0,,,,,,,
