date,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCashDividendsPaid,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable
2008-07-31,,-2000000,-2000000.0,5000000,,,,,0.21,214000000.0,,20000000.0,,24000000,,68000000,1000000,-1000000,-19000000,,,60000000,,0,,65000000,,83000000,,,,40000000,0.0,,,148000000,6000000,44000000,4000000,3000000,0.0,84000000,,,,,,,-4000000,,46000000,41000000,0.2,439000000,25000000,219000000.0,,268000000,-27000000,,,,,12000000,,171000000,125000000,,,,,,19000000,44000000,50000000,,
2008-10-31,188000000.0,-7000000,0.0,-9000000,299000000.0,213000000.0,213000000.0,,,,,21000000.0,,16000000,721000000.0,69000000,-3000000,-4000000,-18000000,63000000.0,,114000000,1252000000.0,29000000,1871000000.0,65000000,120000000.0,148000000,,0.0,,42000000,-1000000.0,8000000.0,174000000.0,213000000,-45000000,18000000,4000000,3000000,-32000000.0,79000000,,619000000.0,328000000.0,1091000000.0,,,42000000,-312000000.0,44000000,96000000,,447000000,0,,184000000.0,279000000,7000000,34000000.0,55000000.0,32000000.0,,0,763000000.0,168000000,124000000,780000000.0,,703000000.0,,169000000.0,25000000,18000000,48000000,,
2009-01-31,,-10000000,-2000000.0,5000000,,,,0.0,0.03,214000000.0,,18000000.0,,11000000,,62000000,0,-2000000,-12000000,,,-4000000,,0,,-18000000,,213000000,,,,41000000,,,,195000000,-12000000,6000000,1000000,0,,70000000,,,,,,,-51000000,,41000000,-16000000,0.03,368000000,0,219000000.0,,225000000,10000000,,,,,-5000000,,143000000,102000000,,,,,,6000000,6000000,40000000,,
2009-04-30,151000000.0,-5000000,0.0,-2000000,276000000.0,241000000.0,241000000.0,,-0.14,214000000.0,,20000000.0,,-33000000,685000000.0,59000000,-1000000,-2000000,-13000000,58000000.0,,66000000,1190000000.0,1000000,1805000000.0,46000000,83000000.0,195000000,,0.0,,39000000,,9000000.0,167000000.0,241000000,-18000000,-31000000,5000000,4000000,,26000000,,615000000.0,282000000.0,1047000000.0,,,50000000,-337000000.0,-8000000,53000000,-0.14,325000000,-5000000,214000000.0,185000000.0,227000000,28000000,38000000.0,61000000.0,30000000.0,,1000000,765000000.0,98000000,106000000,758000000.0,,700000000.0,,171000000.0,-31000000,-31000000,42000000,,
2009-07-31,153000000.0,-9000000,-1000000.0,6000000,273000000.0,254000000.0,254000000.0,,0.01,213000000.0,,20000000.0,,8000000,665000000.0,59000000,0,-6000000,-12000000,50000000.0,,31000000,1159000000.0,7000000,1775000000.0,13000000,84000000.0,241000000,,0.0,,40000000,-5000000.0,9000000.0,152000000.0,254000000,-12000000,2000000,0,3000000,0.0,68000000,,616000000.0,251000000.0,1017000000.0,,,-16000000,-335000000.0,37000000,19000000,0.01,363000000,0,218000000.0,178000000.0,222000000,-2000000,31000000.0,63000000.0,13000000.0,,-21000000,766000000.0,141000000,104000000,758000000.0,,700000000.0,,171000000.0,2000000,2000000,40000000,,
2009-10-31,162000000.0,-10000000,-112000000.0,-1000000,264000000.0,472000000.0,472000000.0,,,,364000000.0,19000000.0,,-22000000,647000000.0,65000000,1000000,193000000,-21000000,24000000.0,-294000000.0,46000000,1106000000.0,-8000000,1970000000.0,218000000,88000000.0,254000000,,0.0,,40000000,0.0,3000000.0,154000000.0,472000000,-21000000,-21000000,1000000,5000000,0.0,37000000,558000000.0,864000000.0,633000000.0,930000000.0,,,11000000,-356000000.0,7000000,25000000,,428000000,0,,186000000.0,250000000,-9000000,44000000.0,64000000.0,25000000.0,,9000000,297000000.0,178000000,171000000,1040000000.0,,230000000.0,,171000000.0,-21000000,-21000000,47000000,,
2010-01-31,166000000.0,-2000000,-364000000.0,4000000,254000000.0,144000000.0,144000000.0,4000000.0,0.16,236000000.0,0.0,11000000.0,,42000000,627000000.0,64000000,0,-360000000,-9000000,23000000.0,,41000000,1075000000.0,-17000000,1632000000.0,-328000000,80000000.0,472000000,,0.0,,39000000,,3000000.0,160000000.0,144000000,-9000000,38000000,6000000,5000000,,92000000,,557000000.0,248000000.0,545000000.0,,,-51000000,-318000000.0,79000000,32000000,0.16,456000000,0,244000000.0,203000000.0,262000000,-4000000,44000000.0,65000000.0,5000000.0,,5000000,297000000.0,194000000,115000000,1087000000.0,,230000000.0,,171000000.0,38000000,38000000,46000000,,
2010-04-30,178000000.0,-2000000,-1000000.0,9000000,261000000.0,256000000.0,256000000.0,15000000.0,0.38,238000000.0,0.0,8000000.0,,99000000,607000000.0,70000000,1000000,15000000,-18000000,16000000.0,,115000000,1055000000.0,-46000000,1782000000.0,112000000,98000000.0,144000000,,0.0,,40000000,,3000000.0,169000000.0,256000000,-18000000,90000000,6000000,6000000,,147000000,,727000000.0,281000000.0,582000000.0,,,-20000000,-228000000.0,109000000,97000000,0.37,515000000,-1000000,246000000.0,249000000.0,282000000,-12000000,44000000.0,67000000.0,12000000.0,,2000000,301000000.0,233000000,124000000,1200000000.0,,230000000.0,,171000000.0,90000000,90000000,48000000,,
2010-07-31,185000000.0,-1000000,0.0,4000000,266000000.0,367000000.0,367000000.0,3000000.0,0.51,239000000.0,0.0,8000000.0,,127000000,592000000.0,71000000,0,3000000,-22000000,16000000.0,,137000000,1047000000.0,-27000000,1920000000.0,111000000,106000000.0,256000000,,0.0,,40000000,0.0,3000000.0,172000000.0,367000000,-29000000,123000000,7000000,7000000,-8000000.0,175000000,,873000000.0,285000000.0,587000000.0,,,-33000000,-105000000.0,136000000,115000000,0.5,550000000,0,247000000.0,279000000.0,287000000,-6000000,42000000.0,68000000.0,5000000.0,,-3000000,302000000.0,263000000,127000000,1333000000.0,,230000000.0,,173000000.0,123000000,123000000,51000000,,
2010-10-31,189000000.0,0,-1000000.0,-26000000,281000000.0,561000000.0,561000000.0,6000000.0,,,230000000.0,7000000.0,,138000000,573000000.0,75000000,2000000,7000000,-30000000,44000000.0,-359000000.0,217000000,1070000000.0,-6000000,2157000000.0,194000000,41000000.0,367000000,,0.0,,40000000,0.0,-4000000.0,198000000.0,561000000,-30000000,164000000,7000000,7000000,0.0,185000000,640000000.0,1087000000.0,565000000.0,652000000.0,,,5000000,59000000.0,145000000,187000000,,572000000,0,,285000000.0,296000000,-4000000,52000000.0,83000000.0,94000000.0,,19000000,87000000.0,276000000,131000000,1505000000.0,,0.0,,172000000.0,164000000,164000000,51000000,,
2011-01-31,203000000.0,-19000000,-231000000.0,1000000,281000000.0,363000000.0,363000000.0,22000000.0,0.49,242000000.0,0.0,3000000.0,,120000000,557000000.0,73000000,2000000,-224000000,-32000000,48000000.0,,67000000,1061000000.0,-5000000,1971000000.0,-198000000,28000000.0,561000000,,0.0,,41000000,,-4000000.0,156000000.0,363000000,-41000000,119000000,13000000,7000000,-9000000.0,164000000,,910000000.0,237000000.0,327000000.0,,,-111000000,161000000.0,142000000,35000000,0.48,550000000,-9000000,250000000.0,291000000.0,279000000,-14000000,53000000.0,85000000.0,51000000.0,-17000000.0,-30000000,90000000.0,271000000,129000000,1644000000.0,,,,175000000.0,119000000,119000000,50000000,,
2011-04-30,194000000.0,-1000000,-1000000.0,2000000,285000000.0,596000000.0,596000000.0,22000000.0,0.55,245000000.0,0.0,1000000.0,,137000000,538000000.0,76000000,0,1000000,-19000000,49000000.0,,251000000,1049000000.0,2000000,2177000000.0,233000000,26000000.0,363000000,,0.0,,38000000,,-3000000.0,206000000.0,596000000,-19000000,135000000,-5000000,9000000,0.0,176000000,,1128000000.0,296000000.0,386000000.0,,,67000000,276000000.0,139000000,232000000,0.54,560000000,0,252000000.0,289000000.0,285000000,9000000,49000000.0,86000000.0,62000000.0,-20000000.0,45000000,90000000.0,275000000,136000000,1791000000.0,,,,177000000.0,135000000,135000000,55000000,,
2011-07-31,200000000.0,-2000000,0.0,1000000,296000000.0,704000000.0,704000000.0,11000000.0,0.59,246000000.0,0.0,0.0,,145000000,519000000.0,85000000,-2000000,-81000000,-24000000,52000000.0,,213000000,1044000000.0,4000000,2273000000.0,108000000,25000000.0,596000000,,0.0,,39000000,,0.0,196000000.0,704000000,-24000000,144000000,390000000,11000000,,184000000,,1229000000.0,311000000.0,403000000.0,,,18000000,398000000.0,147000000,189000000,0.57,603000000,0,253000000.0,285000000.0,306000000,-6000000,40000000.0,88000000.0,0.0,-22000000.0,-13000000,92000000.0,297000000,150000000,1870000000.0,,,,177000000.0,144000000,144000000,60000000,,
2011-10-31,194000000.0,-2000000,-1000000.0,5000000,316000000.0,829000000.0,829000000.0,15000000.0,,,0.0,0.0,,159000000,499000000.0,83000000,6000000,-32000000,-37000000,61000000.0,-421000000.0,195000000,1053000000.0,-43000000,2446000000.0,125000000,0.0,704000000,,0.0,,39000000,-25000000.0,2000000.0,221000000.0,829000000,-38000000,154000000,160000000,11000000,,198000000,737000000.0,1393000000.0,350000000.0,440000000.0,,,-9000000,525000000.0,160000000,158000000,,623000000,8000000,,328000000.0,319000000,6000000,42000000.0,86000000.0,18000000.0,-27000000.0,23000000,90000000.0,304000000,144000000,2006000000.0,,,10000000.0,177000000.0,154000000,154000000,55000000,,
2012-01-31,193000000.0,-2000000,0.0,5000000,354000000.0,819000000.0,819000000.0,5000000.0,0.51,245000000.0,,1000000.0,0.0,130000000,480000000.0,82000000,1000000,-102000000,-47000000,61000000.0,,139000000,1072000000.0,20000000,2444000000.0,-10000000,39000000.0,829000000,,0.0,,37000000,-79000000.0,3000000.0,222000000.0,819000000,-47000000,125000000,125000000,11000000,,168000000,,1372000000.0,314000000.0,404000000.0,,0.0,-36000000,621000000.0,133000000,92000000,0.5,563000000,0,250000000.0,308000000.0,293000000,1000000,52000000.0,87000000.0,51000000.0,-29000000.0,-8000000,90000000.0,270000000,137000000,2040000000.0,,,,177000000.0,125000000,125000000,50000000,,
2012-04-30,218000000.0,2000000,-1000000.0,6000000,402000000.0,954000000.0,954000000.0,17000000.0,0.55,244000000.0,,0.0,,140000000,461000000.0,84000000,2000000,-20000000,-56000000,63000000.0,,211000000,1103000000.0,34000000,2611000000.0,135000000,41000000.0,819000000,,0.0,,38000000,-6000000.0,2000000.0,257000000.0,954000000,-56000000,134000000,134000000,13000000,,178000000,,1508000000.0,356000000.0,444000000.0,,2000000.0,24000000,723000000.0,138000000,155000000,0.54,577000000,0,250000000.0,274000000.0,299000000,-25000000,62000000.0,85000000.0,57000000.0,-32000000.0,21000000,88000000.0,278000000,140000000,2167000000.0,,,,177000000.0,134000000,134000000,51000000,,
2012-07-31,216000000.0,-1000000,-1000000.0,5000000,453000000.0,973000000.0,973000000.0,6000000.0,0.59,245000000.0,,0.0,,150000000,441000000.0,89000000,5000000,-42000000,-65000000,60000000.0,,128000000,1134000000.0,-56000000,2715000000.0,19000000,33000000.0,954000000,,0.0,,40000000,-15000000.0,2000000.0,239000000.0,973000000,-67000000,145000000,145000000,15000000,,190000000,,1581000000.0,342000000.0,426000000.0,,8000000.0,-77000000,831000000.0,151000000,63000000,0.58,606000000,0,250000000.0,330000000.0,311000000,2000000,62000000.0,82000000.0,69000000.0,-37000000.0,-27000000,84000000.0,295000000,144000000,2289000000.0,,,,180000000.0,145000000,145000000,49000000,,
2012-10-31,194000000.0,0,0.0,6000000,503000000.0,1084000000.0,1084000000.0,16000000.0,,,,0.0,,165000000,422000000.0,80000000,3000000,-30000000,-73000000,66000000.0,-485000000.0,215000000,1171000000.0,-11000000,2862000000.0,111000000,7000000.0,973000000,,0.0,,40000000,-10000000.0,-11000000.0,248000000.0,1084000000,-74000000,159000000,-401000000,14000000,,205000000,988000000.0,1691000000.0,346000000.0,443000000.0,,,2000000,951000000.0,165000000,142000000,,618000000,-2000000,,341000000.0,319000000,22000000,72000000.0,95000000.0,5000000.0,-39000000.0,12000000,97000000.0,299000000,134000000,2419000000.0,,,8000000.0,180000000.0,159000000,159000000,49000000,,
2013-01-31,208000000.0,1000000,,1000000,529000000.0,1151000000.0,1151000000.0,10000000.0,0.51,246000000.0,,0.0,-9000000.0,126000000,403000000.0,93000000,3000000,-42000000,-67000000,67000000.0,,185000000,1179000000.0,75000000,2892000000.0,67000000,32000000.0,1084000000,,0.0,,41000000,-13000000.0,-9000000.0,196000000.0,1151000000,-76000000,125000000,-2000000,17000000,-9000000.0,167000000,,1713000000.0,277000000.0,374000000.0,,,4000000,1034000000.0,125000000,118000000,0.5,576000000,0,251000000.0,266000000.0,300000000,-14000000,88000000.0,95000000.0,48000000.0,-42000000.0,-34000000,97000000.0,276000000,151000000,2518000000.0,,,,180000000.0,125000000,125000000,53000000,,
2013-04-30,229000000.0,1000000,-1000000.0,5000000,561000000.0,1219000000.0,1219000000.0,18000000.0,0.46,246000000.0,,1000000.0,-37000000.0,118000000,393000000.0,95000000,2000000,-39000000,-47000000,66000000.0,,191000000,1221000000.0,-5000000,3039000000.0,68000000,30000000.0,1151000000,,0.0,,42000000,-11000000.0,-7000000.0,240000000.0,1219000000,-84000000,113000000,1000000,18000000,-37000000.0,161000000,,1818000000.0,330000000.0,428000000.0,,,16000000,1100000000.0,119000000,144000000,0.45,562000000,0,251000000.0,271000000.0,290000000,-20000000,99000000.0,96000000.0,59000000.0,-47000000.0,36000000,98000000.0,272000000,153000000,2611000000.0,,,,201000000.0,113000000,113000000,52000000,,
2013-07-31,284000000.0,5000000,0.0,2000000,620000000.0,863000000.0,863000000.0,32000000.0,0.57,248000000.0,,1000000.0,-373000000.0,144000000,514000000.0,101000000,3000000,-55000000,-65000000,36000000.0,,137000000,1558000000.0,-43000000,3199000000.0,-356000000,27000000.0,1219000000,,0.0,,46000000,-38000000.0,-2000000.0,266000000.0,863000000,-438000000,142000000,-1000000,20000000,,191000000,,1641000000.0,375000000.0,473000000.0,,,-73000000,1190000000.0,140000000,72000000,0.56,644000000,0,252000000.0,365000000.0,340000000,-20000000,129000000.0,97000000.0,80000000.0,-52000000.0,11000000,98000000.0,304000000,164000000,2726000000.0,,,,388000000.0,142000000,142000000,57000000,,
2013-10-31,285000000.0,10000000,-1000000.0,8000000,661000000.0,985000000.0,985000000.0,41000000.0,0.69,248000000.0,,0.0,-10000000.0,180000000,492000000.0,108000000,14000000,-36000000,-57000000,53000000.0,-571000000.0,212000000,1597000000.0,-53000000,3415000000.0,122000000,46000000.0,863000000,14000000.0,0.0,13000000.0,58000000,-33000000.0,-6000000.0,278000000.0,985000000,-54000000,172000000,-1000000,22000000,-10000000.0,238000000,1232000000.0,1818000000.0,423000000.0,529000000.0,,,-35000000,1305000000.0,170000000,155000000,0.68,738000000,0,253000000.0,418000000.0,393000000,-1000000,130000000.0,105000000.0,5000000.0,-57000000.0,9000000,106000000.0,345000000,175000000,2886000000.0,,,11000000.0,391000000.0,172000000,172000000,60000000,,
2014-01-31,286000000.0,-12000000,0.0,5000000,684000000.0,1112000000.0,1112000000.0,19000000.0,0.54,249000000.0,,,0.0,139000000,467000000.0,107000000,5000000,-50000000,-52000000,70000000.0,,229000000,1613000000.0,95000000,3472000000.0,127000000,47000000.0,985000000,,0.0,0.0,57000000,-12000000.0,-7000000.0,257000000.0,1112000000,-52000000,134000000,25000000,24000000,0.0,208000000,,1859000000.0,364000000.0,480000000.0,,,16000000,1377000000.0,151000000,177000000,0.53,709000000,0,255000000.0,323000000.0,370000000,-1000000,138000000.0,115000000.0,59000000.0,-62000000.0,-24000000,116000000.0,339000000,188000000,2992000000.0,,,,392000000.0,134000000,134000000,74000000,,
2014-04-30,301000000.0,-8000000,0.0,1000000,731000000.0,1278000000.0,1278000000.0,34000000.0,0.63,251000000.0,,1000000.0,0.0,159000000,441000000.0,114000000,8000000,-26000000,-73000000,73000000.0,,251000000,1637000000.0,4000000,3671000000.0,166000000,56000000.0,1112000000,,0.0,14000000.0,61000000,0.0,-7000000.0,274000000.0,1278000000,-59000000,158000000,30000000,30000000,0.0,221000000,,2034000000.0,416000000.0,517000000.0,,,2000000,1467000000.0,168000000,178000000,0.61,701000000,0,258000000.0,319000000.0,344000000,-15000000,136000000.0,101000000.0,86000000.0,-68000000.0,8000000,101000000.0,357000000,189000000,3154000000.0,,,,392000000.0,158000000,158000000,67000000,,
2014-07-31,482000000.0,-89000000,-1000000.0,-99000000,1016000000.0,1277000000.0,1277000000.0,33000000.0,-0.65,252000000.0,46000000.0,55000000.0,-5644000000.0,-219000000,3620000000.0,240000000,-135000000,5424000000,-95000000,320000000.0,,314000000,6482000000.0,11000000,10302000000.0,-1000000,228000000.0,1278000000,,0.0,0.0,257000000,0.0,-7000000.0,459000000.0,1277000000,-5739000000,-164000000,17000000,55000000,0.0,93000000,,3820000000.0,940000000.0,7204000000.0,,,150000000,1230000000.0,-75000000,219000000,-0.65,1269000000,0,252000000.0,590000000.0,876000000,215000000,442000000.0,311000000.0,207000000.0,-73000000.0,-23000000,6264000000.0,393000000,468000000,3098000000.0,,5472000000.0,,1526000000.0,-120000000,-164000000,137000000,,
2014-10-31,519000000.0,-17000000,-12000000.0,126000000,1158000000.0,1604000000.0,1604000000.0,38000000.0,0.53,254000000.0,46000000.0,54000000.0,-317000000.0,263000000,3617000000.0,234000000,36000000,-19000000,-189000000,296000000.0,-693000000.0,381000000,6667000000.0,-180000000,10491000000.0,327000000,236000000.0,1277000000,,0.0,21000000.0,250000000,0.0,-50000000.0,515000000.0,1604000000,-35000000,135000000,8000000,54000000,0.0,567000000,1851000000.0,3824000000.0,1029000000.0,7248000000.0,,,-51000000,1284000000.0,334000000,192000000,0.5,1590000000,450000000,272000000.0,782000000.0,802000000,-6000000,291000000.0,250000000.0,232000000.0,-81000000.0,52000000,6219000000.0,788000000,454000000,3243000000.0,,5463000000.0,,1596000000.0,137000000,135000000,129000000,,
2015-01-31,500000000.0,-10000000,-12000000.0,13000000,1269000000.0,2569000000.0,2569000000.0,51000000.0,1.38,255000000.0,46000000.0,54000000.0,0.0,351000000,3445000000.0,235000000,20000000,-30000000,-162000000,289000000.0,,481000000,6599000000.0,64000000,10697000000.0,965000000,215000000.0,1604000000,,0.0,0.0,226000000,0.0,-49000000.0,452000000.0,2569000000,514000000,351000000,18000000,49000000,,631000000,,4098000000.0,845000000.0,7069000000.0,,-6000000.0,-144000000,1546000000.0,415000000,319000000,1.26,1635000000,0,278000000.0,718000000.0,809000000,33000000,307000000.0,274000000.0,132000000.0,-89000000.0,-78000000,6224000000.0,826000000,411000000,3628000000.0,,5454000000.0,,1596000000.0,338000000,351000000,117000000,,
2015-04-30,490000000.0,-11000000,-605000000.0,25000000,1344000000.0,2508000000.0,2508000000.0,79000000.0,1.33,258000000.0,46000000.0,53000000.0,,364000000,3280000000.0,251000000,50000000,-575000000,-177000000,236000000.0,,663000000,6456000000.0,-40000000,10532000000.0,-61000000,178000000.0,2569000000,,0.0,,230000000,0.0,-49000000.0,501000000.0,2508000000,-149000000,344000000,20000000,57000000,,647000000,,4076000000.0,906000000.0,6471000000.0,,4000000.0,6000000,1791000000.0,428000000,486000000,1.21,1614000000,-9000000,284000000.0,758000000.0,768000000,10000000,316000000.0,232000000.0,181000000.0,-99000000.0,55000000,5565000000.0,846000000,418000000,4061000000.0,,4852000000.0,,1596000000.0,339000000,344000000,108000000,,
2015-07-31,507000000.0,-87000000,-1188000000.0,23000000,1392000000.0,1354000000.0,1354000000.0,56000000.0,0.91,265000000.0,46000000.0,43000000.0,-394000000.0,267000000,3469000000.0,276000000,32000000,-1204000000,-148000000,229000000.0,,592000000,6819000000.0,-2000000,9988000000.0,-1154000000,175000000.0,2508000000,,0.0,0.0,256000000,0.0,-49000000.0,501000000.0,1354000000,-542000000,240000000,75000000,63000000,0.0,566000000,,3169000000.0,952000000.0,5707000000.0,,-33000000.0,-9000000,1927000000.0,397000000,444000000,0.84,1735000000,0,287000000.0,809000000.0,851000000,20000000,390000000.0,373000000.0,230000000.0,-104000000.0,-29000000,4755000000.0,884000000,487000000,4281000000.0,,3915000000.0,,1729000000.0,244000000,240000000,143000000,,
2015-10-31,524000000.0,-3000000,-12000000.0,15000000,1460000000.0,1822000000.0,1822000000.0,55000000.0,1.55,276000000.0,46000000.0,41000000.0,0.0,485000000,3277000000.0,287000000,23000000,-50000000,-106000000,406000000.0,-776000000.0,582000000,6817000000.0,-209000000,10592000000.0,468000000,206000000.0,1354000000,,0.0,0.0,250000000,0.0,-73000000.0,617000000.0,1822000000,-64000000,429000000,14000000,63000000,-5000000.0,776000000,2236000000.0,3775000000.0,1119000000.0,5878000000.0,,-185000000.0,-19000000,2240000000.0,529000000,476000000,1.49,1840000000,0,287000000.0,1019000000.0,843000000,-1000000,388000000.0,381000000.0,250000000.0,-116000000.0,81000000,4759000000.0,997000000,468000000,4714000000.0,,3903000000.0,,1674000000.0,470000000,429000000,118000000,,
2016-01-31,490000000.0,-28000000,-11000000.0,17000000,1505000000.0,2169000000.0,2169000000.0,72000000.0,1.36,277000000.0,46000000.0,84000000.0,-12000000.0,394000000,3089000000.0,267000000,19000000,-42000000,-140000000,527000000.0,,474000000,6806000000.0,-41000000,10777000000.0,347000000,192000000.0,1822000000,,0.0,,244000000,,-73000000.0,523000000.0,2169000000,-85000000,377000000,30000000,57000000,-1000000.0,722000000,,3971000000.0,862000000.0,5656000000.0,,-8000000.0,-203000000,2495000000.0,506000000,334000000,1.3,1771000000,0,289000000.0,1060000000.0,830000000,34000000,248000000.0,433000000.0,101000000.0,-122000000.0,-68000000,4794000000.0,941000000,435000000,5121000000.0,,3892000000.0,,1685000000.0,377000000,377000000,114000000,,
2016-04-30,1467000000.0,-346000000,-6303000000.0,-99000000,2486000000.0,2041000000.0,2041000000.0,107000000.0,-3.02,392000000.0,344000000.0,256000000.0,-10023000000.0,-1316000000,16944000000.0,787000000,-69000000,9457000000,-158000000,514000000.0,,622000000,44720000000.0,-128000000,51407000000.0,-128000000,1019000000.0,2169000000,,0.0,32000000.0,1040000000,,-73000000.0,985000000.0,2041000000,-10207000000,-1186000000,57000000,198000000,-58000000.0,-20000000,,6687000000.0,2651000000.0,28645000000.0,,-164000000.0,751000000,1116000000.0,-714000000,464000000,-3.02,3541000000,0,415000000.0,1857000000.0,2495000000,886000000,480000000.0,10855000000.0,303000000.0,-204000000.0,-149000000,25994000000.0,1046000000,1760000000,19702000000.0,,14664000000.0,,24776000000.0,-1217000000,-1186000000,238000000,,
2016-07-31,1306000000.0,-291000000,-1306000000.0,-117000000,2573000000.0,1961000000.0,1961000000.0,38000000.0,-0.75,396000000.0,334000000.0,139000000.0,-20000000.0,-420000000,15819000000.0,814000000,10000000,-1469000000,-232000000,528000000.0,,963000000,43704000000.0,-322000000,49752000000.0,-80000000,843000000.0,2041000000,,0.0,57000000.0,1058000000,,-72000000.0,1127000000.0,1961000000,426000000,-298000000,225000000,219000000,0.0,777000000,,6048000000.0,2728000000.0,27248000000.0,,-181000000.0,-27000000,619000000.0,10000000,731000000,-0.75,3792000000,-14000000,419000000.0,2181000000.0,2010000000,168000000,354000000.0,10671000000.0,424000000.0,-211000000.0,156000000,24520000000.0,1782000000,1772000000,19473000000.0,9614000000.0,13381000000.0,,24784000000.0,-303000000,-298000000,230000000,,
