date,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyEndCashPosition,quarterlyInventory,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlyDilutedEPS,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyNonCurrentDeferredRevenue,quarterlyCashDividendsPaid
1994-03-31,300000.0,-0.0025,600000.0,100000.0,100000.0,1100000.0,,-2100000.0,42528000.0,,1600000,300000.0,-100000.0,1700000.0,,1100000.0,,,,42528000.0,0.0,500000.0,,,0.0,,1400000.0,,,,0.0,300000.0,1100000.0,-100000.0,,,1200000.0,,200000.0,200000.0,,300000.0,,1100000.0,,,,,-100000.0,0.0,,0.0,,,-0.0025,,,,,,0.0,-100000.0,,-200000.0,-100000,100000.0,,,200000.0,,,,0,,,,
1994-06-30,,0.0025,,,,,,,42528000.0,,1800000,,,,,,,,,42528000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,1800000,,,,,,,,1800000,,,,
1994-09-30,,0.0,,,,,,,42528000.0,,1900000,,,,,,,,,42528000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1900000,,,,,,,,1900000,,,,
1994-12-31,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,2000000,,,,
1995-03-31,,0.0125,,,,,,,40000000.0,,6100000,,,,500000.0,,500000.0,500000.0,,40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,,,,,,,,,,6100000,,,,,,,,6100000,,,,
1995-06-30,,0.0125,,,,,,,48000000.0,,6100000,,,,600000.0,,600000.0,600000.0,,48000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,,,,,,,,,,6100000,,,,,,,,6100000,,,,
1995-09-30,2200000.0,0.0125,4500000.0,,,4500000.0,-100000.0,-300000.0,40000000.0,,7300000,2100000.0,,7800000.0,500000.0,3300000.0,500000.0,500000.0,,40000000.0,100000.0,1700000.0,,,,,5700000.0,,,,,1500000.0,5600000.0,,-100000.0,,4700000.0,,2900000.0,2900000.0,,,,3000000.0,300000.0,,800000.0,,,,,300000.0,-100000.0,,0.0125,,,,3100000.0,,,,100000.0,,900000,1700000.0,,,500000.0,,,,1000000,,,,
1995-12-31,3600000.0,,5400000.0,,100000.0,5200000.0,,600000.0,,,8400000,3600000.0,200000.0,10200000.0,900000.0,4800000.0,900000.0,900000.0,,,300000.0,1600000.0,,,-100000.0,,6600000.0,-600000.0,,,0.0,2100000.0,6800000.0,-1600000.0,0.0,,5500000.0,,3000000.0,3000000.0,,0.0,,4600000.0,400000.0,,1300000.0,,-1500000.0,-300000.0,,200000.0,-900000.0,,,-300000.0,,,5500000.0,,1700000.0,-200000.0,200000.0,800000.0,1300000,2400000.0,,,1200000.0,,0.0,,1400000,,,,
1996-03-31,3400000.0,0.0225,5300000.0,,100000.0,6700000.0,,2000000.0,48888889.0,,10600000,3400000.0,-600000.0,11400000.0,1100000.0,6100000.0,1100000.0,1100000.0,,48888889.0,200000.0,1900000.0,,,0.0,,8000000.0,-600000.0,,,0.0,2700000.0,8700000.0,-1200000.0,100000.0,,6900000.0,,2400000.0,2400000.0,,3000000.0,,5700000.0,700000.0,,1800000.0,,-1200000.0,0.0,,400000.0,-1000000.0,,0.0225,,,,6700000.0,,600000.0,-600000.0,100000.0,-600000.0,1800000,1800000.0,,,1600000.0,,,,1900000,,,,
1996-06-30,5500000.0,0.03,6600000.0,,200000.0,8600000.0,,3100000.0,50000000.0,,14200000,5500000.0,1400000.0,14800000.0,1500000.0,8200000.0,1500000.0,1500000.0,,54545455.0,600000.0,2800000.0,,,-3000000.0,,9300000.0,-1300000.0,,,0.0,4000000.0,11400000.0,-2500000.0,0.0,,9000000.0,,1900000.0,1900000.0,,0.0,,7700000.0,900000.0,,2400000.0,,500000.0,1100000.0,1000000.0,500000.0,-1200000.0,,0.0275,,,,8900000.0,,900000.0,-500000.0,200000.0,-700000.0,2400000,2800000.0,,,1700000.0,,,,2600000,,,,
1996-09-30,7500000.0,0.03,7800000.0,200000.0,200000.0,10200000.0,,4600000.0,50000000.0,,16100000,7500000.0,-3300000.0,18300000.0,1500000.0,10500000.0,1500000.0,1500000.0,,54545455.0,800000.0,3200000.0,,,2800000.0,,10800000.0,-1500000.0,,,0.0,5500000.0,12900000.0,-2500000.0,100000.0,,10600000.0,,1500000.0,1500000.0,,0.0,,10100000.0,900000.0,,2400000.0,,-5400000.0,100000.0,1000000.0,400000.0,-900000.0,,0.0275,-100000.0,,,11000000.0,,2100000.0,-300000.0,200000.0,400000.0,2300000,3100000.0,,,3400000.0,,,,2500000,,,,
1996-12-31,8600000.0,,9000000.0,0.0,300000.0,10900000.0,100000.0,5600000.0,,,15800000,8700000.0,-1100000.0,21100000.0,1000000.0,12100000.0,1000000.0,1000000.0,,,1000000.0,2800000.0,,,100000.0,,12400000.0,-900000.0,,,0.0,6400000.0,13000000.0,-1600000.0,100000.0,,11500000.0,,1100000.0,1100000.0,,0.0,,11500000.0,600000.0,,1600000.0,,-1700000.0,500000.0,3900000.0,600000.0,-1200000.0,,,0.0,,,12700000.0,,600000.0,-400000.0,300000.0,-600000.0,1500000,0.0,,,4700000.0,,0.0,,1800000,,,,
1997-03-31,6100000.0,0.0225,7900000.0,100000.0,400000.0,11700000.0,100000.0,6700000.0,48888889.0,,17700000,6200000.0,700000.0,19700000.0,1100000.0,11800000.0,1100000.0,1100000.0,0.0,48888889.0,1100000.0,3400000.0,,,-100000.0,,13500000.0,900000.0,100000.0,,0.0,5500000.0,14300000.0,-500000.0,0.0,,12400000.0,,1300000.0,1300000.0,,1100000.0,,11600000.0,800000.0,,1900000.0,,-1500000.0,-1500000.0,,200000.0,-1200000.0,,0.0225,0.0,,,12800000.0,,2200000.0,200000.0,300000.0,600000.0,1900000,2400000.0,,,3700000.0,,,,2300000,,,,
1997-06-30,6200000.0,0.0325,8900000.0,,400000.0,13800000.0,200000.0,21500000.0,52307692.0,,21000000,6400000.0,800000.0,21500000.0,1700000.0,12600000.0,1700000.0,1700000.0,0.0,52307692.0,1300000.0,4000000.0,,,0.0,,15100000.0,100000.0,200000.0,,0.0,5300000.0,17000000.0,-500000.0,200000.0,,14500000.0,,2200000.0,2200000.0,,0.0,,11800000.0,1000000.0,,2700000.0,,-500000.0,0.0,,800000.0,-1700000.0,,0.0325,0.0,,,13500000.0,,1300000.0,900000.0,300000.0,-1000000.0,2500000,3100000.0,,,3100000.0,,,,2900000,,,,
1997-09-30,6900000.0,0.0375,10900000.0,,500000.0,14700000.0,300000.0,10200000.0,50666667.0,,22900000,7200000.0,300000.0,24400000.0,1900000.0,13500000.0,1900000.0,1900000.0,100000.0,54285714.0,1800000.0,4300000.0,,,100000.0,,17200000.0,-900000.0,200000.0,,0.0,6100000.0,18600000.0,-1600000.0,100000.0,,15600000.0,,2800000.0,2800000.0,,0.0,,12900000.0,1200000.0,,3100000.0,,-1700000.0,300000.0,,600000.0,-2000000.0,,0.035,0.0,,,14900000.0,,2000000.0,600000.0,400000.0,-200000.0,3000000,3700000.0,-100000.0,,3200000.0,,,,3500000,,,,
1997-12-31,6700000.0,,11300000.0,,900000.0,15400000.0,400000.0,12200000.0,,,23600000,7100000.0,0.0,26400000.0,2000000.0,15100000.0,2000000.0,2000000.0,0.0,,2100000.0,3900000.0,,,0.0,,19300000.0,-400000.0,400000.0,,0.0,6500000.0,19700000.0,-1600000.0,100000.0,,16500000.0,,2600000.0,2600000.0,,0.0,,13900000.0,1200000.0,,3200000.0,,-1600000.0,-100000.0,,1200000.0,-2600000.0,,,0.0,,,16500000.0,,1600000.0,-200000.0,200000.0,-1200000.0,3200000,3500000.0,-300000.0,,3200000.0,,-100000.0,,4100000,,,,
1998-03-31,9900000.0,0.0375,15400000.0,,800000.0,17200000.0,300000.0,14100000.0,50666667.0,,26200000,10200000.0,1400000.0,31500000.0,1900000.0,16100000.0,1900000.0,1900000.0,-100000.0,54285714.0,2500000.0,4700000.0,,,-200000.0,,21300000.0,-1900000.0,400000.0,,0.0,8600000.0,21500000.0,-2500000.0,100000.0,,18400000.0,,4000000.0,4000000.0,,2600000.0,,15500000.0,1200000.0,,3100000.0,,-2300000.0,100000.0,,600000.0,-3300000.0,,0.035,0.0,,,18800000.0,,3700000.0,1400000.0,400000.0,1300000.0,3100000,5300000.0,-100000.0,,4600000.0,,100000.0,,3900000,,,,
1998-06-30,9600000.0,0.0475,17700000.0,,1000000.0,20200000.0,400000.0,16500000.0,50526316.0,,30900000,10000000.0,1200000.0,34100000.0,2400000.0,16400000.0,2400000.0,2400000.0,0.0,56470588.0,3200000.0,5400000.0,,,0.0,,24100000.0,-200000.0,400000.0,,0.0,8500000.0,25500000.0,-1800000.0,100000.0,,21600000.0,,5800000.0,5800000.0,,0.0,,16300000.0,1500000.0,,3900000.0,,-1900000.0,800000.0,,100000.0,-4000000.0,,0.0425,0.0,,,20300000.0,,3100000.0,1800000.0,400000.0,-400000.0,3900000,6100000.0,-200000.0,,3500000.0,,,,4900000,,,,
1998-09-30,9600000.0,0.0475,17300000.0,,1000000.0,21000000.0,400000.0,19000000.0,52631579.0,,32100000,10000000.0,-2400000.0,37100000.0,2500000.0,19800000.0,2500000.0,2500000.0,0.0,55555556.0,4200000.0,5700000.0,,,-300000.0,,27100000.0,-1100000.0,400000.0,,0.0,9500000.0,26400000.0,-3700000.0,100000.0,,22400000.0,,3300000.0,3300000.0,,0.0,,18800000.0,1600000.0,,4100000.0,,-3400000.0,100000.0,,1000000.0,-4900000.0,,0.045,0.0,,,23700000.0,,1000000.0,-2500000.0,400000.0,-2400000.0,4000000,6100000.0,-300000.0,,3500000.0,,,,5000000,,,,
1998-12-31,8700000.0,,17100000.0,,600000.0,21200000.0,700000.0,21700000.0,,,32400000,9400000.0,-900000.0,40000000.0,2600000.0,22900000.0,2600000.0,2600000.0,100000.0,,3700000.0,6100000.0,,,0.0,,30600000.0,-1800000.0,600000.0,,0.0,10500000.0,26300000.0,-3700000.0,0.0,,22100000.0,,2600000.0,2600000.0,,0.0,,22800000.0,1600000.0,,4200000.0,,-3700000.0,100000.0,,100000.0,-5700000.0,,,0.0,,,28500000.0,,2800000.0,-700000.0,300000.0,-1700000.0,4200000,4500000.0,400000.0,,4200000.0,,100000.0,,4800000,,,,
1999-03-31,7800000.0,0.04,18900000.0,,1100000.0,21100000.0,700000.0,23800000.0,52500000.0,,31300000,8500000.0,1300000.0,41300000.0,2100000.0,22400000.0,2100000.0,2100000.0,0.0,52500000.0,3400000.0,5300000.0,,,-400000.0,,32800000.0,-100000.0,700000.0,,0.0,10600000.0,26000000.0,-1200000.0,100000.0,,22600000.0,,3400000.0,3400000.0,,2600000.0,,22400000.0,1300000.0,,3400000.0,,-800000.0,0.0,,0.0,-6800000.0,,0.04,,,,29200000.0,,2100000.0,800000.0,400000.0,-1300000.0,3400000,6200000.0,,,1600000.0,,,,4500000,,,,
