date,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyNetIncome,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyTaxProvision,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyDilutedEPS,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetIncomeCommonStockholders,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2002-03-31,15000,5614000,15000.0,19706000,0,4300000,-1338000,2304000,4300000,,2871000,64928000,,4724000.0,915000,89491000,2877000,9672000.0,,0.031667,88867000,10000,966000,112151000,91738000,4300000,121096176.0,143122000,-2413000.0,32931000,2804000,476000,,-6673000,0,11751000,0.035833,6262000,75037000,-5201000,288000.0,2494000.0,,,-188000.0,4724000.0,95753000,2646000.0,6738000,,,91738000,552000,135811608.0,20413000,5214000,7387000.0,69823000,0.0,7177000,-3188000.0,110191000,68085000,10547000,,,,,-14753000,,,,,,,,
2002-06-30,10397000,4844000,10397000.0,78752000,0,5234000,-1093000,6612000,5234000,,-47402000,63557000,,5395000.0,976000,99892000,3449000,7524000.0,,0.0375,91738000,11000,5519000,129220000,44336000,5234000,123871320.0,157736000,,92105000,2732000,499000,,-80655000,11000,17342000,0.0425,7718000,73436000,3867000,-843000.0,-999000.0,,,226000.0,5395000.0,107610000,-2042000.0,8217000,,,44336000,-64411000,138556548.0,84884000,4738000,12620000.0,68698000,0.0,8683000,-5000.0,65631000,84300000,11783000,,,,,-74537000,,,,,,,,
2002-09-30,244000,5034000,244000.0,76974000,0,9273000,-679000,13215000,9273000,,11730000,66091000,,5600000.0,6768000,108370000,5507000,8250000.0,,0.065,44336000,11000,12536000,142874000,56066000,9273000,128337564.0,170766000,,90825000,3217000,559000,,-68362000,16000,67882000,0.0725,8028000,75872000,3492000,803000.0,2125000.0,,,931000.0,5600000.0,116398000,-588000.0,8587000,,,56066000,-1729000,142000572.0,86808000,4546000,21894000.0,71326000,-570000.0,14780000,0.0,79941000,94894000,12726000,,,3649000.0,,-73772000,,,,,,,,
2002-12-31,153000,-5223000,153000.0,104999000,0,6814000,-808000,17528000,6814000,,3590000,91181000,,6295000.0,916000,132128000,3798000,16773000.0,,,56066000,11000,16720000,69227000,59656000,6814000,,210327000,,117238000,10695000,1031000,,-36681000,18000,30731000,,-369870000,107263000,9810000,-822000.0,11977000.0,,,1087000.0,6295000.0,141726000,63000.0,-368839000,,,59656000,-14091000,,9571000,5334000,28708000.0,101929000,-25000.0,10496000,-7308000.0,93089000,102183000,15357000,,,5334000.0,,4243000,,,,,,,,
2003-03-31,259000,20822000,259000.0,87187000,0,7161000,-684000,9859000,7161000,,314000,95137000,,6998000.0,974000,166312000,4233000,19925000.0,975000.0,0.05,59656000,11000,9175000,155876000,59970000,7161000,130786188.0,224747000,,128945000,13308000,1379000,,-42055000,27000,35218000,0.055,10147000,114497000,1907000,,3654000.0,,176459000.0,1141000.0,6998000.0,177434000,-295000.0,11526000,,,59970000,-9804000,142058124.0,95906000,6319000,35869000.0,108178000,-561000.0,11094000,-1722000.0,95802000,109661000,19405000,,,6319000.0,,-81852000,,,,,,,,
2003-06-30,-929000,24130000,289000.0,96489000,-1218000,7708000,-1877000,-464000,7708000,,-16548000,87131000,,8202000.0,1257000,173283000,4462000,16739000.0,2613000.0,0.05375,59970000,17000,-2341000,149316000,43422000,7708000,131879560.0,220414000,,142586000,13039000,1382000,,-61255000,4000,47978000,0.05875,10336000,102575000,-8636000,,-10645000.0,,183619000.0,1204000.0,8202000.0,186232000,-1270000.0,11718000,,,43422000,-15155000,142424128.0,105894000,5634000,43578000.0,96941000,0.0,11589000,-12000.0,77828000,117825000,20879000,,,5634000.0,,-89915000,,,,,,,,
2003-09-30,90212000,24023000,81658000.0,164685000,0,8704000,-13692000,12929000,8704000,7688000.0,19484000,92370000,,20953000.0,1245000,183086000,5110000,22076000.0,2681000.0,0.055,43422000,20000,-763000,238250000,62906000,8704000,147445704.0,328452000,,225479000,15232000,1538000,869000.0,-189919000,71000,119110000,0.05875,12640000,119902000,2916000,-384000.0,7344000.0,,195726000.0,1477000.0,20953000.0,198407000,566000.0,14178000,,,62906000,-83657000,158737160.0,175344000,13192000,52278000.0,106710000,877000.0,13814000,-33000.0,102973000,208550000,22414000,,,5504000.0,,-179440000,,,,,,,,
2003-12-31,-110000,25114000,252000.0,184811000,-3000,9697000,-2909000,33675000,9697000,7616000.0,1440000,110242000,,23106000.0,1684000,191799000,5699000,20308000.0,2054000.0,,62906000,20000,30766000,79506000,64346000,9697000,,362692000,,252391000,6294000,2149000,579000.0,-142053000,92000,117258000,,13804000,142577000,22433000,320000.0,22270000.0,,205603000.0,740000.0,23106000.0,207657000,-466000.0,15953000,,,64346000,-32125000,,15160000,13791000,61975000.0,128786000,-316000.0,15396000,-4094000.0,110301000,220115000,25590000,13066000.0,,6175000.0,-362000.0,-12609000,,,,,,,,
2004-03-31,689000,25324000,1052000.0,191057000,-363000,10138000,-2126000,12365000,10138000,7544000.0,-19983000,113577000,,24056000.0,1510000,208825000,5966000,21634000.0,2016000.0,0.05875,64346000,20000,10239000,288720000,44363000,10138000,161536072.0,377383000,,266273000,7428000,2271000,288000.0,-93742000,90000,69814000,0.0625,14684000,144755000,190000,-755000.0,3734000.0,,223509000.0,1258000.0,24056000.0,225525000,774000.0,16955000,,,44363000,-33037000,172270960.0,244357000,13157000,72113000.0,131598000,0.0,16104000,-6983000.0,111110000,232628000,28377000,18408000.0,,5613000.0,-363000.0,-202418000,,,,,,,,
2004-06-30,681000,27569000,753000.0,165714000,-72000,10813000,-2956000,17749000,10813000,7472000.0,36115000,113755000,,26008000.0,1336000,215649000,6359000,21297000.0,2022000.0,0.0625,44363000,20000,14793000,277377000,80478000,10813000,162885864.0,389815000,,244756000,7035000,2430000,288000.0,-60600000,101000,81263000,0.06625,15937000,147614000,4343000,-159000.0,5033000.0,,231586000.0,-1469000.0,26008000.0,233608000,172000.0,18367000,,,80478000,17685000,173497504.0,196899000,12898000,82926000.0,134716000,0.0,17172000,-22000.0,145059000,242201000,28351000,18430000.0,,5426000.0,-72000.0,-156905000,,,,,,,,
