date,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicEPS,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyChangeInInventory,quarterlyGoodwill
2003-09-30,,,,,,,0.145753,1142000,4918000,,,,,4050000,,,,,,,,3578000,,4918000,,12827000,,,,,,,,,0.145753,,,,,33742037.0,,,,,,7854000,,20681000,,,,,,,,,,33742037.0,,,,,,,12670000,,,,,,,,,,,,
2003-12-31,-1097000.0,,,,,271571000.0,,1110000,5270000,412219000.0,5118000.0,,,3541000,,-5066000.0,,7503000.0,,,,3564000,280470000.0,5270000,,13420000,,-3346000.0,,131749000.0,7176000.0,,-3793000.0,7503000.0,,-634000.0,,,,,,,7503000.0,,-6536000.0,7430000,,20850000,,,-1152000.0,,5439000.0,-1766000.0,,327000.0,,,,,,,395599000.0,,12548000,-3797000.0,,,,,,,,,,,
2004-03-31,8423000.0,,,,,,0.091399,0,3084000,,4901000.0,-156000.0,,3739000,,-630000.0,,8293000.0,,7651000.0,,3084000,,3084000,,13528000,-6847000.0,-968000.0,,,7503000.0,,0.0,,0.091399,0.0,,,,33742037.0,,,,,-812000.0,6996000,,20524000,,,436000.0,,9235000.0,-7477000.0,,790000.0,,33742037.0,,,,,,,11897000,814000.0,,,,,,,,,,,
2004-06-30,7037000.0,,,,,427685000.0,0.065,1892000,2193000,764276000.0,7304000.0,-1098000.0,,6049000,,-143577000.0,,3072000.0,,,,2193000,443829000.0,2193000,,-17986000,-10209000.0,-1820000.0,,310032000.0,8293000.0,,0.0,,0.065,-285835000.0,,,,33742037.0,,377595000.0,,,-722000.0,46180000,,28194000,,,2492000.0,,7759000.0,-11160000.0,,-5221000.0,,33742037.0,,,-67563000.0,,751520000.0,,53484000,,,,,,,,,,,,
2004-09-30,5912000.0,,,,,551810000.0,-0.060811,1185000,-2271000,536366000.0,8257000.0,-1016000.0,,7298000,,269833000.0,,4400000.0,,,,-2271000,570563000.0,-2271000,,14386000,,-967000.0,,-34197000.0,3072000.0,,583000.0,4400000.0,-0.060811,-291040000.0,,,,33742037.0,,,4400000.0,,-534000.0,7895000,,22281000,,,3848000.0,,6446000.0,-4151000.0,,1328000.0,,33742037.0,,,,,510398000.0,,16152000,,,,,,,,,,,,
2004-12-31,-214275000.0,,,,,380496000.0,,829000,-31937000,775874000.0,7833000.0,,,6775000,,-715271000.0,-4377000.0,30552000.0,,,,-31937000,405432000.0,-31937000,,23639000,,-230434000.0,,359380000.0,4400000.0,3450000.0,-4022000.0,28485000.0,,281600000.0,,,,,,373000.0,28485000.0,,-225773000.0,3957000,,27596000,,,1402000.0,,11498000.0,243021000.0,,24085000.0,,,,,-37430000.0,,729155000.0,,11790000,34200000.0,,,,,,,,,,,
2005-03-31,-45747000.0,,,,,421400000.0,0.04,3025000,1617000,818673000.0,8394000.0,-1120000.0,,5807000,,-826000.0,-890000.0,8251000.0,,12003000.0,,1617000,448632000.0,1617000,,21842000,-7532000.0,-56086000.0,,350714000.0,28485000.0,-177000.0,0.0,8251000.0,0.04,-9000.0,,,,37477920.0,,373000.0,8251000.0,,-54966000.0,7873000,,29715000,,,-2338000.0,,9219000.0,26633000.0,,-20234000.0,,37483309.0,,,-46311000.0,,791131000.0,,16267000,1546000.0,,,,,,,,,,,
2005-06-30,-49369000.0,,,,,489372000.0,0.06,3229000,2204000,879613000.0,9129000.0,-5646000.0,,7142000,,-934000.0,1145000.0,5808000.0,,14639000.0,,2204000,519679000.0,2204000,,23987000,-10498000.0,-66703000.0,,342659000.0,8251000.0,-514000.0,0.0,5808000.0,0.06,-57000.0,,,,37477920.0,,373000.0,5808000.0,,-61618000.0,9797000,,33784000,,,1902000.0,,12249000.0,52011000.0,,-2443000.0,,37519841.0,,,-54564000.0,,847539000.0,,18926000,-986000.0,,,,,,,,,,,
2005-09-30,-147073000.0,,,,,740960000.0,0.04,3686000,1665000,1192132000.0,11438000.0,984000.0,,9706000,,-70077000.0,6190000.0,14814000.0,,-521000.0,,1665000,843422000.0,1665000,,29216000,-10497000.0,-161531000.0,,333911000.0,5808000.0,-4241000.0,0.0,14814000.0,0.04,-2631000.0,,,,37492000.0,,373000.0,14814000.0,,-162515000.0,12087000,,41303000,,,1949000.0,,15442000.0,155095000.0,,9006000.0,,37634000.0,,,-65753000.0,,1141895000.0,,23525000,-1898000.0,,,,,,,,,,,
2005-12-31,-103610000.0,,,,,669282000.0,,8582000,-2709000,1481488000.0,12941000.0,,,9715000,,26313000.0,-1066000.0,201098000.0,,33402000.0,,-2920000,714376000.0,-2709000,,38328000,-16005000.0,-108374000.0,,703004000.0,14814000.0,1745000.0,1534000.0,201098000.0,,-1994000.0,,,,,,570000.0,201098000.0,,-115550000.0,4991000,,43319000,,,679000.0,,11940000.0,282718000.0,,186284000.0,,,,,-91253000.0,,1246295000.0,,17932000,3317000.0,,,,,,,,,,,
