date,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyInventory,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyTaxProvision,quarterlyGoodwill,quarterlyDilutedAverageShares,quarterlyLongTermDebt,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyGrossPPE,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyDilutedEPS,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyIncomeTaxPayable
1995-03-31,100000,100000,,,,,,,,,,,,,10000000.0,,,,,,,,,,,,,,,,0.01,,,,,,,,,100000,10000000.0,,,,,4400000,4400000,,,,,,,,4400000,,,,,,,,,0.01,,,,,,,,,,,,,
1995-06-30,-100000,-100000,,,,,,,,,,,,,10000000.0,,,,,,,,,,,,,,,,-0.01,,,,,,,,,-100000,10000000.0,,,,,5000000,5000000,,,,,,,,5000000,,,,,,,,,-0.01,,,,,,,,,,,,,
1995-09-30,-200000,-200000,,,,,,,,,,,,,13333333.0,,,,,,,,,,,,,,,,-0.015,,,,,,,,,-200000,13333333.0,,,,,5400000,5400000,,,,,,,,5400000,,,,,,,,,-0.015,,,,,,,,,,,,,
1995-12-31,500000,500000,,,1700000.0,3100000.0,,,,2300000.0,3600000.0,,,,,,,,,,,,,,,,,4100000.0,4100000.0,5300000.0,,,,,,,,,23600000.0,500000,,,,,6700000.0,-14900000,6200000,,2100000.0,,,4900000.0,,,-14900000,,,,,,,,18300000.0,,,4700000.0,,,,16900000.0,,1500000.0,5200000.0,4000000.0,-1300000.0,,
1996-03-31,600000,600000,,,,,,,,,,,,,4000000.0,,,,,,,,,,,,,,,,0.045,,,,,,,,,600000,4000000.0,,,,,8100000,8100000,,,,,,,,8100000,,,,,,,,,0.045,,,,,,,,,,,,,
1996-06-30,1000000,1000000,,,,,,,,,,,,,4000000.0,,,,,,,,,,,,,,,,0.065,,,,,,,,,1000000,4000000.0,,,,,9900000,9900000,,,,,,,,9900000,,,,,,,,,0.065,,,,,,,,,,,,,
1996-09-30,1700000,1700000,,,,,,,,,,,,,4000000.0,,,,,,,,,,,,,,,,0.11,,,,,,,,,1700000,4000000.0,,,,,10200000,10200000,,,,,,,,10200000,,,,,,,,,0.11,,,,,,,,,,,,,
1996-12-31,1900000,1900000,,,3600000.0,4400000.0,,,,3500000.0,5000000.0,,,,,,,,,,,,,,,,,5300000.0,5300000.0,8600000.0,,,,,,,,,52300000.0,1900000,,,,,9700000.0,-23900000,11600000,,3400000.0,,,7200000.0,,,-23900000,,,,,,,,43700000.0,,,9900000.0,,,,42600000.0,,1900000.0,7800000.0,17600000.0,-2200000.0,,
1997-03-31,2200000,2200000,0.0,,4300000.0,5400000.0,,,1400000.0,4000000.0,6100000.0,200000.0,,,15714286.0,,,,,,,,5700000.0,,,,0.0,4200000.0,4200000.0,10400000.0,0.14,,,0.0,,,,,55500000.0,2200000,15714286.0,,7600000.0,,10700000.0,2000000,13300000,,3100000.0,,,8300000.0,0.0,,2000000,,,,,0.0,,,45100000.0,0.14,5600000.0,12000000.0,,,4200000.0,44800000.0,,2200000.0,8500000.0,15400000.0,-2200000.0,,
1997-06-30,2500000,2500000,0.0,,4600000.0,5100000.0,,,1600000.0,4500000.0,7100000.0,200000.0,,,16129032.0,,,,,,,,6500000.0,,,,0.0,5600000.0,5600000.0,11700000.0,0.155,,,0.0,,,,,59100000.0,2500000,16129032.0,,8500000.0,,11600000.0,2200000,15000000,,4300000.0,,,9300000.0,0.0,,2200000,,,,,0.0,,,47400000.0,0.155,6300000.0,14500000.0,,,4700000.0,47500000.0,,2200000.0,9400000.0,11700000.0,-2200000.0,,
