date,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyEbitda,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDilutedEPS,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1984-07-31,,,,,,,51600000,,,,,0.08,,,,,,51600000,,,,,51600000,,,,,,,,,,,,8100000,,,,,,,,,,,,,,,,,,0.08,,107326000.0,,,,,,,,,,,,,,,,,,,,107326000.0,,
1984-10-31,,,,,,,51600000,,,,,0.07,,,,,,51600000,,,,,51600000,,,,,,,,,,,,7300000,,,,,,,,,,,,,,,,,,0.07,,107542000.0,,,,,,,,,,,,,,,,,,,,107542000.0,,
1985-01-31,,,,,,,60200000,,,,,0.09,,,,,,60200000,,,,,60200000,,,,,,,,,,,,10100000,,,,,,,,,,,,,,,,,,0.09,,108200000.0,,,,,,,,,,,,,,,,,,,,108200000.0,,
1985-04-30,,,,,,,-119500000,,,144500000.0,,,,,,130100000.0,,62400000,91200000.0,251100000.0,29800000.0,,-119500000,3300000.0,,38800000.0,58200000.0,,,,114700000.0,,,,9500000,,,255500000.0,,,,-47700000.0,203400000.0,,17700000.0,43600000.0,11800000.0,43600000.0,,,5800000.0,,,20700000.0,,84700000.0,,,,,,,,400000000.0,24000000.0,,308800000.0,,,,,,,,,,
1985-07-31,,,,,,,61100000,,,,,0.08,,,,,,61100000,,,,,61100000,,,,,,,,,,,,8900000,,,,,,,,,,,,,,,,,,0.08,,111556000.0,,,,,,,,,,,,,,,,,,,,111556000.0,,
1985-10-31,,,,,,,61900000,,,,,0.08,,,,,,61900000,,,,,61900000,,,,,,,,,,,,8800000,,,,,,,,,,,,,,,,,,0.08,,112374000.0,,,,,,,,,,,,,,,,,,,,112374000.0,,
1986-01-31,,,,,,,70000000,,,,,0.1,,,,,,70000000,,,,,70000000,,,,,,,,,,,,11000000,,,,,,,,,,,,,,,,,,0.1,,113836000.0,,,,,,,,,,,,,,,,,,,,113836000.0,,
1986-04-30,,,,,,,-152600000,,,268400000.0,,,,,,161400000.0,,60800000,185800000.0,226900000.0,30800000.0,,-152600000,5700000.0,,47500000.0,164900000.0,,,,237600000.0,,,,12300000,,,299000000.0,,,,-56300000.0,170600000.0,,25200000.0,128600000.0,13400000.0,128600000.0,,,6700000.0,,,23400000.0,,187600000.0,,,,,,,,567400000.0,24100000.0,,381600000.0,,,,,,,,,,
1986-07-31,,,,,,,68800000,,,,,0.1,,,,,,68800000,,,,,68800000,,,,,,,,,,,,10800000,,,,,,,,,,,,,,,,,,0.1,,128294000.0,,,,,,,,,,,,,,,,,,,,128294000.0,,
1986-10-31,,,,,,,83100000,,,,,0.09,,,,,,83100000,,,,,83100000,,,,,,,,,,,,11100000,,,,,,,,,,,,,,,,,,0.09,,128294000.0,,,,,,,,,,,,,,,,,,,,128294000.0,,
