date,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyDepreciationAndAmortization,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyBasicAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyResearchAndDevelopment,quarterlyTotalRevenue,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyPretaxIncome,quarterlyDeferredIncomeTax,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyPurchaseOfBusiness
2011-09-30,1048177000.0,-106987000,,3595000.0,59295000.0,131286000.0,53902000.0,1672901000.0,0.0,-8643000,-0.803,-360772000,17492000,35891000.0,64023000.0,,-163835000,0.0,0.0,,,-40419000.0,172631000,177635000,449280199.0,1138118000.0,0.0,,-0.803,-360772000,534783000.0,449280199.0,99962000,44907000.0,,,17492000,164991000.0,1213168000.0,,342701000,,0.0,,29754000.0,0.0,-1262000,,-57911000,,90867000,-54316000,,-46785000,104451000.0,,,-105725000,70390000,33869000.0,865000,-4966385000.0,1074095000.0,1618999000.0,,-46260000,-7778000,,,,,,,,,,
2011-12-31,1035422000.0,-118234000,,3628000.0,60964000.0,142199000.0,47632000.0,1564432000.0,0.0,-34443000,,-43805000,15215000,72165000.0,101286000.0,,-380539000,0.0,0.0,,,-49130000.0,69408000,13543000,,1078014000.0,0.0,,,-43805000,486418000.0,,172631000,44907000.0,,,15215000,65197000.0,1100619000.0,,396096000,,0.0,,33510000.0,0.0,-2161000,,-64345000,,93069000,21965000,,-25900000,63621000.0,-147820000.0,,-116073000,-104067000,32395000.0,7000,-5006179000.0,976728000.0,1516800000.0,180215000.0,-55806000,-34436000,,,,,,,,,,
2012-03-31,906011000.0,-69459000,,3585000.0,50067000.0,123052000.0,44194000.0,1459576000.0,0.0,-59776000,-0.155,-69475000,15104000,69581000.0,96862000.0,,-141053000,0.0,,,,-29042000.0,124433000,125954000,449071420.0,1032451000.0,0.0,,-0.155,-69475000,427125000.0,449071420.0,69408000,44907000.0,,,15104000,112250000.0,1018261000.0,,267920000,,0.0,,16156000.0,0.0,-913000,,-44146000,,94010000,-40561000,,18890000,96088000.0,,,-68546000,55869000,29732000.0,873000,-5071519000.0,935589000.0,1415382000.0,,-29499000,-58903000,,,,,,,,,,
2012-06-30,817394000.0,-79316000,,3551000.0,71108000.0,132799000.0,42164000.0,1417866000.0,0.0,7954000,-0.005,-2075000,16228000,69990000.0,75218000.0,,-277619000,0.0,,,,-21152000.0,134213000,87439000,415000000.0,1002987000.0,0.0,,-0.005,-2075000,414879000.0,415000000.0,124433000,44907000.0,,,16228000,126778000.0,944172000.0,,366658000,,0.0,,17161000.0,0.0,-1621000,,-37380000,,111647000,-33829000,,-42820000,105865000.0,,,-77695000,8142000,27799000.0,707000,-5070370000.0,927769000.0,1375702000.0,,-45537000,8661000,,,,,,,,,,
2012-09-30,768554000.0,249548000,,4796000.0,,0.0,43001000.0,1772128000.0,0.0,-44647000,-0.124,-55770000,15920000,71516000.0,76874000.0,,-208687000,0.0,,,,115876000.0,425157000,43403000,449758065.0,1403774000.0,0.0,,-0.124,-55770000,368354000.0,449758065.0,134213000,44907000.0,,,143133000,410056000.0,1178610000.0,,254092000,,0.0,,21910000.0,0.0,-2008000,,-27257000,127213000.0,115876000,-22461000,,33562000,101604000.0,,,251556000,293642000,25079000.0,-1749000,-5123867000.0,1326900000.0,1729127000.0,,272114000,-46396000,,,,,,,,,,
2012-12-31,1436757000.0,-38852000,0.0,3179000.0,136692000.0,0.0,39076000.0,1692886000.0,,-14979000,,-359798000,17361000,0.0,126049000.0,,-1148099000,0.0,,,,163103000.0,78997000,-673139000,,1309699000.0,364000000.0,0.0,,-359798000,383187000.0,,425157000,50308000.0,,,170999000,66992000.0,1503749000.0,1090365000.0,478807000,80322000.0,0.0,,78944000.0,0.0,-4456000,,-7896000,153638000.0,163103000,603000,,-12241000,9712000.0,-122976000.0,,-34396000,-345263000,25960000.0,-2464000,-5481298000.0,1183650000.0,1653810000.0,148936000.0,-21626000,-17443000,,,,,,,,,,
2013-03-31,1362841000.0,-41094000,,,165982000.0,0.0,34713000.0,1754706000.0,,30285000,0.14,72492000,15565000,0.0,123157000.0,1000000.0,-145689000,0.0,,-7000000.0,,159775000.0,190972000,120780000,517800000.0,1266551000.0,0.0,,0.14,72492000,488155000.0,517800000.0,78997000,50713000.0,,,130669000,126530000.0,1489371000.0,1019769000.0,214378000,80305000.0,0.0,-927000.0,106638000.0,0.0,-536000,29434000.0,29106000,115104000.0,159775000,30044000,28507000.0,-46569000,12319000.0,,,-40558000,108729000,23190000.0,-1241000,-5405747000.0,1143394000.0,1719993000.0,23190000.0,-74161000,29044000,,,,,,,,,,
2013-06-30,1364148000.0,-26498000,,,97221000.0,0.0,32068000.0,1675996000.0,,-25341000,-0.05,-25341000,16562000,0.0,123310000.0,,-255091000,0.0,,,,138091000.0,182559000,-13314000,506820000.0,1179894000.0,33556000.0,,-0.05,-25341000,496102000.0,506820000.0,190972000,51053000.0,,,155959000,182559000.0,1546707000.0,944744000.0,243297000,77731000.0,0.0,-937000.0,107162000.0,0.0,-1419000,33566000.0,-17868000,139397000.0,138091000,-17868000,32619000.0,11036000,0.0,,,-25079000,-5774000,22422000.0,1754000,-5428782000.0,1056584000.0,1643928000.0,22422000.0,-16599000,-23587000,,,,,,,,,,
2013-09-30,1469913000.0,-52661000,,,113727000.0,0.0,32037000.0,1797023000.0,,5343000,0.01,5343000,14568000,0.0,122843000.0,,-277918000,0.0,153205000.0,,,149662000.0,28141000,-114683000,534300000.0,1283670000.0,-10000.0,,0.01,5343000,513353000.0,534300000.0,182559000,51211000.0,,,144963000,181346000.0,1651259000.0,873912000.0,166359000,75778000.0,-2723000.0,-1007000.0,129763000.0,0.0,-3124000,11454000.0,4699000,130395000.0,149662000,4699000,10437000.0,4746000,0.0,,,-49537000,-153783000,19873000.0,11000,-5421022000.0,1160827000.0,1764986000.0,19873000.0,-62878000,5354000,,,,,,,,,,
2013-12-31,1388844000.0,-18111000,0.0,,136004000.0,0.0,38544000.0,1731527000.0,,59868000,,59868000,20046000,0.0,164502000.0,1326000.0,-295581000,0.0,,-4138000.0,,216042000.0,168135000,74170000,,1072004000.0,-21000.0,0.0,,59868000,659523000.0,,28141000,51756000.0,2541000.0,,162726000,168135000.0,1556979000.0,817492000.0,375038000,77180000.0,0.0,-1016000.0,87020000.0,0.0,-5286000,81137000.0,53316000,142680000.0,216042000,55917000,80100000.0,34631000,0.0,-113809000.0,,-12825000,141445000,22662000.0,-5277000,-5357370000.0,907502000.0,1692983000.0,136471000.0,-86519000,54591000,,,,,,,,,,
2014-03-31,1859115000.0,-22183000,,,220808000.0,0.0,40908000.0,2791482000.0,,98501000,0.176,98501000,18315000,0.0,165806000.0,1000000.0,-957366000,0.0,,-4000000.0,,247073000.0,670651000,-474388000,550284916.0,1027369000.0,-26524000.0,,0.179,98501000,1764113000.0,559664773.0,168135000,56629000.0,,,150723000,670651000.0,2529766000.0,746935000.0,484817000,77224000.0,0.0,-1951000.0,113744000.0,0.0,-1846000,998200000.0,96350000,132408000.0,247073000,100801000,997254000.0,5875000,0.0,,,-20337000,502529000,22167000.0,1300000,-5252029000.0,861563000.0,2750574000.0,22167000.0,-133429000,99801000,,,,,,,,,,
2014-06-30,2190776000.0,48027000,,,94378000.0,0.0,39348000.0,2717904000.0,,-26150000,-0.046,-26150000,18877000,0.0,171970000.0,,-733809000,0.0,,,,115988000.0,393402000,-338524000,568478261.0,967492000.0,0.0,,-0.046,-26150000,1750412000.0,568478261.0,670651000,56687000.0,,,147698000,393402000.0,2584178000.0,680245000.0,399218000,77731000.0,0.0,-60000.0,114609000.0,0.0,-3933000,0.0,-31710000,128821000.0,115988000,-31710000,4927000.0,3835000,0.0,,,51960000,-281637000,23822000.0,-53000,-5271223000.0,795522000.0,2678556000.0,23822000.0,59643000,-26203000,,,,,,,,,,
2014-09-30,2366712000.0,24948000,,,89381000.0,0.0,103000000.0,2830889000.0,,159922000,0.278,159922000,19516000,0.0,177933000.0,,-531297000,0.0,0.0,,,271522000.0,271796000,-247432000,567099291.0,897328000.0,0.0,,0.282,159922000,1933561000.0,575258993.0,393402000,56821000.0,,,132198000,271796000.0,2638508000.0,617353000.0,349875000,81322000.0,-63258000.0,-59000.0,101590000.0,0.0,-66085000,0.0,139324000,112682000.0,271522000,139324000,13000000.0,-11444000,0.0,,,91033000,-143399000,24409000.0,225000,-5104725000.0,719395000.0,2727889000.0,24409000.0,-65563000,160147000,,,,,,,,,,
2014-12-31,2301428000.0,6437000,,,105839000.0,,100327000.0,2866681000.0,,69023000,,69023000,22821000,0.0,177774000.0,1054000.0,-456814000,0.0,,-7108000.0,,,359087000,49688000,,833742000.0,0.0,0.0,,69023000,2032939000.0,,271796000,56967000.0,62530000.0,,154589000,359087000.0,2660515000.0,550243000.0,510080000,84101000.0,0.0,-58000.0,105488000.0,0.0,-3578000,0.0,61213000,131768000.0,215802000,64655000,20171000.0,-30435000,0.0,-120029000.0,,10015000,79874000,25684000.0,-5422000,-5028355000.0,655968000.0,2766354000.0,145713000.0,-82408000,63601000,,,,,,,,,,
