date,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedEPS,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyBasicEPS,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyTaxProvision,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyRetainedEarnings,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyResearchAndDevelopment,quarterlyCashDividendsPaid,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2003-03-31,,,,,,,,,,,,,4029580,4029580,0.02875,,4029580,,,,,,,,,,,,,,,,,,,127169584.0,,,0.031875,,,,,,,,,,,,,140980808.0,,,,80136537,,,,,,,,,,,,,,,,80136537,80136537,,,,
2003-06-30,,,,,,,,,,,,,4029580,4029580,0.02875,,4029580,,,,,,,,,,,,,,,,,,,127169584.0,,,0.031875,,,,,,,,,,,,,140980808.0,,,,80136537,,,,,,,,,,,,,,,,80136537,80136537,,,,
2003-09-30,,185047729.0,5009031.0,31301164.0,293624.0,12865519.0,44431543.0,104827639.0,21036568.0,36310195.0,,,3518773,3518773,0.0275,31154110.0,3518773,1519625.0,-50294.0,1519625.0,,53681119.0,1953829.0,,32479416.0,17809721.0,,50813695.0,643356.0,,,2041372.0,74747883.0,,,112600736.0,0.0,,0.03125,,,,142303.0,5514995.0,,535628.0,39040919.0,,110299846.0,,,127955382.0,-16158613.0,41665672.0,2352000.0,7886809,,,,,,,-22430718.0,,,5870773.0,,,80220090.0,57824285.0,38437688.0,83472462,6561503,,,,
2003-12-31,14561900.0,203153908.0,5178111.0,2444118.0,0.0,11106939.0,45330854.0,107448473.0,22542049.0,7622229.0,,,2997829,2997829,,32387687.0,2997829,16081525.0,5759.0,16081525.0,,54003694.0,2029572.0,,33763280.0,1553274.0,16081525.0,50846271.0,228465.0,-3597459.0,1375593.0,4153572.0,29143302.0,341878.0,287197.0,,0.0,-521209.0,,,0.0,,194768.0,6831288.0,,1646462.0,38897606.0,1519625.0,174010606.0,0.0,,,-21042252.0,43892930.0,1951000.0,6509919,,,-1382759.0,972000.0,14235901.0,59007516.0,-19432889.0,,3923458.0,4948829.0,-3636261.0,,95705435.0,64935182.0,21521073.0,84228460,5134326,,,,
2004-03-31,-12399584.0,251422544.0,5299513.0,32979828.0,2154812.0,13276060.0,53077136.0,153387918.0,25034384.0,38279341.0,,,5634914,5634914,0.03125,35628701.0,5634914,3681941.0,87027.0,3681941.0,,66043173.0,2232725.0,,37133931.0,1458308.0,3681941.0,86745925.0,536395.0,-46936875.0,1505230.0,5108892.0,67117295.0,0.0,-799565.0,155445903.0,0.0,-4367897.0,0.03625,,,,197934.0,9716049.0,,1765134.0,46995631.0,16081525.0,184305249.0,-650000.0,,180317248.0,-21042252.0,53898301.0,3795000.0,11366930,,,-2281988.0,705100.0,28674836.0,1847138.0,-13797975.0,,5862455.0,9429914.0,-6662020.0,,98034626.0,74940553.0,28837954.0,100072767,9861700,,,,
2004-06-30,-1719205.0,264060796.0,5033014.0,42052800.0,0.0,14284683.0,55437060.0,164026351.0,26073403.0,47085814.0,,,5342742,5342742,0.03,38574301.0,5342742,1962736.0,59370.0,1962736.0,,68090539.0,2266744.0,,40290913.0,310413.0,1962736.0,88845798.0,275329.0,-13285697.0,1716612.0,5381487.0,71972294.0,-248509.0,-6735213.0,158303467.0,0.0,-609426.0,0.03375,,,,201175.0,8024640.0,,1749700.0,49441143.0,3681941.0,192088502.0,0.0,,178091400.0,-21042252.0,63424866.0,3595000.0,10866842,,,-5466875.0,1186300.0,8800379.0,1015926.0,-8455233.0,,2766113.0,8937742.0,-9501326.0,,100034445.0,84467118.0,24886480.0,104878203,9150230,,,,
2004-09-30,1119899.0,263251078.0,4181839.0,36001554.0,0.0,14890764.0,57361745.0,166406383.0,26410518.0,40800420.0,,,4562517,4562517,0.025,38912801.0,4562517,3082635.0,-116828.0,3082635.0,,64657402.0,2386776.0,0.0,40708265.0,312564.0,3082635.0,88911689.0,318400.0,-5228634.0,1795464.0,4969483.0,66071097.0,-766.0,6359724.0,158696243.0,0.0,3433137.0,0.02875,,,,201875.0,7680573.0,,1235955.0,48683612.0,1962736.0,197179981.0,-3597.0,,182500680.0,-21042252.0,66703911.0,2985000.0,9770811,,,4407820.0,722900.0,-5208267.0,841594.0,-3892716.0,,11556800.0,7547517.0,-5197076.0,,96844695.0,87746163.0,25270677.0,106045357,7975347,,,,
2004-12-31,-1470939.0,288275109.0,4696063.0,49944666.0,1250744.0,16970065.0,61264254.0,180833308.0,28304776.0,54640729.0,,,5032714,5032714,,42721112.0,5032714,1611696.0,425631.0,1611696.0,,74150400.0,2601818.0,0.0,44575664.0,317026.0,1611696.0,100364047.0,421273.0,-22372176.0,1854552.0,5117575.0,84204058.0,0.0,1406826.0,,0.0,-3630703.0,,,,,205654.0,8423676.0,,1240680.0,52495419.0,3082635.0,204071051.0,-2159.0,,,-26303277.0,70730186.0,2909000.0,9774307,,,-2215884.0,872700.0,15185156.0,1237582.0,1139998.0,,5716081.0,7941714.0,-4309255.0,,107441801.0,97033463.0,29563329.0,113759673,7919755,,,,
2005-03-31,2118000.0,312659000.0,4705000.0,58889000.0,4631000.0,20989000.0,71171000.0,194768000.0,30284000.0,63594000.0,,,8401000,8401000,0.04625,46274000.0,8401000,3730000.0,162000.0,3730000.0,,80040000.0,,,48240000.0,220000.0,3730000.0,112746000.0,572000.0,-18636000.0,1966000.0,5742000.0,99085000.0,-43000.0,8358000.0,165048000.0,0.0,-1613000.0,0.05125,,,,207000.0,9651000.0,,1236000.0,62636000.0,1612000.0,213574000.0,132000.0,,181536000.0,-26303000.0,72135000.0,5603000.0,16362000,,,543000.0,383000.0,9443000.0,639000.0,9541000.0,,11311000.0,14004000.0,-2953000.0,,117891000.0,98438000.0,35491000.0,133807000,14396000,,,,
2005-06-30,-1415000.0,321766000.0,4016000.0,56269000.0,0.0,24664000.0,71531000.0,202453000.0,31633000.0,60902000.0,,,7627000,7627000,0.04125,48619000.0,7627000,2315000.0,78000.0,2315000.0,,81446000.0,,,50682000.0,276000.0,2315000.0,118327000.0,735000.0,-11005000.0,2063000.0,6302000.0,95206000.0,-257000.0,5621000.0,166840000.0,0.0,-391000.0,0.04625,,,,210000.0,9364000.0,,1319000.0,64492000.0,3730000.0,226560000.0,-132000.0,,187088000.0,-26303000.0,74323000.0,5566000.0,15873000,,,-809000.0,448000.0,451000.0,3775000.0,17168000.0,,9139000.0,13193000.0,-3518000.0,,119313000.0,100626000.0,34304000.0,136023000,13810000,,,,
