date,quarterlyOtherCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyInventory,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyOtherNonCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,quarterlyBasicEPS,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,1586000.0,372300000,172697000.0,0.0,-21277000.0,146342000,1642104000,726000,,0.0,457007000.0,2014404000,222490000,34065000.0,-793000.0,371574000,0.0,151420000,1791914000,,,1186186000,,359435000,,105731000,1000000.0,1152121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,1586000.0,368160000,,,,154454000,1647185000,726000,,0.0,362674000.0,2015345000,239500000,20877000.0,-793000.0,367434000,0.0,164701000,1775845000,,0.0,1256338000,,354816000,0.0,105731000,0.0,1235461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,575594000.0,547724000,210605000.0,11351000.0,-30544000.0,181549000,1860137000,12077000,,0.0,451241000.0,2407861000,264097000,,0.0,535647000,0.0,180061000,2143764000,,,847457000,7737000.0,219802000,,105775000,0.0,847457000,1754362000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,442000.0,546306000,,17251000.0,,175849000,1941237000,18223000,,0.0,560669000.0,2487543000,276001000,370001000.0,-221000.0,528083000,0.0,193246000,2211542000,,,1474361000,7032000.0,510303000,,105781000,,1104360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,4040000.0,417535000,249583000.0,48351000.0,-45250000.0,225194000,2177206000,49323000,,0.0,639560000.0,2594741000,409739000,,120424000.0,368212000,0.0,204333000,2185002000,1392863000.0,,1240977000,7991000.0,339446000,,105792000,,1240977000,181118000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,155378000.0,819967000,,56351000.0,,266030000,2210506000,208801000,,151478000.0,,3030473000,598547000,1058849000.0,155000000.0,611166000,-151478000.0,214041000,2431926000,,0.0,1308849000,6918000.0,406695000,0.0,105792000,304512000.0,250000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,100000000.0,907259000,433544000.0,68696000.0,-69177000.0,280287000,2382006000,363103000,293497000.0,0.0,685840000.0,3289265000,774687000,100000000.0,61451000.0,544156000,61848000.0,364367000,2514578000,1996833000.0,,1342788000,6952000.0,206214000,,105801000,150180000.0,1242788000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,160000000.0,825771000,356918000.0,60904000.0,,197802000,2393327000,351223000,289409000.0,910000.0,587503000.0,3219098000,767775000,160000000.0,65516000.0,474548000,0.0,356918000,2451323000,2001022000.0,0.0,1420878000,6139000.0,154944000,0.0,105812000,146687000.0,1260878000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,160000000.0,987628000,434405000.0,62817000.0,-95304000.0,271047000,2513483000,208379000,144652000.0,0.0,494845000.0,3501111000,583741000,160000000.0,65756000.0,779249000,0.0,339101000,2917370000,2187554000.0,,1595788000,5742000.0,184167000,,105826000,418316000.0,1435788000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,170000000.0,1225559000,328180000.0,60774000.0,,224666000,2545470000,61684000,0.0,0.0,574897000.0,3771029000,418542000,170000000.0,66613000.0,1163875000,0.0,328180000,3352487000,2232502000.0,0.0,1626249000,5504000.0,193019000,0.0,105843000,778837000.0,1456249000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,100000000.0,1425801000,446250000.0,66269000.0,-127120000.0,248845000,2697869000,66269000,0.0,0.0,603745000.0,4123670000,414014000,100000000.0,66216000.0,1359532000,76405000.0,319130000,3709656000,2370655000.0,,1945179000,5242000.0,269371000,,106049000,854590000.0,1845179000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,30000000.0,1437594000,377650000.0,56529000.0,,196545000,2756560000,56529000,,0.0,619316000.0,4194154000,409307000,30000000.0,3647000.0,1381065000,0.0,377650000,3784847000,2425273000.0,0.0,2026851000,4922000.0,219816000,0.0,106234000,904423000.0,1996851000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,30000000.0,1844435000,523578000.0,38718000.0,-145659000.0,291465000,2911198000,38718000,,0.0,756740000.0,4755633000,411455000,30000000.0,4490000.0,1805717000,108031000.0,377919000,4344178000,2579276000.0,,2191712000,4033000.0,342660000,,106458000,1004017000.0,2161712000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,486748000.0,1075782000,424481000.0,34870000.0,,142866000,2929638000,34870000,,0.0,798867000.0,4005420000,494808000,,4764000.0,1040912000,0.0,424481000,3510612000,2601886000.0,0.0,2021505000,5454000.0,248584000,0.0,106458000,459999000.0,2021505000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,568943000.0,1222106000,649310000.0,46868000.0,-147362000.0,294385000,3011562000,49268000,,0.0,665164000.0,4233668000,553346000,568943000.0,485000.0,1172838000,0.0,501948000,3680322000,2675697000.0,,2182601000,5345000.0,343712000,,106467000,493528000.0,1613658000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,552205000.0,1039644000,464337000.0,38178000.0,,223689000,3048281000,40578000,,0.0,640338000.0,4087925000,598613000,552205000.0,13609000.0,999066000,0.0,464337000,3489312000,2713334000.0,0.0,2042962000,5738000.0,238121000,0.0,106467000,477344000.0,1490757000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
