date,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyEbitda,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyAccumulatedDepreciation,quarterlyCommonStockIssuance,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyDilutedAverageShares,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyCostOfRevenue,quarterlyNetIncome,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1984-03-31,,,,,,,,,611944000.0,,,,,,,,,,647100000,,,,,,,,,,,,,,,647100000,,647100000,,,,,0.12,,,611944000.0,,,,,,,,,,,69800000,,,,,,0.12,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,611944000.0,,,,,,,,,,639400000,,,,,,,,,,,,,,,639400000,,639400000,,,,,0.1,,,611944000.0,,,,,,,,,,,59900000,,,,,,0.1,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,611944000.0,,,,,,,,,,676100000,,,,,,,,,,,,,,,676100000,,676100000,,,,,0.13,,,611944000.0,,,,,,,,,,,76100000,,,,,,0.13,,,,,,,,,,,,,,,,
1984-12-31,,,,30500000.0,,,,,,,308900000.0,308900000.0,487200000.0,,,39000000.0,,856000000.0,-1499500000,,,-425400000.0,,,,751500000.0,1281400000.0,,1118400000.0,,,,,-1499500000,323500000.0,639700000,,,,664100000.0,,915600000.0,,,,364100000.0,9500000.0,,,,1667100000.0,,,,44700000,,515800000.0,221100000.0,,,,,340600000.0,142200000.0,,,,,,,,1179900000.0,29100000.0,,,,
1985-03-31,,,,,,,,,492528000.0,,,,,,,,,,703500000,,,,,,,,,,,,,,,703500000,,703500000,,,,,0.15,,,492528000.0,,,,,,,,,,,71100000,,,,,,0.15,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,492928000.0,,,,,,,,,,713700000,,,,,,,,,,,,,,,713700000,,713700000,,,,,0.13,,,492928000.0,,,,,,,,,,,62200000,,,,,,0.13,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,492928000.0,,,,,,,,,,794900000,,,,,,,,,,,,,,,794900000,,794900000,,,,,0.19,,,492928000.0,,,,,,,,,,,93600000,,,,,,0.19,,,,,,,,,,,,,,,,
1985-12-31,,,,28300000.0,,,,,,,127800000.0,127800000.0,683000000.0,,,40500000.0,,1035900000.0,-1653700000,,,-494500000.0,,,,618100000.0,1530400000.0,,1288500000.0,,,,,-1653700000,409500000.0,718000000,,,,444300000.0,,1108000000.0,,,,392600000.0,12300000.0,,,,1726100000.0,,,,54200000,,598800000.0,245900000.0,,,,,34800000.0,193900000.0,,,,,,,,1043100000.0,43800000.0,,,,
1986-03-31,,,,,,,,,493400000.0,,,,,,,,,,798000000,,,,,,,,,,,,,,,798000000,,798000000,,,,,0.16,,,493400000.0,,,,,,,,,,,76500000,,,,,,0.16,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,493860000.0,,,,,,,,,,867200000,,,,,,,,,,,,,,,867200000,,867200000,,,,,0.14,,,493860000.0,,,,,,,,,,,69200000,,,,,,0.14,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,493860000.0,,,,,,,,,,866200000,,,,,,,,,,,,,,,866200000,,866200000,,,,,0.21,,,493860000.0,,,,,,,,,,,102800000,,,,,,0.21,,,,,,,,,,,,,,,,
1986-12-31,,,,28000000.0,,,,,,,198100000.0,198100000.0,898400000.0,,,48600000.0,,1281100000.0,-1884000000,,,-573300000.0,,,,729600000.0,1854400000.0,,1481500000.0,,,,,-1884000000,550800000.0,809300000,,,,686400000.0,,1354600000.0,,,,264100000.0,16400000.0,,,,2084200000.0,,,,70400000,,499400000.0,265400000.0,,,,,135600000.0,218900000.0,,,,,,,,1185800000.0,45500000.0,,,,
1987-03-31,,,,,,,,,494084000.0,,,,,,,,,,896000000,,,,,,,,,,,,,,,896000000,,896000000,,,,,0.22,,,494084000.0,,,,,,,,,,,104500000,,,,,,0.22,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,494248000.0,,,,,,,,,,923100000,,,,,,,,,,,,,,,923100000,,923100000,,,,,0.18,,,494248000.0,,,,,,,,,,,89800000,,,,,,0.18,,,,,,,,,,,,,,,,
1987-09-30,,,,,,,,,494936000.0,,,,,,,,,,1008900000,,,,,,,,,,,,,,,1008900000,,1008900000,,,,,0.24,,,494936000.0,,,,,,,,,,,119300000,,,,,,0.24,,,,,,,,,,,,,,,,
1987-12-31,,,,77400000.0,,,,,,,126200000.0,126200000.0,1211400000.0,,,89700000.0,,1738800000.0,-2136800000,,,-679200000.0,,,,801900000.0,2418000000.0,,1717900000.0,,,,,-2136800000,702000000.0,965000000,,,,853400000.0,,1879000000.0,,,,290400000.0,69300000.0,,,,2680900000.0,,,,82300000,,616100000.0,310900000.0,,,,,151400000.0,256400000.0,,,,,,,,1469500000.0,62800000.0,,,,
1988-03-31,,,,,,,,,494936000.0,,,,,,,,,,1029800000,,,,,,,,,,,,,,,1029800000,,1029800000,,,,,0.25,,,494936000.0,,,,,,,,,,,121100000,,,,,,0.25,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,493632000.0,,,,,,,,,,1086700000,,,,,,,,,,,,,,,1086700000,,1086700000,,,,,0.23,,,493632000.0,,,,,,,,,,,112700000,,,,,,0.23,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,492272000.0,,,,,,,,,,1140300000,,,,,,,,,,,,,,,1140300000,,1140300000,,,,,0.3,,,492272000.0,,,,,,,,,,,145700000,,,,,,0.3,,,,,,,,,,,,,,,,
1988-12-31,,,,53400000.0,,,,,,,185000000.0,185000000.0,1483200000.0,,,111400000.0,,2131900000.0,-2462700000,,,-784500000.0,,,,1063200000.0,2916400000.0,,2011100000.0,,,,,-2462700000,743300000.0,1092000000,,,,1183500000.0,,2234700000.0,,,,272100000.0,66900000.0,,,,3297900000.0,,,,100900000,,631200000.0,362200000.0,,,,,440200000.0,292200000.0,,,,,,,,1814700000.0,49400000.0,,,,
1989-03-31,1200000.0,,,52800000.0,,590200000.0,406400000.0,,484347826.0,,239400000.0,239400000.0,1505000000.0,185000000.0,318900000.0,79200000.0,,2151000000.0,220700000,61200000.0,,-801400000.0,,,172600000.0,1065400000.0,2952400000.0,-53200000.0,2118000000.0,170400000.0,8000000.0,-10900000.0,-106100000.0,183800000,357400000.0,1134100000,3900000.0,10200000.0,,1009700000.0,0.23,2256000000.0,,484347826.0,,472600000.0,66600000.0,64300000.0,54400000.0,,3321400000.0,543900000.0,111400000.0,36900000.0,111400000,369500000.0,806700000.0,376700000.0,0.0,400000.0,0.23,,333400000.0,267500000.0,11600000.0,,1100000.0,,-52600000.0,111400000.0,-104900000.0,1816400000.0,52200000.0,,,,
