date,quarterlyTotalAssets,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyBasicEPS,quarterlyNetIncome,quarterlyBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyChangeInAccountPayable,quarterlyOtherIntangibleAssets,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyChangeInInventory,quarterlyChangesInAccountReceivables,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyEbitda,quarterlyTaxProvision,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue
1998-03-31,4906000000,,4425000000,601000000,-13000000.0,-29000000.0,947000000.0,,,4218000000,104000000.0,,54000000.0,0.09,54000000.0,600000000.0,731000000.0,5026000000,67000000.0,29000000.0,,,239000000,113000000,69000000.0,-2000000.0,,835000000.0,,747000000,54000000.0,0.0,66000000.0,617142857.0,328000000,6508000000,106000000.0,231000000.0,0.0875,,4000000.0,,974000000.0,,1156000000,268000000.0,,239000000,-1602000000,,3143000000,243000000.0,45000000.0,-2934000000,,-2710000000.0,99000000.0,,-132000000.0,18000000.0,,,-53000000.0,139000000.0,213000000.0,40000000.0,1921000000.0,1482000000,6077000000,,688000000,-2000000.0,-105000000.0,,,,
1998-06-30,4829000000,,4134000000,620000000,289000000.0,-37000000.0,965000000.0,,,4106000000,97000000.0,,112000000.0,0.185,112000000.0,605405405.0,750000000.0,4754000000,67000000.0,73000000.0,,,202000000,89000000,67000000.0,1000000.0,,847000000.0,,721000000,112000000.0,0.0,41000000.0,622222222.0,336000000,6314000000,-21000000.0,264000000.0,0.18,,0.0,,1036000000.0,,1211000000,0.0,,202000000,-1485000000,,3049000000,286000000.0,83000000.0,-2809000000,,-2597000000.0,195000000.0,,-314000000.0,,,,,189000000.0,260000000.0,236000000.0,2001000000.0,1560000000,5858000000,,723000000,-13000000.0,82000000.0,,,,
1998-09-30,4616000000,,3725000000,646000000,227000000.0,-57000000.0,972000000.0,,,3974000000,97000000.0,,128000000.0,0.21,128000000.0,609523810.0,728000000.0,4371000000,66000000.0,59000000.0,,,145000000,109000000,62000000.0,3000000.0,,825000000.0,,679000000,128000000.0,0.0,100000000.0,624390244.0,343000000,5991000000,88000000.0,283000000.0,0.205,,1000000.0,,1045000000.0,,1226000000,0.0,,145000000,-1375000000,,2952000000,317000000.0,89000000.0,-2998000000,,-2469000000.0,217000000.0,,-383000000.0,,,,,220000000.0,285000000.0,227000000.0,2017000000.0,1620000000,5950000000,,642000000,-13000000.0,49000000.0,,,,
1998-12-31,4531000000,,3436000000,720000000,-289000000.0,-24000000.0,1250000000.0,,,3906000000,119000000.0,,151000000.0,,151000000.0,,937000000.0,4221000000,68000000.0,99000000.0,,65000000.0,121000000,96000000,74000000.0,11000000.0,,1056000000.0,,651000000,151000000.0,0.0,95000000.0,,359000000,5694000000,531000000.0,281000000.0,,,-1000000.0,,1276000000.0,,476000000,0.0,,121000000,-1163000000,,2896000000,339000000.0,94000000.0,-2591000000,,-2318000000.0,245000000.0,,-291000000.0,,,,,220000000.0,901000000.0,171000000.0,2526000000.0,1473000000,5487000000,,625000000,31000000.0,-132000000.0,,,,
1999-03-31,4463000000,,3333000000,775000000,-48000000.0,-11000000.0,845000000.0,,,3797000000,95000000.0,,106000000.0,0.1725,106000000.0,614492754.0,671000000.0,4108000000,63000000.0,34000000.0,,,110000000,116000000,52000000.0,6000000.0,,766000000.0,,620000000,106000000.0,0.0,42000000.0,642424242.0,362000000,5467000000,111000000.0,312000000.0,0.165,,5000000.0,,968000000.0,,1070000000,121000000.0,,110000000,-1004000000,,2815000000,297000000.0,78000000.0,-2595000000,,-2212000000.0,184000000.0,,-77000000.0,,,,-72000000.0,202000000.0,173000000.0,24000000.0,1813000000.0,1359000000,5410000000,,666000000,-21000000.0,-168000000.0,,,,
1999-06-30,4419000000,,3045000000,767000000,77000000.0,56000000.0,883000000.0,,,3635000000,88000000.0,,179000000.0,0.29,179000000.0,617241379.0,695000000.0,3812000000,68000000.0,129000000.0,,,166000000,88000000,51000000.0,0.0,,783000000.0,,599000000,179000000.0,0.0,203000000.0,650909091.0,341000000,5240000000,274000000.0,336000000.0,0.275,,,,1003000000.0,,1123000000,0.0,,166000000,-821000000,,2695000000,308000000.0,119000000.0,-2512000000,,-2033000000.0,298000000.0,,-311000000.0,,,,-86000000.0,220000000.0,217000000.0,163000000.0,1886000000.0,1428000000,5207000000,,784000000,3000000.0,40000000.0,,,,
1999-09-30,4253000000,,2605000000,791000000,152000000.0,-15000000.0,850000000.0,,,3501000000,82000000.0,,197000000.0,0.32,197000000.0,615625000.0,644000000.0,3396000000,60000000.0,141000000.0,,,316000000,92000000,42000000.0,9000000.0,,726000000.0,,568000000,197000000.0,151000000.0,141000000.0,640650407.0,372000000,4869000000,259000000.0,206000000.0,0.3075,,,,962000000.0,-146000000.0,1073000000,0.0,1366000000.0,151000000,-616000000,,2561000000,318000000.0,138000000.0,-2382000000,,-1836000000.0,335000000.0,,-423000000.0,,165000000.0,,-115000000.0,236000000.0,308000000.0,267000000.0,1812000000.0,1473000000,4943000000,,752000000,-24000000.0,113000000.0,,,,
1999-12-31,3961000000,,2391000000,825000000,-92000000.0,-62000000.0,1088000000.0,,,3475000000,121000000.0,,145000000.0,,145000000.0,,850000000.0,3223000000,61000000.0,26000000.0,,7000000.0,137000000,117000000,57000000.0,15000000.0,,971000000.0,,527000000,145000000.0,89000000.0,136000000.0,,417000000,4521000000,303000000.0,127000000.0,,,-1000000.0,,1223000000.0,-133000000.0,1085000000,151000000.0,1264000000.0,89000000,-560000000,,2531000000,373000000.0,76000000.0,-2279000000,,-1691000000.0,221000000.0,,-308000000.0,,48000000.0,,-203000000.0,252000000.0,96000000.0,111000000.0,2311000000.0,1298000000,4810000000,,486000000,26000000.0,-212000000.0,,,,
2000-03-31,4372000000,,2583000000,815000000,-86000000.0,13000000.0,732000000.0,,,3483000000,82000000.0,,120000000.0,0.2025,120000000.0,596000000.0,591000000.0,3405000000,137000000.0,50000000.0,-75000000.0,7000000.0,224000000,205000000,41000000.0,14000000.0,,673000000.0,,495000000,120000000.0,102000000.0,-100000000.0,604000000.0,460000000,4900000000,37000000.0,142000000.0,0.2,,-75000000.0,,865000000.0,-134000000.0,1127000000,89000000.0,1176000000.0,102000000,-528000000,,2528000000,274000000.0,81000000.0,-2261000000,,-1570000000.0,201000000.0,-138000000.0,131000000.0,18000000.0,122000000.0,,-68000000.0,192000000.0,163000000.0,-18000000.0,1597000000.0,1495000000,4789000000,,889000000,-14000000.0,-141000000.0,,,,
2000-06-30,4311000000,,2542000000,826000000,15000000.0,55000000.0,755000000.0,,,3426000000,81000000.0,,106000000.0,0.18,106000000.0,588000000.0,602000000.0,3374000000,127000000.0,2000000.0,60000000.0,6000000.0,215000000,122000000,41000000.0,6000000.0,,683000000.0,,475000000,106000000.0,157000000.0,112000000.0,596000000.0,469000000,4819000000,149000000.0,121000000.0,0.1775,,9000000.0,,901000000.0,-149000000.0,1172000000,102000000.0,1106000000.0,157000000,-508000000,,2482000000,299000000.0,73000000.0,-2201000000,,-1465000000.0,179000000.0,-78000000.0,-188000000.0,8000000.0,58000000.0,,-118000000.0,218000000.0,151000000.0,133000000.0,1656000000.0,1445000000,4683000000,,885000000,-9000000.0,-90000000.0,,,,
