date,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicEPS,quarterlyInventory,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyIncomeTaxPayable
2006-12-31,,,0.0,9255000000.0,,,,,,4761000000.0,,112740000000.0,,,,,,5675000000.0,,133131000000.0,14974000000.0,163320000000.0,,15509000000.0,,,,15509000000.0,9133000000.0,18090000000.0,,,,,,79114000000.0,,33233000000.0,112740000000.0,,30189000000.0,,19798000000.0,65917000000.0,45881000000.0,,4311000000.0,,,,40840000000.0,,729000000.0,942000000.0,,,2050000000.0,,,,,,,,,,,,,,,,,,,,
2007-03-31,0.0,745000000.0,,,-6802000000.0,18089843750.0,5496000000.0,4631000000.0,0.256,,3647000000.0,,,6962000000.0,,1466000000.0,,,,,,,778000000.0,,4631000000.0,51000000.0,-121000000.0,,,,15758000000.0,7584000000.0,18489000000.0,19405000000.0,9476000000.0,,-6811000000.0,,,0.256,,7707000000.0,,,,18089843750.0,,-788000000.0,9013000000.0,1892000000.0,,1470000000.0,,,-12403000000.0,61000000.0,,,,,,,,,,,,,,,,,,,,,
2007-06-30,337000000.0,851000000.0,310000000.0,10613000000.0,-4187000000.0,,6233000000.0,5175000000.0,,5989000000.0,-3865000000.0,118785000000.0,,7752000000.0,,1519000000.0,,5009000000.0,,141384000000.0,16929000000.0,171928000000.0,2017000000.0,15381000000.0,5175000000.0,2294000000.0,-1258000000.0,15381000000.0,8619000000.0,18090000000.0,19405000000.0,8615000000.0,19842000000.0,15283000000.0,10457000000.0,84403000000.0,-3131000000.0,34167000000.0,118785000000.0,,30544000000.0,8603000000.0,22544000000.0,69476000000.0,50236000000.0,,5497000000.0,-7018000000.0,9385000000.0,1842000000.0,44115000000.0,1408000000.0,615000000.0,1002000000.0,-4563000000.0,-17000000.0,236000000.0,,,,,,,,,,,,,,,,,,,,
2007-09-30,67636000000.0,816000000.0,,,-9021000000.0,18096428571.0,5862000000.0,5067000000.0,0.28,,73542000000.0,,,7702000000.0,0.0,1840000000.0,,,,,,,3088000000.0,,5067000000.0,100000000.0,-618000000.0,,,,15283000000.0,8462000000.0,21226000000.0,89082000000.0,10604000000.0,,-12722000000.0,,,0.28,,8518000000.0,,,,18096428571.0,,-553000000.0,10622000000.0,2142000000.0,,1663000000.0,,,-8341000000.0,104000000.0,,,,,,,,,,,,,,,,,,,,,
2007-12-31,-1132000000.0,1392000000.0,937000000.0,6356000000.0,-8063000000.0,,5479000000.0,4845000000.0,,6337000000.0,-35678000000.0,138728000000.0,0.0,7132000000.0,317000000.0,1653000000.0,37000000.0,6166000000.0,,166694000000.0,21310000000.0,238821000000.0,-4021000000.0,53473000000.0,4845000000.0,204000000.0,-727000000.0,53436000000.0,9074000000.0,19890000000.0,89082000000.0,7626000000.0,22024000000.0,53404000000.0,10564000000.0,90005000000.0,-8078000000.0,33371000000.0,138728000000.0,,72127000000.0,8524000000.0,14396000000.0,128250000000.0,56634000000.0,,5886000000.0,-18090000000.0,11460000000.0,2938000000.0,49718000000.0,2459000000.0,659000000.0,1018000000.0,-24296000000.0,-67000000.0,424000000.0,,,,,,,,,,,,,,,,,,,,
2008-03-31,50000000.0,1166000000.0,680000000.0,8066000000.0,-5511000000.0,19917177914.0,7335000000.0,6493000000.0,0.326,7279000000.0,6592000000.0,142127000000.0,-50000000.0,8827000000.0,50000000.0,1492000000.0,156000000.0,5000000000.0,,170043000000.0,21403000000.0,250490000000.0,4080000000.0,60162000000.0,6493000000.0,12000000.0,-71000000.0,60006000000.0,8352000000.0,19890000000.0,53404000000.0,9912000000.0,23788000000.0,59996000000.0,12106000000.0,100081000000.0,-5328000000.0,40451000000.0,142127000000.0,0.326,80447000000.0,9993000000.0,15144000000.0,129127000000.0,59630000000.0,19917177914.0,6383000000.0,-878000000.0,11682000000.0,2194000000.0,52268000000.0,1701000000.0,618000000.0,1027000000.0,-7059000000.0,263000000.0,495000000.0,,,,,,,,,,,,,,,,,,,,
2008-06-30,165000000.0,636000000.0,3508000000.0,11155000000.0,-8731000000.0,,8690000000.0,7653000000.0,,7408000000.0,-2872000000.0,148333000000.0,-317000000.0,10702000000.0,1063000000.0,2012000000.0,87000000.0,5724000000.0,,179094000000.0,21399000000.0,253724000000.0,4146000000.0,57342000000.0,7653000000.0,213000000.0,-173000000.0,57255000000.0,8933000000.0,19890000000.0,59996000000.0,11150000000.0,25494000000.0,57124000000.0,13346000000.0,97405000000.0,-9014000000.0,37160000000.0,148333000000.0,,74630000000.0,11338000000.0,19217000000.0,133143000000.0,60245000000.0,,6464000000.0,-10557000000.0,12148000000.0,2196000000.0,52578000000.0,1648000000.0,731000000.0,1040000000.0,-4664000000.0,-15000000.0,200000000.0,,,,,,,,,,,,,,,,,,,,
2008-09-30,-555000000.0,765000000.0,3976000000.0,12293000000.0,-8212000000.0,19877551020.0,8854000000.0,7792000000.0,0.392,7895000000.0,3533000000.0,155906000000.0,0.0,10587000000.0,0.0,1733000000.0,100000000.0,4633000000.0,,187308000000.0,21568000000.0,266664000000.0,2242000000.0,60956000000.0,7792000000.0,424000000.0,0.0,60856000000.0,8759000000.0,19890000000.0,57124000000.0,11323000000.0,28229000000.0,60657000000.0,14489000000.0,101128000000.0,-7629000000.0,39578000000.0,155906000000.0,0.392,79356000000.0,11352000000.0,27009000000.0,140935000000.0,61550000000.0,19877551020.0,7199000000.0,-563000000.0,13740000000.0,3166000000.0,54383000000.0,2531000000.0,713000000.0,1212000000.0,-7743000000.0,161000000.0,0.0,,,,,,,,,,,,,,,,,,,,
2008-12-31,626000000.0,1500000000.0,6373000000.0,14572000000.0,-14092000000.0,,4936000000.0,4650000000.0,,7842000000.0,-1603000000.0,165086000000.0,0.0,6755000000.0,626000000.0,1819000000.0,509000000.0,3905000000.0,,200501000000.0,23806000000.0,278407000000.0,-2788000000.0,60000000000.0,4650000000.0,152000000.0,-165000000.0,59491000000.0,9642000000.0,19890000000.0,60657000000.0,8945000000.0,29622000000.0,59054000000.0,13081000000.0,104267000000.0,-14049000000.0,42656000000.0,165086000000.0,,77906000000.0,8255000000.0,30984000000.0,148967000000.0,61611000000.0,,7525000000.0,-1848000000.0,16541000000.0,4136000000.0,56045000000.0,3095000000.0,932000000.0,1869000000.0,-8186000000.0,2000000.0,0.0,,,,,,,,,,,,,,,,,,,,
2009-03-31,294000000.0,83000000.0,6178000000.0,14461000000.0,-4798000000.0,19902010050.0,9130000000.0,7921000000.0,0.398,8680000000.0,-365000000.0,166409000000.0,,10975000000.0,294000000.0,1845000000.0,326000000.0,4343000000.0,,201664000000.0,23752000000.0,292057000000.0,13216000000.0,72616000000.0,7921000000.0,25000000.0,,72290000000.0,10102000000.0,19890000000.0,59054000000.0,11249000000.0,27157000000.0,58689000000.0,14506000000.0,108852000000.0,-17600000000.0,47420000000.0,166409000000.0,0.398,90393000000.0,11058000000.0,38291000000.0,156959000000.0,61432000000.0,19902010050.0,6131000000.0,-842000000.0,12651000000.0,3257000000.0,55801000000.0,2293000000.0,947000000.0,1906000000.0,-12729000000.0,-12827000000.0,0.0,,,,,,,,,,,,,,,,,,,,
