date,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyTaxProvision,quarterlyNetPPE,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyCurrentDeferredRevenue
2004-03-31,,,,-12000000.0,,-221000000.0,241000000,,,52000000,,1243000000,-11000000.0,49321468.0,-24000000.0,,124000000,,,96000000.0,93000000.0,,,,,,72000000,,,137000000,,140000000.0,-27000000.0,1.569024,,,,,,,-43000000.0,49712421.0,0.0,23000000,-107000000.0,78000000,55000000,-44000000.0,-55000000.0,9000000,,17000000,,,,,,1002000000,189000000,,,1.58,-151000000.0,148000000.0,78000000,,,,42000000.0,-42000000.0,,,,6000000,,72000000.0,
2004-06-30,,,,-19000000.0,,-106000000.0,171000000,,,25000000,,1229000000,49000000.0,99377884.0,-1000000.0,,96000000,,,-1649000000.0,809000000.0,,,,,,-104000000,,,125000000,,-1598000000.0,-1742000000.0,-1.26,,,,,,2283000000.0,2498000000.0,99377884.0,0.0,22000000,-107000000.0,-125000000,-124000000,-50000000.0,716000000.0,-24000000,,10000000,,,,,,1058000000,146000000,,,-1.26,-157000000.0,93000000.0,-125000000,,,,27000000.0,-28000000.0,,,,130000000,,71000000.0,
2004-09-30,,7669000000.0,583000000.0,115000000.0,,267000000.0,215000000,,,55000000,2082000000.0,1247000000,-36000000.0,99737362.0,,-500000000.0,157000000,,,-171000000.0,819000000.0,4975000000.0,-1148000000.0,,,2694000000.0,68000000,-1005000000.0,,139000000,2877000000.0,1457000000.0,,-0.985,25000000.0,1758000000.0,-134000000.0,1235000000.0,,-2583000000.0,-7000000.0,99737362.0,17000000.0,23000000,323000000.0,-99000000,-98000000,-12000000.0,158000000.0,-15000000,565000000.0,29000000,1948000000.0,244000000.0,2973000000.0,1963000000.0,,1032000000,160000000,826000000.0,0.0,-0.985,311000000.0,809000000.0,-99000000,7066000000.0,819000000.0,819000000.0,16000000.0,-37000000.0,127000000.0,4189000000.0,934000000.0,114000000,,102000000.0,
2004-12-31,,7004000000.0,722000000.0,-65000000.0,,-106000000.0,303000000,-17000000.0,,61000000,2148000000.0,1332000000,-20000000.0,,,0.0,98000000,0.0,,-86000000.0,838000000.0,5009000000.0,-253000000.0,,,1995000000.0,-309000000,-112000000.0,,220000000,3151000000.0,-69000000.0,,,88000000.0,1510000000.0,-446000000.0,1356000000.0,,633000000.0,238000000.0,,227000000.0,22000000,-172000000.0,-57000000,-57000000,-60000000.0,19000000.0,-37000000,618000000.0,12000000,1702000000.0,256000000.0,3243000000.0,221000000.0,888000000.0,1029000000,242000000,866000000.0,0.0,,-232000000.0,819000000.0,-57000000,7410000000.0,838000000.0,838000000.0,47000000.0,-66000000.0,144000000.0,4259000000.0,1147000000.0,72000000,,37000000.0,
2005-03-31,,7809000000.0,1585000000.0,-23000000.0,,-128000000.0,384000000,-28000000.0,,204000000,2375000000.0,1509000000,-8000000.0,141742428.0,,,298000000,,,-105000000.0,1738000000.0,5010000000.0,-263000000.0,,,2799000000.0,23000000,61000000.0,,161000000,4112000000.0,-7000000.0,,-0.084661,116000000.0,1480000000.0,-536000000.0,1221000000.0,,0.0,985000000.0,141742428.0,997000000.0,23000000,42000000.0,-10000000,-10000000,-40000000.0,900000000.0,-31000000,641000000.0,-8000000,1839000000.0,230000000.0,3300000000.0,1050000000.0,,1125000000,180000000,998000000.0,0.0,-0.08,2000000.0,838000000.0,-12000000,8403000000.0,1738000000.0,1738000000.0,104000000.0,-27000000.0,139000000.0,4291000000.0,1175000000.0,176000000,,94000000.0,
2005-06-30,,6747000000.0,682000000.0,5000000.0,,-64000000.0,342000000,-28000000.0,,183000000,2319000000.0,1517000000,34000000.0,158530397.0,,,254000000,,,-33000000.0,959000000.0,4935000000.0,-196000000.0,,,1812000000.0,123000000,126000000.0,,136000000,3207000000.0,8000000.0,,0.39,109000000.0,1455000000.0,-563000000.0,1195000000.0,,-10000000.0,-817000000.0,170530397.0,0.0,23000000,148000000.0,67000000,67000000,-46000000.0,-779000000.0,-1000000,586000000.0,43000000,1756000000.0,227000000.0,3253000000.0,237000000.0,739000000.0,1175000000,159000000,955000000.0,0.0,0.41,102000000.0,1738000000.0,65000000,7396000000.0,959000000.0,959000000.0,37000000.0,-32000000.0,140000000.0,4189000000.0,1202000000.0,68000000,,71000000.0,
2005-09-30,,7132000000.0,698000000.0,3000000.0,,200000000.0,283000000,-134000000.0,,116000000,2839000000.0,1536000000,32000000.0,158546594.0,,-812000000.0,189000000,,,-643000000.0,401000000.0,5200000000.0,-151000000.0,,,1932000000.0,74000000,59000000.0,,144000000,2610000000.0,79000000.0,,0.26,49000000.0,1660000000.0,-857000000.0,1278000000.0,,-1000000.0,-246000000.0,171930270.0,0.0,22000000,326000000.0,45000000,45000000,-46000000.0,-558000000.0,22000000,625000000.0,26000000,1982000000.0,225000000.0,3315000000.0,227000000.0,813000000.0,1253000000,167000000,947000000.0,0.0,0.26,280000000.0,959000000.0,42000000,7340000000.0,401000000.0,401000000.0,34000000.0,-37000000.0,181000000.0,4730000000.0,1435000000.0,72000000,,73000000.0,
2005-12-31,,7146000000.0,810000000.0,-70000000.0,,-48000000.0,288000000,-126000000.0,,165000000,2484000000.0,1508000000,-37000000.0,,,-10000000.0,254000000,,,-139000000.0,390000000.0,5133000000.0,24000000.0,,,2013000000.0,142000000,235000000.0,,121000000,2579000000.0,0.0,,,93000000.0,1566000000.0,-444000000.0,1257000000.0,,-281000000.0,-66000000.0,,0.0,23000000,198000000.0,175000000,166000000,-80000000.0,-11000000.0,62000000,661000000.0,-20000000,2040000000.0,285000000.0,3282000000.0,1012000000.0,,1220000000,123000000,918000000.0,0.0,,118000000.0,401000000.0,172000000,7445000000.0,390000000.0,390000000.0,42000000.0,-41000000.0,155000000.0,4866000000.0,1430000000.0,71000000,,89000000.0,
2006-03-31,,7114000000.0,750000000.0,-1000000.0,,-182000000.0,367000000,-133000000.0,,198000000,2535000000.0,1652000000,-12000000.0,158562161.0,,-9000000.0,271000000,,,-86000000.0,312000000.0,5129000000.0,132000000.0,,928000000.0,1985000000.0,161000000,342000000.0,,152000000,2684000000.0,-42000000.0,,0.68,78000000.0,1536000000.0,-500000000.0,1262000000.0,,0.0,25000000.0,171487669.0,,18000000,-21000000.0,117000000,116000000,-44000000.0,-78000000.0,27000000,678000000.0,45000000,2035000000.0,287000000.0,3306000000.0,1007000000.0,,1285000000,169000000,1000000000.0,0.0,0.72,-65000000.0,390000000.0,114000000,7521000000.0,312000000.0,312000000.0,20000000.0,-20000000.0,212000000.0,4837000000.0,487000000.0,71000000,,73000000.0,
2006-06-30,,7082000000.0,744000000.0,11000000.0,,-52000000.0,348000000,-156000000.0,,177000000,2632000000.0,1674000000,33000000.0,158562161.0,,-9000000.0,252000000,,,-55000000.0,354000000.0,5184000000.0,226000000.0,,906000000.0,1898000000.0,146000000,418000000.0,,153000000,2710000000.0,0.0,,0.6,73000000.0,1564000000.0,-550000000.0,1257000000.0,,0.0,-76000000.0,172066546.0,,18000000,165000000.0,103000000,103000000,-71000000.0,42000000.0,33000000,655000000.0,42000000,2082000000.0,300000000.0,3320000000.0,956000000.0,,1326000000,171000000,997000000.0,0.0,0.64,94000000.0,312000000.0,101000000,7568000000.0,354000000.0,354000000.0,20000000.0,-4000000.0,174000000.0,4858000000.0,488000000.0,73000000,,75000000.0,
