date,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyBasicEPS,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyBasicAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedEPS,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue
2001-03-31,64380000.0,423000000,1429000000,1076000000,1000000.0,0,,,562000000,-1324000000.0,324000000,347000000,,1162000000,,186000000.0,,-1000000.0,218000000,705000000,-375000000,-668000000,,2472000000,-70000000,291000000,0.09,74000000,3089000000.0,,1765000000,360000000,-99000000,,,112000000,,38000000.0,315000000,1360000000,23000000.0,221000000,,82000000,2843000000,2227000000,64380000.0,6000000,5147000000,283000000,,2304000000,,197000000,,0,156000000,3587000000,-4000000,6000000,0.09,81000000,127000000,1169000000,-73000000,,950000000,82000000,324000000,-11000000.0,-13000000,742000000,,2316000000,,,
2001-06-30,64380000.0,324000000,1429000000,1046000000,39000000.0,-62000000,,,494000000,-1324000000.0,231000000,343000000,,1703000000,,193000000.0,,-16000000.0,-689000000,783000000,597000000,-721000000,,2689000000,-35000000,-538000000,0.36,98000000,3015000000.0,4000000.0,1691000000,341000000,-93000000,,,138000000,,40000000.0,338000000,1250000000,112000000.0,-573000000,,112000000,3338000000,2827000000,64380000.0,23000000,5585000000,247000000,,2247000000,,215000000,,-5000000,210000000,4077000000,23000000,23000000,0.36,-667000000,125000000,1777000000,-59000000,,878000000,112000000,231000000,,-94000000,700000000,,2479000000,,,
2001-09-30,75260335.0,231000000,1000000,1243000000,107000000.0,61000000,,,676000000,-1324000000.0,191000000,250000000,,1163000000,48000000.0,163000000.0,,14000000.0,139000000,805000000,-292000000,-859000000,,3151000000,-46000000,202000000,0.76,207000000,2865000000.0,24000000.0,1541000000,521000000,-40000000,,,243000000,,36000000.0,395000000,1156000000,59000000.0,156000000,,126000000,3294000000,2489000000,75221060.0,57000000,5306000000,233000000,,2012000000,,180000000,,270000000,333000000,3645000000,57000000,57000000,0.76,70000000,114000000,1564000000,-72000000,,809000000,126000000,191000000,,13000000,784000000,,2818000000,,,
2001-12-31,,191000000,1000000,1376000000,117000000.0,56000000,,,746000000,-1312000000.0,199000000,205000000,,983000000,40000000.0,166000000.0,,-8000000.0,112000000,775000000,-154000000,-766000000,0.0,3172000000,-79000000,254000000,,176000000,2981000000.0,40000000.0,1669000000,588000000,8000000,,,229000000,,53000000.0,435000000,1228000000,6000000.0,175000000,,116000000,3284000000,2346000000,,48000000,5443000000,272000000,,2159000000,,224000000,,50000000,278000000,3574000000,48000000,48000000,,213000000,126000000,1368000000,-27000000,,830000000,102000000,199000000,-10000000.0,-85000000,881000000,,2894000000,,,
2002-03-31,86270679.0,199000000,1000000,1609000000,,0,,,560000000,-1312000000.0,234000000,248000000,12000000.0,1017000000,3000000.0,252000000.0,,-13000000.0,-100000000,743000000,155000000,-839000000,292000000.0,2684000000,-38000000,26000000,0.26,68000000,2980000000.0,,1668000000,476000000,35000000,,,111000000,,43000000.0,449000000,1122000000,14000000.0,-12000000,,116000000,3258000000,2236000000,85580221.0,22000000,5483000000,271000000,,2225000000,,181000000,,0,184000000,3358000000,36000000,22000000,0.26,-102000000,120000000,1576000000,-9000000,,731000000,116000000,234000000,-18000000.0,-123000000,811000000,,2500000000,,,
2002-06-30,100076636.0,234000000,1000000,1436000000,100000000.0,0,,,622000000,-1312000000.0,289000000,305000000,0.0,1059000000,,,,15000000.0,-233000000,975000000,143000000,-1053000000,0.0,3103000000,-37000000,-51000000,0.5,197000000,2751000000.0,36000000.0,1439000000,663000000,55000000,,,234000000,,37000000.0,490000000,1101000000,16000000.0,-88000000,220000000.0,123000000,3715000000,2697000000,99249886.0,50000000,5674000000,250000000,,1959000000,,191000000,,0,320000000,3798000000,50000000,50000000,0.5,-569000000,90000000,1948000000,-97000000,,761000000,123000000,289000000,-13000000.0,-34000000,767000000,,2783000000,,,
2002-09-30,100017645.0,289000000,1000000,1220000000,187000000.0,0,,,877000000,-1312000000.0,231000000,247000000,0.0,294000000,,143000000.0,,,-148000000,953000000,-114000000,-1354000000,0.0,3603000000,-57000000,179000000,0.96,364000000,2533000000.0,65000000.0,1221000000,874000000,-58000000,,,402000000,,38000000.0,575000000,1637000000,16000000.0,122000000,,132000000,3739000000,2121000000,99250814.0,95000000,5342000000,204000000,,1603000000,,162000000,,-27000000,496000000,3758000000,95000000,95000000,0.95,-138000000,125000000,1863000000,-177000000,,1308000000,132000000,231000000,4000000.0,-54000000,649000000,,3107000000,,,
2002-12-31,,231000000,1000000,1472000000,36000000.0,0,,,1305000000,-1237000000.0,470000000,482000000,4000000.0,1499000000,,239000000.0,,,-138000000,1271000000,1111000000,-1181000000,1000000.0,4684000000,-110000000,-24000000,,110000000,3293000000.0,0.0,2056000000,568000000,239000000,,,163000000,,53000000.0,653000000,2588000000,12000000.0,-134000000,,221000000,5449000000,3794000000,,88000000,8349000000,431000000,,2900000000,,349000000,,48000000,331000000,6382000000,97000000,88000000,,81000000,253000000,2407000000,110000000,,1904000000,221000000,470000000,-38000000.0,-862000000,1168000000,456000000.0,4353000000,,,
2003-03-31,100502130.0,470000000,1000000,1608000000,77000000.0,0,,,1952000000,-1237000000.0,396000000,396000000,,1483000000,60000000.0,150000000.0,,-28000000.0,-48000000,1226000000,-40000000,-1082000000,6000000.0,4884000000,-53000000,-3000000,0.4,118000000,2987000000.0,37000000.0,1750000000,737000000,-74000000,,,167000000,,49000000.0,683000000,2498000000,,-56000000,,150000000,6091000000,3947000000,99585970.0,40000000,8562000000,368000000,,2471000000,,303000000,,0,268000000,6445000000,40000000,40000000,0.4,-46000000,219000000,2401000000,8000000,,1911000000,150000000,396000000,-41000000.0,-49000000,1270000000,501000000.0,4616000000,,,
2003-06-30,100923462.0,396000000,1000000,2105000000,229000000.0,0,,,1256000000,-1237000000.0,441000000,454000000,,1185000000,51000000.0,157000000.0,,-39000000.0,225000000,1582000000,-335000000,-759000000,3000000.0,5226000000,-66000000,219000000,1.83,205000000,3110000000.0,47000000.0,1873000000,699000000,45000000,,,246000000,,41000000.0,855000000,2418000000,13000000.0,153000000,,172000000,5952000000,4016000000,99696727.0,182000000,9078000000,408000000,,3126000000,,970000000,,55000000,266000000,6434000000,182000000,182000000,1.8,-119000000,100000000,2754000000,184000000,,1910000000,61000000,441000000,-23000000.0,126000000,1370000000,550000000.0,4960000000,,,
