date,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyNetIncome,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyDilutedAverageShares,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyCurrentAssets,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyAccountsReceivable,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2009-03-31,,,-6000000,0,,,,78400000,,,-0.072498,,25300000,-10000000,231100000,,137934515.0,223100000,,-185100000,-10000000,0.0,,,,1900000,,0.0,-6000000,,-16000000,137934515.0,-9600000,-159800000,169400000,,146900000,1791500000,,,60200000,,-9400000,225000000,-10000000,95800000,0,5200000,0.0,291300000,,-0.072498,65800000,,200000000,,,,,44800000,,159800000,,1500200000,33400000,,90200000,,,,,,,,,,
2009-06-30,,,-4900000,0,,,,76500000,,,,,26700000,-2200000,233400000,,,225000000,,-203300000,-2200000,0.0,,,,-44700000,,0.0,-12400000,,-7100000,,-11700000,-176600000,104500000,,64200000,1900900000,,,79500000,,12700000,180300000,-2200000,104000000,0,6800000,0.0,312900000,,,102300000,,201200000,,,,,103400000,,92800000,,1588000000,34600000,,-133900000,,,,,,,,,,
2010-03-31,943000000.0,708100000.0,4400000,-3600000,-213500000.0,349300000.0,,75800000,114700000.0,114700000.0,0.026099,148800000.0,33700000,3600000,229200000,0.0,137934515.0,140200000,445500000.0,-224500000,3600000,0.0,0.0,0.0,1422200000.0,-25500000,-326700000.0,0.0,-15800000,,8000000,137934515.0,-8300000,-187500000,172800000,18900000.0,143600000,1810200000,1463200000.0,1156500000.0,85400000,1977600000.0,-7900000,114700000,3600000,126300000,0,-4700000,0.0,314600000,-116600000.0,0.026099,363800000,924500000.0,197900000,3448600000.0,1471600000.0,3379700000.0,5357300000.0,-84300000,1677100000.0,164500000,309500000.0,1495600000,42500000,982400000.0,-128000000,477800000.0,63600000.0,4911800000.0,,,,,,,
2010-06-30,932400000.0,662300000.0,15500000,-1800000,-230200000.0,331700000.0,,72400000,87400000.0,87400000.0,,51800000.0,28200000,9900000,238500000,0.0,,114700000,374200000.0,79300000,9900000,0.0,0.0,0.0,1093000000.0,-27300000,-316800000.0,-5500000.0,-7600000,,25400000,,-25800000,125400000,-119800000,4200000.0,-164300000,2144300000,1407000000.0,1162600000.0,97000000,2125400000.0,-31000000,87400000,9900000,129200000,500000,14700000,0.0,335500000,-192800000.0,,95100000,1000400000.0,207100000,3639900000.0,1443400000.0,3295700000.0,5421100000.0,32900000,1866500000.0,-145600000,289100000.0,1808800000,24900000,1224900000.0,-271400000,458600000.0,58000000.0,5046900000.0,,,,,,,
2013-03-31,,,-5300000,-21800000,,,,101500000,,,-0.38569,,-12100000,-53200000,396400000,,137934515.0,220900000,,-503200000,-53200000,100000.0,,,,-73800000,,,-10100000,,-58500000,137934515.0,-35700000,-14600000,-8800000,,-13000000,2490500000,,,67900000,,-32900000,147100000,-53200000,96600000,3400000,8000000,,464300000,,-0.38569,194600000,,257600000,,,,,-54400000,,-44500000,,2026200000,53600000,,-192700000,,,,,,,,,,
2013-06-30,,,-10000000,-61900000,,,,66800000,,,-0.123247,,0,-17000000,384400000,,137934515.0,147100000,,51900000,-17000000,-84800000.0,,,,57100000,,,-16500000,,-27000000,137934515.0,-47900000,71700000,117200000,,43500000,2795200000,,,99200000,,-126900000,204200000,-17000000,96300000,3200000,-8600000,,483600000,,-0.123247,202400000,,248800000,,,,,82900000,,69300000,,2311600000,56500000,,-153400000,,,,,,,,,,
2013-09-30,,,-200000,-76700000,,,,68500000,,,-0.363216,,-900000,-50100000,378800000,,137934515.0,204200000,,-10700000,-50100000,0.0,,,,5300000,,-1300000.0,-3200000,,-50300000,137934515.0,-26800000,-42100000,55100000,,-20700000,2619600000,,,92400000,,-26400000,209500000,-50100000,77900000,3600000,-4500000,,471200000,,-0.363216,-201800000,,225400000,,,,,28400000,,28300000,,2148400000,59700000,,191900000,,,,,,,,,,
2013-12-31,1097100000.0,893500000.0,5700000,-35200000,-561300000.0,162100000.0,,68700000,180400000.0,180400000.0,,177200000.0,3800000,38000000,312100000,0.0,,209500000,381300000.0,-117400000,38000000,0.0,0.0,0.0,184300000.0,-29100000,-981000000.0,0.0,-4600000,,43700000,,-30900000,-125500000,125800000,,101500000,2419300000,1590900000.0,1658400000.0,144700000,2549900000.0,-29500000,180400000,38000000,170700000,4900000,3100000,,456800000,-81700000.0,,-83500000,1021200000.0,161500000,4244800000.0,1788400000.0,3667100000.0,6217000000.0,-15300000,3657100000.0,94900000,321900000.0,1962500000,58300000,1277000000.0,163500000,682100000.0,80200000.0,5835700000.0,,,,,,,
2014-03-31,1080900000.0,1019800000.0,5400000,-15600000,-590600000.0,160600000.0,,66300000,164100000.0,164100000.0,-0.020299,164600000.0,-5300000,-2800000,390300000,0.0,137934515.0,180400000,342800000.0,-19500000,-2800000,0.0,0.0,0.0,183200000.0,-16300000,-983800000.0,,700000,,2600000,137934515.0,-24900000,63400000,-48300000,,-106200000,2516400000,1757600000.0,1671500000.0,82100000,2816600000.0,-23700000,164100000,-2800000,123200000,3600000,900000,,472400000,-122900000.0,-0.020299,177900000,1193500000.0,242600000,4317200000.0,1767800000.0,3601000000.0,6417600000.0,-132400000,3742600000.0,-73200000,326300000.0,2044000000,54300000,1430200000.0,-157900000,655100000.0,77500000.0,6074800000.0,,,,,,,
2014-06-30,1078900000.0,988200000.0,9800000,-17100000,-613700000.0,171700000.0,,67300000,163200000.0,163200000.0,0.141371,163300000.0,-300000,19500000,389300000,0.0,137934515.0,164100000,404800000.0,-20300000,19500000,-1000000.0,0.0,0.0,181800000.0,-900000,-964300000.0,,5500000,,29300000,137934515.0,-23500000,42600000,-27600000,,-113000000,2861400000,1863700000.0,1692600000.0,111200000,3026600000.0,-24000000,163200000,19500000,151300000,4000000,7700000,,500500000,-85500000.0,0.141371,133300000,1337800000.0,234500000,4357300000.0,1786100000.0,3599200000.0,6625800000.0,37900000,3785700000.0,-51100000,278100000.0,2360900000,54700000,1657100000.0,-216900000,635300000.0,76800000.0,6221000000.0,,,,,,,
