date,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyEbitda,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOperatingIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyOperatingExpense,quarterlyNetIncome,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyBasicEPS,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlySaleOfInvestment,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInWorkingCapital,quarterlyDepreciationAndAmortization,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
2006-08-31,,241000,20994000,89556000,5406000.0,37083000,37209000,469000,3389000,0.1825,0.0,142512000,93901000,-18000.0,126000.0,2335000.0,100000000.0,0.0,1157000.0,6430000,13895000,20753000,0.0,0.0,22653000,55459000,46259000.0,22653000,48611000,47357000,89556000.0,,53978000,0.0,8102000.0,0.0,17430000,194000,16121000,0.0,,8102000.0,36548000,20753000,100000000.0,13895000,20753000,0,5428000,0.2075,,87028000,,17065000,,,,,,,,,,,,,,,,,,,,,,,
2006-11-30,,62000,1104000,90410000,,148766000,148766000,273000,3214000,0.0075,0.0,255322000,95045000,1254000.0,,2686000.0,592705188.0,0.0,1456000.0,4769000,10575000,1042000,0.0,0.0,36000,45915000,47999000.0,36000,160277000,45915000,90410000.0,,21576000,0.0,,0.0,10965000,340000,15145000,0.0,,0.0,10611000,1042000,570415140.0,10575000,1042000,1023000,5203000,0.0075,,209149000,,23315000,,,,,,,,,,,,,,,,,,,,,,,
2007-02-28,-11961000.0,91000,8532000,90697000,,443434000,443434000,70000,3446000,0.055,0.0,550300000,94853000,242742000.0,,269063000.0,152238304.0,0.0,,4933000,12034000,8441000,0.0,0.0,6993000,307314000,,6993000,455447000,307314000,102658000.0,,32950000,0.0,,388000.0,13923000,395000,15875000,0.0,,0.0,19027000,8441000,146143020.0,12034000,8441000,1493000,5071000,0.0575,,242742000,,17443000,,,,,,,,,,,,,,,,,,,,,,,
2007-05-31,-17912000.0,38000,-1285000,90575000,,204378000,207384000,34000,3469000,,59540000.0,316060000,95169000,2323000.0,3006000.0,2018000.0,,0.0,1595000.0,5657000,17056000,-1193000,204378000.0,-10971000.0,-3168000,68868000,45375000.0,-3168000,220891000,68868000,108487000.0,,26197000,51409000.0,,3326000.0,12309000,537000,17965000,0.0,,0.0,13888000,-1193000,,17056000,-1193000,-2411000,6408000,,,246954000,,43228000,,,,,,,,,,,,,,,,,,,,,,,
2007-08-31,,3361000,37287000,92295000,,231096000,231096000,34000,3499000,0.2175,0.0,348276000,96880000,284938000.0,,5154000.0,156018940.0,0.0,,7645000,19762000,33926000,0.0,0.0,35619000,63114000,,35619000,251396000,63114000,92295000.0,,81098000,0.0,,2756000.0,25717000,529000,23669000,0.0,,0.0,55381000,33926000,149181240.0,19762000,33926000,1622000,7588000,0.2275,,284938000,,26646000,,,,,,,,,,,,,,,,,,,,,,,
2007-11-30,-18629000.0,199000,2167000,94166000,,247096000,247096000,80000,3557000,0.0125,0.0,365448000,98876000,295148000.0,,4685000.0,157175448.0,0.0,,7235000,17028000,1968000,0.0,0.0,-172000,70082000,,-172000,266572000,70082000,112795000.0,,32582000,0.0,,2505000.0,15726000,868000,20417000,0.0,,0.0,16856000,1968000,150163712.0,17028000,1968000,2299000,7670000,0.0125,,295148000,,37745000,,,,,,,,,,,,,,,,,,,,,,,
2008-02-29,-19388000.0,922000,12525000,99519000,,230090000,260088000,22000,3673000,0.0725,0.0,385477000,104216000,312752000.0,29998000.0,5325000.0,157333384.0,0.0,,8059000,19443000,11603000,0.0,0.0,10180000,72539000,,10180000,281261000,72539000,118907000.0,,48098000,0.0,,0.0,18475000,1157000,23361000,0.0,,0.0,29623000,11603000,150657360.0,19443000,11603000,2303000,9365000,0.0775,,312752000,,35794000,,,,,,,,,,,,,,,,,,,,,,,
2008-05-31,-26680000.0,-806000,956000,103098000,,208440000,261391000,2019000,3745000,,76708000.0,396743000,109903000,30874000.0,52951000.0,18865000.0,,0.0,1503000.0,7033000,22555000,1762000,208440000.0,-59775000.0,-56000,97886000,88509000.0,-56000,286840000,97886000,129778000.0,,40168000,65348000.0,,358000.0,17669000,880000,12775000,0.0,,0.0,22499000,1762000,,22555000,1762000,-7068000,10693000,,,298680000,,59213000,,,,,,,,,,,,,,,,,,,,,,,
2008-08-31,-26680000.0,6226000,51129000,107432000,,196885000,265824000,1347000,4207000,0.2925,0.0,412714000,116009000,318385000.0,68939000.0,9792000.0,156449100.0,0.0,,9474000,30911000,44903000,0.0,0.0,48865000,94329000,,48865000,296705000,94329000,134112000.0,,118262000,0.0,,0.0,38486000,1410000,32509000,,,,79776000,44903000,149992200.0,30911000,44903000,1863000,13071000,0.3025,1401000.0,318385000,,42554000,,,,,,,,,,,,,,,,,,,,,,,
2008-11-30,-26680000.0,411000,3475000,107988000,,182831000,269367000,1136000,4482000,0.02,0.0,417549000,117339000,327352000.0,86536000.0,4277000.0,153437244.0,0.0,,8139000,26841000,3064000,0.0,0.0,870000,90197000,,870000,300210000,90197000,134668000.0,,49430000,0.0,,0.0,21719000,1315000,25121000,,,,27711000,3064000,148852432.0,26841000,3064000,2605000,12866000,0.02,2163000.0,327352000,,52660000,,,,,,,,,,,,,,,,,,,,,,,
2009-02-28,,206000,10615000,109373000,,223955000,286504000,0,4408000,0.07,,439727000,119609000,,62549000.0,0.0,153095816.0,,,9194000,30726000,10409000,,,8688000,98059000,,8688000,320118000,98059000,,4962000.0,65449000,,,0.0,26035000,1375000,28426000,,2000.0,0.0,39414000,10409000,149185159.0,30726000,10409000,1927000,14514000,0.07,2159000.0,341668000,,55423000,,,,,,,,,,,,,,,,,,,,,,,
2009-05-31,-36609000.0,413000,3291000,109785000,,254772000,314617000,2021000,4351000,,,469402000,121675000,23403000.0,59845000.0,0.0,,,1500000.0,9295000,31158000,2640000,,,9686000,117918000,147102000.0,2497000,347727000,117761000,146394000.0,3728000.0,59426000,,,0.0,25771000,1539000,29854000,0.0,2000.0,157000.0,33655000,2878000,,31158000,2640000,-5805000,15188000,,2712000.0,351246000,157000.0,74782000,,,,,,,,,,,,,,,,,,,,,,,
2009-08-31,,5566000,62394000,112721000,,238709000,367736000,2861000,4301000,0.37,,527631000,124879000,,129027000.0,0.0,154875557.0,,,8300000,40781000,57066000,,,60931000,119640000,,60931000,402752000,119491000,,7801000.0,149364000,,,0.0,47652000,1985000,45398000,0.0,2000.0,149000.0,101712000,56828000,150592959.0,40781000,57066000,1463000,13672000,0.38,2711000.0,407991000,149000.0,57941000,,,,,,,,,,,,,,,,,,,,,,,
2009-11-30,,-296000,724000,113213000,,210574000,352240000,3050000,4266000,0.01,,514538000,125631000,,141666000.0,0.0,154578625.0,,,9110000,34283000,1107000,,,-911000,119468000,,-911000,388907000,119326000,,6189000.0,61195000,,,0.0,27823000,2039000,32930000,0.0,2000.0,142000.0,33372000,1020000,150684203.0,34283000,1107000,1635000,14577000,0.01,2712000.0,395157000,142000.0,71061000,,,,,,,,,,,,,,,,,,,,,,,
