date,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyDilutedEPS,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyEbitda,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyBasicEPS,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyOtherShortTermInvestments
2001-09-30,,5083069118.579581,842739378.566899,1085605580.215599,,6605580215.599239,578313253.012048,,181357006.975269,181357006.975269,41217501.585289,102480000.0,,2393785668.991756,270767279.644895,378566899.17565,,10779961.953075,,,4085605580.215599,,201648700.063412,181357006.975269,509828788.839569,,78630310.71655,-39315155.358275,1544705136.334813,171845275.840203,,1.743817,102480000.0,2519974635.38364,,,,,924540266.328472,394419784.400761,,,206721623.335447,206721623.335447,,199746353.836398,1595434369.055168,468611287.25428,,337983512.999366,1.75967,,,,,297400126.823082,,1522511097.019658,,1691819911.223843,,,116043119.847812,,,388712745.719721,4881420418.51617,2298668357.641091,,,,,,,,,
2001-12-31,,5329563850.048367,527956794.055202,708965763.708837,,6821441760.574882,1330891085.315142,-144229697.118936,49750990.447736,49750990.447736,14654549.369982,,,2887763676.679355,262978478.372844,100991735.448938,,23313886.494529,604950493.096647,-312583664.36366,4284649361.172879,,196983879.822611,49750990.447736,169708516.250642,2268149.158692,98991898.767572,155724077.509617,1293894112.991369,175311857.218072,-9680072.22482,,,2536792398.773854,93822344.349658,,,,621949102.375658,259978724.607093,,,604950493.096647,604950493.096647,206721623.335447,201983470.269727,878674279.95948,155053966.252512,-403257011.37231,-5603340.96743,,-4133661717.483888,451228733.201616,259027314.253374,,87491695.317532,,1491877910.526514,9266241687.709644,1396885684.493524,,236757172.087932,37740704.869796,,399159752.447475,673944846.668928,5132579970.225757,2316810401.512582,-36264507.780092,3998813.426109,,,,,,,
2002-03-31,,5505718694.589002,277733587.05875,361653087.967898,,6220033494.889962,1313739808.138441,-192815044.203398,81921417.643739,82920459.589943,15984666.750266,162922248.0,133871585.052354,2832283160.69973,200807377.892031,120884042.886701,,19980833.281083,325687587.309549,-330682795.78657,3646502129.287103,,208799710.953665,82920459.589943,304707712.082262,-999041.319205,50951125.462411,-999041.946204,1317735974.669258,149856251.802621,-15984666.750266,0.816258,162922248.0,2573531365.602859,-29971250.235124,,,,296715379.020628,59942501.097247,,,325687587.309549,325687587.309549,603421174.368299,212795877.484482,666360800.05016,288723045.331996,-302709628.816854,154851460.279641,0.816258,-4238933845.382156,-55946333.939432,109894584.613455,,133871585.052354,,714314800.927958,9535852829.017492,814218968.587372,,-134870626.998558,50951125.462411,,-278732628.377955,396619546.680043,5296918983.635338,2343751779.421907,2997125.211612,10989458.273246,,,,,,,
2002-06-30,,18022692944.939003,965287279.92087,865361060.336301,,19438647474.447742,4962336059.347181,-512664065.588887,325759475.766568,301777182.987141,132901872.073854,280453960.0,389741804.990507,9395063155.29179,1051223829.212001,70947615.56215,,67949829.212001,109918841.411144,-1045301246.41587,10892957184.965382,,1393970762.281569,301777182.987141,899335975.601714,-23982512.917524,341747670.293439,111917365.644576,3085721657.105176,515619292.44972,-36976229.392167,1.604913,285929200.0,8545690289.482361,-150895206.738169,,,2029501517.309594,1159144145.7303,-999261.457303,,-9992621.826574,109918841.411144,109918841.411144,325687587.309549,5794721467.194197,1764697035.938015,773458488.142502,-968351883.217436,383716683.151995,1.637982,-4338796449.719749,347730895.099999,455687817.628549,,427684219.58457,,1415954530.16815,18938017115.06759,1497894029.673591,,-173901391.46501,101924743.818002,,-246879285.898339,267802268.381141,14599220665.34784,2734980627.101879,12991069.974672,34976602.392761,,,,,,,
2002-09-30,,17643796542.01191,1146181669.764658,904143306.764122,,19399074753.158375,5233829561.76554,-446703510.793078,116018388.83463,129020449.891308,142022510.317885,302520064.0,364527380.56928,9444496952.837025,884140136.101572,134021242.556945,,71011255.473993,271042960.209193,-740351397.134695,10992742349.642418,,1138180402.003718,129020449.891308,912144575.155162,-8023676.852398,338053581.802716,-98015535.742415,3037481441.038405,530084018.146876,-23051151.997197,0.661132,305946256.0,8406332403.515957,75849812.255106,,,1939307380.359787,1303206558.079456,0.0,,112017754.95416,271042960.209193,271042960.209193,109918841.411144,5553880289.845941,1816287881.919284,770122064.837277,-892281377.603718,382060557.008286,0.676885,-4145657086.418197,481337978.772012,445577866.81064,,212033607.63681,,1755278211.776567,18711965846.0666,1548245396.805394,,-209310097.411799,89014108.566208,78095723.418399,189558650.043913,111017596.168993,14566308759.648403,2711429761.507199,45021474.326334,14043450.691543,,,,,,,
2002-12-31,,17171563929.594553,1303587318.253711,1025687933.600429,,19895701538.451767,4697512889.456333,-352341086.308451,267672935.447896,275674678.953162,172797525.329539,,479426293.053845,8669255539.252117,370882588.562608,412869296.390165,,113891722.07416,134957275.885944,-463847741.866059,11133475431.141262,,239924046.725232,275674678.953162,1162637926.473996,-49968501.530242,344890816.294123,61973253.867206,3310951838.583252,652223819.013484,-29954405.735401,,,8762226107.310505,342941324.101537,,32985756.400774,1833419586.993667,1518519276.381399,940702198.423436,,121961390.0693,134957275.885944,134957275.885944,271042960.209193,5626218885.098869,2188325860.074426,989840400.514357,-974663699.280312,510414107.460512,,-2626168623.079317,-298272864.836823,622322612.971861,,415509722.864187,,2724137608.857214,17724388918.95497,2464219891.889145,,-249674832.247939,153837738.236996,252838707.338382,-140795777.57006,532831319.117582,15098220295.875652,2975058174.057206,-60009985.841676,27962638.981328,,,,,,,
2003-03-31,,17930817742.440964,1569384439.084876,1324168119.881726,,20036675433.648094,3997526433.797981,213188064.287564,669590681.846053,848748727.329709,167147449.890311,282363562.0,507447646.786303,8089135863.685293,397350524.60178,68060039.651719,,59052092.95671,186164225.565139,-24021190.505389,9821664220.11473,,312275475.207456,844745195.46526,1508330580.195942,-9007946.695009,318280772.322828,200176586.409407,3694258905.285533,674595096.676614,-33029136.519097,3.462031,286482222.0,10215011212.852062,473417627.301094,,,1763555727.697611,1664468317.45902,0.0,,-212187182.002752,186164225.565139,186164225.565139,144127142.351034,6365615453.269564,2832498700.077668,1341183130.305632,-1080953567.973402,833735483.519329,3.513163,-2816484573.301176,-1227082475.575359,1294141632.260966,,975860859.256837,,2105857690.525828,18671471112.837074,1732528357.110739,,-4003531.864448,306270177.410784,282248986.905395,42037083.214106,0.0,15854986539.535898,4011538795.32355,36031786.098734,30026488.302062,,,,,,,
2003-06-30,,19450057394.319145,1163292940.503942,1136216294.228571,,21977211023.177776,4544865176.914282,67606782.703483,789234089.593015,791239767.479844,174493941.261192,260825649.0,578626710.665181,8795898602.800339,419186593.713344,111315100.446926,,62176001.870852,301854461.090736,208543518.973518,10576940208.466347,,404144013.274139,784219895.618346,1235497329.581731,-11048828.461267,484371112.414438,178505296.292447,3831846832.172712,713018345.483972,-47197962.621202,4.125896,260825649.0,11400270814.71143,-817391315.106407,,,1833189219.587522,1565431275.891253,423197948.744599,,-655856536.845387,301854461.090736,301854461.090736,186164225.565139,6933627059.793018,2371713623.810302,1101105694.76294,-1169416568.925438,522478984.097759,4.181985,-3068686549.169253,467933548.345556,1237023351.628921,,638808278.519354,,2527153628.858632,20281410710.626736,1781041604.923607,,32083016.340833,-150425811.073661,-80678400.111233,123431309.041162,104295228.585428,17212724161.45748,5122500292.506199,24138538.627691,59226159.844162,,,,,,,
2003-09-30,,20364648509.432983,957901604.827795,1035812266.948682,,22343379561.741497,5252976579.867916,-314755905.142019,294662120.147615,295660975.32115,169805290.015309,255531852.0,549050697.090474,9641943891.670425,412526968.502481,36957622.192476,,63926697.086905,247715952.136196,-855752650.099285,11285059783.16336,,464467410.902475,295660975.32115,1268545399.616912,6072810.122293,773113495.34452,18978237.943454,3976440343.300029,723170763.291598,-49624004.64103,1.51475,259364290.0,11058319778.578136,215121438.457967,,,1825906291.368689,1452334654.666203,0.0,,-651253228.514166,247715952.136196,247715952.136196,301854461.090736,405534985.98549,2304357666.565595,1098740109.601603,-1358491697.042158,545374636.325314,1.533165,-3057494069.532677,61948385.138202,1043735791.900139,-570850829.481929,500426177.181863,,1978731052.308512,21131768876.694496,1643115891.492934,,55824305.72751,205764057.034249,150026248.662918,-52597817.549424,153823614.634255,18074274807.16182,4998268645.214729,1758662.75296,11631671.133157,,,,,,,
2003-12-31,,22022000000.0,1367000000.0,1180095788.251477,,24110000000.0,6088000000.0,-963038941.849028,379050184.518219,354299872.057508,193601311.225659,,586874945.458042,10901000000.0,451000000.0,287000000.0,,97217617.607254,148000000.0,-1472769678.368844,12832000000.0,,566000000.0,354287273.049986,1360705116.960146,2983965.033982,573000000.0,131475321.889999,4362000000.0,969476256.683701,-9148896.218671,,,11278000000.0,-178147750.652655,,,1911000000.0,1579000000.0,0.0,,679000000.0,148000000.0,148000000.0,247715952.136196,5305000000.0,2540800905.211623,978103805.734486,-1699138166.059001,391228860.276445,,-8869000000.0,439200542.091601,736099224.209974,-172797166.776367,444485418.993174,,2088000000.0,28414000000.0,1931000000.0,,-167903790.203894,65435234.474955,149403164.54292,-80870574.705843,65000000.0,19545000000.0,5276000000.0,-86928987.479385,13115680.720619,,,,,,,
