date,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentAssets,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2014-12-31,1465479000,646773000,646773000,14708000,2583000.0,0,63532000,592820000,-3551892000.0,63885000,4144712000,329571000,-1093800000.0,,74780000,1089031000,195019000,901038000,183031000,1990069000,81690000,0.0,93988000,524590000,11988000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,1528960000,334937000,491637000,13390000,0.0,0,58169000,650287000,,60274000,650287000,296764000,,156700000.0,87923000,1149968000,188351000,864107000,183068000,2014075000,62096000,0.0,85061000,485115000,5283000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,1490690000,510441000,510441000,8516000,41796000.0,0,66280000,651300000,-3418532000.0,53881000,4069832000,277926000,-992003000.0,,58192000,1113903000,143117000,797830000,137871000,1911733000,42750000,0.0,107081000,421043000,5246000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,1486147000,457909000,457909000,6987000,61195000.0,0,58442000,699512000,,51753000,699512000,298127000,-973452000.0,,76887000,1151272000,143132000,776134000,137063000,1927406000,42750000,0.0,101270000,441259000,6069000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,1488686000,341255000,341255000,8176000,125547000.0,0,64790000,676588000,-3284327000.0,35863000,3960915000,237945000,-912580000.0,,81706000,1111870000,100033000,714794000,90757000,1826664000,1874000,0.0,95199000,337978000,9276000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,1555263000,241437000,241437000,8282000,202834000.0,0,60999000,735161000,,38880000,735161000,252968000,-890376000.0,,78437000,1183375000,92704000,717560000,89373000,1900935000,4133000,0.0,100875000,345672000,3331000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,1695205000,374890000,374890000,7411000,,0,68124000,754096000,-3593635000.0,40523000,4347731000,336839000,-822287000.0,,71207000,1224874000,46262000,853432000,32139000,2078306000,60751000,,115578000,383101000,14123000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,1724405000,836722000,1026856000,6693000,,0,66561000,789157000,,42205000,789157000,350848000,,190134000.0,74089000,1267152000,38326000,1403292000,29471000,2670444000,60694000,,127997000,389174000,8855000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,2155256000,777000000,1444033000,9571000,,0,79470000,832169000,-3538168000.0,44406000,4370337000,329569000,,667033000.0,121910000,1304199000,44373000,1774075000,26227000,3078274000,4371000,,129629000,373942000,18146000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,2196505000,834678000,834678000,12198000,,0,76966000,1113208000,,55335000,1113208000,436689000,-669246000.0,,111121000,1673860000,48857000,1871040000,24001000,3544900000,4364000,,139128000,485546000,8203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
