date,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyFreeCashFlow,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyOperatingCashFlow,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2016-06-30,-1006319000,1666695000,140597000,11371000.0,366850000,0.0,19701000.0,11378717000,337286000,29564000,-1334773000,2932134000,-7802000,1865000.0,,,727321000,797692000,167583000,-155000,9953094000,0.0,339640000,525815000,354200000,184560000,10651396000,443515000,562000.0,140597000,5536768000.0,140597000,106229000,2.52,0.0,706069000,-6600000,-808248000,87600000,513742000,53579000,283906000,-799220000.0,1666695000,252603000.0,1666695000,,,17764000,194176000,-998626000.0,1778054000,55832000.0,175276000,2.52,-7693000,1883659000,39607000,,0.0,7638335000,10570469000,-18864000.0,0.0,-137540000,,1054680000,55832000.0,612015000,135078000,557000,,,,,,
2016-09-30,-270033000,1586994000,192288000,14487000.0,393717000,0.0,-9728000.0,11377767000,357148000,36569000,-1146963000,2930697000,-48181000,1319000.0,,565686000.0,752603000,875223000,210519000,13616000,9943191000,0.0,226095000,576339000,390900000,189718000,10625164000,484319000,20446000.0,192288000,5679452000.0,192288000,127171000,,0.0,724011000,-8200000,-651490000,103200000,492255000,16806000,310580000,-13269000.0,1586994000,252416000.0,1586994000,,,-39011000,209094000,-256058000.0,1764343000,,224494000,,-13975000,-34200000,41205000,-255106000.0,29191000.0,7795580000,10726277000,-42766000.0,0.0,-149787000,,-79701000,,1666695000,156075000,558000,,,,,,
2016-12-31,-51809000,972360000,22900000,10020000.0,356572000,-1375998000.0,32141000.0,11911747000,318524000,38048000,-2394489000,2235418000,27204000,-493000.0,,,698918000,814018000,203984000,8365000,10555947000,0.0,305411000,512784000,369800000,141216000,11212829000,444255000,-26200000.0,118871000,5687248000.0,118871000,125731000,0.41,0.0,715381000,-1500000,-1874625000,100200000,515666000,20050000,314557000,-544998000.0,972360000,263997000.0,972360000,,,-143000,138921000,-30002000.0,1735331000,56524000.0,225791000,0.41,-21807000,-784717000,64568000,,0.0,7801704000,10037122000,59812000.0,0.0,-139064000,,-614634000,56524000.0,1586994000,129510000,558000,,,,,,
2017-03-31,-95508000,985389000,155505000,11106000.0,405133000,0.0,13620000.0,12226091000,370254000,34879000,-2248578000,2320429000,-51240000,839000.0,,,732639000,873232000,148080000,-1469000,10839282000,0.0,329663000,573952000,382100000,135257000,11493452000,491088000,8655000.0,155505000,5739699000.0,155505000,120834000,2.78,0.0,725025000,-3900000,-2038764000,98700000,518913000,59508000,319403000,-16151000.0,985389000,263973000.0,985389000,,,-10602000,215013000,-78879000.0,1748544000,55894000.0,164709000,2.78,-16629000,-56883000,59252000,,0.0,7866898000,10187327000,-56704000.0,-339833000.0,-128835000,,13029000,55894000.0,972360000,139003000,560000,,,,,,
2017-06-30,-123556000,970556000,169053000,11581000.0,428025000,-36000.0,5705000.0,12211881000,391101000,36924000,-2088761000,2387030000,-58471000,-76000.0,,,730717000,907667000,147481000,-7221000,10828200000,0.0,319569000,606005000,385900000,153499000,11481164000,521771000,5203000.0,169053000,5800618000.0,169053000,130670000,3.08,0.0,743579000,-3500000,-1895445000,107100000,499465000,66015000,326325000,-16151000.0,970556000,264068000.0,970556000,,,-32000,235068000,-106321000.0,1752614000,54890000.0,164716000,3.08,-17235000,-61014000,49849000,,0.0,7929406000,10316436000,-24303000.0,-49988000.0,-112696000,,-14833000,54890000.0,985389000,147080000,560000,,,,,,
2017-09-30,-16130000,650561000,90172000,12817000.0,437596000,-1205518000.0,9447000.0,12926865000,406422000,31174000,-3187220000,2133552000,-3845000,-1188000.0,,617240000.0,870994000,909369000,218175000,5452000,11393620000,0.0,189697000,636127000,381900000,161302000,12055871000,527513000,1988000.0,185112000,5745338000.0,153458000,121091000,,0.0,730681000,2400000,-2951204000,103100000,500949000,63316000,324924000,-1236245000.0,650561000,369041000.0,650561000,,,-6794000,248428000,-788000.0,1717862000,,233517000,,-15342000,-541068000,53985000,-292316000.0,38044000.0,7842109000,9975661000,-33474000.0,0.0,-85143000,,-319995000,,970556000,148761000,561000,,,,,,
2017-12-31,-15290000,857862000,258627000,11113000.0,384777000,-56148000.0,6432000.0,12711840000,354138000,30639000,-2876954000,2271333000,102753000,-170137000.0,,,823421000,847960000,277521000,-12508000,11378320000,0.0,296013000,556743000,371300000,170660000,11888419000,476650000,-4428000.0,312011000,5751093000.0,314775000,122512000,4.65,0.0,743868000,-1100000,-2599713000,105400000,339439000,-121047000,327253000,-815631000.0,857862000,368924000.0,857862000,,,-362000,190964000,0.0,1697432000,55600000.0,292811000,4.65,-15290000,-70987000,65016000,,13439000.0,7840794000,10112127000,81175000.0,,-61743000,,207301000,55600000.0,650561000,145045000,563000,,,,,,
2018-03-31,-8228000,1011007000,196278000,11590000.0,441987000,0.0,5913000.0,12704014000,411017000,30970000,-2684832000,2470104000,-92985000,3545000.0,,,812835000,933070000,145279000,-3829000,11365790000,,292146000,644985000,399000000,166047000,11891179000,534074000,3804000.0,201840000,5758705000.0,196278000,123057000,3.53,,767232000,-1900000,-2309337000,105600000,359342000,45347000,352456000,-17421000.0,1011007000,368980000.0,1011007000,,,-1793000,247187000,-50320000.0,1700409000,55605000.0,160873000,3.53,-15594000,-1021000,113003000,,,7924573000,10394677000,-75311000.0,,6519000,,153145000,55605000.0,857862000,151709000,565000,,,,,,
2018-06-30,-551155000,1853373000,217246000,13708000.0,474921000,0.0,9744000.0,13902957000,440996000,33925000,-2471575000,3385402000,-37351000,-191000.0,,,817170000,980662000,218013000,-5655000,12516010000,,285484000,658168000,411142000,212097000,13085787000,569520000,1348000.0,217391000,6209247000.0,217246000,128524000,3.91,,815251000,-3700000,-2098480000,109300000,357680000,48150000,380475000,-11322146000.0,1853373000,375749000.0,1853373000,,,-7749000,265541000,-531942000.0,1715074000,55597000.0,237226000,3.91,-19213000,1161562000,114279000,,,8419075000,11804477000,-6725000.0,,-23717000,,842366000,55597000.0,1011007000,155937000,567000,,,,,,
2018-09-30,-108904000,2073017000,228763000,22070000.0,490715000,0.0,6435000.0,14005938000,456405000,34310000,-2246578000,3657287000,23011000,15143000.0,,727975000.0,900382000,1049434000,308019000,11184000,12501946000,,214601000,704310000,452152000,204114000,13105556000,597266000,17351000.0,230294000,6223290000.0,228763000,140861000,,,805292000,-800000,-1808471000,122200000,399496000,51571000,388333000,-19107000.0,2073017000,375336000.0,2073017000,,,-928000,281865000,-85357000.0,1788404000,,331263000,,-23244000,-3954000,42867000,-339642000.0,528000.0,8540180000,12197467000,-42950000.0,,4100000,,219644000,,1853373000,173603000,569000,,,,,,
2018-12-31,-52523000,2337316000,171733000,17730000.0,463201000,-24309000.0,6103000.0,14056171000,427783000,35418000,-2050727000,3926618000,74592000,3000.0,,,951266000,993302000,306083000,-25393000,12507616000,,399747000,657684000,429200000,222241000,13104905000,564117000,2897000.0,196042000,6228913000.0,196042000,136334000,3.05,,838705000,-5900000,-1666893000,116300000,375048000,53722000,395970000,0.0,2337316000,375509000.0,2337316000,,,-260000,249764000,-28718000.0,1772554000,56266000.0,329888000,3.05,-23805000,-10395000,39179000,,,8462660000,12389278000,45413000.0,,-80993000,,264299000,56266000.0,2073017000,176010000,570000,,,,,,
2019-03-31,-3560259000,2828902000,202408000,20543000.0,533665000,0.0,10617000.0,19279403000,492857000,40808000,-1851113000,5595529000,-143969000,-7522000.0,,,1726193000,1195938000,103510000,-19758000,16509181000,,659638000,1141249000,536600000,385854000,17553210000,659320000,-1750000.0,202632000,8614316000.0,202408000,166463000,3.6,,1453044000,-21000000,-1491778000,143400000,658175000,64552000,737599000,-588214000.0,2441336000,747969000.0,2441336000,,,-1493000,267184000,-3540660000.0,2724452000,56265000.0,123109000,3.6,-19599000,3925221000,86288000,,,12201627000,17797156000,-52639000.0,,-157037000,,491586000,56265000.0,2337316000,318586000,573000,,,,,,
2019-06-30,-424583000,2716812000,144450000,31809000.0,554403000,0.0,116366000.0,19013212000,483085000,71318000,-1709790000,5411195000,-61413000,12669000.0,,,1380640000,1658319000,278342000,-54891000,16495885000,,689378000,1162345000,896800000,495685000,17632572000,761474000,-8583000.0,144610000,8684663000.0,144450000,278389000,2.57,,1413934000,-36211000,-1321244000,236500000,641002000,60909000,745538000,-19107000.0,2716812000,380814000.0,2716812000,,,567000,205519000,-387566000.0,2734014000,56265000.0,315359000,2.57,-37017000,-3186000,64413000,,,12291403000,17702598000,-58120000.0,,-175775000,,-112090000,56265000.0,2828902000,310448000,575000,,,,,,
2019-09-30,148385000,1467486000,260158000,23280000.0,678950000,-1687910000.0,-63459000.0,19139814000,600794000,78156000,-3119956000,4865247000,-82957000,-5499000.0,44370000.0,1183334000.0,1538756000,1375644000,225946000,64330000,16469221000,,299767000,1067603000,551300000,691020000,17601058000,824360000,5804000.0,297595000,7820103000.0,346870000,223566000,,,1232649000,-16805000,-2894905000,173600000,440817000,42803000,756757000,-19107000.0,1467486000,429732000.0,1467486000,,,73000,340398000,-19211000.0,2743820000,,247116000,,-21170000,-1640287000,68804000,-426577000.0,169958000.0,11389484000,16254731000,-16922000.0,,-378981000,,-1249326000,,2716812000,276590000,576000,,,,,,
