date,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyAccountsReceivable,quarterlyInventory,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2008-12-31,4202124000,1376483000,5956000,171909000.0,,2922857000,7124981000,,1382439000,,0.0,,551467000,8383000.0,34047000,5742542000,0.0,-2198838000.0,10803000.0,3272859000,8562000.0,3272859000,4327727000.0,5956000.0,513003000,2128889000,5685000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,4574468000,1913079000,4597000,0.0,,3450155000,8024623000,0.0,1917676000,,0.0,,467359000,13211000.0,34047000,6106947000,,,51004000.0,3550217000,50000000.0,3340217000,,4597000.0,585338000,2249215000,0.0,210000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,4492591000,1679619000,20358000,,,3661212000,8153803000,0.0,1699977000,,0.0,,687988000,12878000.0,34047000,6453826000,17119000.0,-2424091000.0,0.0,3384415000,0.0,3384415000,4783119000.0,3239000.0,1649187000,2359028000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,4894184000,2442618000,25829000,,,4021671000,8915855000,0.0,2468447000,,0.0,,661062000,11929000.0,34047000,6447408000,23950000.0,,2908000.0,3554427000,,2451427000,,1879000.0,2357682000,2602629000,0.0,1103000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,4401669000,2903897000,17251000,,,5179016000,9580685000,0.0,2921148000,,0.0,400995000.0,1139147000,10705000.0,34047000,6659537000,17251000.0,-2678600000.0,4673000.0,2427362000,165639000.0,2427362000,6055095000.0,0.0,2675626000,3376495000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,4598859000,4981146000,254503000,0.0,,7331600000,11930459000,0.0,5235649000,86840000.0,0.0,,1005642000,9083000.0,34047000,6694810000,167663000.0,,25711000.0,2675826000,1675404000.0,2675826000,,,1233340000,5061006000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,4617020000,5086579000,1839918000,,,9120372000,13737392000,0.0,6926497000,1511915000.0,0.0,513305000.0,1274163000,1280209000.0,34047000,6810895000,165181000.0,-3037541000.0,17608000.0,2369050000,1584217000.0,2369050000,8616926000.0,,1195779000,5579385000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,6184191000,6694478000,2055247000,0.0,,9853201000,16037392000,0.0,8749725000,1705346000.0,0.0,651306000.0,955418000,1348420000.0,34047000,7287667000,163198000.0,,26290000.0,3816596000,2398246000.0,3816596000,,,1497205000,6346037000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,4917253000,4948183000,3920562000,,0.0,11622560000,16539813000,0.0,8868745000,3562321000.0,0.0,512579000.0,1284940000,6937000.0,0,7671068000,161111000.0,-3725689000.0,4664000.0,2290809000,408558000.0,2290809000,13064100000.0,,1441944000,9338411000,2995557000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,5364523000,6307547000,4152650000,3469982000.0,,13165617000,18530140000,0.0,10460197000,3785584000.0,0.0,758212000.0,1225608000,6101000.0,0,8069943000,159084000.0,,22980000.0,2034568000,1359972000.0,2034568000,10757492000.0,,1596172000,10757492000,3238032000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,4507582000,5336020000,5489604000,,0.0,14460210000,18967792000,0.0,10825624000,5101644000.0,0.0,548101000.0,1513512000,16571000.0,0,8142168000,156989000.0,-4045747000.0,5941000.0,1413929000,902341000.0,1413929000,16345534000.0,,1409968000,12299787000,2914704000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,5539407000,6502676000,3783731000,3934129000.0,,15652182000,21191589000,0.0,10286407000,3372074000.0,0.0,717486000.0,1040075000,16281000.0,0,10905182000,154965000.0,,0.0,2615349000,2162862000.0,2615349000,13389064000.0,,1497337000,13389064000,2773481000.0,580000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,5088343000,5720746000,4706925000,,,16176066000,21264409000,0.0,10427671000,4280095000.0,0.0,487418000.0,1129306000,28614000.0,0,10836738000,188845000.0,-5100498000.0,324099000.0,2214831000,1556273000.0,1804022000,18892830000.0,,1054204000,13792332000,3026862000.0,410809000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,6046892000,6904660000,3690575000,4440557000.0,,16018907000,22065799000,0.0,10595235000,3241128000.0,0.0,665078000.0,923205000,2259857000.0,0,11470564000,197741000.0,,576710000.0,576710000,2596490000.0,576710000,13422719000.0,,1440276000,13422719000,2769501000.0,576710000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
