date,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetPPE,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyBeginningCashPosition,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyAccountsPayable,quarterlyBasicEPS,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyChangeInInventory,quarterlyGoodwill
2005-09-30,,,,,,,67362000,16317000,,,,,,,,,,114282812.0,,,,0.142777,,,16317000,,,,34399000,,,,,,,,,,,,,114282812.0,,0.142777,32241000,,95824000,,,,,,58278000,,,,,,63583000,,1652000,,,,,,,,,,,,,,,,
2005-12-31,-16529000.0,,-17946000.0,-19861000.0,,29313000.0,-55086000,12557000,,,2622484000.0,,-8494000.0,,,,,,,,0.0,,116776000.0,9452000.0,12557000,,2904647000.0,108282000.0,28919000,108282000.0,2223500000.0,,,29461000.0,,,,,-14002000.0,,2497922000.0,,,,42528000,2622484000.0,106597000,108282000.0,-19861000.0,,1297000.0,-1417000.0,71989000,,,,-97791000.0,,64069000,-97791000.0,1612000,,,-23500000.0,,0.0,,,,,,,,,,,
2006-03-31,8097000.0,,85892000.0,-122316000.0,,43106000.0,53313000,12492000,34943000.0,,,,6682000.0,,,,,114282812.0,,,,0.109308,108282000.0,-79210000.0,12492000,,,,28054000,,,,,25783000.0,,,,,2413000.0,,,114282812.0,,0.109308,41459000,,102610000,114964000.0,-122316000.0,,2418000.0,-4205000.0,67242000,,,,,,61151000,,1705000,,,0.0,,0.0,,,,,,,,,,,
2006-06-30,-22408000.0,,-25299000.0,-16024000.0,,26861000.0,32967000,9354000,23503000.0,,,,-14462000.0,,,,36165000.0,114282812.0,,,,0.04663,114964000.0,10837000.0,5329000,,,,30001000,,,,,26901000.0,67402000.0,,,,-10899000.0,,,114282812.0,,0.04663,38138000,,103567000,100502000.0,-16024000.0,,63818000.0,-2891000.0,90801000,,32967000.0,,,,29264000,,1431000,,,0.0,,0.0,,,,,,,,,,,
2006-09-30,-4299000.0,,-4299000.0,-14963000.0,,38071000.0,-69019000,-25706000,,,2690836000.0,,18809000.0,,,,,114282812.0,,,0.0,-0.224933,100502000.0,23108000.0,-25706000,,3002164000.0,119311000.0,28508000,119311000.0,2305500000.0,,,32536000.0,,,,,9846000.0,,2593300000.0,114282812.0,,-0.224933,23592000,2690836000.0,104864000,119311000.0,-14963000.0,,-36893000.0,0.0,56128000,,,,-52772000.0,,81272000,-112772000.0,10415000,,,0.0,,0.0,,,,,,,,,,,
2006-12-31,-149323000.0,,1794786000.0,-1948143000.0,,38582000.0,-58239000,-29068000,,,6056096000.0,2789702000.0,-114775000.0,,,,,,,,1150000.0,,119311000.0,-1909561000.0,-29068000,,6200118000.0,4536000.0,35588000,4536000.0,,,,42757000.0,,415000.0,,,1250000.0,,3153836000.0,,2827637000.0,,7178000,6088617000.0,122622000,4536000.0,-1948143000.0,,21157000.0,-7837000.0,49935000,,,,-34392000.0,,115444000,2111773000.0,34513000,,-32521000.0,-141500000.0,,-2101446000.0,,,,,,,,,,,
2007-03-31,-6003000.0,,-29804000.0,-13471000.0,,42589000.0,-3273000,-3273000,0.0,,6015208000.0,2778607000.0,-686000.0,,,,,115005860.0,,31413000.0,1150000.0,-0.03,4536000.0,29118000.0,-3273000,,6153841000.0,3850000.0,38302000,3850000.0,,,-4260000.0,51121000.0,,-11473000.0,,6696000.0,2436000.0,,3149679000.0,115005860.0,2812989000.0,-0.03,33523000,6098846000.0,127575000,3850000.0,-13471000.0,,-7695000.0,-13801000.0,84644000,,,,-57791000.0,,94052000,2076477000.0,5042000,,-83638000.0,-41500000.0,,0.0,,,,,,,,,,,
2007-06-30,-39154000.0,0.0,70565000.0,-45078000.0,21386000.0,36624000.0,-1802000,-1260000,0.0,,6009789000.0,2927497000.0,62111000.0,0.0,,12735000.0,34996000.0,114861872.0,12594000.0,29042000.0,1142000.0,-0.01,3850000.0,-8454000.0,-1260000,6202856000.0,6282268000.0,65961000.0,38313000,65961000.0,,,-1444000.0,30557000.0,91753000.0,31200000.0,,-3216000.0,-4793000.0,,3314702000.0,114861872.0,33512000.0,-0.01,36139000,6143924000.0,126749000,65961000.0,-45078000.0,,5729000.0,-20126000.0,87005000,,-1802000.0,79412000.0,-104314000.0,3243655000.0,55614000,2072584000.0,5120000,4818000.0,-134135000.0,-104000000.0,71047000.0,0.0,0.0,268456000.0,,,,,,,,,
2007-09-30,-9030000.0,,-94942000.0,-14029000.0,,45059000.0,-2785000,-2785000,,,5973188000.0,2965471000.0,-63912000.0,,,12611000.0,,110956113.0,,26936000.0,1098000.0,-0.03,65961000.0,31030000.0,-2785000,,6122323000.0,2049000.0,41504000,2049000.0,,,-4012000.0,71348000.0,,-33903000.0,-105030000.0,14857000.0,6023000.0,,3356010000.0,110956113.0,3017374000.0,-0.03,37292000,6157953000.0,130932000,2049000.0,-14029000.0,,-23136000.0,-19982000.0,108640000,,,,-203075000.0,,93640000,1908906000.0,5862000,,-184765000.0,72500000.0,,0.0,,,,,,,,,,,
2007-12-31,-48642000.0,,73487000.0,-100226000.0,,30533000.0,-11371000,-5690000,,,6022056000.0,,3794000.0,,,13963000.0,,,,24313000.0,1098000.0,,2049000.0,-69693000.0,-5690000,,6189968000.0,5843000.0,42497000,5843000.0,,,-14136000.0,55406000.0,,-101163000.0,0.0,-3126000.0,-2444000.0,,3566365000.0,,3154418000.0,,34278000,6264170000.0,132964000,5843000.0,-100226000.0,,-16739000.0,-19221000.0,91627000,,,,-89812000.0,,98686000,1829839000.0,134221000,,-242114000.0,-51700000.0,,0.0,,,,,,,,,,,
