date,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue
1984-03-31,376420000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,435400000,435400000,435400000,,,,,,,,,,,,,,376420000.0,,,,,,,,,,,,,,0.055,,,19600000,,,,,,,,
1984-06-30,376420000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,402700000,402700000,402700000,,,,,,,,,,,,,,376420000.0,,,,,,,,,,,,,,0.05,,,19100000,,,,,,,,
1984-09-30,376420000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.095,,,,,,,,,,530900000,530900000,530900000,,,,,,,,,,,,,,376420000.0,,,,,,,,,,,,,,0.095,,,35300000,,,,,,,,
1984-12-31,,,,,6800000.0,,15300000.0,-259100000.0,108400000.0,,,186000000.0,,,196200000.0,,,,642600000.0,,,79300000.0,,737200000.0,1122500000.0,,,87900000.0,87900000.0,,,,,,,523500000,-1149100000,-1149100000,,461600000.0,,,,,,,901700000.0,,385300000.0,,203000000.0,,,,,582900000.0,,,,660900000.0,,,125200000.0,,,,25000000.0,,34800000,,,258600000.0,30400000.0,,,,
1985-03-31,376420000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,488200000,488200000,488200000,,,,,,,,,,,,,,376420000.0,,,,,,,,,,,,,,0.06,,,22700000,,,,,,,,
1985-06-30,376420000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,441800000,441800000,441800000,,,,,,,,,,,,,,376420000.0,,,,,,,,,,,,,,0.06,,,22100000,,,,,,,,
1985-09-30,376420000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,,,,,,,,547700000,547700000,547700000,,,,,,,,,,,,,,376420000.0,,,,,,,,,,,,,,0.085,,,39500000,,,,,,,,
1985-12-31,,,,,9600000.0,,17100000.0,-296400000.0,,,,192700000.0,,,185700000.0,,,,701800000.0,,,66200000.0,,785100000.0,1197400000.0,,,110600000.0,110600000.0,,,,,,,540900000,-1210300000,-1210300000,,469500000.0,,,,,,,998200000.0,,412300000.0,,195300000.0,,,,,651100000.0,,,,727900000.0,,,110200000.0,,,,164000000.0,,35500000,,,274200000.0,32400000.0,,,,
1986-03-31,376420000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,508000000,508000000,508000000,,,,,,,,,,,,,,376420000.0,,,,,,,,,,,,,,0.075,,,27000000,,,,,,,,
1986-06-30,376420000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,450200000,450200000,450200000,,,,,,,,,,,,,,376420000.0,,,,,,,,,,,,,,0.065,,,24600000,,,,,,,,
