date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyDilutedEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyBasicAverageShares,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyBasicEPS,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyTaxProvision,quarterlyDilutedAverageShares,quarterlyOtherCurrentLiabilities,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredRevenue
2001-03-31,92029000.0,,,4774000.0,,31214000.0,2283000,15171000.0,0.0775,3904000,334483000.0,2029000.0,,303269000.0,3106000.0,,107200000.0,3689000.0,7054000.0,,45436000.0,12166000,3904000,3904000,,-8000,,,90000000.0,2689000.0,8120000,,5389000,12671000.0,-1838000.0,17251000.0,,0.0,4091000.0,,227283000.0,-66000.0,0.0775,,278000.0,-43233000.0,12671000.0,12671000.0,,100000.0,2678000,,,-464000.0,2062000.0,,7963000.0,92460000.0,227283000.0,6546000.0,-1772000.0,342813000.0,6777000,20286000,12671000.0,299580000.0,187000.0,45436000.0,10320000.0,9883000,,,-15158000.0,,,,
2001-06-30,121522000.0,,,6474000.0,,55222000.0,1848000,37054000.0,0.16,7394000,387418000.0,2022000.0,,332196000.0,2657000.0,,158576000.0,3673000.0,-10439000.0,,45436000.0,13177000,7394000,7394000,,8000,,,119500000.0,3146000.0,8469000,,4505000,37931000.0,-2801000.0,15400000.0,,12671000.0,7394000.0,,228842000.0,0.0,0.16,,482000.0,-45770000.0,37931000.0,37931000.0,,100000.0,1286000,,,-776000.0,2095000.0,,18786000.0,-2464000.0,228842000.0,9275000.0,-2801000.0,374293000.0,8672000,21646000,25260000.0,328523000.0,,45436000.0,31713000.0,11329000,,,3098000.0,,,,
2001-09-30,122475000.0,,,4552000.0,,25223000.0,2413000,7838000.0,0.1225,5663000,358297000.0,2073000.0,,333074000.0,2743000.0,,130313000.0,3180000.0,-3373000.0,,45436000.0,12461000,5663000,5663000,,0,,,120402000.0,3565000.0,9317000,-6520000.0,5156000,6763000.0,-33294000.0,15678000.0,,37931000.0,5663000.0,,227984000.0,0.0,0.1225,,491000.0,-48515000.0,6763000.0,6763000.0,,216000.0,1642000,8848000.0,,-859000.0,2760000.0,,-6620000.0,2464000.0,227984000.0,8746000.0,-4194000.0,369561000.0,7305000,21778000,-31168000.0,321046000.0,,45436000.0,1297000.0,10048000,,,0.0,,,,
2001-12-31,145525000.0,,,11197000.0,,30857000.0,2411000,26759000.0,,4786000,399444000.0,4763000.0,,368587000.0,3242000.0,,172284000.0,14286000.0,4256000.0,,,10936000,4786000,4786000,,829000,,,140762000.0,3388000.0,11408000,-6694000.0,5653000,13831000.0,-25337000.0,13822000.0,101452000.0,6763000.0,4786000.0,,224910000.0,66000.0,,,330000.0,-51326000.0,13831000.0,13831000.0,,,1326000,24921000.0,,9168000.0,12476000.0,,14464000.0,-3098000.0,123458000.0,17941000.0,-6744000.0,380706000.0,5283000,22344000,7068000.0,329380000.0,0.0,,10895000.0,8525000,,,0.0,,,,
2002-03-31,153875000.0,,,-5343000.0,22429000.0,26145000.0,3228000,11798000.0,0.18,8507000,395393000.0,5875000.0,,369248000.0,2908000.0,,165673000.0,13902000.0,0.0,,45436000.0,15665000,8507000,8507000,,-116000,,,148000000.0,2848000.0,8557000,-6861000.0,6136000,8150000.0,-12806000.0,15992000.0,,13831000.0,8507000.0,,229720000.0,0.0,0.1825,,604000.0,-54217000.0,8150000.0,8150000.0,,,906000,2622000.0,,-8997000.0,7822000.0,,3614000.0,1975000.0,229720000.0,3511000.0,-8854000.0,384512000.0,9529000,24222000,-5681000.0,330295000.0,,45628000.0,1128000.0,12437000,,,,,,,
2002-06-30,461943000.0,,,54565000.0,,94881000.0,9498000,490949000.0,0.2625,24628000,1073927000.0,9105000.0,,979046000.0,19714000.0,,952892000.0,21677000.0,297619000.0,,86680000.0,54817000,24628000,24628000,,-4934000,9508000.0,5940000.0,148450000.0,,49307000,-7162000.0,18126000,43019000.0,-694068000.0,18160000.0,,8150000.0,25135000.0,,121035000.0,0.0,0.2625,,6235000.0,-386938000.0,43019000.0,43019000.0,,411000000.0,6817000,24988000.0,,6627000.0,45843000.0,,664590000.0,,121035000.0,64341000.0,-9776000.0,1319319000.0,36691000,104124000,34863000.0,932381000.0,506000.0,86904000.0,28166000.0,56405000,,,,,,,
2002-09-30,876732000.0,,-995000.0,-671133000.0,,98369000.0,9776000,80584000.0,0.225,25833000,1082948000.0,12894000.0,,984579000.0,10944000.0,,957316000.0,29377000.0,-289595000.0,,108760000.0,52828000,25833000,25833000,5107000.0,-2191000,4401000.0,11955000.0,559450000.0,,60548000,-13936000.0,20720000,42564000.0,-15958000.0,30564000.0,,43019000.0,25833000.0,,125632000.0,-62000.0,0.225,,13257000.0,-394608000.0,42564000.0,42564000.0,,,6467000,24704000.0,,-9023000.0,26550000.0,0.0,-12871000.0,,126627000.0,28374000.0,-699507000.0,1325106000.0,32108000,113376000,-455000.0,930498000.0,,108988000.0,42079000.0,43052000,,,,,,,
2002-12-31,586708000.0,,,745696000.0,,125224000.0,165597000,77896000.0,,27566000,1116361000.0,12415000.0,,991137000.0,11480000.0,,664604000.0,33279000.0,-9320000.0,,,211677000,27566000,27566000,-503000.0,1064000,5224000.0,11550000.0,574293000.0,32624000.0,-97348000,-25414000.0,174348000,75151000.0,-4203000.0,18038000.0,844682000.0,42564000.0,27566000.0,,451757000.0,62000.0,,,4584000.0,-401396000.0,75151000.0,75151000.0,,1967000.0,8310000,24727000.0,,26166000.0,28477000.0,0.0,-28017000.0,-5278000.0,-392925000.0,64807000.0,680889000.0,1334527000.0,37329000,114329000,32587000.0,933131000.0,0.0,,3278000.0,48809000,,,,,,,
2003-03-31,586708000.0,,,28292000.0,22295000.0,125224000.0,14327000,77896000.0,0.18,8265000,1116361000.0,16708000.0,,991137000.0,8964000.0,,664604000.0,12355000.0,1975000.0,5263000.0,45436000.0,52043000,21126000,8507000,4982000.0,953000,5224000.0,11550000.0,570000000.0,14006000.0,50605000,-6861000.0,23291000,8150000.0,-16923000.0,23262000.0,,13837000.0,28942000.0,-8854000.0,0.0,0.0,0.1825,-29780000.0,4584000.0,-401396000.0,75151000.0,75151000.0,,1967000.0,1313000,2432000.0,135000.0,5549000.0,28477000.0,1135000.0,-26166000.0,,-971000.0,37402000.0,-9110000.0,1334527000.0,28752000,102648000,-5687000.0,933131000.0,7816000.0,45628000.0,10047000.0,39219000,95000.0,,,,,,
2003-06-30,583473000.0,,,16628000.0,22057000.0,144307000.0,24302000,79784000.0,0.4675,30986000,1147999000.0,13153000.0,,1003692000.0,9298000.0,,663257000.0,11771000.0,-40938000.0,-13902000.0,66172000.0,107337000,45754000,32309000,-4838000.0,-3982000,5080000.0,9714000.0,570000000.0,12565000.0,99435000,,41894000,81150000.0,7443000.0,35880000.0,,8150000.0,54076000.0,8854000.0,0.0,0.0,0.4675,29467000.0,8039000.0,-422831000.0,81150000.0,81150000.0,,1216000.0,8130000,2004000.0,-1243000.0,-20573000.0,19067000.0,-1135000.0,-13110000.0,,-871000.0,17353000.0,-725000.0,1368497000.0,65443000,206772000,11686000.0,945666000.0,8322000.0,66380000.0,22966000.0,79798000,1214000.0,,,,,,
