date,quarterlyOperatingExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyAccumulatedDepreciation,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyBasicEPS,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyCommonStockIssuance,quarterlyInventory,quarterlyChangeInInventory
2012-03-31,67000000,,,,,-750000000,,,970000000,40000000,,,112000000,3000000,-2000000,-829000000,,0,,150000000,72000000,,,,,1.2,710000000.0,,0,,,,147000000,,116000000,35000000,841000000,,581000000,1.24,4000000,,33000000,,,,-203000000.0,35000000,92000000,,9000000,121000000.0,,,150000000,125000000.0,87000000.0,,94000000,-79000000,,-129000000,,,109000000,,-32000000,31000000,6000000,124000000,,,,,,,
2012-06-30,133000000,,,,,0,,,841000000,370000000,,,1237000000,2000000,-2000000,-152000000,,3000000,,937000000,867000000,,,,,7.62,-183000000.0,,0,,,,1237000000,,-45000000,135000000,646000000,,4000000,7.87,-11000000,,41000000,,,,-439000000.0,135000000,35000000,,11000000,119000000.0,,,937000000,123000000.0,620000000.0,,37000000,-155000000,,-195000000,,,-67000000,,2000000,364000000,5000000,1250000000,,,,,,,
2012-09-30,144000000,,,,,0,,,646000000,88000000,,,250000000,1000000,-1000000,-1000000,,7000000,,221000000,162000000,,,,,1.8,-1289000000.0,,0,,,,241000000,,-117000000,154000000,323000000,,-718000000,1.86,69000000,,37000000,,,,311000000.0,154000000,96000000,,12000000,119000000.0,,,221000000,121000000.0,273000000.0,,97000000,-8000000,,-323000000,,,-202000000,,10000000,106000000,7000000,263000000,,,,,,,
2012-12-31,128000000,1420000000.0,49000000.0,802000000.0,1353000000.0,-504000000,1000000.0,-261000000.0,323000000,102000000,207000000.0,,413000000,27000000,-26000000,-185000000,4000000.0,-100000000,934000000.0,106000000,311000000,131000000.0,536000000.0,240000000.0,488000000.0,,-147000000.0,285000000.0,1201000000,286000000.0,,6440000000.0,94000000,4733000000.0,93000000,474000000,1353000000,,347000000,,-882000000,1508000000.0,303000000,3079000000.0,385000000.0,2211000000.0,322000000.0,1675000000,-18000000,1893000000.0,785000000,,8325000000.0,6114000000.0,106000000,,18000000.0,468000000.0,8000000,-81000000,12000000.0,-70000000,37000000.0,39000000.0,217000000,10000000.0,346000000,-51000000,48000000,1225000000,67000000.0,,,,,,
2013-03-31,266000000,1900000000.0,1792000000.0,2346000000.0,1900000000.0,-1000000,1000000.0,-180000000.0,603000000,-361000000,1783000000.0,,7749000000,11000000,-26000000,-599000000,4000000.0,8000000,10713000000.0,8062000000,8110000000,285000000.0,2415000000.0,91000000.0,303000000.0,66.63,-1000000.0,,363000000,237000000.0,14215000000.0,14277000000.0,7600000000,2136000000.0,35000000,426000000,1900000000,,357000000,67.75,-13000000,5193000000.0,154000000,11141000000.0,2452000000.0,3458000000.0,-24000000.0,789000000,313000000,7645000000.0,70000000,119000000.0,32396000000.0,28938000000.0,8062000000,121000000.0,0.0,1963000000.0,339000000,-606000000,-13000000.0,1297000000,25000000.0,147000000.0,101000000,631000000.0,160000000,-377000000,41000000,7830000000,,,,,,,
2013-06-30,381000000,937000000.0,1725000000.0,2364000000.0,937000000.0,-844000000,1000000.0,-250000000.0,1900000000,104000000,1773000000.0,,262000000,28000000,-38000000,1331000000,4000000.0,9000000,10661000000.0,96000000,158000000,276000000.0,4359000000.0,179000000.0,230000000.0,0.79,-2626000000.0,,461000000,259000000.0,14221000000.0,14376000000.0,54000000,4685000000.0,-74000000,617000000,937000000,,-2562000000,0.81,-23000000,7147000000.0,185000000,11237000000.0,2424000000.0,2365000000.0,-139000000.0,1078000000,230000000,9571000000.0,88000000,119000000.0,33884000000.0,31519000000.0,96000000,121000000.0,241000000.0,2023000000.0,268000000,-643000000,-15000000.0,-963000000,44000000.0,148000000.0,-63000000,651000000.0,236000000,102000000,48000000,378000000,,,,,,,
2013-09-30,390000000,1171000000.0,1573000000.0,2406000000.0,1171000000.0,-886000000,1000000.0,-298000000.0,937000000,94000000,1792000000.0,,210000000,39000000,-68000000,-13000000,496000000.0,-36000000,10637000000.0,76000000,116000000,263000000.0,4385000000.0,192000000.0,207000000.0,0.63,48000000.0,,472000000,225000000.0,14203000000.0,14419000000.0,1000000,4638000000.0,-97000000,638000000,1171000000,,-35000000,0.64,50000000,7204000000.0,207000000,11307000000.0,2760000000.0,2481000000.0,-15000000.0,1110000000,214000000,9964000000.0,79000000,119000000.0,33943000000.0,31462000000.0,76000000,121000000.0,0.0,2090000000.0,282000000,-493000000,-4000000.0,234000000,45000000.0,150000000.0,-32000000,646000000.0,248000000,85000000,52000000,328000000,,,,,,,
2013-12-31,324000000,1088000000.0,1575000000.0,2312000000.0,1088000000.0,-1048000000,1000000.0,-341000000.0,1171000000,35000000,1808000000.0,,654000000,54000000,-75000000,94000000,777000000.0,-761000000,10873000000.0,552000000,619000000,234000000.0,4778000000.0,379000000.0,284000000.0,,67000000.0,,512000000,206000000.0,14365000000.0,14081000000.0,519000000,4623000000.0,58000000,513000000,1088000000,,-524000000,,12000000,7488000000.0,216000000,11859000000.0,3172000000.0,2494000000.0,-59000000.0,1025000000,272000000,10660000000.0,78000000,,34542000000.0,32048000000.0,552000000,,68000000.0,2149000000.0,347000000,0,4000000.0,-83000000,150000000.0,164000000.0,103000000,670000000.0,189000000,18000000,52000000,786000000,,,,,,,
2014-03-31,350000000,377000000.0,1718000000.0,2236000000.0,377000000.0,-821000000,1000000.0,-394000000.0,1088000000,-107000000,1812000000.0,-58000000.0,-35000000,53000000,-66000000,-894000000,770000000.0,8000000,10881000000.0,22000000,72000000,225000000.0,3898000000.0,290000000.0,290000000.0,0.19,4000000.0,,506000000,204000000.0,14389000000.0,14141000000.0,-137000000,4520000000.0,74000000,505000000,377000000,,-111000000,0.19,30000000,6525000000.0,216000000,11881000000.0,3291000000.0,1801000000.0,-46000000.0,1011000000,228000000,9816000000.0,90000000,113000000.0,33693000000.0,31892000000.0,22000000,115000000.0,55000000.0,2206000000.0,294000000,-81000000,4000000.0,-711000000,128000000.0,166000000.0,47000000,675000000.0,155000000,-93000000,49000000,108000000,,,,,,,
2014-06-30,418000000,806000000.0,1712000000.0,2266000000.0,566000000.0,-752000000,3000000.0,-446000000.0,377000000,75000000,1806000000.0,11000000.0,181000000,62000000,-45000000,77000000,762000000.0,-254000000,10843000000.0,50000000,106000000,204000000.0,5177000000.0,296000000.0,305000000.0,0.14,-137000000.0,,511000000,240000000.0,14389000000.0,13976000000.0,12000000,4467000000.0,27000000,649000000,566000000,,-158000000,0.15,-48000000,7817000000.0,215000000,11931000000.0,3321000000.0,2274000000.0,-246000000.0,1160000000,225000000,11138000000.0,92000000,341000000.0,34075000000.0,31801000000.0,50000000,345000000.0,259000000.0,2252000000.0,270000000,-1111000000,6000000.0,189000000,173000000.0,170000000.0,-1000000,674000000.0,231000000,32000000,49000000,335000000,240000000.0,,,,,,
