date,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyBasicAverageShares,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInInventory,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyCurrentDeferredRevenue,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredRevenue
1984-03-31,,,,,,,9200000,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,,,,,,216640000.0,,,,,,117500000,,,117500000,,,,,,,,117500000,,0.045,,,,,,216640000.0,,,,,,,,,,,,,
1984-06-30,23000000.0,,,,,,9900000,73300000.0,11100000.0,156600000.0,,106500000.0,,63100000.0,,,,,,,,,,,420300000.0,,179600000.0,,,,58500000.0,58500000.0,,,19900000.0,,210700000.0,,,,,,,,195200000,,265900000.0,-444200000,,,,,,,,-444200000,84300000.0,,,,,160400000.0,126400000.0,,,240700000.0,,209600000.0,,,,-109300000.0,6400000.0,-100000.0,,,
1984-09-30,,,,,,,7500000,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,217120000.0,,,,,,164200000,,,164200000,,,,,,,,164200000,,0.035,,,,,,217120000.0,,,,,,,,,,,,,
1984-12-31,,,,,,,9200000,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,,,,,,217312000.0,,,,,,179700000,,,179700000,,,,,,,,179700000,,0.045,,,,,,217312000.0,,,,,,,,,,,,,
1985-03-31,,,,,,,10500000,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,218032000.0,,,,,,180500000,,,180500000,,,,,,,,180500000,,0.05,,,,,,218032000.0,,,,,,,,,,,,,
1985-06-30,39400000.0,,,,,,12300000,67700000.0,10900000.0,151500000.0,,108100000.0,,67300000.0,,,,,,,,,,,434500000.0,,190900000.0,,,,54400000.0,54400000.0,,,12800000.0,,199500000.0,,,,,,,,202500000,,280600000.0,-455500000,,,,,,,,-455500000,78600000.0,,,,,185700000.0,120900000.0,,,243600000.0,,235000000.0,,,,-129100000.0,4900000.0,0.0,,,
1985-09-30,,,,,,,8800000,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,,,,,,218560000.0,,,,,,187100000,,,187100000,,,,,,,,187100000,,0.04,,,,,,218560000.0,,,,,,,,,,,,,
1985-12-31,,,,,,,10200000,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,211680000.0,,,,,,202700000,,,202700000,,,,,,,,202700000,,0.045,,,,,,211680000.0,,,,,,,,,,,,,
1986-03-31,,,,,,,11300000,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,215872000.0,,,,,,201500000,,,201500000,,,,,,,,201500000,,0.05,,,,,,215872000.0,,,,,,,,,,,,,
1986-06-30,46000000.0,,,,,,13400000,60100000.0,9800000.0,144300000.0,,110700000.0,,65800000.0,,,,,,,,,,,475100000.0,,190300000.0,,,,80200000.0,80200000.0,,,17900000.0,,213500000.0,,,,,,,,221700000,,286300000.0,-516200000,,,,,,,,-516200000,84900000.0,,,,,200300000.0,128600000.0,,,284800000.0,,261600000.0,,,,-142000000.0,5000000.0,15000000.0,,,
1986-09-30,,,,,,,9800000,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,,,,,,217824000.0,,,,,,199000000,,,199000000,,,,,,,,199000000,,0.045,,,,,,217824000.0,,,,,,,,,,,,,
1986-12-31,,,,,,,10600000,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,217040000.0,,,,,,222700000,,,222700000,,,,,,,,222700000,,0.05,,,,,,217040000.0,,,,,,,,,,,,,
1987-03-31,,,,,,,10300000,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,217040000.0,,,,,,215900000,,,215900000,,,,,,,,215900000,,0.05,,,,,,217040000.0,,,,,,,,,,,,,
1987-06-30,264300000.0,,,,,,16400000,453800000.0,5100000.0,246700000.0,,146700000.0,,73500000.0,,,,,,,,,196800000.0,,982400000.0,,707800000.0,,,,37800000.0,37800000.0,,,66700000.0,,692100000.0,,,,,,,,125200000,,404500000.0,-536400000,,,,,,,,-536400000,478700000.0,,,,,226300000.0,213400000.0,,,274600000.0,,290300000.0,,,,-157800000.0,13900000.0,19800000.0,,,
1987-09-30,,,,,,,4300000,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,213976000.0,,,,,,294500000,,,294500000,,,,,,,,294500000,,0.47,,,,,,213976000.0,,,,,,,,,,,,,
1987-12-31,28300000.0,,,,,,8600000,254400000.0,,257200000.0,,225400000.0,,89900000.0,,,,,,,,,373000000.0,,958900000.0,,658500000.0,,,,49000000.0,49000000.0,,,61700000.0,,564700000.0,,,,,,,,279600000,,452100000.0,-597600000,,,,,,,,-597600000,277600000.0,,,,,326400000.0,287100000.0,,,300400000.0,,394200000.0,,,,-194900000.0,17500000.0,23200000.0,,,
