date,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyRepaymentOfDebt,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyNetPPE,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2013-03-31,,19220000,,,,,,-9000,6611000,6611000,717000,,0.124444,53124310.0,1751000.0,,,,-99000,,-1696000,91640000,6611000,0,,,26000,-744000,13871000,42128000,,,33385000,0.114346,-13418000,0.0,57815705.0,,-4141000,,,,,88655000,,,,,61348000,1742000,9361000,,8743000,,-1696000,3012000,,,6893000,1687000,,,-660000,,,-7397000,19514000,,282000,274000.0,2985000,,0.0,,,,
2013-06-30,,29584000,,,,,,-3455000,10251000,10251000,767000,,0.09314,53124310.0,1772000.0,,,,-1000,,-10516000,90632000,4948000,0,,,187000,2971000,16551000,53901000,,,37637000,0.089232,-14127000,0.0,57815705.0,,-8510000,,,,,91640000,,,,,83485000,2073000,17030000,,16264000,,-10516000,2483000,,,14491000,7061000,,,-1430000,,,-4579000,21086000,,4240000,279000.0,-1008000,,0.0,,,,
2013-09-30,,36589000,,,,,,28583000,11856000,11856000,1021000,,0.109893,53124310.0,1797000.0,,,,-23000,,-3284000,120020000,5838000,0,,,127000,13621000,19765000,65036000,,,46400000,0.105992,11933000,0.0,57815705.0,,-17854000,,,,,90632000,,,,,101625000,2584000,19634000,,18636000,,-3284000,759000,,,16816000,31867000,,,-875000,,,17296000,26635000,,4960000,279000.0,29388000,,0.0,,,,
2013-12-31,,37293000,44360000.0,77999000.0,78997000.0,364520000.0,0.0,-10787000,13742000,13742000,2539000,77444000.0,,,1799000.0,98793000.0,19576000.0,,-631000,73360000.0,-3995000,113664000,25489000,0,,4040000.0,542000,-11983000,23616000,77473000,286788000.0,41306000.0,54968000,,-12677000,825000.0,,77732000.0,-18674000,,36000.0,,5995000.0,120020000,14741000.0,0.0,113664000.0,113664000.0,114766000,3760000,24413000,67204000.0,22505000,-7186000.0,-4820000,3632000,209344000.0,74390000.0,20075000,-5967000,,42964000.0,-5866000,285523000.0,,-19931000,31352000,,6333000,286000.0,-6356000,10144000.0,0.0,,,,
2014-03-31,,35893000,45863000.0,63007000.0,83496000.0,375463000.0,,14586000,12329000,12329000,2285000,80101000.0,0.22,53124310.0,1771000.0,99085000.0,21844000.0,,-764000,78978000.0,-3103000,129524000,11689000,-133000,,4040000.0,-464000,-5904000,25886000,81314000,279035000.0,36291000.0,59332000,0.2,14950000,0.0,57815705.0,96428000.0,-5619000,,3000.0,,6000.0,113664000,7258000.0,0.0,129524000.0,129524000.0,117207000,4782000,23503000,67626000.0,21982000,-9357000.0,-3103000,1264000,198934000.0,76983000.0,19447000,17689000,,55293000.0,2110000,291967000.0,,-3841000,33446000,,7118000,292000.0,15860000,10437000.0,0.0,,,,
2014-06-30,,44567000,28016000.0,67946000.0,80102000.0,642778000.0,,40781000,21618000,21618000,2428000,83898000.0,0.37,38491000.0,1435000.0,0.0,25718000.0,,2472000,71068000.0,-1436000,397198000,14212000,-20202000,,3806000.0,923000,10693000,27837000,93380000,181592000.0,37888000.0,62725000,0.34,-5272000,4040000.0,44057000.0,461186000.0,7910000,,15000.0,,7000.0,129524000,20000000.0,0.0,397198000.0,397198000.0,137947000,6705000,35555000,68799000.0,30655000,-11679000.0,-5476000,222800000,97694000.0,80478000.0,31692000,46257000,,76911000.0,-1407000,562676000.0,,19815000,34888000,,10074000,235000.0,267674000,11790000.0,241862000.0,,,,
2014-09-30,,54506000,32246000.0,84063000.0,103532000.0,691883000.0,,32548000,21866000,21866000,2653000,97165000.0,0.34,62402000.0,764000.0,0.0,39312000.0,,-824000,62587000.0,-21661000,408596000,21185000,-219000,18000000.0,27559000.0,382000,811000,30852000,100957000,198961000.0,40277000.0,67083000,0.3,-16335000,-19451000.0,69737000.0,492922000.0,2216000,,-48000.0,,7000.0,397198000,19845000.0,0.0,408596000.0,408596000.0,155463000,8082000,33050000,66991000.0,33874000,-14317000.0,-2210000,-1556000,101796000.0,81308000.0,32286000,34758000,,98777000.0,-1485000,588351000.0,,3805000,36231000,,10420000,0.0,11398000,9428000.0,-2219000.0,,,,
2014-12-31,,57049000,40369000.0,96982000.0,131544000.0,811023000.0,,13467000,31037000,31037000,2655000,110992000.0,0.48,63186000.0,768000.0,0.0,51122000.0,,-151000,80519000.0,-223162000,240031000,30251000,-239000,36636000.0,48476000.0,16595000,8407000,33094000,116440000,255365000.0,60327000.0,77438000,0.43,-13187000,-10798000.0,70219000.0,555658000.0,-17932000,,-334000.0,,7000.0,408596000,32428000.0,9820000.0,449457000.0,240031000.0,173489000,8050000,41506000,71558000.0,39002000,-16958000.0,-2345000,38829000,144373000.0,88516000.0,38083000,15812000,,129814000.0,-5992000,679479000.0,,-3958000,44344000,46141000.0,7046000,348000.0,-168565000,11249000.0,-328000.0,209426000.0,,,
2015-03-31,,61291000,27810000.0,113057000.0,139048000.0,875092000.0,,15631000,24492000,24492000,2893000,116290000.0,0.37,64635000.0,821000.0,,5558000.0,,-468000,91225000.0,-5803000,275186000,24032000,-255000,36636000.0,17334000.0,10308000,-1936000,38659000,117754000,264621000.0,81826000.0,81999000,0.34,-16276000,-667000.0,70722000.0,610471000.0,-10706000,,-351000.0,,7000.0,240031000,29123000.0,5323000.0,484339000.0,275186000.0,179045000,8839000,38180000,72787000.0,35755000,-19842000.0,-5136000,20231000,148331000.0,92629000.0,34466000,20767000,,154306000.0,1670000,736044000.0,,-7246000,43340000,50998000.0,9974000,487000.0,35155000,4600000.0,10178000.0,209153000.0,,,
2015-06-30,,67662000,42282000.0,122342000.0,140627000.0,990839000.0,,48269000,23996000,23996000,3353000,122799000.0,0.36,65524000.0,832000.0,,5839000.0,,417000,100304000.0,-3670000,342958000,23607000,-259000,36636000.0,17053000.0,12406000,13758000,45084000,127890000,325297000.0,107245000.0,95031000,0.33,-9565000,-38000.0,71215000.0,665542000.0,-11591000,,-143000.0,,7000.0,275186000,43831000.0,27808000.0,551763000.0,342958000.0,195552000,11208000,36629000,73178000.0,32859000,-23086000.0,-4337000,18816000,202498000.0,96264000.0,32444000,52606000,,178302000.0,-3936000,850212000.0,,29715000,49947000,57198000.0,8448000,-315000.0,67772000,4138000.0,6669000.0,208805000.0,,,
2015-09-30,,75800000,57901000.0,160230000.0,151792000.0,1072892000.0,,5405000,28690000,28690000,3478000,124752000.0,0.42,66629000.0,753000.0,,6011000.0,,13000,109921000.0,48917000,418500000,28301000,-264000,36636000.0,20861000.0,9406000,-11967000,51703000,141748000,349718000.0,124740000.0,110451000,0.39,-38057000,54161000.0,71887000.0,723174000.0,-9618000,,-431000.0,,7000.0,342958000,31487000.0,36765000.0,568617000.0,418500000.0,217548000,12278000,34788000,75248000.0,31297000,-26502000.0,-5244000,16223000,224966000.0,101750000.0,30557000,10649000,,206991000.0,-13217000,921100000.0,,-11792000,58748000,65966000.0,1867000,3321000.0,75542000,4183000.0,0.0,150117000.0,,,
2015-12-31,,89278000,60971000.0,144263000.0,185562000.0,1159890000.0,,111239000,43924000,43924000,3947000,136727000.0,0.65,67111000.0,746000.0,,6698000.0,0.0,-109000,92129000.0,144726000,687326000,43431000,-308000,36636000.0,20791000.0,5131000,9182000,49358000,156168000,371738000.0,122049000.0,106771000,0.6,16617000,-2000.0,72062000.0,788152000.0,17792000,150000000.0,-674000.0,,7000.0,418500000,43966000.0,29270000.0,687326000.0,687326000.0,245446000,12978000,49288000,79706000.0,49397000,-30339000.0,-5272000,7835000,235011000.0,110045000.0,48542000,116511000,,250915000.0,-8926000,974328000.0,,69969000,57413000,74759000.0,4618000,8247000.0,268826000,8025000.0,3273000.0,0.0,,,
2016-03-31,,87106000,44848000.0,135119000.0,186814000.0,1209947000.0,,62484000,35245000,35245000,4779000,145826000.0,0.52,67737000.0,751000.0,,6385000.0,-51638000.0,337000,84030000.0,-60270000,710663000,34921000,-314000,36636000.0,20208000.0,6012000,-16123000,42840000,155090000,360090000.0,135524000.0,105355000,0.48,9144000,0.0,72214000.0,849857000.0,8099000,,-653000.0,,7000.0,687326000,24808000.0,27766000.0,762252000.0,710663000.0,242196000,13360000,54851000,79944000.0,49735000,-35051000.0,-8632000,12448000,214264000.0,114995000.0,49321000,71116000,,286161000.0,-1597000,1023133000.0,,25341000,62515000,83696000.0,14076000,7348000.0,23337000,7819000.0,6750000.0,51589000.0,,,
2016-06-30,,97290000,55110000.0,146659000.0,192934000.0,1334988000.0,,50806000,38904000,38904000,4883000,154717000.0,0.57,68275000.0,732000.0,,6754000.0,-243800000.0,416000,118130000.0,-247907000,531058000,38617000,-320000,39136000.0,18812000.0,9356000,34624000,49273000,171451000,418156000.0,138885000.0,118293000,0.53,-11540000,0.0,72817000.0,916832000.0,-34100000,,-705000.0,,7000.0,710663000,60097000.0,27513000.0,823818000.0,531058000.0,268741000,14232000,53574000,79681000.0,53158000,-39797000.0,-4107000,13491000,263439000.0,119478000.0,52842000,54913000,,325065000.0,-5279000,1142054000.0,,11743000,69020000,91439000.0,13938000,4662000.0,-179605000,9347000.0,4455000.0,292760000.0,,,
2016-09-30,,103841000,75843000.0,210243000.0,194902000.0,1519080000.0,,-51089000,51257000,51257000,5145000,152578000.0,0.74,69076000.0,735000.0,,6900000.0,-49546000.0,639000,162128000.0,-11374000,500481000,50962000,-326000,36136000.0,18398000.0,13864000,17009000,52751000,186420000,507660000.0,191094000.0,123399000,0.69,-63584000,0.0,73453000.0,1011420000.0,-43997000,,-983000.0,,7000.0,531058000,77048000.0,55363000.0,800148000.0,500481000.0,290261000,15116000,68805000,78147000.0,63021000,-44789000.0,-3745000,28215000,355082000.0,122936000.0,62925000,-47344000,,376322000.0,-6844000,1324178000.0,,-98551000,70648000,93741000.0,11668000,1649000.0,-30577000,9777000.0,14677000.0,299667000.0,,,
