date,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyPretaxIncome,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyAccountsReceivable,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyEndCashPosition,quarterlyInventory,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDeferredIncomeTax,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyAccumulatedDepreciation,quarterlyOperatingExpense
2006-09-30,0.0,0.065,12430769231.0,-55616000000,361000000,,6195000000,29769000000,34359000000,,,-91579000000,5029000000,,-62000000,-153000000.0,763000000,3792000000.0,94425000000.0,,7021000000,63000000.0,,-1741000000.0,,6342000000.0,5029000000,761000000.0,20832000000,238468000000.0,332893000000,6869000000,,7597000000,293989000000.0,225000000.0,1965000000,808000000,5663000000,0.065,155000000,2153000000,,825000000,,29408000000,,143740000000,-1468000000,12430769231.0,33000000,5000000,-1300000000,361000000,79000000,808000000,3297000000.0,128000000,297936000000,224784000000.0,,,,,,,,,,,,,,,,,
2006-12-31,0.0,,,100250527000,92998273000,1055190000.0,6195053000,29408000000,36667865000,,,93923954000,6028160000,-162000.0,-36743000,155200000.0,2348005000,7451848000.0,105171626000.0,,8667162000,75146000.0,1351586000.0,-1046663000.0,,6007714000.0,6028160000,2209392000.0,35460725000,336619430000.0,441791056000,4398179000,,16530258000,396265465000.0,150467000.0,4469031000,2308962000,-44644000,,155000000,3675034000,,2384748000,,45950704000,,-191486903000,191141000,,61328974000,89750000,14533052000,92998273000,991705000,2308962000,-4156497000.0,158506000,403872313000,285315124000.0,,,,,,,,,,,,,,,,,
2007-03-31,0.0,0.295,13050847458.0,58330000000,49289000000,5366000000.0,7345000000,47211000000,87883000000,1646000000.0,,-361000000,4613000000,38222000000.0,431000000,,4389000000,10410000000.0,54378000000.0,,13030000000,0.0,637000000.0,,-269000000.0,16701000000.0,4613000000,4383000000.0,39956000000,473924000000.0,528302000000,16432000000,100006000000.0,41073000000,96781000000.0,,8860000000,3850000000,327677000000,0.295,2262000000,2536000000,,3958000000,409000000.0,88284000000,,-59415000000,-1886000000,13050847458.0,183000000,336000000,26313000000,149295000000,535000000,3850000000,,1057000000,438956000000,123011000000.0,,,,,,,,,,,,,,,,,
2007-06-30,0.0,,,69808000000,84890000000,7060000000.0,7345000000,88284000000,93396000000,3555000000.0,,-21000000,6839000000,0.0,115000000,,4483000000,13871000000.0,88505000000.0,,14821000000,0.0,666000000.0,,-1774000000.0,3301000000.0,6839000000,4104000000.0,43281000000,494638000000.0,583143000000,1527000000,132443000000.0,31704000000,114249000000.0,,12632000000,4213000000,336299000000,,3507000000,4035000000,,4368000000,475000000.0,120104000000,,-57538000000,10091000000,,299000000,353000000,20219000000,217333000000,557000000,4213000000,,922000000,488232000000,120236000000.0,,,,,,,,,,,,,,,,,
2007-09-30,0.0,0.245,14759183673.0,151988000000,105034000000,6741000000.0,7345000000,120104000000,103235000000,5721000000.0,,1127000000,6782000000,0.0,176000000,,3915000000,16339000000.0,109418000000.0,-382000000.0,16968000000,0.0,669000000.0,,-32000000.0,-224000000.0,6782000000,3889000000.0,44552000000,514304000000.0,623722000000,-256000000,153085000000.0,5333000000,114924000000.0,,11394000000,3616000000,348618000000,0.245,2785000000,5148000000,,3739000000,475000000.0,125437000000,,-140307000000,11295000000,14759183673.0,198000000,396000000,-4969000000,258119000000,1358000000,3616000000,-1537000000.0,917000000,518785000000,123290000000.0,,,,,,,,,,,,,,,,,
2007-12-31,0.0,,,74601000000,73932000000,7577000000.0,7345000000,125437000000,107234000000,4822000000.0,,4122000000,7894000000,0.0,1180000000,,4696000000,19217000000.0,76927000000.0,-130000000.0,18252000000,0.0,2981000000.0,,-2571000000.0,6655000000.0,7894000000,4791000000.0,34236000000,574177000000.0,651104000000,4084000000,178539000000.0,-25465000000,122935000000.0,,11711000000,3407000000,393597000000,,3393000000,3746000000,,3516000000,610000000.0,96296000000,,-102084000000,-29381000000,,862000000,480000000,-3940000000,252471000000,3719000000,3407000000,-975000000.0,3621000000,541886000000,116149000000.0,,,,,,,,,,,,,,,,,
2008-03-31,0.0,0.33,14727272727.0,69215000000,73741000000,9525000000.0,7345000000,96296000000,94098000000,902000000.0,,4795000000,7435000000,,575000000,,5532000000,20742000000.0,80470000000.0,-1230000000.0,23113000000,0.0,1120000000.0,,-360000000.0,3862000000.0,7435000000,5534000000.0,37417000000,552966000000.0,633436000000,3502000000,182089000000.0,-32784000000,109861000000.0,,14548000000,4860000000,381858000000,0.33,5589000000,2087000000,,4957000000,674000000.0,63512000000,,-101224000000,-33826000000,14727272727.0,-49000000,590000000,-2124000000,255830000000,3872000000,4860000000,-518000000.0,9053000000,536745000000,123757000000.0,,,,,,,,,,,,,,,,,
2008-06-30,0.0,,,69012000000,69659000000,9397000000.0,7345000000,63512000000,80955000000,641000000.0,,6649000000,8223000000,,-766000000,,1587000000,21530000000.0,75138000000.0,265000000.0,20971000000,0.0,996000000.0,,-2047000000.0,17412000000.0,8223000000,1638000000.0,32082000000,568468000000.0,643606000000,15365000000,177647000000.0,4744000000,127316000000.0,,15421000000,2242000000,383795000000,,4082000000,3926000000,,2353000000,722000000.0,68256000000,,-81221000000,-14080000000,,231000000,675000000,5080000000,247306000000,3819000000,2242000000,-3285000000.0,9695000000,560228000000,133836000000.0,,,,,,,,,,,,,,,,,
2008-09-30,0.0,-0.53,14730188679.0,50051000000,67676000000,8811000000.0,7345000000,68256000000,74672000000,667000000.0,-2267000000.0,2883000000,9784000000,,-3198000000,,-11042000000,21403000000.0,74481000000.0,0.0,11695000000,0.0,841000000.0,,-1772000000.0,17579000000.0,9784000000,-10968000000.0,31778000000,591904000000.0,666385000000,15807000000,189360000000.0,-11537000000,146357000000.0,,14242000000,-7807000000,393445000000,-0.53,4002000000,3037000000,,-7844000000,580000000.0,56719000000,,-89040000000,-41231000000,14730188679.0,350000000,792000000,13102000000,257036000000,3608000000,-7807000000,-881000000.0,9772000000,589266000000,145975000000.0,,,,,,,,,,,,,,,,,
2008-12-31,0.0,,,326448000000,52749000000,9793000000.0,7345000000,56719000000,78757000000,472000000.0,-2314000000.0,2121000000,7641000000,,63000000,,1470000000,22563000000.0,59376000000.0,-273000000.0,16820000000,0.0,2210000000.0,,-2198000000.0,23504000000.0,7641000000,1489000000.0,34387000000,648264000000.0,707640000000,21306000000,212236000000.0,7770000000,166920000000.0,,18641000000,1367000000,410266000000,,3917000000,4975000000,,1407000000,617000000.0,64489000000,,-351728000000,-26890000000,,782000000,620000000,12855000000,264985000000,3071000000,1367000000,-1267000000.0,9500000000,626171000000,174197000000.0,,,,,,,,,,,,,,,,,
