date,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyInventory,quarterlyAccountsReceivable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2008-12-31,562132000,562132000,-76432000.0,78826000,144999000,546041000.0,,314378000,0.0,577754000,0.0,221431000.0,,,,,1391052000,1026237000,2143400000,6300678000,3169637000,4909626000,2064574000.0,,136923000.0,46133000,2819615000,11501000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,704432000,704432000,,122797000,164075000,746029000.0,,315043000,0.0,565568000,579902000.0,,579902000.0,,,,1683986000,1333817000,2610664000,7261436000,3944481000,5577450000,2275171000.0,0.0,201048000.0,46133000,2989009000,12923000,765583000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2024272000,2024272000,-90627000.0,144698000,143544000,696322000.0,,363932000,0.0,553828000,0.0,234171000.0,,,,,2943790000,1187820000,2549682000,8667268000,3737502000,5723478000,2404984000.0,0.0,0.0,46133000,4572832000,13150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,1336497000,1336497000,,204101000,147030000,356897000.0,0.0,364223000,0.0,545178000,254530000.0,,,,0.0,,2672198000,1085175000,2846575000,9105195000,3931750000,6432997000,153235000.0,2489239000.0,34579000.0,46133000,4797325000,17966000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,1432424000,1432424000,-106849000.0,299055000,385021000,732254000.0,,365246000,-5381000.0,638728000,0.0,491870000.0,,,,,2483766000,1614834000,3506908000,10870391000,5121742000,8386625000,3207853000.0,0.0,10762000.0,46133000,5338052000,21490000,1013709000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,1274018000,1274018000,,398637000,515295000,938509000.0,0.0,367546000,5341373000.0,905528000,0.0,,,,0.0,,2540854000,2050620000,3969969000,12162793000,6020589000,9621939000,3571332000.0,0.0,411000.0,46133000,5706163000,46569000,1219856000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,1899969000,1899969000,-133435000.0,472266000,845511000,1064080000.0,,367546000,6015800000.0,1069730000,0.0,978946000.0,,,,,3513217000,2539486000,4678567000,13879617000,7218053000,10366400000,4206301000.0,0.0,554041000.0,46133000,6190024000,43475000,1015300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,2163779000,2163779000,,538447000,1362039000,1314982000.0,0.0,367566000,0.0,512708000,0.0,1362039000.0,,,0.0,,4031150000,2611727000,5085857000,14549003000,7697584000,10517853000,4547410000.0,0.0,48674000.0,20793000,6541215000,63562000,1126585000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,1806868000,2750220000,-184209000.0,659439000,1460316000,1635386000.0,,0,37801000.0,613564000,0.0,1644525000.0,1190736000.0,943352000.0,,,4739207000,2884301000,5028404000,16583114000,7912705000,11843907000,4368965000.0,0.0,989641000.0,20793000,8349759000,65317000,1207000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,2705218000,2805328000,,835039000,1394211000,1643682000.0,0.0,0,0.0,612749000,0.0,1394211000.0,1388957000.0,100110000.0,0.0,4224663000.0,5079334000,3076390000,5771555000,18300235000,8847945000,13220901000,4936516000.0,0.0,782870000.0,20793000,9079112000,86536000,1333998000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
