date,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyEbitda,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOperatingIncome,quarterlyBasicEPS,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyStockBasedCompensation,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOtherNonCashItems,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital
1998-09-30,,,,,,904193548.0,,,,,,,,3130910055.0,,,,3130910055.0,0.370522,,3130910055.0,,,,889841270.0,366169738.0,,,,,,,,,329705678.0,,,,,329705678.0,,0.364641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,4661878590.0,3361189040.0,,0.0,5100823660.0,904193548.0,79463155.0,628837310.0,,,7269282190.0,7461222760.0,4065031375.0,628837310.0,137479090.0,503889180.0,3057313260.0,549374155.0,0.367495,,3132740000.0,-1604565330.0,0.0,991753190.0,889841270.0,366410090.0,166938895.0,3841100710.0,,,,2503902690.0,18977175.0,2297443075.0,329901620.0,,,2849347520.0,1551609975.0,191940570.0,1035732040.0,0.367495,1384671080.0,79463155.0,3908093150.0,4850867155.0,16759074590.0,9297851830.0,1389671415.0,11110382900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-31,,,,,,904193548.0,,,,,,,,2672386740.0,,,,2672386740.0,0.266966,,2672386740.0,,,,889841270.0,232259985.0,,,,,,,,,131247690.0,,,,,131247690.0,,0.266966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,4989000000.0,684000000.0,4258578000.0,0.0,4026000000.0,,,,,,7437000000.0,6558000000.0,-1343000000.0,-7230288825.0,,,3178000000.0,-7312288825.0,,,2665711175.0,-1811000000.0,1995198000.0,853998000.0,,39538075.0,,4248000000.0,854632000.0,,1404000000.0,,,2202000000.0,130735305.0,,41000000.0,3429000000.0,1097000000.0,130735305.0,992000000.0,,1097000000.0,,3909000000.0,5188000000.0,16278000000.0,9720000000.0,-1097000000.0,11685000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-30,,,,,,862380952.0,,,,,,,,3296811666.0,,,,3296811666.0,0.255011,,3296811666.0,,,,862380952.0,382881402.0,,,,,,,,,219916974.0,,,,,219916974.0,,0.255011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,3100000000.0,3758000000.0,3337074944.0,3732000000.0,4330000000.0,,88396880.0,663223864.0,,,7853000000.0,7617000000.0,,-2356811666.0,142362248.0,524941472.0,3100000000.0,-2145811666.0,,,3299188334.0,-1738822264.0,3753591152.0,844035664.0,,93118598.0,,4398000000.0,,0.0,,2630888960.0,-102305480.0,2153000000.0,220083026.0,,,3553000000.0,1732000000.0,220083026.0,989000000.0,,1732000000.0,92414920.0,4095000000.0,4975000000.0,17134000000.0,9517000000.0,1440312800.0,12251000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,,,,,,846000000.0,,,,,,,,2590939200.0,,,,2590939200.0,0.313825,,2590939200.0,,,,846000000.0,244155850.0,,,,,,,,,265495950.0,,,,,265495950.0,,0.313825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,4766000000.0,652000000.0,3091613260.0,0.0,4711000000.0,,,,,,6341000000.0,6273000000.0,-651000000.0,-7363432900.0,,,3078000000.0,-7134432900.0,,,2589567100.0,-1688000000.0,2626649420.0,795193840.0,,28813450.0,,4510000000.0,,,1270000000.0,,,2139000000.0,264244900.0,,50000000.0,3751000000.0,1063000000.0,264244900.0,990000000.0,,1063000000.0,,3070000000.0,5289000000.0,16136000000.0,9863000000.0,-1063000000.0,10851000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,,,,,846385975.0,,,,,,,,3417814400.0,,,,3417814400.0,0.471542,,3417814400.0,,,,846385975.0,424855200.0,,,,,,,,,399106400.0,,,,,399106400.0,,0.471542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,3051000000.0,3592000000.0,4168431520.0,3677000000.0,5099000000.0,,,617966960.0,,,6928000000.0,6974000000.0,,-2104814400.0,149302960.0,595203280.0,3051000000.0,-2182814400.0,,,3424185600.0,-1713971200.0,3595991920.0,804093520.0,,408144800.0,,4429000000.0,,0.0,3731904480.0,2806627840.0,69630080.0,2208000000.0,391893600.0,,,3626000000.0,1089000000.0,391893600.0,986000000.0,,1089000000.0,92393760.0,3336000000.0,5419000000.0,17022000000.0,10048000000.0,1580067200.0,11357000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
