date,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyCapitalExpenditure,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNetPPE,quarterlyBasicEPS,quarterlyOtherIncomeExpense,quarterlyAccountsReceivable,quarterlyTaxProvision,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOtherIntangibleAssets,quarterlyDilutedEPS,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyDepreciationAndAmortization,quarterlyStockBasedCompensation,quarterlyInventory,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDeferredIncomeTax,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2009-09-30,7067000000.0,315092000000.0,1454000000.0,4835000000.0,2319000000.0,27172000000,-6330000000,11996000000,5636000000.0,,10009000000.0,-506000000,21557000000.0,2316000000,305083000000.0,50052000000.0,1000000.0,,,3190000000,3418000000.0,7713636364.0,,0.0,2039000000.0,204878000000.0,-8173000000,-479000000,7713636364.0,2244000000.0,1723000000,114562000000.0,1697000000,8271000000.0,7067000000.0,0.22,80000000,39367000000.0,593000000,-6738000000,1777000000.0,117616000000.0,,548000000.0,0.22,7792000000,1697000000,365633000000.0,344076000000.0,129612000000.0,11996000000.0,18734000000,7700000000.0,69179000000,,,-74840000000,,,,,,,,,,,,,,,,,,,,
2009-12-31,7858000000.0,321514000000.0,4269000000.0,4110000000.0,4169000000.0,22834000000,-8333000000,30238000000,7552000000.0,,10218000000.0,-48000000,39029000000.0,4158000000,311296000000.0,74651000000.0,195000000.0,,149000000.0,3886000000,3204000000.0,,,0.0,58971000000.0,223890000000.0,15702000000,-807000000,,2263000000.0,3350000000,112920000000.0,3295000000,10923000000.0,7858000000.0,,400000000,35210000000.0,808000000,18242000000,1902000000.0,118475000000.0,,584000000.0,,10116000000,3295000000,397187000000.0,358158000000.0,148598000000.0,30123000000.0,11996000000,8483000000.0,33043000000,,,-40508000000,,,,,,,,,,,,,,,,,,,,
2010-03-31,7852000000.0,341344000000.0,1982000000.0,6082000000.0,3581000000.0,40441000000,-17813000000,29734000000,10365000000.0,,11540000000.0,-43000000,41091000000.0,3593000000,329804000000.0,79000000000.0,155000000.0,,149000000.0,4088000000,2918000000.0,8524242424.0,,0.0,55643000000.0,237304000000.0,-4539000000,-512000000,8524242424.0,2282000000.0,2855000000,119638000000.0,2813000000,21920000000.0,7852000000.0,0.33,182000000,38423000000.0,738000000,-504000000,2134000000.0,116389000000.0,2817000000.0,555000000.0,0.33,21408000000,2813000000,421400000000.0,380309000000.0,146109000000.0,29720000000.0,30238000000,8600000000.0,28067000000,,,-45231000000,,,,,,,,,,,,,,,,,,,,
2010-06-30,7885000000.0,360096000000.0,1972000000.0,6484000000.0,1499000000.0,32212000000,-22894000000,22507000000,8991000000.0,,12753000000.0,-161000000,34536000000.0,1444000000,347343000000.0,74210000000.0,6000000.0,,149000000.0,3968000000,3960000000.0,,,0.0,57477000000.0,254422000000.0,231000000,-285000000,,2301000000.0,1215000000,122659000000.0,1206000000,15684000000.0,7885000000.0,,153000000,38030000000.0,229000000,-7227000000,2343000000.0,111508000000.0,204000000.0,541000000.0,,15399000000,1206000000,435470000000.0,400934000000.0,133948000000.0,22440000000.0,29734000000,8600000000.0,31547000000,,,-53930000000,,,,,,,,,,,,,,,,,,,,
2010-09-30,8009000000.0,376989000000.0,2114000000.0,6253000000.0,968000000.0,32528000000,-9212000000,23360000000,9877000000.0,,13003000000.0,-2548000000,30084000000.0,981000000,363986000000.0,78608000000.0,83000000.0,,149000000.0,4014000000,3017000000.0,8860000000.0,,0.0,55679000000.0,266867000000.0,90000000,-381000000,8860000000.0,2319000000.0,888000000,132285000000.0,886000000,12586000000.0,8009000000.0,0.1,152000000,39607000000.0,93000000,853000000,2196000000.0,119169000000.0,0.0,555000000.0,0.1,12205000000,886000000,456828000000.0,426744000000.0,136508000000.0,17339000000.0,22507000000,8600000000.0,27057000000,,,-35643000000,,,,,,,,,,,,,,,,,,,,
2010-12-31,6453000000.0,394160000000.0,3549000000.0,5830000000.0,4642000000.0,36469000000,-20681000000,17560000000,13221000000.0,,14306000000.0,-63000000,26789000000.0,4652000000,379854000000.0,80297000000.0,2000000.0,,149000000.0,4919000000,4255000000.0,,,0.0,58688000000.0,281163000000.0,3650000000,-1118000000,,,3707000000,140161000000.0,3652000000,11428000000.0,6453000000.0,,164000000,40567000000.0,945000000,-5800000000,2320000000.0,119759000000.0,0.0,607000000.0,,10310000000,3652000000,475711000000.0,448922000000.0,134719000000.0,14960000000.0,23360000000,8600000000.0,50267000000,2338000000.0,,-70531000000,,,,,,,,,,,,,,,,,,,,
2011-03-31,6431000000.0,432926000000.0,2815000000.0,6638000000.0,4262000000.0,47654000000,-32166000000,17700000000,16670000000.0,-4125000000.0,15021000000.0,-55000000,30074000000.0,4260000000,417905000000.0,82819000000.0,895000000.0,,1040000000.0,4352000000,4537000000.0,8622500000.0,,0.0,55648000000.0,290718000000.0,11251000000,-362000000,8622500000.0,2357000000.0,3497000000,162993000000.0,3449000000,21140000000.0,6431000000.0,0.4,168000000,43637000000.0,763000000,140000000,2259000000.0,128082000000.0,53000000.0,583000000.0,0.4,20778000000,3449000000,517080000000.0,487006000000.0,144344000000.0,16262000000.0,17560000000,8600000000.0,31949000000,,,-59876000000,,,,,,,,,,,,,,,,,,,,
2011-06-30,6366000000.0,456163000000.0,2824000000.0,7989000000.0,3259000000.0,39568000000,-17086000000,16828000000,16027000000.0,0.0,16394000000.0,-3162000000,30506000000.0,3259000000,439769000000.0,79809000000.0,920000000.0,,935000000.0,4826000000,4702000000.0,,,0.0,53462000000.0,306940000000.0,5405000000,-163000000,,2375000000.0,2386000000,164523000000.0,2367000000,13997000000.0,6366000000.0,,262000000,47199000000.0,873000000,-872000000,2989000000.0,130471000000.0,0.0,585000000.0,,13834000000,2367000000,537223000000.0,506717000000.0,146419000000.0,15948000000.0,17700000000,8600000000.0,20436000000,,,-37475000000,,,,,,,,,,,,,,,,,,,,
2011-09-30,6688000000.0,464921000000.0,2952000000.0,7123000000.0,596000000.0,35136000000,-9233000000,14555000000,17229000000.0,0.0,16534000000.0,-623000000,29557000000.0,1267000000,448387000000.0,74658000000.0,912000000.0,,935000000.0,4799000000,4262000000.0,8585714286.0,,0.0,51325000000.0,300627000000.0,-537000000,-518000000,8585714286.0,,1199000000,172657000000.0,1202000000,10169000000.0,6688000000.0,0.14,187000000,50689000000.0,68000000,-2273000000,2977000000.0,119994000000.0,0.0,415000000.0,0.14,9651000000,1202000000,540722000000.0,511165000000.0,133926000000.0,13932000000.0,16828000000,8600000000.0,19907000000,,,-28486000000,,,,,,,,,,,,,,,,,,,,
2011-12-31,7327000000.0,492557000000.0,4711000000.0,7155000000.0,1525000000.0,35560000000,-25627000000,14966000000,17993000000.0,0.0,18037000000.0,-187000000,28983000000.0,1613000000,474520000000.0,76796000000.0,960000000.0,,962000000.0,6079000000,5660000000.0,,0.0,0.0,52329000000.0,323035000000.0,8022000000,-702000000,,8000000000.0,1311000000,179669000000.0,1295000000,10221000000.0,7327000000.0,,387000000,53299000000.0,302000000,411000000,3920000000.0,117592000000.0,84000000.0,557000000.0,,9519000000,1295000000,570612000000.0,541629000000.0,132495000000.0,14903000000.0,14555000000,8600000000.0,24434000000,,,-48913000000,,,,,,,,,,,,,,,,,,,,
