date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyChangesInAccountReceivables,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyPurchaseOfBusiness,quarterlyIncomeTaxPayable,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
2012-04-30,,,23009000,,370071000,194837000,202961000,-5446000,,989956000,21319000,-28342000,53654000,-1686000.0,63747000,0.0,10827000,791000,,35664000,39925000,,71632530.0,216500000,-0.532286,-38129000,,,-7609000,,29479000,,,,-13000,-0.532286,244756000,-3940000,-3940000,-198424000,-28256000,,,813000,,-1717000,,619885000,,,17990000,,,,-5657000,347062000,,,-86000,,,307137000,,-252319000,,71632530.0,,,,,,,,,,,
2012-07-31,,,-14884000,,328191000,-24165000,-8869000,-3984000,,871740000,24094000,-33460000,31670000,-25000.0,20307000,,5598000,612000,,53654000,39978000,,71632530.0,-27912000,-0.932635,-66807000,,,5260000,,27629000,,,,-747000,-0.932635,5838000,-31257000,-31257000,5638000,-33750000,,,-1694000,,-16044000,,543549000,,,-21984000,,,,-47301000,343075000,,,-344000,,,303096000,,-236370000,,71632530.0,,,,,,,,,,,
2012-10-31,3819013000.0,678092000.0,5644000,,381463000,231135000,32155000,-6591000,,975852000,-208144000,-67475000,30169000,0.0,46615000,,1742000,565000,988571000.0,31670000,40845000,576443000.0,71632530.0,-4646000,-0.612613,-43883000,1631504000.0,2680002000.0,-9534000,30169000.0,27421000,30169000.0,5515000.0,114307000.0,-47000,-0.612613,62602000,-7447000,-7447000,3372000,-67248000,1422571000.0,252916000.0,257000,844991000.0,-14204000,893690000.0,594389000,43638000.0,,-1501000,2882490000.0,1048498000.0,-1139054000.0,-21651000,375819000,47064000.0,936523000.0,0,-1139011000.0,254082000.0,334975000,,-220381000,483000.0,71632530.0,1205837000.0,,,,,,,,,,
2013-01-31,3587540000.0,500406000.0,142142000,,555655000,-177686000,-8924000,9485000,1601175000.0,1327956000,164801000,-36539000,43336000,0.0,179209000,,13064000,779000,47000.0,30169000,46038000,560081000.0,,101846000,,27197000,1598428000.0,2478082000.0,4069000,43336000.0,29398000,43336000.0,784000.0,112978000.0,348000,,139313000,67945000,67945000,-89607000,-37467000,1335532000.0,238865000.0,-8021000,680190000.0,35828000,878305000.0,772301000,41734000.0,,13167000,2847485000.0,879654000.0,-1109501000.0,103773000,413513000,47064000.0,740055000.0,-100000,-1109458000.0,253339000.0,367475000,-722870000.0,-147247000,191000.0,,229425000.0,,,,,,,,,,
2013-04-30,4050187000.0,630660000.0,33640000,,405336000,130254000,55159000,-5376000,,1072989000,-47029000,-29650000,102672000,-336000000.0,69649000,-7000.0,6939000,510000,47000.0,43336000,43992000,551200000.0,71632530.0,65939000,-0.649635,-46535000,1592514000.0,2594200000.0,-6508000,102672000.0,34304000,102672000.0,9737000.0,122640000.0,-13528000,-0.649635,95703000,-5563000,-5563000,-6717000,-29764000,1671658000.0,221575000.0,872000,727219000.0,-3084000,871610000.0,667653000,46362000.0,,59336000,3188215000.0,1001686000.0,-1456030000.0,-8647000,371696000,47064000.0,861972000.0,0,-1455987000.0,251167000.0,327704000,,-155253000,191000.0,71632530.0,230661000.0,,,,,,,,,,
2013-07-31,4081057000.0,555593000.0,3156000,,371160000,-75067000,-63699000,-7175000,,971480000,-21089000,-37956000,33407000,324000.0,35337000,,10961000,5175000,47000.0,102672000,41247000,544315000.0,71632530.0,-76076000,-0.934589,-66947000,1606306000.0,2565900000.0,3265000,33407000.0,33327000,33407000.0,9663000.0,132737000.0,-8598000,-0.934589,-37841000,-25014000,-25014000,6532000,-38235000,1684675000.0,270786000.0,-6463000,748308000.0,-14223000,882190000.0,600320000,41640000.0,,-69265000,3245015000.0,959594000.0,-1515200000.0,-39237000,368004000,47064000.0,836042000.0,0,-1515157000.0,247065000.0,326757000,,-171378000,0.0,71632530.0,237031000.0,,,,,,,,,,
2013-10-31,3196676000.0,708399000.0,18998000,,423218000,152806000,-6699000,721000,,1072855000,-154118000,-285219000,31557000,-324000.0,49255000,,4046000,2517000,7000.0,33407000,41071000,537429000.0,73632530.0,-28829000,-0.235326,-16857000,1616017000.0,2980892000.0,-4131000,31557000.0,32719000,31557000.0,231460000.0,136112000.0,-23268000,-0.235326,25419000,-16857000,-16857000,257950000,-54248000,1484285000.0,279162000.0,-308000,902426000.0,-7678000,895412000.0,649637000,54619000.0,,-1850000,1977655000.0,1364875000.0,-1555993000.0,-24535000,404220000,47064000.0,1219021000.0,-230759000,-215784000.0,249585000.0,363149000,,-347208000,0.0,73632530.0,243785000.0,,,,,,,,,,
2014-01-31,2771560000.0,542987000.0,150253000,,566315000,-165412000,65144000,-6143000,1727961000.0,1344663000,182374000,188031000,132984000,0.0,174052000,,24711000,2001000,7000.0,31557000,41885000,530553000.0,73686524.0,160050000,0.863531,63584000,1604572000.0,2621092000.0,8947000,132984000.0,27390000,132984000.0,59026000.0,124298000.0,-23747000,0.863531,206070000,63584000,63584000,-292674000,-46020000,1369159000.0,301803000.0,-17023000,720052000.0,41193000,902657000.0,778348000,35678000.0,23268000.0,101427000,1867744000.0,1016520000.0,-1492409000.0,104777000,416062000,47064000.0,903816000.0,233459000,-150468000.0,242708000.0,374178000,-825304000.0,-735191000,0.0,73686524.0,255877000.0,,,,,,,,,,
2014-04-30,2684026000.0,575912000.0,49168000,,437397000,32925000,-11495000,-8098000,,1135858000,12425000,-45877000,69490000,0.0,87320000,-3086000.0,5990000,1367000,7000.0,132984000,41208000,523933000.0,74060779.0,937000,0.159785,11774000,1596745000.0,2547759000.0,-10438000,69490000.0,26552000,69490000.0,1070000.0,117976000.0,-240000,0.159785,46922000,11774000,11774000,-64539000,-45985000,1366414000.0,249188000.0,-2632000,707627000.0,7786000,907772000.0,698461000,44084000.0,,-63494000,1857856000.0,951014000.0,-1480635000.0,19560000,388229000,47064000.0,826170000.0,0,-136267000.0,235986000.0,347021000,,-177195000,0.0,74060779.0,255456000.0,,,,,,,,,,
2014-07-31,2695448000.0,564531000.0,15524000,,406099000,-11381000,-21727000,-6175000,,1051126000,-3884000,-48556000,29291000,0.0,55332000,0.0,3179000,1785000,7000.0,69490000,40549000,517349000.0,74158072.0,-43927000,-0.087352,-6470000,1616729000.0,2555302000.0,2172000,29291000.0,25546000,29291000.0,1250000.0,119750000.0,3999000,-0.087352,4657000,-6470000,-6470000,3700000,-48584000,1371819000.0,270475000.0,176000,711510000.0,-4293000,932566000.0,645027000,43678000.0,,-40199000,1859192000.0,938573000.0,-1487105000.0,-10763000,390575000,47064000.0,836256000.0,0,-140146000.0,229132000.0,350026000,,-160246000,0.0,74158072.0,258241000.0,,,,,,,,,,
