date,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyInventory,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyOtherShortTermInvestments,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2009-06-30,68550000.0,1249797000,402582000,1843704000,4931864000,2246286000,3682067000,57927000.0,1597492000,9085000.0,1469663000,2401218000,8326000,171685000,29779000.0,614288000,614288000,62721000,,201946000,331637000,0.0,178679000,632640000,92726000.0,255953000.0,,38215000,105206000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,198879000.0,1895807000,2251170000,2160731000,7423717000,4411901000,5527910000,37554000.0,1902959000,14019000.0,1575451000,2622905000,7139000,99192000,454000.0,876861000,876861000,100305000,-57486000.0,232027000,348219000,0.0,1290946000,402425000,482551000.0,258829000.0,289513000.0,23378000,445227000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,5933786000,5750573000,3361867000,12769530000,9112440000,6835744000,0.0,3082372000,0.0,1576674000,2856731000,9261000,1812065000,,2708379000,2708379000,111604000,,249447000,358096000,393891000.0,4194835000,3362000,0.0,,,23408000,715772000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,8820222000,8616749000,3540126000,17224829000,12156875000,8404607000,0.0,3231442000,0.0,1580116000,3892860000,12786000,4761217000,,2554335000,2554335000,138688000,-24252000.0,46114000,456676000,749718000.0,5296200000,5305000,0.0,,70366000.0,23978000,2637650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,963625000.0,11307376000,5176599000,7331261000,21855101000,12507860000,10547725000,23970000.0,5262704000,107137000.0,1599168000,7698175000,12588000,4530791000,1423703000.0,3961653000,3961653000,149334000,,192059000,685014000,750914000.0,1284414000,5593000,1793409000.0,360481000.0,,24556000,1968052000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,-195161000.0,11654276000,6670776000,8368085000,24749742000,15038861000,13095466000,0.0,7690538000,0.0,1643719000,8081989000,13422000,87865000,,2040135000,2040135000,205179000,-30576000.0,233276000,690917000,763381000.0,1069609000,6455000,0.0,,263852000.0,25163000,2049236000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,12584046000,7782627000,9058350000,26602072000,16840977000,14018026000,0.0,8386876000,0.0,1675672000,8137231000,22193000,108074000,,1899261000,1899261000,214939000,,237457000,690917000,734426000.0,1655958000,6312000,0.0,,,24856000,1990903000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,,13679203000,9258283000,11300104000,31289880000,20558387000,17610677000,233217000.0,10464521000,84892000.0,1762151000,8467124000,30453000,2385500000,,4290866000,4290866000,287010000,-119694000.0,527549000,690917000,28690000.0,2810313000,990652000,4269166000.0,,647243000.0,80785000,1919238000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,14238496000,8909988000,16320021000,38001298000,25230009000,23762802000,234699000.0,15459059000,95778000.0,2428783000,10462751000,52030000,1613562000,,4878016000,4878016000,322510000,,282978000,768598000,0.0,1922518000,1891328000,4253108000.0,,282978000.0,25477000,2462097000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,3055963000.0,15212240000,11650828000,16611400000,44186670000,28262228000,28974430000,475919000.0,15303003000,57047000.0,2512862000,13297631000,55355000,2037987000,,5513035000,5513035000,562172000,-198938000.0,378641000,843598000,0.0,3980061000,2548772000,4565940000.0,,577579000.0,66684000,2755396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,3730553000.0,14879255000,13018333000,18618988000,49158192000,31637321000,34278937000,505971000.0,17039100000,145476000.0,3249797000,14741418000,75941000,2061172000,,4791792000,4791792000,733846000,,439801000,865562000,0.0,4117696000,2556333000,5114178000.0,,439801000.0,61051000,3471899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,4737489000.0,15078059000,11418826000,21133274000,51640838000,32552100000,36562779000,340404000.0,19545788000,304126000.0,2524701000,15784448000,57775000,2595017000,,6090883000,6090883000,929578000,-302443000.0,1242995000,870743000,0.0,3944656000,2313955000,3470715000.0,,1545438000.0,70486000,3563928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,16756057000,16529816000,21988137000,58854608000,38517953000,42098551000,329561000.0,20223106000,266543000.0,2526159000,16532438000,57326000,2848491000,,4561707000,4561707000,1114141000,,1368729000,871477000,0.0,7457518000,2248494000,4206869000.0,,1368729000.0,70785000,4414330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,6966869000.0,18153002000,17772851000,26428482000,64491748000,44201333000,46338746000,415215000.0,24317803000,269189000.0,2967365000,16183833000,99083000,2959325000,,6373831000,6373831000,1320597000,-326904000.0,1379801000,872295000,0.0,6614864000,2458302000,4817755000.0,,1706705000.0,117564000,5786331000,167174000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,8444228000.0,19160269000,18617811000,31809000000,71536638000,50426811000,52376369000,487277000.0,29429933000,150066000.0,3074919000,16733611000,288390000,3067307000,,5540239000,5540239000,1497647000,,3798552000,870525000,2496232000.0,6530839000,2542034000,4379223000.0,,3798552000.0,130687000,7129719000,315377000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,9916929000.0,21974889000,20614591000,33665339000,81047270000,54279930000,59072381000,344625000.0,31265592000,134526000.0,3312200000,22806167000,90847000,3024152000,,10921037000,10921037000,1691342000,-426830000.0,2831452000,873787000,0.0,4812255000,3451932000,5234492000.0,,3258282000.0,135115000,9842824000,214150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,11741618000.0,20808861000,25154517000,32991393000,87702652000,58145910000,66893791000,373479000.0,28714993000,78591000.0,3529198000,25061726000,104659000,3321709000,,7536954000,7536954000,1982354000,,3596027000,875733000,0.0,8814549000,3563040000,5047854000.0,,3596027000.0,1492403000,10649187000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,13372912000.0,23538908000,27693378000,39726371000,100461072000,67419749000,76922164000,,35013892000,,3303632000,27407805000,135370000,2852976000,,9938829000,9938829000,2103997000,-596783000.0,3841866000,879382000,,8439828000,4292670000,,,4438649000.0,1435088000,11687517000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,30235295000,29591408000,47312339000,115381185000,76903747000,85145890000,,41482894000,,3679045000,32513167000,244500000,4018725000,,12984771000,12984771000,2345359000,,4197607000,941259000,,7452320000,4904264000,,,4197607000.0,1437076000,13433330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,17412180000.0,31976428000,36516547000,52052024000,126380708000,88568571000,94404280000,,46993731000,,3803072000,31840437000,225517000,4196758000,,12937647000,12937647000,2543849000,-802739000.0,4222798000,941299000,,8633031000,4060142000,,,5025537000.0,1396589000,17872645000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,20162439000.0,33610127000,37087690000,58269382000,139049264000,95357072000,105439137000,,52680131000,,3753628000,36113153000,229410000,4831730000,,10003881000,10003881000,2897919000,,4503097000,1001542000,,5232803000,4551646000,,,4503097000.0,1459995000,22038273000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
