date,quarterlyOtherIntangibleAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyAccountsReceivable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2010-03-31,1300881000,-1076863000,291029000,3514473000,7409000.0,794527000,116869000.0,794527000,2412497000,2874675000,466053000,1797812000,0.0,0.0,139466000.0,1480099000,611862000,515813000,,4645486000,3165387000,22705000.0,1127675000,202079000,546000.0,133916000,541451000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,1300881000,-1148923000,287260000,3607980000,8773000.0,653050000,118842000.0,653050000,2412497000,2959584000,548209000,1810661000,,0.0,,1450207000,726420000,457653000,,4795564000,3345357000,0.0,1184073000,146070000,154968000.0,195402000,589504000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,1300881000,-1255206000,291781000,3609147000,71672000.0,883968000,127107000.0,883968000,2412497000,3387391000,653594000,2132185000,,0.0,,1838331000,804325000,1071199000,,5489084000,3650753000,27242000.0,1875524000,752176000,143647000.0,171000000,708178000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,1300881000,-1325335000,289697000,3201269000,166893000.0,403800000,694263000.0,403800000,2412497000,3513764000,757400000,2188429000,,0.0,-185834000.0,1615689000,1509751000,624928000,9888000.0,5340757000,3725068000,0.0,2134679000,308254000,163417000.0,208423000,746638000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,1482169000,-1604126000,287542000,3384344000,0.0,725784000,289305000.0,725784000,2412497000,3861088000,728349000,2256962000,,0.0,,1659044000,1076642000,1041430000,,5515323000,3856279000,0.0,2118072000,724684000,55593000.0,190511000,735247000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,1431132000,-2170910000,285465000,2431194000,19664000.0,247360000,463108000.0,247360000,2412497000,3900630000,142892000,1729720000,,652596000.0,-978981000.0,1187468000,1327780000,685451000,,4461054000,3273586000,0.0,2013231000,368175000,7351000.0,235178000,580970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,1300881000,-1430768000,280880000,2364014000,5411000.0,565330000,373524000.0,565330000,0,2842713000,891226000,1411945000,,0.0,-985175000.0,1828877000,1460454000,795880000,,4649774000,2820897000,0.0,2256334000,480672000,1866000.0,180997000,584520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,1305620000,-1484673000,270450000,2326741000,5411000.0,626692000,145945000.0,626692000,2431007000,2868064000,525484000,1383391000,,0.0,-1020231000.0,1449013000,801699000,1077059000,,4234868000,2785855000,0.0,1878758000,712350000,1309000.0,145494000,544841000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,1300881000,-1485166000,275509000,2556400000,4815000.0,755442000,264388000.0,755442000,3359709000,2789407000,460258000,1304241000,,0.0,-769900000.0,1528360000,875276000,738843000,,4204300000,2675940000,0.0,1614119000,396472000,12857000.0,127955000,521912000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,1300881000,-1535958000,276261000,2498319000,1500000.0,512412000,80824000.0,512412000,0,2811386000,92466000,1275428000,,0.0,99788000.0,1375718000,783667000,700494000,,4021144000,2645426000,0.0,1484161000,356971000,12055000.0,125888000,624619000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
