date,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyNetPPE,quarterlyInventory,quarterlyAccountsReceivable,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,718381000,1522092000,1669515000.0,,,3699824000,1470559000,51533000,,52874000,10961000,3780443000,-356774000.0,1956000.0,37242000.0,3330000,0.0,1312741000,886969000,742255000,125456000.0,,94670000,1700887000,5400711000,1167373000,,1084256000,1167373000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,1127265000,2251636000,,,,4640463000,2196584000,55052000,0.0,49186000,14114000,4072001000,,10174000.0,38241000.0,2697000,0.0,1376821000,972930000,1522072000,21037000.0,,91380000,1780855000,6421318000,1092915000,10957000.0,1084256000,1092915000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,1012637000,2509610000,1838607000.0,,,5171010000,2368258000,141352000,,49209000,12899000,4405923000,-460848000.0,111980000.0,34970000.0,2333000,43427000.0,1377759000,1590491000,901236000,50585000.0,,59115000,1841339000,7012349000,1569479000,500739000.0,1084256000,1569479000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,1183248000,3817469000,,,,7027599000,3643657000,173812000,0.0,50043000,14191000,5014076000,,81406000.0,33717000.0,1944000,43427000.0,1399668000,1786345000,1521954000,50585000.0,,60589000,1898477000,8926076000,1430020000,1015418000.0,1084256000,1430020000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,906553647,3216494803,2014410487.0,,2218523143.0,6538145570,2919623850,296870953,,58694931,15725481,5316660857,-511377314.0,327838403.0,89923075.0,57075276,89647934.0,1503033173,1668583237,1119253348,125258321.0,,200313770,2116033801,8654179371,2157721027,639000000.0,1084255637,2157721027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,1219466555,3062286792,2134691454.0,,2334512850.0,6485449300,2797695463,264591329,0.0,58292061,16725611,5494536422,-578662592.0,20147247.0,88669619.0,23824643,101170238.0,1556028862,1593506558,2195034805,208526918.0,,191678407,2194618142,8680067442,1340875749,3770363.0,1084255637,1340875749,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,1987417284,3336749135,2334960683.0,129227463.0,2952057924.0,7203037857,3031571961,305177174,,60776186,16285166,6178224932,-634166476.0,1163640.0,129227463.0,28336915,51855957.0,1700794207,1109921460,2737063058,291978737.0,,256560513,2446673414,9649711271,2318915451,41370553.0,1084255637,2318915451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,2217275390,3769887536,2413702628.0,128174007.0,2913034394.0,7635056828,3449629272,320258264,0.0,57352802,12112741,6183430143,-693346428.0,1200018.0,128174007.0,49525627,51855957.0,1720356200,1580722701,3386156611,0.0,,253127834,2442230021,10077286849,1582982464,25674665.0,1084255637,1582982464,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,2678590473,4248362075,2595213256.0,150787851.0,3882348394.0,10812679116,3820516177,427845898,,13770533,15383539,9015898762,-764814017.0,609036.0,0.0,52179757,60690061.0,1830399239,1428041311,2693866426,233800674.0,1100000000.0,293744205,2585803207,13398482323,3136090686,43362327.0,1175476637,4236090686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,3530540045,5769505131,2701521882.0,138809395.0,4233346401.0,12787697181,5236341872,533163259,0.0,13770533,15462018,9471624883,-837787175.0,2187908.0,0.0,33596111,61197186.0,1863734707,2731255625,4066789988,0.0,1609786027.0,288521120,2637610213,15425307394,2729310261,53406505.0,1175476637,4339096288,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
