date,quarterlyDepreciationAndAmortization,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyTotalRevenue,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyCapitalExpenditure,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsPayable,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2015-03-31,2000000,,,,,,,5000000,,,-27000000.0,,-51000000,-19000000,-12000000,,-51000000,-51000000,,,,,,213000000,671000000,-10000000.0,,,22000000.0,17000000,,,-58000000,,,,-81000000,19000000,,,522000000,,,-30000000,,,,,,-52000000,6000000,,,249000000.0,-58000000.0,,-12000000,,23000000,-42000000,149000000,,4000000,,,,7000000,-75000000,,,,,,,,,
2015-06-30,2000000,,,,,,,-3000000,,,-24000000.0,,12000000,-17000000,-11000000,,12000000,12000000,,,,,,41000000,462000000,-14000000.0,,,12000000.0,15000000,,,41000000,,,,18000000,17000000,,,671000000,,,6000000,,,,,,-239000000,3000000,,,80000000.0,-242000000.0,,-11000000,,17000000,-5000000,-209000000,,6000000,,,,8000000,26000000,,,,,,,,,
2015-09-30,3000000,,,,,,,-1000000,0.0,,-88000000.0,,-121000000,-23000000,12000000,,-121000000,-121000000,,338000000.0,,0.0,,-42000000,404000000,-6000000.0,,,3000000.0,20000000,,0.0,-170000000,,,,-196000000,23000000,,,462000000,,,-75000000,,,,,,-29000000,-26000000,,-0.07,53000000.0,-3000000.0,,13000000,,-2000000,-75000000,-58000000,,3000000,,,,12000000,-190000000,335000000.0,-0.07,,,,,,,
2015-12-31,2000000,-124000000.0,97000000.0,,1093000000.0,,,3000000,0.0,1855000000.0,-357000000.0,1952000000.0,-15000000,-22000000,-57000000,969000000.0,-15000000,-15000000,18000000.0,,60000000.0,0.0,0.0,-250000000,76000000,12000000.0,3000000.0,1448000000.0,-37000000.0,20000000,983000000.0,0.0,11000000,0.0,1033000000.0,0.0,-18000000,22000000,,303000000.0,404000000,,76000000.0,-3000000,76000000.0,,104000000.0,-93000000.0,303000000.0,-53000000,-44000000,-32000000.0,,127000000.0,-47000000.0,,-25000000,197000000.0,-35000000,20000000,-328000000,17000000.0,7000000,255000000.0,3000000.0,,10000000,-9000000,,,,,,,,,
2016-03-31,3000000,-118000000.0,528000000.0,,1116000000.0,61000000.0,,-4000000,,1818000000.0,-99000000.0,2346000000.0,289000000,-23000000,428000000,998000000.0,289000000,289000000,7000000.0,83721405.0,57000000.0,,,-46000000,456000000,-2000000.0,4000000.0,1452000000.0,137000000.0,20000000,1348000000.0,,488000000,24000000.0,1035000000.0,,462000000,23000000,,,76000000,-1000000.0,517000000.0,173000000,456000000.0,,103000000.0,-88000000.0,263000000.0,-2000000,-1000000,,3.451925,55000000.0,,,428000000,191000000.0,139000000,35000000,380000000,21000000.0,3000000,,65000000.0,,8000000,468000000,83721405.0,3.451925,,,,,,,
2016-06-30,3000000,65000000.0,561000000.0,,1116000000.0,,,0,,1840000000.0,-159000000.0,2401000000.0,-45000000,-12000000,-43000000,1181000000.0,-45000000,-45000000,4000000.0,78947368.0,56000000.0,,,142000000,554000000,25000000.0,3000000.0,1522000000.0,-21000000.0,9000000,1220000000.0,,-39000000,29000000.0,1031000000.0,1000000.0,-55000000,12000000,,,456000000,0.0,554000000.0,-10000000,554000000.0,,92000000.0,-68000000.0,226000000.0,-1000000,-1000000,,-0.57,276000000.0,,,-43000000,160000000.0,-21000000,-24000000,98000000,21000000.0,4000000,,45000000.0,,2000000,-48000000,78947368.0,-0.57,,,,,,,
2016-09-30,1000000,45000000.0,228000000.0,,1648000000.0,,,9000000,0.0,2719000000.0,-1000000.0,2947000000.0,41000000,-16000000,49000000,1693000000.0,41000000,41000000,6000000.0,85416667.0,55000000.0,0.0,0.0,-745000000,220000000,-746000000.0,2000000.0,2334000000.0,-109000000.0,15000000,1254000000.0,0.0,68000000,47000000.0,1546000000.0,0.0,47000000,16000000,,,554000000,0.0,220000000.0,6000000,220000000.0,,91000000.0,-68000000.0,294000000.0,361000000,-77000000,,0.48,3000000.0,,,50000000,159000000.0,-107000000,91000000,-334000000,26000000.0,5000000,,12000000.0,,2000000,53000000,83673469.0,0.49,,,,,,,
2016-12-31,3000000,31000000.0,175000000.0,,1678000000.0,,,-7000000,0.0,2820000000.0,0.0,2995000000.0,40000000,-17000000,-58000000,1709000000.0,40000000,40000000,5000000.0,,56000000.0,0.0,0.0,8000000,168000000,8000000.0,2000000.0,2380000000.0,-19000000.0,14000000,1286000000.0,0.0,70000000,39000000.0,1583000000.0,0.0,46000000,17000000,,1000000.0,220000000,-1000000.0,168000000.0,6000000,168000000.0,,89000000.0,-71000000.0,350000000.0,-3000000,-2000000,-1000000.0,,1000000.0,,,-57000000,160000000.0,-40000000,10000000,-52000000,16000000.0,7000000,5000000.0,3000000.0,,1000000,56000000,,,,,,,,,
2017-03-31,72000000,748000000.0,781000000.0,-15000000.0,7234000000.0,,11706000000.0,42000000,96000000.0,11705000000.0,-3000000.0,12486000000.0,-96000000,-80000000,87000000,7982000000.0,-96000000,-96000000,118000000.0,179000000.0,56000000.0,68000000.0,3968000000.0,-1650000000,626000000,-3000000.0,37000000.0,1677000000.0,44000000.0,36000000,4504000000.0,28000000.0,14000000,524000000.0,6654000000.0,485000000.0,-122000000,108000000,-1647000000.0,5414000000.0,168000000,-928000000.0,626000000.0,-26000000,626000000.0,5000000.0,94000000.0,-72000000.0,552000000.0,2020000000,-2000000,-156000000.0,-0.55,,-306000000.0,-62000000.0,87000000,166000000.0,81000000,30000000,458000000,132000000.0,56000000,43000000.0,24000000.0,1550000000.0,8000000,6000000,173000000.0,-0.55,,,,,,,
2017-06-30,112000000,501000000.0,598000000.0,,6841000000.0,,,-18000000,616000000.0,11656000000.0,-3000000.0,12254000000.0,-27000000,33000000,-121000000,7342000000.0,-27000000,-27000000,85000000.0,214000000.0,58000000.0,414000000.0,3968000000.0,-14000000,443000000,-13000000.0,70000000.0,1706000000.0,-164000000.0,57000000,4912000000.0,202000000.0,-25000000,478000000.0,6305000000.0,315000000.0,-54000000,169000000,0.0,5313000000.0,626000000,-445000000.0,443000000.0,-27000000,443000000.0,,93000000.0,-76000000.0,576000000.0,-54000000,0,,-0.13,,,,-119000000,169000000.0,-172000000,-69000000,-183000000,122000000.0,62000000,,19000000.0,388000000.0,10000000,120000000,207000000.0,-0.13,,,,,,,
2017-09-30,111000000,510000000.0,575000000.0,,6474000000.0,,,13000000,501000000.0,11618000000.0,-2000000.0,12193000000.0,-37000000,-17000000,68000000,6984000000.0,-35000000,-37000000,78000000.0,218000000.0,63000000.0,354000000.0,3968000000.0,5000000,420000000,-1000000.0,77000000.0,1771000000.0,15000000.0,53000000,5207000000.0,147000000.0,28000000,477000000.0,5934000000.0,306000000.0,-46000000,164000000,0.0,5212000000.0,443000000,-301000000.0,420000000.0,-11000000,420000000.0,,98000000.0,-76000000.0,569000000.0,-106000000,-1000000,-8000000.0,-0.17,14000000.0,,,76000000,174000000.0,14000000,-14000000,-23000000,154000000.0,57000000,,20000000.0,0.0,10000000,122000000,216000000.0,-0.17,,,,,,,
2017-12-31,110000000,305000000.0,479000000.0,0.0,5826000000.0,,,-18000000,570000000.0,11323000000.0,-1000000.0,11802000000.0,415000000,24000000,-119000000,6131000000.0,415000000,415000000,113000000.0,,61000000.0,383000000.0,3956000000.0,-3000000,282000000,-4000000.0,84000000.0,1661000000.0,-254000000.0,53000000,5669000000.0,187000000.0,-61000000,-31000000.0,5796000000.0,8000000.0,-82000000,163000000,0.0,5110000000.0,420000000,1000000.0,282000000.0,-497000000,282000000.0,,95000000.0,-77000000.0,501000000.0,-13000000,-15000000,,,1000000.0,0.0,,-119000000,172000000.0,-205000000,-495000000,-138000000,258000000.0,45000000,0.0,9000000.0,0.0,4000000,73000000,,,,,,,,,
2018-03-31,111000000,615000000.0,563000000.0,0.0,5569000000.0,,,6000000,114000000.0,11279000000.0,-4000000.0,11842000000.0,-17000000,-118000000,178000000,6184000000.0,-17000000,-17000000,224000000.0,233000000.0,92000000.0,81000000.0,3956000000.0,16000000,270000000,8000000.0,69000000.0,1651000000.0,276000000.0,40000000,5655000000.0,33000000.0,88000000,-81000000.0,5558000000.0,413000000.0,-77000000,151000000,0.0,5002000000.0,282000000,-496000000.0,270000000.0,-60000000,270000000.0,,95000000.0,-87000000.0,575000000.0,-209000000,-2000000,-1000000.0,-0.07,9000000.0,0.0,,179000000,182000000.0,208000000,-47000000,-12000000,144000000.0,47000000,,11000000.0,,6000000,81000000,231000000.0,-0.07,,,,,,,
2018-06-30,116000000,579000000.0,467000000.0,0.0,5360000000.0,,13419000000.0,-4000000,585000000.0,11122000000.0,-395000000.0,11589000000.0,9000000,6000000,67000000,5939000000.0,10000000,9000000,155000000.0,232000000.0,93000000.0,414000000.0,3956000000.0,228000000,206000000,0.0,114000000.0,1473000000.0,20000000.0,49000000,5648000000.0,171000000.0,52000000,-86000000.0,5353000000.0,355000000.0,11000000,165000000,-4000000.0,4953000000.0,270000000,-354000000.0,198000000.0,1000000,198000000.0,5000000.0,94000000.0,-86000000.0,646000000.0,-358000000,-4000000,-2000000.0,0.04,234000000.0,0.0,-69000000.0,69000000,180000000.0,-9000000,-6000000,-64000000,176000000.0,47000000,18000000.0,9000000.0,,6000000,174000000,231000000.0,0.04,,,,,,,
2018-09-30,118000000,501000000.0,408000000.0,0.0,5296000000.0,,,-1000000,647000000.0,11075000000.0,,11483000000.0,42000000,31000000,25000000,5797000000.0,42000000,42000000,104000000.0,232000000.0,101000000.0,450000000.0,3956000000.0,-12000000,155000000,-3000000.0,153000000.0,1568000000.0,-73000000.0,48000000,5684000000.0,197000000.0,94000000,-70000000.0,5265000000.0,235000000.0,76000000,166000000,-2000000.0,4845000000.0,206000000,-77000000.0,151000000.0,34000000,151000000.0,,92000000.0,-87000000.0,614000000.0,-73000000,5000000,-8000000.0,0.18,1000000.0,0.0,,33000000,179000000.0,-59000000,16000000,-51000000,224000000.0,49000000,,3000000.0,,7000000,243000000,231000000.0,0.18,,,,,,,
2018-12-31,115000000,360000000.0,310000000.0,,5044000000.0,,,2000000,481000000.0,10647000000.0,,10957000000.0,-184000000,-29000000,-16000000,5404000000.0,-185000000,-184000000,40000000.0,,96000000.0,328000000.0,3956000000.0,-5000000,160000000,1000000.0,110000000.0,1449000000.0,-90000000.0,67000000,5550000000.0,153000000.0,-132000000,-91000000.0,5039000000.0,93000000.0,-210000000,182000000,-3000000.0,4736000000.0,155000000,-382000000.0,160000000.0,-25000000,160000000.0,,90000000.0,-88000000.0,416000000.0,24000000,-5000000,-3000000.0,,0.0,,,-13000000,178000000.0,-42000000,-49000000,5000000,233000000.0,49000000,,9000000.0,,6000000,-46000000,,,,,,,,,
2019-03-31,110000000,629000000.0,566000000.0,0.0,5343000000.0,,,1000000,246000000.0,10801000000.0,,11367000000.0,-148000000,-58000000,216000000,5972000000.0,-148000000,-148000000,84000000.0,233000000.0,139000000.0,148000000.0,3956000000.0,-10000000,372000000,,110000000.0,1478000000.0,243000000.0,46000000,5392000000.0,98000000.0,-84000000,0.0,5204000000.0,410000000.0,-192000000,156000000,-2000000.0,4632000000.0,160000000,-2000000.0,372000000.0,-44000000,372000000.0,,90000000.0,-91000000.0,645000000.0,-3000000,-1000000,-8000000.0,-0.64,0.0,0.0,,224000000,181000000.0,209000000,-44000000,212000000,164000000.0,50000000,,23000000.0,,7000000,-32000000,231000000.0,-0.64,,,,,,,
2019-06-30,114000000,538000000.0,574000000.0,0.0,5414000000.0,,,-7000000,620000000.0,10724000000.0,,11298000000.0,-77000000,14000000,-28000000,5952000000.0,-77000000,-77000000,102000000.0,233000000.0,158000000.0,441000000.0,3956000000.0,-11000000,334000000,,138000000.0,1196000000.0,-94000000.0,51000000,5343000000.0,179000000.0,-50000000,0.0,5256000000.0,287000000.0,-87000000,165000000,-4000000.0,4522000000.0,372000000,-1000000.0,334000000.0,-10000000,334000000.0,,90000000.0,-91000000.0,960000000.0,-1000000,0,-3000000.0,-0.33,0.0,0.0,,-25000000,181000000.0,-95000000,-32000000,-38000000,225000000.0,51000000,,18000000.0,,8000000,78000000,231000000.0,-0.33,,,,,,,
2019-09-30,116000000,507000000.0,653000000.0,,5495000000.0,,,2000000,633000000.0,10708000000.0,,11361000000.0,41000000,32000000,61000000,6002000000.0,42000000,41000000,137000000.0,233000000.0,166000000.0,434000000.0,3956000000.0,-1000000,419000000,0.0,97000000.0,1208000000.0,,51000000,5356000000.0,199000000.0,86000000,0.0,5329000000.0,245000000.0,70000000,167000000,-1000000.0,4412000000.0,334000000,-2000000.0,419000000.0,28000000,419000000.0,,100000000.0,-92000000.0,1032000000.0,14000000,16000000,-16000000.0,0.18,16000000.0,,,77000000,192000000.0,-25000000,18000000,85000000,240000000.0,48000000,,19000000.0,,6000000,234000000,231000000.0,0.18,,,,,,,
