date,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyStockholdersEquity,quarterlyBasicEPS,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyInventory,quarterlyGoodwill,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment
1984-03-31,,,,,,,0.27,,,,,,,,,,,,,,,479500000,,,,,,479500000,479500000,285412000.0,,,,,,,,0.27,,,,,,,,,,,,,98200000,,,,,,,285412000.0,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,0.15,,,,,,,,,,,,,,,351300000,,,,,,351300000,351300000,289732000.0,,,,,,,,0.15,,,,,,,,,,,,,66000000,,,,,,,289732000.0,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,0.18,,,,,,,,,,,,,,,350000000,,,,,,350000000,350000000,293984000.0,,,,,,,,0.18,,,,,,,,,,,,,76500000,,,,,,,293984000.0,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,,,,,,382000000,,,,,,382000000,382000000,,,,,,,,,,,,,,,,,,,,,,78100000,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,0.275,,,,,,,,,,,,,,,486500000,,,,,,486500000,486500000,298052000.0,,,,,,,,0.275,,,,,,,,,,,,,104600000,,,,,,,298052000.0,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,0.12,,,,,,,,,,,,,,,480400000,,,,,,480400000,480400000,298052000.0,,,,,,,,0.12,,,,,,,,,,,,,58900000,,,,,,,298052000.0,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,0.13,,,,,,,,,,,,,,,483800000,,,,,,483800000,483800000,298052000.0,,,,,,,,0.13,,,,,,,,,,,,,60600000,,,,,,,298052000.0,,,,,,,,,,,,,,,,,,,
1985-12-31,,,,,,,,,,,,,,,,,,,,,,525800000,,,,,,525800000,525800000,,,,,,,,,,,,,,,,,,,,,,66500000,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-03-31,,,,,,,0.25,,,,,,,,,,,,,,,596100000,,,,,,596100000,596100000,298052000.0,,,,,,,,0.25,,,,,,,,,,,,,95200000,,,,,,,298052000.0,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,0.145,,,,,,,,,,,,,,,518500000,,,,,,518500000,518500000,298052000.0,,,,,,,,0.145,,,,,,,,,,,,,60500000,,,,,,,298052000.0,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,0.175,,,,,,,,,,,,,,,528700000,,,,,,528700000,528700000,298052000.0,,,,,,,,0.175,,,,,,,,,,,,,67500000,,,,,,,298052000.0,,,,,,,,,,,,,,,,,,,
1986-12-31,,,,,,,,,,,,,,,,,,,,,,545600000,,,,,,545600000,545600000,,,,,,,,,,,,,,,,,,,,,,76900000,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-03-31,,,,,,,0.265,,,,,,,,,,,,,,,550300000,,,,,,550300000,550300000,298052000.0,,,,,,,,0.265,,,,,,,,,,,,,91400000,,,,,,,298052000.0,,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,0.17,,,,,,,,,,,,,,,484400000,,,,,,484400000,484400000,298052000.0,,,,,,,,0.17,,,,,,,,,,,,,64700000,,,,,,,298052000.0,,,,,,,,,,,,,,,,,,,
1987-09-30,,,,,,,0.19,,,,,,,,,,,,,,,500100000,,,,,,500100000,500100000,298052000.0,,,,,,,,0.19,,,,,,,,,,,,,69600000,,,,,,,298052000.0,,,,,,,,,,,,,,,,,,,
1987-12-31,,,,,,,,,,,,,,,,,,,,,,554100000,,,,,,554100000,554100000,,,,,,,,,,,,,,,,,,,,,,76800000,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-03-31,,,,,,,0.33,,,,,,,,,,,,,,,607400000,,,,,,607400000,607400000,299652000.0,,,,,,,,0.33,,,,,,,,,,,,,111600000,,,,,,,299652000.0,,,,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,0.18,,,,,,,,,,,,,,,521600000,,,,,,521600000,521600000,299888000.0,,,,,,,,0.18,,,,,,,,,,,,,68400000,,,,,,,299888000.0,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,0.215,,,,,,,,,,,,,,,532900000,,,,,,532900000,532900000,300088000.0,,,,,,,,0.215,,,,,,,,,,,,,76200000,,,,,,,300088000.0,,,,,,,,,,,,,,,,,,,
1988-12-31,,,,,,,,,,,,,,,,,,,,,,552000000,,,,,,552000000,552000000,,,,,,,,,,,,,,,,,,,,,,75800000,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-03-31,,,,,,,0.295,,,,,,,,,,,,,,,613100000,,,,,,613100000,613100000,277788000.0,,,,,,,,0.295,,,,,,,,,,,,,101200000,,,,,,,277788000.0,,,,,,,,,,,,,,,,,,,
1989-06-30,,,,,,,0.175,,,,,,,,,,,,,,,532800000,,,,,,532800000,532800000,369714286.0,,,,,,,,0.175,,,,,,,,,,,,,64700000,,64700000.0,,,,,369714286.0,,,64700000.0,,,,,,,,,,,,,,,,
1989-09-30,,,,,,,0.225,,,,,,,,,,,,,,,548600000,,,,,,548600000,548600000,352888889.0,,,,,,,,0.225,,,,,,,,,,,,,79400000,,79400000.0,,,,,352888889.0,,,79400000.0,,,,,,,,,,,,,,,,
