date,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDilutedAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyBasicAverageShares,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue
1984-03-31,108300000,,108300000,108300000,,,44096000.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,3000000,,,,,,,,,,,,,,,,44096000.0,,,,,,,,,,,,,,,,,,,,,0.07,,,,,
1984-06-30,111800000,,-278000000,-278000000,,,,,,,157900000.0,,163600000.0,,166400000.0,,90000000.0,,,83300000.0,,,,,108800000.0,,,,,,,61200000.0,,,2600000,,67900000.0,1200000.0,0.0,32900000.0,,,,103500000.0,,,-73400000.0,6400000.0,6700000.0,,,,,,,90200000.0,,57100000.0,,,100300000.0,266700000.0,,,3700000.0,,,,,,2400000.0,,2400000.0,,,,
1984-09-30,111000000,,111000000,111000000,,,44096000.0,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,2600000,,,,,,,,,,,,,,,,44096000.0,,,,,,,,,,,,,,,,,,,,,0.06,,,,,
1984-12-31,112800000,,112800000,112800000,,,44532000.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,2800000,,,,,,,,,,,,,,,,44532000.0,,,,,,,,,,,,,,,,,,,,,0.07,,,,,
1985-03-31,104800000,,104800000,104800000,,,44532000.0,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,2600000,,,,,,,,,,,,,,,,44532000.0,,,,,,,,,,,,,,,,,,,,,0.06,,,,,
1985-06-30,112000000,,-301800000,-301800000,,,,,,,148600000.0,,176300000.0,,162800000.0,,81700000.0,,,88400000.0,,,,,114800000.0,,,,,,,58000000.0,,,2700000,,66900000.0,1200000.0,0.0,29500000.0,,,,97000000.0,,,-82600000.0,6900000.0,8900000.0,,,,,,,93700000.0,,52200000.0,,,100600000.0,263400000.0,,,,,,,,,3500000.0,,3500000.0,,,,
1985-09-30,111000000,,111000000,111000000,,,44532000.0,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,2600000,,,,,,,,,,,,,,,,44532000.0,,,,,,,,,,,,,,,,,,,,,0.06,,,,,
1985-12-31,112800000,,112800000,112800000,,,44532000.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,2800000,,,,,,,,,,,,,,,,44532000.0,,,,,,,,,,,,,,,,,,,,,0.07,,,,,
1986-03-31,104800000,,104800000,104800000,,,44532000.0,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,2600000,,,,,,,,,,,,,,,,44532000.0,,,,,,,,,,,,,,,,,,,,,0.06,,,,,
1986-06-30,112000000,,-301800000,-301800000,,,,,,,148600000.0,,176300000.0,,162800000.0,,81700000.0,,,88400000.0,,,,,114800000.0,,,,,,,58000000.0,,,2700000,,66900000.0,1200000.0,0.0,29500000.0,,,,97000000.0,,,-82600000.0,6900000.0,8900000.0,,,,,,,93700000.0,,52200000.0,,,100600000.0,263400000.0,,,,,,,,,3500000.0,,3500000.0,,,,
1986-09-30,113800000,,113800000,113800000,,,44732000.0,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,4700000,,,,,,,,,,,,,,,,44732000.0,,,,,,,,,,,,,,,,,,,,,0.09,,,,,
1986-12-31,105500000,,105500000,105500000,,,44900000.0,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,4600000,,,,,,,,,,,,,,,,44900000.0,,,,,,,,,,,,,,,,,,,,,0.09,,,,,
1987-03-31,106900000,,106900000,106900000,,,51780000.0,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,4500000,,,,,,,,,,,,,,,,51780000.0,,,,,,,,,,,,,,,,,,,,,0.09,,,,,
1987-06-30,103500000,,-287300000,-287300000,,,,,,,147300000.0,,186900000.0,,157100000.0,,81700000.0,,,100800000.0,,,,,127700000.0,,,,,,,52100000.0,,,3400000,,65600000.0,2600000.0,0.0,32100000.0,,,,92000000.0,,,-87200000.0,18200000.0,13500000.0,,,,,,,99700000.0,,49600000.0,,,117900000.0,275000000.0,,,,,,,,,2200000.0,,2200000.0,,,,
1987-09-30,114500000,,114500000,114500000,,,51993000.0,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,6400000,,,,,,,,,,,,,,,,51993000.0,,,,,,,,,,,,,,,,,,,,,0.13,,,,,
1987-12-31,108300000,,108300000,108300000,,,51556000.0,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,4500000,,,,,,,,,,,,,,,,51556000.0,,,,,,,,,,,,,,,,,,,,,0.09,,,,,
1988-03-31,109300000,,109300000,109300000,,,45930000.0,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,5000000,,,,,,,,,,,,,,,,45930000.0,,,,,,,,,,,,,,,,,,,,,0.1,,,,,
1988-06-30,121300000,,-290900000,-290900000,,,,,,,152200000.0,,196000000.0,,168600000.0,,88900000.0,,,90600000.0,,,,,134100000.0,,,,,,,49500000.0,,,5900000,,63300000.0,1500000.0,0.0,40500000.0,,,,94500000.0,,,-97700000.0,19400000.0,13800000.0,,,,,,,98300000.0,,48400000.0,,,117700000.0,286300000.0,,,,,,,,,4000000.0,,4000000.0,,,,
