date,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyDilutedEPS,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyPretaxIncome,quarterlyBasicEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyBasicAverageShares,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyInventory
1998-03-31,725300000,,202600000,,-4900000,,,,900000.0,1600000,,,10300000,9700000,1600000,,9700000,,,,,,-4700000,200000.0,0.4,4700000.0,,13700000,-8100000,-600000,-5600000,,600000,224600000,,,,,,,24250000.0,,,18600000,,498500000,100000,,-57900000,,646800000.0,-3100000,,28600000,,,-300000,,,0.4,-5600000,5400000.0,,24250000.0,8800000,22300000,-8200000.0,,,,646800000.0,27000000,,,,,
1998-06-30,794500000,,252300000,,18100000,,,,1300000.0,1800000,,,10000000,9900000,1900000,,9900000,,,,,,-4300000,,0.4,4100000.0,,31800000,-18300000,-10500000,-700000,,-15700000,276600000,,,,,,,24750000.0,,,13700000,,515300000,9600000,,-14900000,,706500000.0,400000,,27400000,,,-700000,,,0.4,24200000,0.0,,24750000.0,12200000,21300000,-27900000.0,,,,706500000.0,25600000,,,,,
1998-09-30,801800000,,263600000,,-24800000,,,,1600000.0,2000000,,,10100000,10100000,1300000,,10100000,,,,,0.0,-4400000,,0.4,4900000.0,,7000000,-33400000,-9300000,-10300000,,-19000000,289800000,,,,,,,25250000.0,,,31800000,,517100000,800000,,-10300000,,727100000.0,2900000,,28200000,,,-1000000,,,0.4,-6500000,1800000.0,,25250000.0,15100000,21800000,-34100000.0,,,,727100000.0,26200000,,,,,
1998-12-31,813264000,,271298000,,-1313000,,,,2100000.0,2000000,,325358000.0,8585000,8564000,1860000,,8564000,,,5673000.0,5673000.0,35000.0,76598000,,,4500000.0,,5673000,-11725000,-10420000,-2653000,,-98412000,306283000,,,,,,7013000.0,,,-719000.0,7000000,517755000.0,514233000,80166000,,-25282000,,453181000.0,5259000,,-54568000,,,-2803000,,,,-5432000,100000.0,,,15844000,20030000,-114256000.0,,,,453181000.0,-56568000,,,,,
1999-03-31,836400000,,293900000,,-200000,,,,1200000.0,2000000,,,9900000,9900000,1900000,,9900000,,,,,,-5000000,,0.39,4100000.0,,5500000,-24300000,-10500000,-800000,,-8800000,322100000,,,,,,,25384615.0,,,5700000,,517500000,-4600000,,-4000000,,767900000.0,-1000000,,28700000,,,-3600000,,,0.39,13200000,700000.0,,25384615.0,10900000,21700000,-19700000.0,,,,767900000.0,26700000,,,,,
1999-06-30,859100000,,315000000,,-900000,,,,1200000.0,2100000,,,9600000,9600000,1900000,,9600000,,,,,,-5100000,,0.38,4700000.0,,4600000,-23800000,-10600000,-4100000,,31200000,342900000,,,,,,,25263158.0,,,5500000,,518900000,-38200000,,0,,782300000.0,1800000,,29200000,,,-4700000,,,0.38,9500000,0.0,,25263158.0,13500000,22000000,17700000.0,,,,782300000.0,27100000,,,,,
1999-09-30,863900000,,321800000,,1600000,,,,1200000.0,2900000,,,9500000,9500000,2300000,,9500000,,,,,0.0,-6200000,,0.37,5400000.0,,6200000,-17900000,-10700000,1200000,,-49500000,350400000,,,,,,,25675676.0,,,4600000,523300000.0,516600000,42700000,,-42000000,,783200000.0,-1700000,,33200000,,,-6000000,,,0.37,8700000,0.0,,25675676.0,10700000,24100000,-60200000.0,,,,783200000.0,30300000,,,,,
1999-12-31,856259000,,317351000,,-3876000,,,,874000.0,4192000,,327723000.0,5078000,5039000,2045000,,5039000,,,2297000.0,2297000.0,24000.0,89422000,,,4601000.0,,2297000,10811000,31800000,-43027000,,-50051000,349931000,,,,,,7227000.0,,,-910000.0,6200000,526130000.0,512600000,64348000,,21804000,,501350000.0,11625000,,-64624000,,,-11560000,,,,-28047000,-48000.0,,,13141000,20606000,-63192000.0,,,,501350000.0,-68816000,,,,,
2000-03-31,871095000,,340024000,,6912000,,,,3034000.0,3127000,,328478000.0,9625000,9625000,1913000,,9625000,,,42129000.0,9209000.0,,19897000,,0.38,6010000.0,,9209000,-11520000,-10716000,-641000,,-8257000,373736000,,0.0,-8687000.0,1330000.0,,6656000.0,25624346.0,,-1710000.0,2297000,527876000.0,503515000,11515000,,-1638000,,508559000.0,1057000,,6506000,,1330000.0,-12904000,,,0.38,3318000,0.0,32920000.0,25624346.0,15139000,23276000,-23396000.0,,,,508559000.0,3379000,,,,,
2000-06-30,960301000,,348540000,,-692000,,,,1190000.0,4100000,,329324000.0,-30041000,-30041000,2405000,,-30041000,,-38943000.0,8517000.0,8517000.0,,23618000,,-1.18,6874000.0,88479000.0,8517000,189000,-11938000,659000,,33138000,377393000,,,-3517000.0,,,-1190000.0,25425965.0,,-1698000.0,9209000,660151000.0,581918000,-12561000,965000.0,-1783000,,10202000.0,37879000,,7093000,,,-56977000,,-29076000.0,-1.18,-11485000,0.0,,25425965.0,10608000,26611000,21664000.0,,,,10202000.0,2993000,,,,,
2000-09-30,970034000,,359883000,,11006000,,,,2093000.0,6903000,,331701000.0,11375000,11375000,5925000,,11375000,,208000.0,19523000.0,19523000.0,-3313000.0,29267000,,0.335078,7153000.0,87966000.0,19523000,1586000,-14311000,27000,,11897000,390131000,,,-82000.0,,,-2093000.0,33947369.0,,-2900000.0,8517000,660090000.0,578243000,3971000,648000.0,-2316000,,10027000.0,7398000,,11565000,,,-59850000,,12023000.0,0.34,-2638000,0.0,,33718638.0,12124000,33929000,-227000.0,,,,10027000.0,4662000,,,,,
2000-12-31,904242000,,305468000,,-9358000,,,,2655000.0,8039000,,335100000.0,-237000,-237000,6472000,,-237000,,-888000.0,10165000.0,10165000.0,14580000.0,39995000,,,6534000.0,,10165000,50703000,-12992000,-1412000,,-23402000,340565000,,44166000.0,-1658000.0,4816000.0,,-2655000.0,,,-3125000.0,19523000,644749000.0,562073000,35936000,2323000.0,-84890000,,433867000.0,-3799000,,4479000,,16574000.0,-74260000,,2086000.0,,-80693000,0.0,,,20577000,36435000,-43979000.0,,,,433867000.0,-3560000,,,,,
2001-03-31,901862000,,297283000,,2266000,,,,1241000.0,6954000,,332197000.0,12639000,12639000,6241000,,12639000,,1713000.0,12431000.0,12431000.0,-4081000.0,26387000,,0.365456,,91019000.0,12431000,1833000,-14202000,1073000,,8599000,329482000,,7171000.0,-325000.0,-835000.0,,-1241000.0,34584163.0,,-3588000.0,10165000,656191000.0,571224000,4060000,180000.0,-15453000,,24237000.0,-2854000,,12464000,,-2823000.0,-76131000,,12819000.0,0.37,-13454000,,,34268978.0,13916000,31897000,-5317000.0,,,,24237000.0,5510000,1814000.0,,,,
2001-06-30,904533000,,300119000,,-3255000,,,,1567000.0,6601000,,328214000.0,11752000,11752000,6650000,,11752000,,1020000.0,9176000.0,9176000.0,-4510000.0,27377000,,0.34,5356000.0,88322000.0,9176000,-4590000,-14478000,3142000,,14372000,332544000,,351000.0,0.0,-1468000.0,,-1567000.0,34719525.0,,-3700000.0,12431000,658703000.0,570553000,-4279000,2905000.0,-24628000,,28821000.0,-7213000,,14882000,,-616000.0,-79023000,,14657000.0,0.34,-9175000,,,34402356.0,10524000,35658000,2379000.0,,,,28821000.0,8281000,,,,,
2001-09-30,919896000,,312182000,,3484000,,,,2167000.0,6714000,,330329000.0,11237000,11237000,6874000,,11237000,,1827000.0,12660000.0,12660000.0,-9909000.0,26027000,,0.32,,85345000.0,12660000,-9280000,-14648000,-10177000,,15284000,348508000,,987000.0,0.0,-1786000.0,,-2167000.0,34855481.0,,-3122000.0,9176000,660455000.0,569882000,342000,2883000.0,-23308000,,37892000.0,-1871000,,14028000,,-96000.0,-82505000,,14120000.0,0.33,-3254000,879000.0,,34535728.0,15984000,33341000,-700000.0,,,,37892000.0,7314000,,,,,
2001-12-31,915883000,,312305000,,-3790000,,,,1312000.0,6877000,,308670000.0,133000,133000,9580000,,133000,6608000.0,-12360000.0,8870000.0,8870000.0,18500000.0,29145000,,,5672000.0,92810000.0,8870000,-1331000,-14720000,8670000,,-29911000,354630000,,-5741000.0,0.0,,,-1312000.0,,,-3432000.0,12660000,664751000.0,559665000,34274000,2549000.0,-27506000,,435629000.0,7908000,,16247000,,,-97200000,,2682000.0,,-20932000,3456000.0,,,18453000,38515000,-48364000.0,,,,435629000.0,9370000,,,,,
2002-03-31,898079000,,281570000,,4043000,,,,1715000.0,6001000,,293472000.0,13729000,13729000,7375000,40964000.0,13729000,8717000.0,1445000.0,65320000.0,12913000.0,-413000.0,24983000,,0.38,4654000.0,50020000.0,12913000,17195000,-14830000,-1423000,,17624000,324951000,,896000.0,0.0,-1425000.0,,-1715000.0,35939985.0,,-3602000.0,8870000,677712000.0,571552000,17868000,2893000.0,-29906000,,8735000.0,-3877000,,16524000,,2927000.0,-98592000,,16622000.0,0.39,-31936000,2223000.0,52407000.0,35289369.0,18780000,35506000,-1156000.0,,,,8735000.0,10523000,,,,,
2002-06-30,891069000,,257302000,,-7000,,,,1893000.0,6085000,,268869000.0,23729000,23592000,9339000,40964000.0,23592000,11266000.0,11651000.0,12906000.0,12906000.0,-91000.0,29531000,,0.65,,48194000.0,12906000,26759000,-15119000,0,,11625000,302225000,,718000.0,0.0,2801000.0,,-1893000.0,36142003.0,,-2559000.0,12913000,687076000.0,587080000,25514000,4422000.0,-47961000,,8799000.0,-16324000,,18144000,,-1551000.0,-90340000,,28151000.0,0.66,-37798000,4282000.0,,35588117.0,11007000,41590000,1236000.0,,,,8799000.0,12059000,3633000.0,,,,
2002-09-30,870763000,,229723000,,-908000,,,,1440000.0,5666000,,261352000.0,12542000,12985000,10066000,40964000.0,12985000,18367000.0,450000.0,71848000.0,11998000.0,-1050000.0,26107000,,0.36,4054000.0,46367000.0,11998000,14793000,-15341000,0,,21230000,282607000,,859000.0,,-9987000.0,,-1440000.0,36423026.0,,-2647000.0,12906000,689026000.0,587239000,17280000,4052000.0,-46847000,,7671000.0,-8235000,,17756000,,3574000.0,-92774000,,16594000.0,0.36,-39222000,1966000.0,59850000.0,35829687.0,23526000,38197000,-2296000.0,,,,7671000.0,12090000,,,,,
2002-12-31,893524000,,247923000,,9306000,,,,1319000.0,3132000,,67742000.0,-16048000,-3719000,15858000,49874000.0,-3719000,,2682000.0,21304000.0,21304000.0,-11618000.0,18934000,,,,44567000.0,21304000,-6826000,-15418000,636000,,10623000,319668000,,3087000.0,,,,1126000.0,,,-2065000.0,11998000,690594000.0,572372000,13665000,6841000.0,-18338000,,629532000.0,36860000,,38654000,,,-111970000,,-9207000.0,,-6305000,1615000.0,,,22583000,52553000,-11960000.0,,,,629532000.0,33619000,,,,,
2003-03-31,879574000,,223790000,,-4734000,,,,,5902000,,256987000.0,16559000,17273000,12061000,49874000.0,17273000,22414000.0,1803000.0,16570000.0,16570000.0,,29304000,,0.46,3923000.0,42895000.0,16570000,8399000,-15489000,-14965000,,14925000,292648000,,784000.0,,-5449000.0,,8700000.0,37211485.0,,-2235000.0,21304000,702937000.0,585295000,8078000,7024000.0,-35965000,,7573000.0,-6074000,,23759000,2651000.0,-4364000.0,-110438000,,23583000.0,0.48,-28674000,1780000.0,,36389289.0,15388000,47161000,-463000.0,,,,7573000.0,17857000,,,,,
2003-06-30,878606000,,215258000,,-1686000,,,,,5324000,,248201000.0,13977000,12974000,10821000,49874000.0,12974000,23382000.0,1593000.0,78771000.0,14884000.0,,24509000,,0.34,3902000.0,41902000.0,14884000,8505000,-15730000,-11974000,,14384000,292490000,,7311000.0,,-1700000.0,,12829000.0,37758129.0,,-520000.0,16570000,705956000.0,584397000,1656000,3338000.0,-23974000,,3681000.0,-4314000,,17144000,677000.0,185000.0,-113304000,,17315000.0,0.35,-25029000,2675000.0,63887000.0,36519037.0,14846000,36329000,-462000.0,,,,3681000.0,11820000,,,,,
2003-09-30,881078000,,207913000,,2163000,,,,,5692000,,253434000.0,14020000,14047000,12102000,49874000.0,14047000,28576000.0,1277000.0,86489000.0,17047000.0,,26404000,,0.37,3687000.0,40215000.0,17047000,9891000,-15841000,-7640000,,13034000,292058000,,-5918000.0,,-4216000.0,,16237000.0,38239815.0,,926000.0,14884000,708072000.0,587280000,16550000,8717000.0,-28640000,,3921000.0,-7617000,,23465000,5194000.0,-3541000.0,-115175000,,22737000.0,0.38,-21473000,2008000.0,69442000.0,36650893.0,13775000,44177000,-741000.0,,,,3921000.0,17773000,,,,,
2003-12-31,906505000,,229637000,,7312000,,,,1163000.0,1996000,,265252000.0,17916000,18584000,8715000,63607000.0,18584000,29532000.0,30223000.0,107159000.0,24359000.0,-11774000.0,22828000,52296000.0,,3604000.0,38528000.0,24359000,-2566000,-15918000,469000,,22665000,308014000,,1326000.0,,-2059000.0,,15086000.0,,,2496000.0,17047000,709724000.0,596639000,8283000,71000.0,-28214000,,421543000.0,21143000,,18832000,1247000.0,-19128000.0,-112570000,,17987000.0,,-14123000,1326000.0,82800000.0,,23842000,37220000,-1177000.0,,,,421543000.0,14392000,1810000.0,,,,
2004-03-31,890216000,,209673000,,-8638000,,,,1268000.0,5701000,,271038000.0,11388000,11092000,10739000,63607000.0,11092000,28880000.0,1717000.0,104658000.0,15721000.0,-4290000.0,21407000,51953000.0,0.28,3598000.0,36840000.0,15721000,-4840000,-16864000,-570000,,14829000,285465000,,782000.0,-2543000.0,4677000.0,,9052000.0,38757405.0,,1578000.0,24359000,726182000.0,603383000,-524000,3405000.0,-26570000,,20793000.0,3150000,,21695000,-652000.0,-3654000.0,-117727000,,14793000.0,0.3,-19219000,758000.0,88937000.0,37314792.0,15637000,37401000,-808000.0,,,,20793000.0,15994000,3318000.0,,,,
2004-06-30,884131000,,192265000,,-521000,,,,1211000.0,5652000,,280387000.0,20209000,15480000,14382000,63607000.0,15480000,32985000.0,1156000.0,114353000.0,15200000.0,0.0,22991000,18957000.0,0.4,3370000.0,35152000.0,15200000,7574000,-16502000,-18257000,,24795000,278597000,,913000.0,0.0,-5669000.0,,15205000.0,38595391.0,,1751000.0,15721000,727654000.0,604401000,7709000,8732000.0,-34257000,,406840000.0,-10459000,,36094000,4104000.0,5432000.0,-118669000,,28941000.0,0.41,-33279000,1480000.0,99153000.0,37404485.0,25319000,53433000,-524000.0,,,,406840000.0,30442000,5212000.0,,,,
2004-09-30,1016220000,,276962000,,7954000,,,,1453000.0,5458000,,304462000.0,33267000,35154000,14563000,63607000.0,35154000,38466000.0,242000.0,131852000.0,23154000.0,-111232000.0,30800000,7146000.0,0.9,3664000.0,52951000.0,23154000,-102811000,-16349000,58721000,,66838000,389228000,,4157000.0,0.0,-7810000.0,,17960000.0,38929696.0,,790000.0,15200000,731097000.0,625772000,3906000,32610000.0,-34279000,,488510000.0,26664000,,75756000,5481000.0,-644000.0,-99935000,,65877000.0,0.94,43796000,1424000.0,108698000.0,37472823.0,67004000,99271000,-166000.0,,,,488510000.0,68471000,22711000.0,,,,
2004-12-31,1013539000,,294731000,,-6439000,,,,1389000.0,10785000,,110379000.0,3628000,2124000,11301000,63607000.0,2124000,40349000.0,1917000.0,127094000.0,16715000.0,0.0,24756000,,,4206000.0,50501000.0,16715000,3101000,-15358000,11377000,,-9209000,392064000,,116603000.0,0.0,-6058000.0,,18449000.0,,,3800000.0,23154000,734658000.0,620068000,-113404000,8228000.0,-22522000,,676149000.0,-22398000,,24024000,1884000.0,-1506000.0,-114431000,,11856000.0,,-994000,2987000.0,110379000.0,,-9111000,37995000,-98000.0,,,,676149000.0,13239000,3909000.0,,,,
2005-03-31,993001000,,283764000,,7713000,,,,1778000.0,6076000,,251832000.0,14480000,5855000,13811000,63607000.0,5855000,37219000.0,386000.0,139587000.0,24428000.0,0.0,20578000,,0.15,4313000.0,48051000.0,24428000,4714000,-16584000,-9178000,,27189000,381216000,,1937000.0,0.0,7389000.0,,13286000.0,39377650.0,,2252000.0,16715000,738783000.0,610357000,-836000,5853000.0,-29178000,,468544000.0,15532000,,29494000,-1140000.0,1178000.0,-123259000,,20333000.0,0.16,-24341000,1421000.0,115159000.0,37592343.0,27501000,43996000,-312000.0,,,,468544000.0,23418000,7423000.0,,,,
2005-06-30,962411000,,253357000,,-9316000,,,,1849000.0,6122000,,257350000.0,13199000,16933000,14218000,63607000.0,16933000,37805000.0,117000.0,136418000.0,15112000.0,0.0,20969000,,0.43,4195000.0,45601000.0,15112000,29439000,-16710000,-25687000,,2086000,347534000,,1112000.0,0.0,-2662000.0,,16955000.0,39017636.0,,3068000.0,24428000,740480000.0,613812000,33440000,5099000.0,-41715000,,462511000.0,-16975000,,27674000,586000.0,-3916000.0,-123128000,,18298000.0,0.45,-41398000,999000.0,121306000.0,37670305.0,2750000,42521000,-664000.0,,,,462511000.0,21552000,1079000.0,,,,
2005-09-30,967474000,,252142000,,-2736000,,,,1711000.0,6648000,,263128000.0,13673000,14328000,11503000,63607000.0,14328000,39825000.0,745000.0,140107000.0,12376000.0,-465000.0,19200000,,0.37,4330000.0,43151000.0,12376000,257000,-16807000,57788000,,15280000,351368000,,1054000.0,0.0,-936000.0,,20055000.0,38948980.0,,3341000.0,15112000,741728000.0,614835000,-537000,4583000.0,-79426000,,460258000.0,-8004000,,27618000,2020000.0,607000.0,-125741000,,18256000.0,0.38,-18232000,1109000.0,127731000.0,37727008.0,15599000,40170000,-319000.0,,,,460258000.0,20970000,0.0,,,,
2005-12-31,983262000,,244695000,,638000,,,,2036000.0,6713000,,266542000.0,1509000,11488000,15652000,63607000.0,11488000,39908000.0,4975000.0,147581000.0,13014000.0,0.0,44066000,,,3949000.0,40700000.0,13014000,13332000,-16903000,-51632000,,5177000,372105000,,2061000.0,-2206000.0,-134000.0,,20966000.0,,,3172000.0,12376000,740593000.0,607468000,13475000,3855000.0,-11600000,,462343000.0,-17598000,,10077000,83000.0,6171000.0,-131178000,,5364000.0,,-19810000,871000.0,134567000.0,,6857000,47430000,-1680000.0,,,,462343000.0,3364000,634000.0,,,,
2006-03-31,1000075000,,252558000,,1819000,,,,1647000.0,6136000,,252817000.0,14952000,11065000,14156000,63607000.0,11065000,37860000.0,938000.0,148655000.0,14833000.0,,23489000,,0.29,4388000.0,38250000.0,14833000,202000,-16965000,1562000,,23475000,384750000,,1400000.0,-482000.0,10210000.0,,34116000.0,38627267.0,,3661000.0,13014000,736803000.0,603276000,674000,6722000.0,-19217000,,500620000.0,-15650000,,30533000,-2048000.0,26091000.0,-137188000,,21674000.0,0.3,-23779000,1323000.0,133822000.0,37727782.0,25347000,47886000,-1872000.0,,,,500620000.0,24397000,6305000.0,,,,
2006-06-30,997922000,,256966000,,760000,,,,1696000.0,6489000,,257536000.0,18043000,17304000,9871000,63607000.0,17304000,38787000.0,6726000.0,155879000.0,15593000.0,,38609000,2000000.0,0.44,4541000.0,35821000.0,15593000,11664000,-17391000,-1174000,,-10381000,388184000,,1706000.0,0.0,,,41217000.0,39346537.0,,-516000.0,14833000,740247000.0,602295000,30707000,3998000.0,-49931000,,497248000.0,8347000,,28887000,927000.0,-26242000.0,-137436000,29787000.0,22041000.0,0.46,-21167000,2329000.0,140286000.0,37876079.0,10218000,57659000,-20599000.0,,,,497248000.0,19050000,483000.0,,,,
2006-09-30,996613000,,252774000,,2406000,,,,1760000.0,6132000,,115406000.0,14415000,14305000,8800000,63607000.0,14305000,39322000.0,3217000.0,164845000.0,17999000.0,-4669000.0,32267000,,0.37,4395000.0,33494000.0,17999000,10971000,-17234000,67000,,3416000,387711000,,1563000.0,-1453000.0,,,22761000.0,39303948.0,,-315000.0,15593000,742195000.0,601409000,23956000,5580000.0,-33829000,,495996000.0,-9945000,,26478000,535000.0,2381000.0,-140471000,33771000.0,19995000.0,0.38,-21850000,2599000.0,146846000.0,38034590.0,13295000,52604000,-9879000.0,,,,495996000.0,20337000,466000.0,,,,
