date,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyCashDividendsPaid,quarterlyChangeInInventory
2000-03-31,,,18304000.0,56840000,78667000.0,511000.0,114793000.0,-1565000,12322000.0,2312000,2312000,5543000,1588000,15934000.0,8064000.0,,10531000,-5475000,172000.0,,11820000.0,-4000,50135000.0,,,2312000,866000.0,9782000,,0.0,5905000,0.2,,64658000.0,0.19,0.0,21280000.0,12752000,123000.0,20431000.0,-4000,10531000.0,10531000.0,4966000.0,,,5465000,-4762000,3877000,66622000,57000,,733000.0,52329000.0,,34201000.0,3197000,3952000,-713000.0,36126000.0,6011000.0,-2221000,,-3106000,-4085000.0,2403000.0,1640000,61000,52329000.0,12865000.0,,,,,,,
2000-06-30,,,18712000.0,61306000,85027000.0,496000.0,118716000.0,4323000,12345000.0,2499000,2499000,6046000,1760000,10588000.0,2746000.0,,7429000,-11955000,172000.0,,11836000.0,-15000,51507000.0,,,2499000,1344000.0,10760000,,0.0,6526000,0.21,,67209000.0,0.2,-503000.0,22716000.0,10531000,123000.0,26640000.0,-15000,7429000.0,7429000.0,4966000.0,,,5994000,-4494000,4234000,72066000,36000,,18000.0,56775000.0,,40919000.0,8817000,4283000,-6977000.0,33689000.0,6041000.0,-3102000,,6947000,-1586000.0,-2389000.0,1784000,51000,56775000.0,14089000.0,,,,,,,
2000-09-30,,,22603000.0,63889000,86964000.0,490000.0,125149000.0,-9162000,12667000.0,2260000,2260000,6245000,1886000,12315000.0,2790000.0,,5240000,-3726000,5646000.0,,11914000.0,5468000,54335000.0,,,2260000,1233000.0,10615000,,0.0,6772000,0.19,,70814000.0,0.18,200000.0,22202000.0,7429000,125000.0,24039000.0,-5206000,5240000.0,5240000.0,4966000.0,,,5729000,-3930000,3843000,74504000,6769000,,0.0,59337000.0,,42020000.0,-5232000,3881000,0.0,38185000.0,7367000.0,-2189000,,-9391000,674000.0,13000.0,1621000,1301000,59337000.0,12335000.0,,,,,,,
2000-12-31,,,23945000.0,66370000,95546000.0,425000.0,136895000.0,3680000,,2141000,2141000,6554000,2291000,13998000.0,3358000.0,,8599000,-7170000,6475000.0,,,-812000,61612000.0,,,2141000,706000.0,11581000,,-704000.0,7089000,,,75283000.0,,-200000.0,24256000.0,5240000,126000.0,28007000.0,-6176000,8599000.0,8599000.0,5297000.0,25000.0,,6783000,-6491000,4492000,77951000,348000,,540000.0,64433000.0,0.0,47614000.0,10171000,3656000,-477000.0,41349000.0,8471000.0,3359000,,7267000,2815000.0,762000.0,1515000,1160000,64433000.0,12592000.0,,,,,,,
2001-03-31,,,24578000.0,69518000,97466000.0,372000.0,137122000.0,2035000,12741000.0,2789000,2789000,6766000,2282000,13882000.0,3337000.0,,6849000,-4581000,2347000.0,,12085000.0,-4162000,58773000.0,,,2789000,767000.0,12218000,,0.0,7348000,0.23,,78349000.0,0.22,0.0,23617000.0,8599000,126000.0,27048000.0,-4662000,6849000.0,6849000.0,5297000.0,-98000.0,,7152000,-4581000,4870000,81736000,-3762000,,584000.0,66931000.0,,44891000.0,6616000,4796000,,39656000.0,8337000.0,-1750000,,1545000,5604000.0,,2007000,400000,66931000.0,14912000.0,,,,,,,
2001-06-30,,,23334000.0,72976000,101375000.0,374000.0,141817000.0,3793000,12826000.0,2964000,2964000,7149000,2429000,13981000.0,3164000.0,,8088000,-6241000,183000.0,,12177000.0,-2160000,59754000.0,,,2964000,765000.0,12780000,,0.0,7680000,0.24,,82063000.0,0.23,-1193000.0,24312000.0,6849000,127000.0,29674000.0,-3160000,8088000.0,8088000.0,5297000.0,-150000.0,,7529000,-5048000,5100000,85756000,-1358000,,32000.0,70147000.0,,45773000.0,8841000,5109000,,40442000.0,8580000.0,1239000,,3448000,8568000.0,,2145000,802000,70147000.0,15884000.0,,,,,,,
2001-09-30,,,26117000.0,74746000,104114000.0,312000.0,147296000.0,-2995000,12813000.0,2787000,2787000,7062000,2383000,15443000.0,3760000.0,,9099000,-4552000,3615000.0,,12229000.0,3369000,61969000.0,,,2787000,562000.0,12427000,,0.0,7604000,0.23,,85327000.0,0.22,269000.0,24180000.0,8088000,127000.0,25920000.0,-131000,9099000.0,9099000.0,5297000.0,-23000.0,,7206000,-4821000,4823000,87173000,3718000,,743000.0,73221000.0,,46526000.0,1826000,4816000,,43182000.0,9531000.0,1011000,,-3344000,11356000.0,,2029000,349000,73221000.0,16248000.0,,,,,,,
2001-12-31,,,26738000.0,77787000,109773000.0,639000.0,161018000.0,7248000,,2987000,2987000,7624000,2687000,16809000.0,4570000.0,,12770000,-6793000,251000.0,,,-3583000,71601000.0,,,2987000,580000.0,13410000,,0.0,8182000,,,89417000.0,,-238000.0,24375000.0,9099000,128000.0,36154000.0,-83000,12770000.0,12770000.0,7743000.0,-104000.0,,7915000,-6555000,5228000,91197000,-3332000,,1553000.0,77761000.0,,54792000.0,13803000,5215000,,51245000.0,9784000.0,3671000,,10392000,14342000.0,,2228000,251000,77761000.0,16834000.0,,,,,,,
2002-03-31,,,26470000.0,80307000,110758000.0,603000.0,164183000.0,2111000,12978000.0,3718000,3718000,7648000,2221000,16451000.0,4455000.0,,15390000,-3769000,251000.0,,12298000.0,-36000,70535000.0,,,3718000,461000.0,14169000,,0.0,7757000,0.3,,93648000.0,0.29,0.0,23830000.0,12770000,128000.0,33746000.0,-36000,15390000.0,15390000.0,7743000.0,-140000.0,,8633000,-3769000,6412000,94476000,513000,,124000.0,79410000.0,,54084000.0,5880000,6435000,,53425000.0,9571000.0,2620000,,-59000,18060000.0,,2717000,549000,79410000.0,19963000.0,,,,,,,
2002-06-30,,,25041000.0,84997000,131934000.0,463000.0,180789000.0,12062000,13091000.0,3959000,3959000,8139000,2308000,17891000.0,4484000.0,,11252000,-22503000,162000.0,,12384000.0,-229000,81306000.0,,,3959000,512000.0,14957000,,0.0,8213000,0.32,,99483000.0,0.3,-17398000.0,39097000.0,15390000,129000.0,42269000.0,-229000,11252000.0,11252000.0,7743000.0,431000.0,,9052000,-5105000,6744000,99954000,1076000,,1061000.0,85268000.0,,63415000.0,17167000,6756000,,48855000.0,11060000.0,-4138000,,10900000,22019000.0,,2797000,1305000,85268000.0,19923000.0,,,,,,,
2002-09-30,,,32185000.0,90459000,133689000.0,509000.0,184840000.0,-6744000,13028000.0,3749000,3749000,8527000,2475000,17624000.0,4492000.0,,5988000,-1726000,562000.0,,12421000.0,358000,80898000.0,,,3749000,659000.0,14926000,,0.0,8629000,0.3,,103942000.0,0.29,0.0,39808000.0,11252000,129000.0,40717000.0,-2192000,5988000.0,5988000.0,7743000.0,1257000.0,,8772000,-3074000,6297000,105385000,224000,,782000.0,86165000.0,,63274000.0,-3670000,6298000,1348000.0,51151000.0,10710000.0,-5264000,,-9927000,25768000.0,,2549000,345000,86165000.0,21213000.0,,,,,,,
2002-12-31,,,22564000.0,91877000,136185000.0,380000.0,201290000.0,21619000,,3893000,3893000,8952000,2756000,17833000.0,4503000.0,,28193000,-3608000,162000.0,,,-1173000,91663000.0,,,3893000,536000.0,15840000,,0.0,9044000,,,109627000.0,,0.0,39946000.0,5988000,129000.0,48835000.0,-1173000,28193000.0,28193000.0,9745000.0,1885000.0,,9552000,-5078000,6796000,107717000,-1041000,,1309000.0,88472000.0,0.0,73830000.0,26697000,6784000,1427000.0,65105000.0,10995000.0,22205000,,14948000,29661000.0,7289000.0,2891000,132000,88472000.0,23524000.0,,,,,,,
2003-03-31,,,27010000.0,95299000,138342000.0,970000.0,201699000.0,-6683000,13012000.0,4528000,4528000,9225000,2618000,18677000.0,4515000.0,,22856000,-5052000,155000.0,,12451000.0,583000,87123000.0,,,4528000,632000.0,17108000,,0.0,9352000,0.36,,114576000.0,0.35,0.0,39628000.0,28193000,130000.0,43397000.0,-116000,22856000.0,22856000.0,9745000.0,1538000.0,,10374000,-5052000,7756000,112407000,1339000,,14000.0,90851000.0,,68446000.0,-1631000,7794000,,63357000.0,10514000.0,-5337000,,-8789000,34189000.0,12000.0,3266000,756000,90851000.0,24880000.0,,,,,,,
2003-06-30,,,26952000.0,99031000,141979000.0,2111000.0,223126000.0,11787000,13240000.0,5127000,5127000,9225000,2619000,19266000.0,4317000.0,,38468000,-5241000,155000.0,,12600000.0,1141000,100041000.0,,,5127000,840000.0,18016000,,0.0,9313000,0.41,,123085000.0,0.39,0.0,40480000.0,22856000,132000.0,53979000.0,-34000,38468000.0,38468000.0,9745000.0,2600000.0,,11322000,-5544000,8703000,117047000,3448000,,93000.0,93428000.0,,80775000.0,17331000,8780000,,81147000.0,10342000.0,15612000,,9161000,39316000.0,424000.0,3653000,2307000,93428000.0,26548000.0,,,,,,,
2003-09-30,,,24767000.0,100178000,159091000.0,2026000.0,233289000.0,321000,13524000.0,5045000,5045000,9122000,2767000,19077000.0,4051000.0,,32279000,-16542000,800000.0,,12839000.0,559000,101602000.0,,,5045000,709000.0,17907000,,0.0,9189000,0.39,,131687000.0,0.37,0.0,54029000.0,38468000,130000.0,49932000.0,-60000,32279000.0,32279000.0,9745000.0,2883000.0,,11485000,-6191000,8718000,118085000,3822000,,1130000.0,97122000.0,,82525000.0,6512000,8685000,-10351000.0,74198000.0,10026000.0,-6189000,,-1314000,44361000.0,14000.0,3640000,3263000,97122000.0,30663000.0,,,,,,,
2003-12-31,55652000.0,,27937000.0,105901000,166012000.0,1992000.0,247065000.0,6273000,,5314000,5314000,9644000,3024000,18237000.0,4060000.0,,33899000,-8380000,669000.0,,,-195000,101559000.0,,,5314000,651000.0,19316000,,0.0,9910000,,,145506000.0,,0.0,5679000.0,32279000,131000.0,52378000.0,-208000,33899000.0,33899000.0,11657000.0,4481000.0,,12430000,-2263000,9406000,125217000,1446000,,0.0,98201000.0,0.0,83322000.0,8536000,9386000,-6177000.0,81053000.0,9428000.0,1620000,,-3701000,49675000.0,4395000.0,4072000,1641000,98201000.0,30275000.0,,,,,,,
2004-03-31,56428000.0,,23718000.0,110406000,167127000.0,1812000.0,255772000.0,11332000,13822000.0,6103000,6103000,10293000,2884000,17684000.0,4132000.0,,46484000,-3559000,684000.0,44000.0,13125000.0,-166000,101803000.0,,,6103000,641000.0,20941000,,0.0,10491000,0.46,,153969000.0,0.44,0.0,5536000.0,33899000,132000.0,51979000.0,-166000,46484000.0,46484000.0,11665000.0,4243000.0,,13334000,-3272000,10450000,131347000,1529000,,513000.0,98694000.0,,84119000.0,14604000,10485000,-330000.0,88645000.0,9019000.0,12585000,,4593000,55778000.0,1024000.0,4382000,1695000,98694000.0,30943000.0,,,,,,,
