date,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyBasicEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyNonCurrentDeferredRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable
1984-03-31,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,12562500000.0,,,,,,,,,,,,,,,12562500000.0,12562500000.0,,,,,,,,,0.27,,,492100000.0,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,,0.250002,,,,,,,,,,,,,,,12302600000.0,,,,,,,,,,,,,,,12302600000.0,12302600000.0,,,,,,,,,0.250002,,,442400000.0,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,,0.259998,,,,,,,,,,,,,,,11578400000.0,,,,,,,,,,,,,,,11578400000.0,11578400000.0,,,,,,,,,0.259998,,,472800000.0,,,,,,,,,,,
1984-12-31,543700000.0,,-10607800000.0,,2683500000.0,,2683500000.0,20637200000.0,5908400000.0,,,2146800000.0,2569900000.0,,,1835100000.0,,,,,,,,,39660900000.0,9084700000.0,,24619100000.0,,,,,,,,,,-33547500000.0,,,,,18837000000.0,,,,11779800000.0,,,31245000000.0,10094000000.0,15041800000.0,-33547500000.0,5097500000.0,5611700000.0,,8484200000.0,100000.0,,,,8743000000.0,,,,327700000.0,,,11442000000.0,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,0.349998,,,,,,,,,,,,,,,14230200000.0,,,,,,,,,,,,,,,14230200000.0,14230200000.0,,,,,,,,,0.349998,,,638600000.0,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,,,,,,,,,,,,0.250002,,,,,,,,,,,,,,,13055700000.0,,,,,,,,,,,,,,,13055700000.0,13055700000.0,,,,,,,,,0.250002,,,450500000.0,,,,,,,,,,,
1985-09-30,,,,2437333333.0,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,15574700000.0,,,,,,2437333333.0,,,,,,,,,15574700000.0,15574700000.0,,,,,,,,,0.33,,,592200000.0,,,,,,,,,,,
1985-12-31,408000000.0,,-13201600000.0,,919000000.0,,2205000000.0,15904000000.0,4163000000.0,,,1851300000.0,1378000000.0,,,-919000000.0,,,,,,,,,30535000000.0,10590400000.0,,18550000000.0,,,469000000.0,2980000000.0,,,,,,-39401200000.0,,,,,17345000000.0,,,,8447000000.0,1286000000.0,,35752500000.0,8706000000.0,11985000000.0,-42264200000.0,-1729200000.0,4160000000.0,,10700300000.0,566400000.0,3870000000.0,,,8639000000.0,,,,513900000.0,,,9830000000.0,,,,,,,,
1986-03-31,,,,2437333333.0,,,,,,,,,,,,,,,,,,,0.169998,,,,,,,,,,,,,,,12210000000.0,,,,,,2437333333.0,,,,,,,,,12210000000.0,12210000000.0,,,,,,,,,0.169998,,,302900000.0,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,,,,,,,,,,,0.169998,,,,,,,,,,,,,,,9574200000.0,,,,,,,,,,,,,,,9574200000.0,9574200000.0,,,,,,,,,0.169998,,,302900000.0,,,,,,,,,,,
