date,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyLongTermDebt,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2010-03-31,771938124.635504,1195158405.384727,,0.0,0.0,,159913405.829553,106345027.924859,145596374.274554,346800380.034484,63266038.592897,63266038.592897,856155797.43528,308152.3405,27719463.441652,62275838.590204,,5011307.187371,314163769.315059,339002607.949446,5854305.458313,-531929454.310833,743631254.158909,8462726.096685,,1275560708.469742,696242391.605728,423220280.749223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,813118894.827196,1363474351.652098,,0.0,0.0,,227352311.971232,134122830.987639,199414040.519379,288891928.04341,80771019.393955,80771019.393955,972896763.477064,301274.73094,17661595.842083,61112565.166566,,4899460.513862,416881769.588245,390577588.175034,10459024.292634,,791798962.966553,17479247.159219,,,745544451.505832,550355456.824902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,879887242.996682,1354696485.483821,,0.0,0.0,,178653212.728574,165355602.337526,152981998.113699,245093956.510334,26545000.882084,26545000.882084,948574826.336829,295306.950558,17725423.401834,0.0,,4802409.877569,490011322.839172,406121659.146992,8071621.504674,-540817247.682222,847032842.056559,17599593.110201,,1387850089.738781,769921613.608256,474809242.487139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,836795295.417364,1465488224.200049,,0.0,0.0,,251507441.83052,167859732.811302,226770503.813131,262897868.179749,80429294.003331,80429294.003331,1035722482.288047,287790.683498,17550507.814899,301118.681181,,5615907.929352,476388259.391218,429765741.912002,7274734.251296,,811316220.875069,17462203.766093,,,784215040.457527,628692928.782685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,809792526.74966,1258415790.26558,,0.0,0.0,,218993138.396478,165078944.7336,191708131.425814,222995540.847536,24077332.20891,24077332.20891,847804746.933389,5879397.136891,17312317.970295,2149721.416242,405062438.746776,5548604.585416,355979761.882459,410611043.332192,10058952.579828,-584937841.374677,786600811.642474,17226054.390836,,1371538653.017151,628811608.536911,448623263.515921,49836305.806916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,800757235.006925,1292715155.132584,,0.0,0.0,,322536961.341932,150681900.870712,287839604.451946,189046529.83252,38390791.910646,38390791.910646,926012805.223888,5786727.03793,17049661.663987,7644022.633799,,6965914.102864,356794957.212916,366702349.908696,8316018.223214,,777995475.190345,16895295.800378,10785061.116072,,603475843.881955,491957920.125659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,793891631.672967,1272137666.538207,277100019.009497,0.0,0.0,,285532594.160309,154660185.796869,239558554.25735,218329454.510781,37732684.909095,37732684.909095,930000029.766887,280300.436537,16739530.057127,8750006.114261,,6883259.335922,275320388.334489,342137636.77132,12071467.452274,-671799466.303793,783970845.401572,16674023.04425,,1455770311.705365,644467435.606578,478246034.86524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,792874117.931992,1283296610.849702,287281308.903471,0.0,0.0,,67787395.367771,148231410.831374,29817017.879536,427282354.946747,50437220.500935,50437220.500935,939033598.096836,276789.385041,16619976.790159,4472552.68193,,6797039.427428,395867998.179368,344263012.752866,11270281.71034,,783972080.996443,16571943.551106,-32813579.303332,783972080.996443,871246202.729065,490422492.917711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,764920415.396575,1264263297.309029,294099738.430627,0.0,0.0,,95367996.186985,164196583.455363,40578625.231185,523039328.485968,36988697.583322,36988697.583322,1049326444.724715,279917.445915,16762665.904727,4057862.443142,,6873854.342438,266443707.629467,214936852.584314,22279042.198627,-782025599.484821,757344324.959695,16727282.740035,-296309132.429579,1539369924.444516,953958448.537731,499342881.912454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,1060358318.312627,2508175690.826755,341984037.350687,0.0,0.0,,101868377.524178,139767788.58646,39971100.874409,188732050.58721,951101230.564007,951101230.564007,752683871.719035,5354241.139062,16320892.713346,6395629.557619,,41931920.436651,391284869.752871,1755491819.107719,10922303.47433,,724642409.732192,16292383.220518,-133966898.726435,724642409.732192,650815494.194858,1447817372.514128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,9364893923.467136,13172132215.250853,1202431841.984022,0.0,0.0,,3920776658.706021,129983147.465414,3870043477.223422,2491003697.338111,1708102834.922367,1708102834.922367,10725836112.6047,55663571.205989,6819544.576778,703118119.512868,,46306726.62044,741721612.920701,2445902729.01044,13196844.25149,,8060822666.164934,6806725.883964,-189818402.013894,8060822666.164934,6805059453.898678,3807238291.783716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,16946662000.0,23502458000.0,3150943000.0,0.0,6303000.0,,8202098000.0,166784000.0,8126285000.0,5472603000.0,1964993000.0,1964993000.0,21060419000.0,38772000.0,,825171000.0,,48491000.0,2703686000.0,2441234000.0,22027000.0,-1314693000.0,14245850000.0,6623000.0,15918000.0,15560543000.0,12858321000.0,6555796000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
