date,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOtherIntangibleAssets,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2008-06-30,84341200000,65580900000,,8585900000.0,0.0,13136100000,702100000.0,6816600000.0,5919200000,,,10577800000,10577800000,15690600000,59787500000,1365900000.0,62231800000.0,4145100000,1726000000,66376900000,6823900000,,5758900000,,2554500000,,,18760300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,84341200000,65580900000,,1500000000.0,828500000.0,13136100000,,6816600000.0,4419200000,0.0,0.0,10577800000,10577800000,15690600000,0,0.0,,4145100000,1726000000,66376900000,6823900000,,5758900000,,2554500000,0.0,,18760300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,88508100000,71207800000,,-7871200000.0,0.0,12819700000,,7682800000.0,4661300000,,1500000000.0,8931400000,8931400000,17178400000,0,0.0,,4145600000,2027500000,68037500000,7871200000,,123400000,,4358700000,,,17300300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,88508000000,71208000000,,0.0,0.0,12819000000,,,4661000000,0.0,1500000000.0,8931000000,8931000000,17178000000,0,0.0,,4146000000,2028000000,68038000000,7871000000,,124000000,,4359000000,0.0,,17300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,116168000000,97284000000,,0.0,0.0,17854000000,,5855000000.0,4978000000,,1480000000.0,11535000000,11535000000,23542000000,0,0.0,,4159000000,3076000000,87944000000,12708000000,-53000000.0,163000000,,5688000000,,216000000.0,18884000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,135925000000,105113000000,,0.0,0.0,14627000000,,,6484000000,0.0,5600000000.0,24565000000,24565000000,24253000000,851000000,0.0,,4468000000,2926000000,106749000000,8039000000,,176000000,,9626000000,0.0,,30812000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,144682000000,109534000000,,0.0,0.0,20632000000,,5963000000.0,12236000000,,4500000000.0,27202000000,27202000000,29758000000,865000000,0.0,,4472000000,3430000000,109719000000,8361000000,,204000000,,9126000000,,,35148000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,159941000000,121844000000,,0.0,0.0,36176000000,993000000.0,,27389000000,0.0,0.0,28972000000,28972000000,41013000000,445000000,445000000.0,108701000000.0,4474000000,4233000000,113175000000,8787000000,,244000000,,4837000000,0.0,,38097000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,167864000000,124008000000,1270000000.0,0.0,1555000000.0,37570000000,,6109000000.0,28623000000,,1113000000.0,36025000000,36025000000,43886000000,12000000,452000000.0,,4477000000,3242000000,117928000000,8947000000,-115000000.0,250000000,72170000000.0,6316000000,,365000000.0,43856000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,174434000000,132900000000,1204000000.0,0.0,0.0,42839000000,,6312000000.0,33601000000,0.0,285000000.0,33559000000,33559000000,48406000000,0,459000000.0,,4479000000,4854000000,119676000000,9238000000,,248000000,72467000000.0,5567000000,0.0,248000000.0,41534000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
