date,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyGoodwill,quarterlyInventory,quarterlyBasicEPS,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyDilutedAverageShares,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyEndCashPosition,quarterlyEbitda,quarterlyInvestingCashFlow,quarterlyStockBasedCompensation,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyChangeInInventory,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyBasicAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyNetPPE,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyIncomeTaxPayable
2016-03-31,-41205000,-41205000,-51204000,-85378000,74294000.0,27813000.0,1924000.0,17763000.0,-0.49,568292000,60600000.0,11854000.0,,48691000.0,70315000.0,669000,221165000,1581000.0,,10487000,309454000.0,248798000.0,85000.0,334176000,-28489000.0,667427000.0,243186000.0,-41205000,-1941000,6772000.0,-6621000.0,84445000.0,-80582000,462421000.0,,-0.49,28000.0,29620000,235325000.0,-30045000,0.0,251023000.0,248798000,-31622000,-28247000,9715000,0,221165000,2142000,205006000.0,-29097000,179056000,-40888000,424241000.0,,388127000.0,84445000.0,74294000.0,317000,-156000,-176770000.0,60656000.0,162594000.0,-42109000,747348000,-29378000,-72731000.0,-6570000,,,,,,,,,
2016-06-30,-48274000,-48274000,24903000,-28499000,46887000.0,32344000.0,1924000.0,17396000.0,-0.57,598414000,73500000.0,14163000.0,,53522000.0,50527000.0,246000,237244000,1385000.0,,12578000,303011000.0,220299000.0,85000.0,248798000,-40566000.0,663968000.0,241281000.0,-48274000,-2277000,8303000.0,-5753000.0,84786000.0,-19418000,501884000.0,,-0.57,-143000.0,38275000,262498000.0,49288000,0.0,265775000.0,220299000,-36152000,-46612000,10747000,0,237244000,366000,162084000.0,38845000,188514000,-47953000,422687000.0,,425141000.0,84786000.0,76743000.0,321000,564000,-225044000.0,82712000.0,179142000.0,-48730000,786928000,-44321000,-83356000.0,-5674000,,,,,,,,,
2016-09-30,-60940000,-60940000,15621000,-11955000,71723000.0,37014000.0,1924000.0,19188000.0,-0.72,659864000,68289000.0,16689000.0,,55383000.0,41718000.0,889000,263281000,2606000.0,,15463000,292815000.0,208344000.0,85000.0,220299000,-7403000.0,684119000.0,268010000.0,-60940000,-2555000,10477000.0,-6052000.0,85105000.0,-13968000,573615000.0,,-0.72,-546000.0,14165000,308013000.0,46914000,0.0,312306000.0,208344000,-46157000,-22319000,14726000,508000,263281000,-1792000,110504000.0,43695000,201661000,-61023000,416109000.0,,472992000.0,85105000.0,100623000.0,-83000,-542000,-285984000.0,84471000.0,211285000.0,-61620000,861525000,-29589000,-96728000.0,-6016000,,,,,,,,,
2016-12-31,-43956000,-43956000,73494000,71496000,96179000.0,44028000.0,1924000.0,18550000.0,-0.51,745979000,67807000.0,19113000.0,,65892000.0,30967000.0,-48000,282338000,2306000.0,,17044000,348583000.0,279840000.0,86000.0,208344000,-11654000.0,761683000.0,284592000.0,-43956000,-2444000,10041000.0,-2666000.0,85567000.0,48696000,682299000.0,,-0.51,13000.0,37750000,349685000.0,85727000,0.0,379493000.0,279840000,-43758000,1298000,14214000,0,282338000,635000,79384000.0,72570000,238580000,-43903000,477091000.0,,557220000.0,85567000.0,125079000.0,53000,465000,-329940000.0,68743000.0,239354000.0,-43758000,984559000,-24798000,-110331000.0,-2623000,,,,,,,,,
2017-03-31,-56539000,-56539000,-46098000,-67432000,97535000.0,44911000.0,1924000.0,14457000.0,-0.66,723942000,70629000.0,21770000.0,,88325000.0,33242000.0,176000,293089000,2025000.0,,20352000,276685000.0,212408000.0,86000.0,279840000,-16225000.0,742123000.0,309761000.0,-56539000,-2651000,9255000.0,-592000.0,86036000.0,-68970000,705661000.0,,-0.66,-245000.0,18275000,391355000.0,-23294000,0.0,362719000.0,212408000,-35854000,-20822000,13629000,0,293089000,4094000,36462000.0,-22412000,236883000,-56329000,432362000.0,,566584000.0,86036000.0,139077000.0,210000,-246000,-395191000.0,64277000.0,263315000.0,-56206000,960825000,-22872000,-128040000.0,-538000,,,,,,,,,
2017-06-30,-38875000,-38875000,18101000,-8598000,58266000.0,48951000.0,1924000.0,14612000.0,-0.45,853390000,89051000.0,23890000.0,,89138000.0,26798000.0,451000,307018000,1744000.0,,19323000,255869000.0,203810000.0,87000.0,212408000,-9109000.0,751478000.0,334232000.0,-38875000,-2072000,8398000.0,-660000.0,86714000.0,-27225000,739538000.0,,-0.45,-1047000.0,27760000,438995000.0,21706000,0.0,371407000.0,203810000,-18229000,-26675000,14833000,0,307018000,-145000,11940000.0,22275000,269466000,-38651000,417246000.0,,598547000.0,86714000.0,140991000.0,224000,1114000,-434066000.0,52059000.0,295368000.0,-37552000,1122856000,-45326000,-143627000.0,-552000,,,,,,,,,
2017-09-30,-76429000,-76429000,24752000,349911000,74187000.0,61151000.0,1924000.0,18613000.0,-0.88,917889000,121218000.0,27521000.0,327950000.0,86219000.0,29809000.0,-227000,354266000,1462000.0,,22913000,610420000.0,553721000.0,87000.0,203810000,-22305000.0,1138140000.0,361545000.0,-76429000,-3974000,9477000.0,-44185000.0,87283000.0,-18463000,1135111000.0,,-0.88,-1943000.0,14505000,481968000.0,59071000,0.0,381661000.0,553721000,-51044000,-51015000,18278000,0,354266000,-3987000,3029000.0,44829000,280309000,-76192000,776595000.0,,650249000.0,87283000.0,484862000.0,237000,919000,-510495000.0,56699000.0,318873000.0,-73957000,1198198000,-43215000,-163095000.0,376315000,,,,,,,,,
2017-12-31,-72771000,-72771000,36879000,5239000,106492000.0,85026000.0,1924000.0,28042000.0,-0.83,1106851000,120247000.0,37948000.0,332905000.0,94116000.0,21561000.0,358000,399903000,1181000.0,,24432000,619992000.0,558960000.0,88000.0,553721000,-6912000.0,1213403000.0,396583000.0,-72771000,-9475000,10776000.0,-285000.0,87893000.0,1413000,1261732000.0,,-0.83,-2363000.0,10555000,545267000.0,58877000,0.0,440366000.0,558960000,-67738000,-31823000,21100000,0,399903000,-9416000,-48329000.0,59492000,332165000,-72956000,816820000.0,,739755000.0,87893000.0,521977000.0,-185000,5241000,-583266000.0,61032000.0,361141000.0,-67738000,1439016000,-35466000,-184126000.0,-254000,,,,,,,,,
2018-03-31,-107775000,-107775000,-13077000,-36934000,134232000.0,89430000.0,2099000.0,34550000.0,-1.22,1080445000,114517000.0,31977000.0,337186000.0,110074000.0,10962000.0,941000,426893000,1119000.0,,25962000,582058000.0,522026000.0,89000.0,558960000,0.0,1226446000.0,429566000.0,-107775000,6010000,11077000.0,-391000.0,88467000.0,-47594000,1353650000.0,,-1.22,-3258000.0,11390000,611454000.0,39944000,,485631000.0,522026000,-77107000,-23394000,24400000,-267000,426893000,-6491000,-127204000.0,34058000,323824000,-107535000,796880000.0,,799652000.0,88467000.0,553998000.0,240000,4392000,-686384000.0,60032000.0,404309000.0,-103069000,1404269000,-34517000,-207145000.0,-362000,,,,,,,,,
2018-06-30,-100734000,-100734000,47604000,7426000,109142000.0,95626000.0,2099000.0,30710000.0,-1.13,1270249000,129458000.0,34823000.0,342281000.0,121618000.0,9767000.0,666000,480346000,819000.0,,28920000,575386000.0,529452000.0,89000.0,522026000,,1287268000.0,493307000.0,-100734000,-2952000,12200000.0,-244000.0,89158000.0,-7545000,1482746000.0,,-1.13,-1909000.0,15256000,699117000.0,84511000,,543596000.0,529452000,-66419000,-39893000,29813000,0,480346000,3750000,-195478000.0,61685000,385007000,-100469000,793961000.0,,890298000.0,89158000.0,592448000.0,265000,5094000,-787118000.0,45934000.0,468422000.0,-95339000,1655256000,-55149000,-230695000.0,-199000,,,,,,,,,
2018-09-30,-151726000,-151726000,7804000,-40816000,78852000.0,109212000.0,2099000.0,35723000.0,-1.69,1312875000,167745000.0,41013000.0,346641000.0,133423000.0,6521000.0,1054000,538036000,625000.0,,32544000,518692000.0,488636000.0,90000.0,529452000,,1299638000.0,536456000.0,-151726000,-6215000,17550000.0,-462000.0,89792000.0,-58803000,1611859000.0,,-1.69,-2067000.0,19309000,768027000.0,88661000,,591931000.0,488636000,-145266000,-47430000,33935000,-132000,538036000,-5016000,-312221000.0,91990000,392770000,-151278000,763182000.0,,1002311000.0,89792000.0,609548000.0,448000,4390000,-938844000.0,30056000.0,509661000.0,-145266000,1705645000,-66607000,-258366000.0,-432000,,,,,,,,,
2018-12-31,-143845000,-143845000,42530000,360825000,160388000.0,127995000.0,2099000.0,46164000.0,-1.59,1528882000,212997000.0,50603000.0,738904000.0,148057000.0,6526000.0,-2865000,614727000,486000.0,,36116000,963739000.0,849461000.0,91000.0,488636000,-99002000.0,1890850000.0,634914000.0,-143845000,-9635000,18826000.0,-93625000.0,90445000.0,-23152000,2221571000.0,,-1.59,-1780000.0,15113000,897141000.0,102190000,,650174000.0,849461000,-93489000,-149570000,39416000,1000,614727000,-10562000,-330721000.0,97331000,485122000,-142761000,1255936000.0,,1139223000.0,90445000.0,1082348000.0,1084000,8653000,-1082689000.0,114278000.0,606977000.0,-129605000,2014004000,-65682000,-290164000.0,468456000,,,,,,,,,
2019-03-31,-200389000,-200389000,-81348000,-127101000,5413000.0,170173000.0,,43643000.0,-2.2,1474373000,207206000.0,60596000.0,750156000.0,146460000.0,0.0,3078000,664090000,,,39583000,805662000.0,722360000.0,92000.0,849461000,,2113865000.0,996033000.0,-200389000,-11570000,12752000.0,-956000.0,91104000.0,-166817000,2593012000.0,,-2.2,-984000.0,37936000,1300716000.0,21316000,,705974000.0,722360000,-154051000,-44695000,47060000,2838000,664090000,2427000,-479147000.0,46631000,470456000,-199794000,1117832000.0,,1229813000.0,91104000.0,1363199000.0,595000,11082000,-1281228000.0,83302000.0,982581000.0,-193634000,1944829000,-85469000,-318135000.0,-889000,,,,,,,,,
2019-06-30,-181938000,-181938000,-2734000,-47249000,6853000.0,179155000.0,400000.0,45611000.0,-1.98,1783651000,218607000.0,77295000.0,761604000.0,155811000.0,0.0,322000,730777000,160000.0,,44339000,714453000.0,675111000.0,93000.0,722360000,,2182100000.0,1125200000.0,-181938000,-16083000,13417000.0,-259000.0,91802000.0,-91471000,2787457000.0,,-1.98,-1376000.0,44228000,1468269000.0,71340000,,779938000.0,675111000,-126838000,-44574000,53187000,-65000,730777000,-1887000,-605357000.0,81980000,559600000,-181107000,1056900000.0,,1333511000.0,91802000.0,1453946000.0,831000,10338000,-1463166000.0,39342000.0,1111223000.0,-171177000,2343251000,-88737000,-357046000.0,-246000,,,,,,,,,
2019-09-30,-272035000,-272035000,-76441000,620274000,6617000.0,200502000.0,,68622000.0,-2.94,1765566000,267351000.0,75677000.0,1435927000.0,151367000.0,0.0,2182000,799630000,,,50250000,1301434000.0,1295385000.0,93000.0,675111000,,3007635000.0,1336934000.0,-272035000,2344000,13951000.0,-146814000.0,92540000.0,-180900000,3690064000.0,,-2.94,-1456000.0,33304000,1705812000.0,65919000,,814439000.0,1295385000,-209459000,-89905000,61767000,-18750000,799630000,-23256000,-682429000.0,87175000,539921000,-271959000,1670701000.0,,1433659000.0,92540000.0,2256405000.0,76000,17658000,-1735201000.0,6049000.0,1303772000.0,-259709000,2305487000,-104459000,-402040000.0,788342000,,,,,,,,,
