date,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyOperatingIncome,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyPretaxIncome,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyLongTermDebt,quarterlyCashDividendsPaid,quarterlyPurchaseOfBusiness
2005-09-30,151461000,,7753000,,14550000,11145000,74004000,,,,0.14,58372266.0,82704000,,37473000,,,14368000,399315000.0,,,,-42713000,20461000,68757000,297773000,58517125.0,,1927000,,,74951000,,67551000,,11145000,11145000,0.0,36531000,,4688000.0,,,,221000.0,20142000,-79786000.0,,,,-602000,2684000,0.14,,,7540000,1412000.0,319529000,-3605000,,,,371777000,17738000.0,357409000,,1958000,1958000,,10912000,788000,,-38587000.0,,,,
2005-12-31,173313000,,7735000,,15369000,4262000,83141000,,-29714000.0,61000.0,,,32158000,,41982000,,,17824000,427120000.0,-241000.0,9333000.0,,-38451000,27223000,141155000,309354000,,0.0,1933000,,59000.0,24423000,,15476000,,4262000,4262000,0.0,41159000,,57000.0,-29714000.0,,2955000.0,127000.0,2653000,-86426000.0,,0.0,,-1313000,2625000,,24862000.0,-1897000.0,7621000,1514000.0,340694000,3359000,,,7634000.0,392495000,17738000.0,374671000,-4852000.0,61000,61000,,13188000,263000,1958000.0,-28186000.0,,,,
2006-03-31,187015000,,12733000,,20736000,7988000,105708000,,-14200000.0,133464000.0,0.26,30683000.0,37736000,,44028000,,,147312000,432216000.0,-1185000.0,4275000.0,,-30463000,26851000,149279000,407880000,31078000.0,0.0,2773000,17738000.0,-424000.0,25003000,,16377000,42184000.0,7988000,7988000,0.0,61680000,,58000.0,-14200000.0,134172000.0,124409000.0,64000.0,2748000,-86426000.0,19496000.0,-11997000.0,,-623000,3049000,0.26,23194000.0,133403000.0,13639000,7829000.0,345790000,5651000,,,8003000.0,513588000,,366276000,8994000.0,133464000,133464000,,9290000,325000,61000.0,-26354000.0,,,,
2006-06-30,204936000,,15870000,,24179000,10792000,105400000,,-22805000.0,142044000.0,0.33,32462000.0,44443000,,43914000,,,155060000,446053000.0,-2494000.0,2471000.0,,-19671000,26045000,160493000,429653000,32903000.0,0.0,1967000,17738000.0,9000.0,28573000,,19148000,44264000.0,10792000,10792000,0.0,61486000,,1285000.0,-22805000.0,545000.0,12556000.0,65000.0,2628000,-86426000.0,17222000.0,11997000.0,,-1116000,3040000,0.33,21876000.0,8580000.0,17427000,4866000.0,359627000,6635000,,,8309000.0,535053000,,379993000,-929000.0,142044000,142044000,,11718000,324000,133464000.0,-17597000.0,,,,
2006-09-30,211260000,,17853000,,26529000,11802000,119058000,,-25494000.0,157565000.0,0.36,32499000.0,45411000,,56052000,-2244000.0,,172716000,466317000.0,-1879000.0,7977000.0,,-7869000,33408000,165849000,454166000,32885000.0,0.0,3059000,17738000.0,-353000.0,27558000,,17776000,43211000.0,11802000,11802000,0.0,63006000,,71000.0,-25494000.0,941000.0,9549000.0,68000.0,2879000,-86426000.0,15740000.0,8015000.0,,-1106000,3393000,0.36,28419000.0,15521000.0,19800000,3755000.0,379891000,7998000,,,8676000.0,573224000,,400508000,2925000.0,157565000,157565000,,18818000,325000,142044000.0,-6886000.0,,,,
2006-12-31,219719000,,15496000,,24761000,10841000,130251000,,-34813000.0,153642000.0,,,44659000,,61201000,-872000.0,,178837000,522374000.0,3701000.0,7044000.0,,2972000,40041000,175060000,473957000,,0.0,4865000,17738000.0,-112000.0,29163000,,11983000,50369000.0,10841000,10841000,0.0,69050000,,71000.0,-34813000.0,427000.0,782000.0,74000.0,2893000,-117634000.0,18681000.0,-19094000.0,,-7915000,3505000,,30108000.0,-3923000.0,17389000,1522000.0,404740000,6548000,,,9265000.0,604208000,,425371000,-4705000.0,153642000,153642000,,19567000,325000,157565000.0,7000.0,,,,
2007-03-31,236095000,,18649000,,28813000,12440000,140080000,,-32670000.0,158902000.0,0.38,32558000.0,48924000,,66708000,1568000.0,,177444000,543682000.0,-1805000.0,7169000.0,,12812000,39110000,187171000,486161000,32953000.0,0.0,5332000,19556000.0,-611000.0,30275000,,18819000,52180000.0,12440000,12440000,0.0,73372000,,72000.0,-32108000.0,354000.0,7183000.0,75000.0,3193000,-117634000.0,17174000.0,446000.0,,-1292000,4142000,0.38,30747000.0,5260000.0,20064000,7875000.0,426048000,7624000,,,10164000.0,626241000,,448797000,-1361000.0,158902000,158902000,,19651000,326000,153642000.0,7000.0,,,,
2007-06-30,274346000,,30682000,,41258000,19981000,135202000,,-35714000.0,156217000.0,0.61,32642000.0,63780000,,60194000,2484000.0,,176412000,561893000.0,-3475000.0,-277000.0,,32793000,36869000,210566000,510631000,33065000.0,0.0,6270000,21939000.0,-246000.0,33098000,,20679000,61025000.0,19981000,19981000,0.0,75008000,,74000.0,-30608000.0,671000.0,1737000.0,74000.0,3223000,-117634000.0,13983000.0,1083000.0,,-1843000,4418000,0.6,31292000.0,-2685000.0,32138000,3328000.0,444259000,12157000,,,10576000.0,645833000,,469421000,684000.0,156217000,156217000,,19923000,327000,158902000.0,7000.0,,,,
2007-09-30,286431000,,31396000,,42563000,20604000,146600000,,-35470000.0,167657000.0,0.63,32706000.0,65976000,,70256000,2085000.0,,188649000,586929000.0,-3602000.0,11528000.0,,53397000,45223000,220455000,536767000,33171000.0,5668000.0,5869000,21939000.0,14000.0,34580000,,21629000,65831000.0,20604000,20604000,0.0,76344000,,75000.0,-41138000.0,1255000.0,3376000.0,74000.0,3484000,-117634000.0,10513000.0,8540000.0,,-1784000,4404000,0.62,43534000.0,11440000.0,32919000,0.0,469295000,12315000,,,11167000.0,683367000,,494718000,2396000.0,167657000,167657000,,24958000,328000,156217000.0,7000.0,,,,
2007-12-31,288910000,,37496000,,49184000,17538000,160005000,,-62359000.0,151176000.0,,,63889000,,73301000,2185000.0,,201844000,645926000.0,5337000.0,3385000.0,,72486000,53345000,225021000,562110000,,-25668000.0,5373000,,72000.0,26393000,,13911000,70221000.0,17538000,17538000,0.0,86704000,,,-36691000.0,1583000.0,4528000.0,73000.0,3402000,-150996000.0,16483000.0,2892000.0,,-10834000,4332000,,41350000.0,-16481000.0,28881000,76000.0,494930000,11343000,20000000.0,,11688000.0,722115000,21939000.0,520271000,4659000.0,151176000,171176000,,19880000,328000,167657000.0,,,,,
