date,quarterlyNetPPE,quarterlyInventory,quarterlyCurrentDebt,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2010-03-31,79800000,159300000,272900000.0,0.0,,-700000.0,,,846100000,92100000,382600000,382600000,12400000,,328600000,,754000000,324900000,210000000.0,,515700000,,0.0,3700000.0,3700000,1400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,80200000,296800000,385400000.0,0.0,,4900000.0,,,920000000,92800000,181100000,181100000,12400000,,453300000,,827200000,449400000,349300000.0,,465400000,,0.0,3900000.0,3900000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,78400000,229800000,284900000.0,0.0,-378600000.0,-300000.0,,,877200000,89000000,333100000,333100000,12400000,,333300000,457000000.0,788200000,329400000,224400000.0,,543900000,,0.0,3900000.0,3900000,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,78300000,320200000,376400000.0,0.0,,-400000.0,,,910500000,91500000,128500000,128500000,12500000,,428600000,,819000000,424700000,369900000.0,,481900000,,0.0,3900000.0,3900000,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,91000000,239200000,314900000.0,0.0,-396900000.0,-800000.0,,,912900000,102200000,326500000,326500000,12500000,,356700000,487900000.0,810700000,350900000,242600000.0,,556200000,,5800000.0,,5800000,1600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,92600000,340000000,,0.0,,0.0,,,969400000,106300000,108900000,108900000,12500000,,465400000,,863100000,459700000,,,504000000,,0.0,5700000.0,5700000,414000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,93600000,276900000,,330600000.0,-397000000.0,5200000.0,135000000.0,,942800000,97400000,308600000,308600000,12500000,176200000.0,370500000,490600000.0,845400000,366000000,224900000.0,,572300000,,0.0,4500000.0,4500000,3200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,96900000,399300000,,447500000.0,,0.0,,,1017200000,105000000,94700000,94700000,12500000,259300000.0,500100000,96900000.0,912200000,492700000,417500000.0,,517100000,,0.0,4500000.0,7400000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,91000000,265900000,,304400000.0,-416200000.0,0.0,165000000.0,,919100000,93600000,322900000,322900000,12500000,140800000.0,343500000,507200000.0,825500000,337400000,208600000.0,,575600000,,0.0,4100000.0,6100000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,77700000,357400000,,423100000.0,,0.0,,,978500000,82300000,106400000,106400000,12500000,235100000.0,466400000,77700000.0,896200000,464300000,431000000.0,,512100000,,0.0,,2100000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,72000000,290200000,,155400000.0,-424200000.0,0.0,94400000.0,,920900000,76600000,294200000,294200000,12500000,186100000.0,380100000,496200000.0,844300000,377100000,221900000.0,,540800000,,3000000.0,,3000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,75700000,367900000,,192700000.0,,0.0,,,990200000,82200000,104900000,104900000,12500000,260500000.0,504100000,75700000.0,908000000,500900000,432600000.0,,486100000,,0.0,,3200000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,73200000,285400000,,345300000.0,-447600000.0,0.0,5000000.0,,910500000,83600000,273000000,273000000,12500000,188400000.0,385500000,520800000.0,826900000,380400000,230300000.0,,525000000,,0.0,,5100000,5500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,73900000,390500000,,513300000.0,,0.0,,20000000.0,1099300000,132900000,104400000,104400000,12500000,279200000.0,576400000,73900000.0,966400000,568200000,467800000.0,23200000.0,522900000,,0.0,2900000.0,8200000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,76600000,324900000,700000.0,422200000.0,-449500000.0,0.0,2100000.0,20500000.0,1060000000,138300000,268800000,268800000,12500000,227200000.0,475300000,526100000.0,921700000,468600000,275400000.0,31100000.0,584700000,1000000.0,0.0,3200000.0,6700000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
