date,quarterlyFreeCashFlow,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyTotalNonCurrentAssets,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyBasicAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInInventory,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfInvestment,quarterlyPurchaseOfBusiness
2016-12-31,-13284000,37786000,5406000.0,244515000.0,82590000.0,82738000.0,7824000.0,242254000.0,,0.0,5599000,,165328000.0,3263000,5299000,4920000.0,,2388000,-171000.0,8688000,0.0,37900000.0,11761000,1346000,1346000,268649000.0,44000.0,196000.0,-1902000,3000,-4846000,32289000.0,-103321000.0,19604000,-11501000,-18196000,5599000,565000.0,0.0,-859000,-475000.0,-102846000.0,8688000.0,2568000.0,8688000.0,6162000,-856000,-8327000,-12469000,49547000,14002000.0,-46000,137251000.0,-4957000,-62381000.0,-10916000,0.0,,24134000.0,74870000.0,1198000,-148000,,11417000,,,0,,437000,,,,,,,,
2017-03-31,-2652000,42406000,,,,,,,74889772.0,,6103000,0.064815,,4854000,5313000,,0.064815,12508000,,5170000,,,16097000,4854000,4854000,,,,-7648000,0,-8501000,,,8688000,-8998000,83000,6103000,,,-961000,,,,,,9994000,-961000,-8584000,-4937000,58503000,,29000,,5932000,,-3518000,,,,,5008000,154000,,15307000,,0.0,0,74889772.0,438000,,,,,,,,
2017-06-30,-7393000,52470000,,,,,,,74889772.0,,7334000,0.0,,0,5589000,,0.0,-63000,,2134000,,,29407000,16578000,16578000,,,,-8845000,0,-7381000,,,5170000,-16998000,503000,7334000,,,-1183000,,,,,,22073000,3817000,-7884000,-22051000,81877000,,54000,,491000,,-3036000,,,,,16887000,309000,,27662000,,0.0,0,74889772.0,438000,,,,,,,,
2017-09-30,7220000,60872000,9991000.0,274449000.0,148278000.0,97357000.0,7824000.0,267641000.0,,0.0,7096000,,245635000.0,28145000,6074000,,,8389000,,3224000,,62822000.0,35155000,22301000,22301000,330767000.0,49000.0,364000.0,-9137000,0,-5545000,74132000.0,-85132000.0,2134000,-14651000,322000,7096000,752000.0,0.0,-1465000,-19000.0,-85113000.0,3224000.0,2568000.0,3224000.0,28059000,-6465000,-5867000,-16425000,96027000,37324000.0,84000,,13087000,,1090000,0.0,,56318000.0,89484000.0,22780000,479000,,34137000,,,0,,438000,,,,,,,,
2017-12-31,5450000,69403000,10559000.0,249799000.0,163929000.0,102527000.0,7824000.0,241437000.0,74889772.0,0.0,6644000,0.304634,266456000.0,22814000,6295000,5235000.0,0.304634,-1329000,-1062000.0,7574000,0.0,64450000.0,35381000,22814000,22814000,302673000.0,49000.0,416000.0,-2649000,0,-9251000,84173000.0,-36217000.0,3224000,-9447000,496000,6644000,765000.0,0.0,-1704000,82000.0,-36299000.0,7574000.0,2568000.0,7574000.0,28737000,-1704000,-9747000,-15363000,104784000,35080000.0,53000,167571000.0,15197000,-72917000.0,4350000,0.0,526000.0,52874000.0,94654000.0,23421000,607000,,28737000,,,0,74889772.0,438000,,,,,,,,
2018-03-31,22438000,70779000,14584000.0,72287000.0,167756000.0,190579000.0,7824000.0,,26450000.0,62989000.0,9114000,0.14,358335000.0,3753000,6621000,,0.14,792000,-216425000.0,7860000,-4305000.0,69533000.0,44331000,9007000,26408000,131024000.0,48000.0,489000.0,-5594000,-26041000,-15687000,84800000.0,227311000.0,7574000,-419000,440000,9114000,,,-249795000,321000.0,265000.0,7860000.0,,7860000.0,35217000,-22640000,-16127000,-1265000,115110000,38575000.0,963000,,38565000,,286000,,,58737000.0,109492000.0,28060000,1652000,,41838000,3753000.0,469621000.0,834000,26648000.0,451000,,,,,,,,
2018-06-30,26139000,82205000,17221000.0,72961000.0,209298000.0,196777000.0,7824000.0,,26450000.0,62989000.0,9851000,0.46,406075000.0,12334000,7367000,,0.47,6510000,0.0,28403000,,77954000.0,56338000,12334000,41542000,140782000.0,47000.0,712000.0,-9349000,-4234000,-15661000,97569000.0,100492000.0,7860000,-12228000,340000,9851000,,,-1522000,-269000.0,265000.0,28403000.0,,28403000.0,46487000,-5756000,-16001000,-12219000,138543000,44226000.0,3131000,,42140000,,20543000,,,67821000.0,118599000.0,46239000,4697000,,53854000,16087000.0,0.0,1263000,26779000.0,0,,,,,,,,
2018-09-30,18053000,87474000,17442000.0,171912000.0,242579000.0,323093000.0,7824000.0,,35821000.0,161797000.0,11051000,0.52,565672000.0,18672000,7841000,,0.52,806000,-359832000.0,41981000,,85321000.0,63184000,18672000,43648000,240809000.0,613000.0,1094000.0,-7923000,-1573000,-23059000,105941000.0,324863000.0,28403000,-9114000,533000,11051000,,,-1668000,-788000.0,377000.0,41981000.0,,41981000.0,52133000,-4526000,-23592000,-19964000,150658000,44261000.0,7668000,,41645000,,13578000,,,68897000.0,135391000.0,51863000,8215000,,52133000,34759000.0,358547000.0,1287000,36229000.0,942000,,,,,,,,
2018-12-31,30497000,85447000,15650000.0,147792000.0,274505000.0,310239000.0,7824000.0,,37650000.0,138015000.0,10513000,0.44,584744000.0,16924000,8324000,,0.45,-457000,-264000.0,70841000,0.0,99837000.0,54377000,16924000,38683000,222416000.0,1308000.0,1036000.0,-15361000,0,-13747000,92269000.0,362328000.0,41981000,13656000,586000,10513000,1110000.0,,-1818000,-820000.0,377000.0,70841000.0,,70841000.0,43864000,-2082000,-14333000,-6628000,139824000,42047000.0,3439000,238466000.0,44830000,-96412000.0,28860000,9574000.0,2061000.0,74624000.0,142054000.0,43639000,4956000,,52188000,51683000.0,0.0,1320000,38081000.0,-886000,,,,,,,,
2019-03-31,19584000,97715000,15932000.0,242191000.0,315199000.0,427434000.0,7824000.0,,75011000.0,214968000.0,12668000,0.59,742633000.0,26807000,8881000,,0.69,192000,,88116000,-1042000.0,108182000.0,61160000,26807000,48446000,326272000.0,1285000.0,1244000.0,-8875000,-235000,-13847000,107873000.0,416361000.0,70841000,-15597000,808000,12668000,,,-1846000,-259000.0,464000.0,88116000.0,,88116000.0,48492000,-3555000,-14655000,-23097000,158875000,44847000.0,-2796000,173966000.0,34239000,-102441000.0,17275000,9574000.0,,84081000.0,173966000.0,47473000,-973000,-1474000.0,57373000,78490000.0,0.0,1676000,75246000.0,42000,,,,,,,,
