date,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyAccountsReceivable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2008-12-31,32260802.884615,6587053.860089,3398417904.264214,-1356653094.760312,12839516.025641,218325483.207915,245782253.762542,1369987454.292085,1361862159.141583,757983144.300446,,3500216546.822742,7648061.733556,2143563452.06243,0.0,8125295.150502,,3531621499.37291,4901374739.478818,98600650.362319,1240931915.691193,4298015222.268673,9199389961.747492,,3630222149.735229,,84365534.768673,100386313.405797,2314720311.385173,786866332.079153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,36262095.35035,13306414.628671,4665985608.075084,,19118715.772116,385603077.815454,246047030.115119,1872526159.234658,1832878402.875516,899183436.600837,,,7230559.035439,2569075007.882316,0.0,39647756.359141,,3709098731.672228,5168688836.725478,596441348.926359,1419322687.228557,5024060908.409524,10192749745.135002,0.0,4305540080.598586,,440726504.659199,46739045.819108,1981973535.042695,806375249.249703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,38085595.507226,15059204.88142,4827414603.90168,-1523619280.034351,55810800.878645,266857140.196412,4496813814.605061,1725531838.281032,1710803682.337604,806757457.393309,,4253643402.011832,11739911.008469,2730024121.977481,0.0,14728155.943428,,4339769833.297228,5803275556.708342,600167952.448189,1445569210.206934,5198678063.815905,11001953620.524246,0.0,4939937785.745417,,573368836.5583,66227396.58445,2506196300.125594,9754497.829821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,37159797.744338,13182462.08196,4918415696.26137,,59546282.313563,572285723.179813,244221442.747896,1350663188.195342,1317383877.696918,1091089463.925073,,,14987583.938071,2761518969.291294,0.0,33279310.498424,,3829041273.014511,5223624720.169181,457991074.493882,1443070734.375923,5300121131.694611,10523745851.863792,0.0,4287032347.508394,,419795780.491,-18571590.414013,2234804701.807407,745406004.756131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,57912949.615237,22941896.897096,5068091716.417546,-1780943151.336745,49140997.729583,870251259.296569,237980421.282561,1630063533.563502,1483896720.019119,852109093.577944,,4804669822.3241,26543399.730942,3023726670.987355,0.0,146166813.544382,,5824421799.350098,7123978843.796056,503826043.265135,1431750776.953015,5638064907.210984,12762043751.00704,0.0,6328247842.615233,,421851373.107825,24786111.788824,2974552436.482922,1377245875.097492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,54314044.206577,38990648.030737,5238965311.589417,,30186200.87637,750792372.100076,232179673.183331,2285791614.466532,2110391064.41449,1287334882.851672,,,24994985.764768,3100821532.30619,0.0,175400550.052043,1342277459.829609,5863773444.304237,7644325309.096516,747376180.092777,1417163481.409902,5639999149.849012,13284324458.94553,22433465.30371,6611149624.397014,,660957080.993562,-14738927.209879,2998850404.078591,1119228139.682091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,48874520.648493,40573241.304712,5397913974.915333,-2054960375.754922,139005000.0,1227699081.859974,226036463.551257,1507662702.010121,1448533183.743899,4449850735.284649,4448738000.0,5202761475.462611,34422346.987393,3147801099.707689,3939495000.0,59129518.266222,1467512739.353825,7604319890.029231,9085029535.006502,340196252.752489,1398351598.052977,5749942605.946663,14834972140.953165,0.0,7944516142.78172,771038000.0,242798459.89415,165833000.0,4614582206.369033,1596068049.24218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,45068035.586546,40439510.765543,5750401152.277165,,43025677.478395,2065772226.446952,229233781.924458,1479384966.424139,1371419683.12378,1522896216.593307,,,36317884.462947,3439890446.990739,27980306.081678,107965283.300359,,6968720258.134574,9203370073.177334,1001581438.703108,1412580170.908224,6159630661.012689,15363000734.190023,22577489.672684,7970301696.837682,,902246553.801935,0.0,3845264902.26911,2118565132.982323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,40567247.865696,77383905.430125,5479448975.914416,-2309863600.552894,159120000.0,1610966300.461562,225227859.270067,1546003306.57874,1530909153.33968,1442750151.427901,,5993143769.5235,57473085.986218,3683280168.970606,3149028000.0,15094153.23906,0.0,8228299121.917868,9771100174.819466,1042853324.173046,1391174301.029162,6503612153.65702,16274712328.476484,0.0,9271152446.090914,,885712608.714722,34881000.0,4086367977.196676,2026127981.930975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,35917519.792439,75770509.393754,5267019170.575305,,163731000.0,1673596682.943243,222301592.463338,920108390.864731,909775398.446514,1512054866.079221,,3766512428.848422,57466442.221291,3766512428.848422,2276550000.0,10332992.418216,1350563911.506752,6749412578.723048,8041463397.415155,950348407.36262,1377427148.679537,6543712756.111774,14585176153.526928,0.0,7699760986.085667,,794723305.508106,48452000.0,3399161912.280272,1907320833.476649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
