date,quarterlyGoodwill,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetOtherFinancingCharges,quarterlyCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyNetPPE,quarterlyEbitda,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyPretaxIncome,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyDepreciationAndAmortization
2007-06-30,719096.05,72140148814.36,37243088557.17,131891244.56,,,41787582.58,,,9579285322.22,,,10214986560.22,,10715637861.2,728981069.05,,,,,22519077388.04,,4527964778.86,,,536652963.24,31882013582.15,,5964927.96,0.0,,,22387186143.48,,9138645739.56,8919337233,,,456921791.51,32323060192.24,,,,27100599153.05,,,,,21166375720.95,34897060257.19,,902434559.63,,2258930218.47,,,,27100599153.05,,,,,,,,,,,,,,,,,,,
2007-09-30,719096.05,75679318959.15,39198147469.8,139834391.68,-964498855.93,0.08,9502726.79,779088658.35,10542145543.48,9396572762.24,664086482.11,1043886465.24,13929131214.3,1003782007.03,14444764442.12,808665684.09,23156054113.1,-109743555.96,-2527953714.16,284907978.1,23295888504.78,38010241.29,3768064622.61,664086482.11,-1503923262.99,564110291.34,34618541480.83,8301081026.0,7331762.77,1351003.76,179819714.66,1223823635.14,23156054113.1,1939022197.43,11035934093.84,8919337233,22376965454.75,8301081026.0,504202407.87,33001186750.32,-1664579750.72,0.08,0.0,28609846715.55,1505530731.87,176736288.53,35060993.35,1220622753.77,20173777038.71,36481171489.35,,1566521041.73,,2258278692.46,,-2944852551.12,715198562.29,28609846715.55,12481167740.91,,,,,,,,,,,,,,,,,,
2007-12-31,719096.05,113663440000.45,59222588755.59,2140332839.57,12982304874.4,,96789030.62,11029559448.47,39756118544.27,8935913502.61,17567461602.59,18347919429.15,14025061957.59,2474386468.65,16141220492.64,1559678093.44,37330242214.26,-3428324343.64,-14524116752.62,344392650.47,39574174695.13,13060409692.62,3916671419.93,17567461602.59,-2228117857.1,1058729331.33,59652282705.54,,51829193.89,334793046.89,2632911207.47,2834656823.05,37433841855.56,21235428883.9,9891030091.79,10216274357,23156054113.1,,1810070562.58,44933898054.97,-5903552312.2,,267762645.68,45858411995.63,22965883964.23,4273571884.61,13120600033.49,22621491313.76,43511062212.9,54440851244.86,,5910571502.49,,1811424507.43,,-6539698585.08,18400772060.85,45858411995.63,60991547428.17,,,,,,,,,,,,,,,,,,
2008-03-31,719096.05,117811139811.37,64108425101.02,2180907862.32,3781599920.96,0.6,84895352.43,-2730520057.39,18692592299.94,10159347100.83,6132217735.44,6400680354.63,14361012179.29,1132854066.31,17272134608.61,1767500403.2,34599722156.87,-2085129935.28,-5301977174.62,399020315.07,36780630019.19,-1548362.56,2825833765.52,6132217735.44,-4914742505.74,1071209703.87,57945582376.36,10220362892.0,77366230.21,452378464.45,780537299.09,1390330053.92,34599722156.87,9332696656.02,11958394587.85,10216274357,37330242214.26,10220362892.0,2625792104.61,50619212733.33,-1648749256.42,0.6,98281812.53,48744386930.43,8571339203.92,1771638534.22,,8172318888.85,40673447767.75,53702714710.35,,12044499048.34,,1920087376.01,,-4357749961.49,7942366602.1,48744386930.43,28025288955.96,,,,,,,,,,,,,,,,,,
2008-06-30,719096.05,121351734579.74,68731647050.75,2419126566.8,2214194387.78,,65220578.92,-2574205769.94,23560910919.54,8941928547.77,8023608006.29,8495223088.39,20783978603.72,1199329849.15,24631811320.88,1991463553.75,32362458918.85,-6071014284.09,-11267924372.19,50231184.0,34929500171.18,-74336237.98,2066366000.02,8023608006.29,-6141959639.47,1072034199.95,55338849679.34,,273405245.43,544574030.56,-165776091.55,1453275604.0,32510373604.38,10577126636.31,11844364981.42,10216274357,34599722156.87,,3590903526.46,56783308403.38,-3247319465.86,,1274787379.37,53341394044.31,10683281895.21,2137827622.82,,10633050711.21,30707038358.46,52620087528.99,,18262966507.79,,2729497736.05,,-6332700947.13,9123851032.31,53341394044.31,34138037555.85,,,,,,,,,,,,,,,,,,
2008-09-30,719096.05,124168223275.55,68874721246.0,1661842163.82,4026353972.72,0.54,575590743.91,3629287826.45,23488497790.02,9198266118.7,5555778698.14,5888437200.04,21266224216.9,1180798321.61,26043718501.26,2358961612.04,35991746745.3,-1298184998.39,672201853.42,202789623.9,37770442168.59,-3749102.81,1040959205.48,5555778698.14,-3357571529.41,1072973856.61,55290199852.85,10288479071.0,29609108.46,61402258.19,3800621574.14,1438797566.88,36108600004.77,9729748455.04,11397661707.01,10216274357,32362458918.85,10288479071.0,4013802364.73,59779705268.96,-2245662214.54,0.54,-1258729953.36,53329875496.45,7485007762.04,1393780938.1,-14535.07,7282218138.14,29246481351.59,55293502029.55,1912432.46,23818745205.91,,4516972134.02,,-2809593586.82,8290950888.16,53329875496.45,33218246245.06,,,,,,,,,,,,,,,,,,
2008-12-31,719096.05,116762840413.26,72751152658.19,279918412.73,-4412613349.75,,5492016791.23,-4400777526.13,20804121251.46,5286509774.58,-8881239497.89,-8858475364.53,22655130979.11,876130732.05,31708012502.87,1653287315.58,31582435967.46,-1618598899.93,-4937951277.29,243165546.34,32461792700.2,57333763.49,1354423584.9,-8881239497.89,-507324200.32,1111859810.65,55638186190.11,,196409052.63,3800000.0,993152677.75,1019362874.18,32181874287.47,-1217359105.99,8123455845.07,10216274357,35991746745.3,,3413385063.84,52091702087.08,-714295867.05,,-139315325.32,55796014583.63,-10967850737.87,-2352540919.68,127876891.02,-11211016284.21,23930173687.24,44011687755.07,111093363.96,14567244472.15,,2328174939.65,,-4268656919.93,-2236721980.17,55796014583.63,19586762145.47,,,,,,,,,,,,,,,,,,
2009-03-31,719096.05,121047209339.99,75324484312.85,210841791.43,-6028023547.1,-0.33,3508421115.72,2302524865.1,12211642042.92,4900534778.81,-3350648512.53,-3141261918.67,26999706296.67,1076134482.86,34158554124.33,1544734497.0,33884960832.56,-1293967198.51,-2951745298.05,130117317.84,34646256435.12,-2377442.75,6374192854.31,-3350648512.53,-301682402.66,1110305915.68,61652372363.73,10153480341.0,169312604.75,3800000.0,430171751.45,1186138917.76,34435414643.69,-1453719113.34,8552714305.82,10216274357,31582435967.46,10153480341.0,3505860461.26,50181838094.6,-646213312.91,-0.33,-60458354.86,56925585253.82,-3141441163.0,-130296562.17,300000.0,-3271558480.84,27493818239.4,45722725027.14,,11231484291.25,,2445770431.94,,-2150372353.19,-2639858031.1,56925585253.82,10757922929.58,,,,,,,,,,,,,,,,,,
2009-06-30,719096.05,131771923978.6,76973022743.27,157498290.4,-4429160876.1,,1766771433.52,8867453219.52,12830598945.11,4763690962.27,-1266420474.44,-1013266783.8,40018168365.17,1066825598.26,45186456307.04,1584975430.59,42761842913.3,989498144.48,-2325605438.78,170877331.24,43001423585.88,6492859.91,6721004026.68,-1266420474.44,-138167890.31,1570241344.35,76389950812.12,,129519311.39,0.0,405357156.8,1201197121.88,42843925295.48,-737836468.23,8754660016.7,10216274357,33884960832.56,,3259808341.43,45272127525.03,-6331129196.49,,-1561917688.3,58237934326.73,-723642735.72,118746716.84,160608035.7,-894520066.96,31203494505.08,54798901235.33,,6987782728.5,,2509537521.08,,-2248455109.93,-1939033590.11,58237934326.73,12092762476.88,,,,,,,,,,,,,,,,,,
2009-09-30,719096.05,135403118982.7,78479264558.35,86712298.82,-3750328553.58,-0.07,1561213901.18,110461970.04,14880730772.61,5688163047.71,-690670245.03,-500686880.65,47655128322.88,1038445812.13,52600681164.51,1798397692.07,43401544976.47,-66991892.9,-3010838965.61,206365074.37,43504121544.05,448136.77,6066756838.0,-690670245.03,-3403557795.17,2249054745.47,80244147480.83,9866717786.0,151816677.67,3843896.0,283858681.44,1162331613.91,43417409245.23,947060819.67,9515443420.72,10216274357,42761842913.3,9866717786.0,3245452734.11,44790187264.9,-6463971262.56,-0.07,-381202459.29,58999081186.82,-81745633.25,212576173.03,6080685.1,-288110707.62,27643466316.32,56923854424.35,0.0,6314109161.38,,2557172165.59,,-3469403900.08,-215270794.24,58999081186.82,15827791592.28,,,,,,,,,,,,,,,,,,
