date,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyTaxProvision,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
1984-03-31,,,,,,,,,,,0.0125,,,,,,,,,,,,,,,,,,188040000.0,,,,,,,,,,,,193500000,,,,,193500000,193500000,,0.0125,,,,,,,,,,,,,,,,,,,,,,2500000,,,188040000.0,,,
1984-06-30,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,188040000.0,,,,,,,,,,,,214000000,,,,,214000000,214000000,,0.015,,,,,,,,,,,,,,,,,,,,,,3100000,,,188040000.0,,,
1984-09-30,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,188056000.0,,,,,,,,,,,,203400000,,,,,203400000,203400000,,0.02,,,,,,,,,,,,,,,,,,,,,,3900000,,,188056000.0,,,
1984-12-31,56300000.0,56300000.0,,,,,,,,11000000.0,,,,,7800000.0,,,,,,128800000.0,-7100000.0,,79500000.0,,,18100000.0,387700000.0,,,,,,87300000.0,,,,124900000.0,,,-599500000,,,,,-599500000,228200000,,,139800000.0,,,247900000.0,239300000.0,,5800000.0,-100000.0,148400000.0,,152000000.0,,,,,,,180000000.0,,,,7800000,23800000.0,,,128300000.0,,
1985-03-31,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,188072000.0,,,,,,,,,,,,163400000,,,,,163400000,163400000,,0.015,,,,,,,,,,,,,,,,,,,,,,3000000,,,188072000.0,,,
1985-06-30,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,188520000.0,,,,,,,,,,,,189700000,,,,,189700000,189700000,,0.03,,,,,,,,,,,,,,,,,,,,,,6100000,,,188520000.0,,,
1985-09-30,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,188520000.0,,,,,,,,,,,,188700000,,,,,188700000,188700000,,0.03,,,,,,,,,,,,,,,,,,,,,,6200000,,,188520000.0,,,
1985-12-31,81300000.0,81300000.0,,,,,,,,5900000.0,,,,,12600000.0,,,,,,142500000.0,-7900000.0,,90300000.0,,,13800000.0,443500000.0,,,,,,102900000.0,,,,145700000.0,,,-515900000,,,,,-515900000,231500000,,,148400000.0,,,295100000.0,274100000.0,,11800000.0,0.0,169400000.0,,171200000.0,,,,,,,195100000.0,,,,8300000,20400000.0,,,150800000.0,,
1986-03-31,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,188520000.0,,,,,,,,,,,,135100000,,,,,135100000,135100000,,0.005,,,,,,,,,,,,,,,,,,,,,,1000000,,,188520000.0,,,
1986-06-30,,,,,,,,,,,0.0125,,,,,,,,,,,,,,,,,,189552000.0,,,,,,,,,,,,201800000,,,,,201800000,201800000,,0.0125,,,,,,,,,,,,,,,,,,,,,,2700000,,,189552000.0,,,
