date,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyBasicAverageShares,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyCashAndCashEquivalents,quarterlyOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCapitalStock,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyPretaxIncome,quarterlyOtherCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGrossPPE,quarterlySellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetIncomeCommonStockholders,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyStockholdersEquity,quarterlyFreeCashFlow,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyDilutedEPS,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment
2011-06-30,5000000,20000000,47300000.0,84400000,-13800000,677300000.0,1100000,463000000.0,-10500000,,500000,820000000,30700000.0,-767600000.0,,-1400000,3700000,510800000.0,44000000,510800000.0,293300000.0,2345700000.0,4726800000.0,6813900000.0,3900000.0,,385100000,-65900000.0,0.0,2087100000.0,1831500000.0,21600000,125700000,4200000,305400000.0,,83800000,,,5440500000.0,676900000.0,,19800000,-60700000,1230600000.0,532900000,,33300000,1015500000,200000.0,-1400000,57700000,59600000,1361900000.0,30200000,0.0,3609000000.0,1877100000.0,600000.0,,2575100000.0,442000000.0,558200000,-75000000,591500000,-13200000,510800000,65800000,,,729800000.0,424000000,597900000.0,,,,
2011-09-30,0,20800000,,-7500000,-54900000,,-25200000,,-56900000,0.276624,51600000,-2282300000,,,382830520.0,105900000,114700000,,37800000,,,,,,,382830520.0,510800000,,,,,56400000,-50200000,166300000,,,247100000,,-25300000.0,,,,-150500000,-23900000,,477800000,,246700000,1244800000,,105900000,-248500000,60000000,,-17100000,,,,0.0,,,,504600000,-60200000,751300000,-54900000,460600000,41400000,0.276624,,,493500000,,,,,
2011-12-31,88100000,20500000,,-151700000,-35100000,,-24300000,,15700000,,62400000,-340000000,,,,92400000,101300000,,306400000,,,,,,,,460600000,,,,,-49300000,104200000,163700000,,,244300000,,40900000.0,,,,115000000,27200000,,604300000,,172900000,1337900000,,92400000,29100000,60100000,,271300000,,,,0.0,,,,631100000,105400000,804000000,-35100000,564800000,-45000000,,,,533900000,,,,,
2012-03-31,38900000,25100000,175800000.0,90000000,-74200000,612600000.0,-1200000,452700000.0,-113700000,,500000,-166200000,40600000.0,,,-165400000,-158000000,520400000.0,62500000,520400000.0,394400000.0,2159500000.0,4630500000.0,6735200000.0,4000000.0,,564800000,-33000000.0,-129100000.0,2104700000.0,2073800000.0,155600000,-44400000,-157500000,0.0,,-73800000,,,5409000000.0,572400000.0,,23800000,-86300000,,615300000,,-29400000,1005200000,-67700000.0,-165400000,91300000,58600000,1313000000.0,-11700000,0.0,3335200000.0,1891800000.0,-30200000.0,,2301300000.0,439100000.0,638400000,-8400000,609000000,-203500000,520400000,-46400000,,,1147800000.0,396200000,685100000.0,,,,
2012-06-30,0,19100000,190100000.0,-28500000,-43200000,648300000.0,-12200000,465800000.0,-483500000,,-152300000,-202500000,47000000.0,-769300000.0,,-357300000,-351300000,609400000.0,182600000,609400000.0,18400000.0,2033900000.0,4044900000.0,6183400000.0,4000000.0,,520400000,-390300000.0,0.0,2138500000.0,1913000000.0,-143900000,89000000,-503600000,110800000.0,,-417200000,,,5314200000.0,694600000.0,,44900000,-70600000,1235100000.0,602000000,41500000.0,-2400000,1023400000,-147200000.0,-357300000,85200000,67300000,857200000.0,139400000,0.0,3401200000.0,1490500000.0,2800000.0,,2270200000.0,287700000.0,625400000,-52500000,623000000,-40400000,609400000,113600000,,,411800000.0,400400000,580500000.0,,,,
2012-09-30,600000,20200000,207800000.0,35100000,-68000000,744000000.0,-10000000,462500000.0,2600000,0.226471,54400000,-189000000,46600000.0,,382830520.0,86700000,94800000,568400000.0,-24700000,568400000.0,310600000.0,2025600000.0,4047500000.0,6489600000.0,4000000.0,382830520.0,609400000,-303600000.0,,2442100000.0,2033400000.0,900000,-41000000,149200000,0.0,,230800000,,35000000.0,5522900000.0,673500000.0,,-227200000,5000000,,548900000,80200000.0,165900000,1213100000,-110400000.0,86700000,-245100000,61400000,957600000.0,-92700000,0.0,3489500000.0,1508000000.0,0.0,,2297600000.0,288900000.0,570800000,-82400000,736700000,-68000000,568400000,-400000,0.226471,,1066900000.0,476400000,836400000.0,,,,
2012-12-31,0,19300000,247000000.0,-103100000,-36900000,622400000.0,-5500000,474200000.0,19000000,0.321813,70700000,-539500000,43900000.0,,382830520.0,123200000,133400000,752100000.0,319900000,752100000.0,315500000.0,2001900000.0,4035800000.0,6487300000.0,4000000.0,382830520.0,568400000,-180400000.0,,2451500000.0,2011800000.0,-400000,183700000,204100000,0.0,,287000000,,10100000.0,5341400000.0,601900000.0,,120100000,4500000,,590900000,117600000.0,203400000,1379500000,-94200000.0,123200000,78300000,63600000,1131500000.0,283000000,0.0,3329600000.0,1515000000.0,6800000.0,,2220100000.0,290000000.0,613200000,125100000,816600000,-38100000,752100000,-82800000,0.321813,,1040300000.0,562900000,763200000.0,,,,
2013-03-31,4100000,20100000,42200000.0,64400000,-78600000,610500000.0,-6000000,467500000.0,-3400000,0.053287,-19800000,-111000000,42100000.0,,382830520.0,20400000,29900000,782900000.0,67300000,782900000.0,295900000.0,1973800000.0,4035900000.0,6328000000.0,4000000.0,382830520.0,752100000,-160000000.0,0.0,2292100000.0,1563000000.0,-1500000,30800000,10100000,0.0,0.0,96100000,,61600000.0,5227100000.0,542000000.0,,-76300000,-15900000,,560100000,87000000.0,32800000,997700000,-129400000.0,20400000,134600000,65900000,1083000000.0,-11300000,0.0,3664100000.0,1536900000.0,0.0,,2491400000.0,288700000.0,582300000,4900000,615100000,-78600000,782900000,-51100000,0.053287,0.0,887000000.0,382600000,620500000.0,,,,
2013-06-30,1500000,17700000,40100000.0,72600000,-10400000,608200000.0,-19200000,500700000.0,-27700000,,11500000,-1433700000,43400000.0,-854100000.0,,-62300000,-56200000,920400000.0,101400000,920400000.0,9800000.0,1956600000.0,4053100000.0,6470000000.0,3800000.0,,782900000,-329000000.0,-34800000.0,2416900000.0,1463200000.0,-4300000,137500000,-44700000,57000000.0,-6100000.0,41700000,,37700000.0,4960300000.0,711700000.0,11000000.0,15300000,36300000,1354800000.0,594000000,34800000.0,2600000,1058800000,-118600000.0,-62300000,-4500000,68700000,1494000000.0,91000000,0.0,3497100000.0,1543200000.0,0.0,,2590100000.0,320000000.0,617800000,1200000,620400000,-45200000,920400000,136700000,,0.0,431600000.0,438400000,622700000.0,,,,
2013-09-30,1600000,17400000,31500000.0,-9700000,-65600000,664700000.0,-7200000,513200000.0,-1400000,0.24,46200000,-188300000,44400000.0,,384000000.0,93500000,102200000,946800000.0,101200000,946800000.0,248800000.0,1948500000.0,4085400000.0,6729200000.0,3800000.0,393500000.0,920400000,-235500000.0,-25000000.0,2643800000.0,1589600000.0,2500000,26400000,148400000,0.0,-200000.0,232000000,,14200000.0,5144900000.0,753000000.0,,-120900000,30900000,,516400000,18500000.0,167200000,1178200000,-75100000.0,93500000,-156000000,64800000,1567700000.0,35600000,0.0,3555300000.0,1568100000.0,0.0,,2595200000.0,357600000.0,539000000,-45200000,706200000,-90600000,946800000,40300000,0.24,,780900000.0,472000000,789700000.0,,,,
2013-12-31,2200000,17500000,29000000.0,-96400000,-51000000,559900000.0,-3400000,529500000.0,-4900000,0.21,33700000,-205600000,75300000.0,,384400000.0,82500000,93100000,1154000000.0,346100000,1154000000.0,248700000.0,1930700000.0,4119300000.0,6869000000.0,3800000.0,393300000.0,946800000,-153000000.0,0.0,2749700000.0,1661900000.0,7500000,207200000,126800000,0.0,-100000.0,206100000,,9300000.0,5167900000.0,748100000.0,,204900000,-36700000,,603000000,55900000.0,148200000,1323200000,-60200000.0,82500000,13500000,61800000,1682600000.0,295100000,0.0,3506000000.0,1573200000.0,500000.0,,2580100000.0,321700000.0,625700000,104900000,773900000,-50500000,1154000000,-10100000,0.21,,823100000.0,549300000,779000000.0,,,,
