date,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAccruedExpenses,quarterlyLongTermDebt,quarterlyCashDividendsPaid,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyGrossPPE,quarterlyBasicAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNetPPE,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyBasicEPS,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyPurchaseOfInvestment,quarterlyCurrentDeferredRevenue
2015-05-31,,27000000,751700000.0,900000,389200000.0,,309200000.0,2055900000.0,82200000,53500000.0,149700000,1304200000.0,171600000,698400000.0,85500000,126300000.0,83900000,0.0,0.0,30600000,-36400000,18400000.0,171400000.0,134900000.0,57900000,127600000.0,110600000.0,86500000.0,,,648700000,57000000,57900000,-9900000,488200000.0,41700000.0,-200000.0,,1357500000.0,30600000.0,30600000.0,30100000,-1100000,112200000,7200000.0,-947100000.0,-38600000,,-150000000,1948400000.0,,-151100000,188300000,,1300000.0,42700000.0,820300000,113700000,0.0,,-5100000.0,60700000,235900000.0,,1001300000.0,41700000,1800000,,140500000,500000,,,,,,,
2015-08-31,,23800000,,-3200000,,0.423497,,,62000000,,98800000,,141300000,,63500000,,62000000,,0.0,21900000,-34400000,0.0,,,56700000,,,,,,606500000,44300000,56700000,15100000,,,,,,,,30600000,-700000,83300000,-20700000.0,,-36500000,146400000.0,-108700000,,146300000.0,-109500000,135300000,,1400000.0,,747800000,84600000,,,,58000000,,,,32300000,2600000,0.423787,108500000,-8700000,,,,,,,
2015-11-30,,24100000,,100000,,0.497951,,,72900000,,7800000,,161800000,,77000000,,73300000,,0.0,23900000,-29200000,2700000.0,,,52300000,,,,,,578500000,-141000000,52300000,57300000,,,,,,,,21900000,-700000,108000000,-6700000.0,,-29800000,146400000.0,-15200000,,146300000.0,-6000000,37600000,,1500000.0,,740300000,109500000,,,,-62200000,,,,38700000,1700000,0.498291,133600000,2000000,,,,,,,
2016-02-29,,23600000,870700000.0,-2800000,376800000.0,0.709699,366000000.0,2217800000.0,103900000,251700000.0,5900000,1347100000.0,181900000,742800000.0,108700000,152200000.0,107400000,0.0,0.0,36600000,-39800000,-2700000.0,199800000.0,133800000.0,54600000,,110800000.0,114300000.0,,,546800000,40400000,54600000,-59700000,544500000.0,40100000.0,,,1475000000.0,36600000.0,36600000.0,23900000,-37100000,125800000,-1000000.0,-999500000.0,-42300000,146400000.0,2700000,2020500000.0,146300000.0,4000000,48200000,,1500000.0,25700000.0,728700000,127300000,0.0,,-13100000.0,-68400000,240300000.0,,1021000000.0,53200000,1900000,0.710185,150900000,12700000,,,,,,,
2016-05-31,,24400000,780000000.0,-4500000,409600000.0,,348100000.0,2158300000.0,-19700000,47700000.0,117500000,1378300000.0,182400000,757700000.0,45400000,161700000.0,42600000,0.0,0.0,36400000,-40900000,0.0,186500000.0,133900000.0,130500000,148400000.0,133200000.0,104600000.0,,,594600000,45600000,130500000,-5200000,498900000.0,39600000.0,,,1400600000.0,36400000.0,36400000.0,36600000,-600000,50300000,13300000.0,-991100000.0,-43700000,,-123900000,2034200000.0,,-121300000,161200000,,1700000.0,38400000.0,777000000,51900000,0.0,,-9200000.0,100700000,238000000.0,,1043100000.0,20300000,2300000,,76400000,-200000,,,,,,,
2016-08-31,-1013300000.0,25500000,794800000.0,-3500000,467400000.0,0.48,2623900000.0,2213700000.0,71800000,247800000.0,55700000,1418900000.0,180600000,3091300000.0,83100000,162900000.0,79600000,0.0,0.0,72400000,-58300000,0.0,210500000.0,133600000.0,55600000,,100600000.0,2376100000.0,,,595700000,24600000,55600000,15700000,474300000.0,38900000.0,,146000000.0,-877600000.0,72400000.0,72400000.0,36400000,-600000,123500000,-24000000.0,-1011000000.0,-59300000,146400000.0,-20400000,2094500000.0,146300000.0,-21400000,115000000,,1600000.0,107000000.0,776300000,125000000,0.0,,-10300000.0,9600000,259800000.0,,1083500000.0,51000000,2600000,0.48,150600000,36000000,,,,,,,
2016-11-30,15300000.0,26600000,936000000.0,3100000,605100000.0,0.59,2553700000.0,2400200000.0,86700000,64800000.0,-21100000,1464200000.0,198900000,3158800000.0,91000000,9100000.0,87200000,0.0,0.0,69400000,-67500000,2000000.0,232200000.0,131700000.0,73400000,56900000.0,70300000.0,2382000000.0,,150800000.0,591800000,-141600000,73400000,44100000,615900000.0,38300000.0,,146000000.0,-758600000.0,69400000.0,69400000.0,72400000,-2800000,118700000,-21800000.0,-1037400000.0,-68500000,146300000.0,-33600000,2171700000.0,146000000.0,18600000,47400000,,6800000.0,144200000.0,790700000,125500000,0.0,7500000.0,-22200000.0,-75400000,314300000.0,,1134300000.0,33900000,2600000,0.59,152100000,-3000000,,,,,,,
2017-02-28,72100000.0,27500000,912100000.0,3500000,575200000.0,0.57,2558600000.0,2432200000.0,83500000,73600000.0,15000000,1520100000.0,207000000,3133800000.0,87600000,8500000.0,84200000,0.0,0.0,37500000,-76700000,0.0,218100000.0,132700000.0,61800000,61600000.0,87600000.0,2372700000.0,-27400000.0,155600000.0,561500000,43500000,61800000,-41900000,572400000.0,37700000.0,,146100000.0,-701600000.0,37500000.0,37500000.0,69400000,-1300000,118900000,14100000.0,-1057400000.0,-76700000,146500000.0,-5900000,2243000000.0,146100000.0,-47300000,91700000,,26300000.0,140300000.0,768500000,145200000,0.0,4500000.0,-19400000.0,-27000000,271900000.0,,1185600000.0,44000000,4600000,0.57,172700000,-31900000,,,,,,,
2017-05-31,121000000.0,29500000,858200000.0,-7900000,555400000.0,0.51,2577400000.0,2485600000.0,75400000,71200000.0,109900000,1627400000.0,200000000,3132800000.0,78500000,7400000.0,75900000,0.0,0.0,57100000,-82800000,100000.0,185200000.0,133000000.0,77500000,90500000.0,200500000.0,2365000000.0,0.0,178600000.0,632500000,47400000,77500000,-5800000,525000000.0,37200000.0,,146100000.0,-647200000.0,57100000.0,57100000.0,37500000,-19100000,95900000,32900000.0,-1078300000.0,-82900000,146700000.0,-2700000,2349500000.0,145000000.0,-91900000,192800000,,26600000.0,59900000.0,832500000,122500000,0.0,4700000.0,-9300000.0,87300000,295000000.0,,1271200000.0,41200000,5600000,0.52,122500000,19600000,,,,,,,
2017-08-31,176900000.0,31000000,838400000.0,-7800000,516900000.0,0.56,2586600000.0,2527800000.0,82600000,70400000.0,39100000,1689400000.0,196700000,3103500000.0,88300000,13000000.0,83400000,0.0,0.0,69800000,-104400000,0.0,213700000.0,134100000.0,59100000,102000000.0,95200000.0,2360100000.0,-27400000.0,196000000.0,620800000,30700000,59100000,12900000,494400000.0,36800000.0,,146200000.0,-575700000.0,69800000.0,69800000.0,57100000,-9900000,112400000,-28500000.0,-1094500000.0,-104400000,146800000.0,-3400000,2404000000.0,146200000.0,-30500000,143500000,,25200000.0,71400000.0,817500000,137600000,0.0,4600000.0,5900000.0,24100000,261600000.0,11500000.0,1309500000.0,44100000,3500000,0.56,168600000,12700000,,,,,,,
