date,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyTaxProvision,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyEbitda,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyGrossProfit,quarterlyNetIncome,quarterlyChangeInAccountPayable,quarterlyNetIncomeContinuousOperations,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyRepaymentOfDebt,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyInterestExpense,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2013-03-31,,2378000,,,,,1122000,41161000,0.022173,,-6374000,,-3387000,-1111000,,0,-1194000.0,,-152000,11049000,,14520000,,2378000,10022000,,,,,4174000,55071000.0,621000,,,0.022807,1796000,,,-31000,,1256000,,,,25801000,,11133000,17177000,1256000,2401000,1256000,56645000.0,,,0.0,50959000,-3387000,,,8624000,,,0.0,,13003000,,14799000,,,,,,,,,,
2013-06-30,,4412000,,,,,2589000,50959000,0.020743,,-707000,,-1217000,-695000,,-651000,-65000.0,,1000,584000,,4895000,,4412000,2983000,,,,,6289000,55071000.0,617000,,,0.021336,1877000,,,-33000,,1175000,,,,26857000,,3678000,18162000,1823000,-891000,1823000,56645000.0,,,0.0,53941000,-1217000,,,8695000,,,0.0,,11873000,,13750000,,,,,,,,,,
2013-09-30,,3165000,,,,,1111000,53941000,0.028758,,-954000,,-1163000,-884000,,-1242000,-103000.0,,-1820000,-2685000,,3185000,,3165000,14404000,0.0,,,,6986000,55071000.0,1786000,,,0.02958,3821000,,,-23000,,1629000,,,,35461000,,2022000,21699000,2054000,-248000,2054000,56645000.0,,,0.0,68617000,12103000,,,13762000,,,13266000.0,,14713000,,18534000,,,,,,,,,,
2013-12-31,268441000.0,4934000,,86542000.0,86542000.0,7000.0,3320000,68617000,,17096000.0,1316000,-16993000.0,-1254000,848000,2328000.0,0,-5000.0,132000.0,3677000,4837000,,18219000,34089000.0,4934000,17813000,,,3353000.0,78245000.0,10910000,,1909000,56880000.0,122159000.0,,5975000,92591000.0,,-48000,94431000.0,1614000,640653000.0,762812000.0,,49024000,187022000.0,16965000,30575000,1614000,803000,1614000,,1192000.0,0.0,0.0,86542000,-1254000,8901000.0,,18449000,27725000.0,352788000.0,0.0,575790000.0,19665000,90495000.0,25641000,78245000.0,,,,,,,,,
2014-03-31,264915000.0,8203000,,112760000.0,112760000.0,7000.0,3850000,86542000,0.055533,17332000.0,-10752000,-18982000.0,-2225000,558000,1975000.0,-362000,-116000.0,181000.0,3208000,12057000,,27836000,36314000.0,8203000,26169000,,,3297000.0,96923000.0,13718000,78385786.0,2403000,61233000.0,158737000.0,0.055533,5515000,115014000.0,,-21000,97580000.0,4353000,637010000.0,795747000.0,,58613000,212594000.0,25611000,38159000,4353000,-56000,4353000,78385786.0,34950000.0,0.0,0.0,112760000,-2225000,13748000.0,,20454000,38116000.0,352788000.0,0.0,583153000.0,24441000,94805000.0,29956000,96923000.0,,,,,,,,,
2014-06-30,261390000.0,8803000,,207096000.0,207096000.0,8000.0,6111000,112760000,0.03,16529000.0,2027000,-21072000.0,-1265000,93017000,4039000.0,-2019000,0.0,316000.0,4930000,-12935000,,2449000,37601000.0,8803000,94201000,,,2390000.0,84486000.0,14418000,78042000.0,2284000,63605000.0,251152000.0,0.03,5615000,102022000.0,,97000,102572000.0,2692000,634746000.0,885898000.0,,60006000,204594000.0,1184000,39206000,2692000,-906000,2692000,82074000.0,0.0,0.0,0.0,207096000,-1265000,13769000.0,,20800000,37863000.0,352788000.0,0.0,681304000.0,24788000,98633000.0,30403000,84486000.0,,,,,,,,,
2014-09-30,257864000.0,11705000,,277756000.0,212020000.0,8000.0,5252000,207096000,0.08,16449000.0,-4893000,-23294000.0,-2095000,56080000,3610000.0,4560000,0.0,18000.0,73000,2428000,,16973000,39743000.0,11705000,5222000,48009000.0,,2005000.0,91719000.0,17453000,79426000.0,2294000,70058000.0,327406000.0,0.08,5748000,107729000.0,65736000.0,-60000,104498000.0,6453000,630711000.0,958117000.0,,61941000,212227000.0,14878000,40479000,6453000,-386000,6453000,82771000.0,0.0,0.0,0.0,212020000,-67831000,13756000.0,,21462000,42690000.0,352788000.0,-65736000.0,745890000.0,23026000,98862000.0,28774000,91719000.0,,,,,,,,,
2014-12-31,254339000.0,16273000,,313137000.0,201796000.0,8000.0,5508000,212020000,0.13,16003000.0,6224000,-18414000.0,-1499000,11677000,3543000.0,8406000,0.0,-262000.0,-3599000,9823000,,25646000,34417000.0,16273000,-10096000,-395000.0,,3371000.0,91575000.0,22082000,81605000.0,2412000,80823000.0,352768000.0,0.13,5809000,111005000.0,111341000.0,-33000,97914000.0,10765000,626673000.0,979441000.0,-47420000.0,73313000,208919000.0,24147000,48335000,10765000,1089000,10765000,84311000.0,0.0,0.0,0.0,201796000,-47419000,14399000.0,,24978000,36127000.0,352788000.0,0.0,770522000.0,26253000,91983000.0,32062000,91575000.0,,,,,,,,,
2015-03-31,289495000.0,18425000,-55506000.0,298224000.0,188155000.0,8000.0,7855000,201796000,0.12,16102000.0,-11862000,-20548000.0,-1654000,12315000,3507000.0,6492000,0.0,-555000.0,1219000,9045000,38060000.0,30422000,36650000.0,18425000,-13431000,,,4060000.0,115892000.0,24674000,82783000.0,3007000,91394000.0,351545000.0,0.13,6249000,136565000.0,110069000.0,-1000,99256000.0,10570000,696489000.0,1048034000.0,-37068000.0,88249000,235821000.0,28768000,57882000,10570000,-1826000,10570000,85098000.0,0.0,0.0,0.0,188155000,-56168000,15906000.0,,30367000,49614000.0,387385000.0,0.0,812213000.0,33208000,93430000.0,39457000,115892000.0,,,,,,,,,
2015-06-30,284821000.0,16197000,-181000.0,307431000.0,195595000.0,8000.0,6845000,188155000,0.11,14975000.0,3402000,-10322000.0,-2651000,11883000,3598000.0,7929000,0.0,-159000.0,-1184000,-20478000,26558000.0,122000,25297000.0,16197000,7154000,,,2235000.0,94654000.0,25026000,84116000.0,3258000,100745000.0,357813000.0,0.11,8829000,113849000.0,111836000.0,-35000,97716000.0,9352000,690960000.0,1048773000.0,-28577000.0,87955000,211565000.0,-2529000,55450000,9352000,-2131000,9352000,85833000.0,0.0,0.0,0.0,195595000,-4851000,16411000.0,,32505000,46228000.0,387566000.0,0.0,837208000.0,30424000,91953000.0,39253000,94654000.0,,,,,,,,,
