date,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyTaxProvision,quarterlyDilutedAverageShares,quarterlyPretaxIncome,quarterlyNonCurrentDeferredRevenue,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedEPS,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyCostOfRevenue,quarterlyCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyCurrentAssets,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyCapitalExpenditure,quarterlyOperatingExpense,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets
2007-06-30,,,31.64274,3782453500.0,,,,,,195013000000.0,711833000000.0,,,,,,54760000000.0,4018472882.0,194202000000.0,,,,,,,239989000000.0,139442000000.0,119687000000.0,29.7842,235796000000.0,,119687000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30,,,,,,,,,,261785000000.0,884264000000.0,,,,,,88461000000.0,,156130000000.0,,,,,,,184136000000.0,67669000000.0,50905000000.0,,247206000000.0,,50905000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,3609182000000.0,342010000000.0,15.04746,3860858500.0,5166022000000.0,79578000000.0,518554000000.0,1420877000000.0,5781476000000.0,73635000000.0,612236000000.0,,,,1736008000000.0,969297000000.0,-4503000000.0,4021497457.0,74563000000.0,,,,1987103000000.0,115473167000000.0,8301213000000.0,275185000000.0,79066000000.0,58096000000.0,14.44636,217154000000.0,808000000000.0,58096000000.0,29709848000000.0,110187676000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-30,3442600000000.0,361608000000.0,,,3643014000000.0,29818000000.0,326926000000.0,1420877000000.0,106932000000.0,240728000000.0,769187000000.0,,,,1761220000000.0,988508000000.0,66726000000.0,,115992000000.0,,,,,111033760000000.0,8180212000000.0,201872000000.0,49266000000.0,25185000000.0,,221052000000.0,792000000000.0,25185000000.0,25646620000000.0,105776012000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,3082379000000.0,359632000000.0,,,4405764000000.0,28495000000.0,-70199000000.0,1420877000000.0,,-44226000000.0,833678000000.0,,,,1701973000000.0,987955000000.0,63001000000.0,,79581000000.0,,,,,116180500000000.0,4909860000000.0,407047000000.0,16580000000.0,154000000.0,,178749000000.0,776624000000.0,154000000.0,29166639000000.0,110832473000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,2551514000000.0,141522000000.0,,,5155317000000.0,74492000000.0,-165961000000.0,664986000000.0,7638027000000.0,-240643000000.0,476962000000.0,,,,448750000000.0,786755000000.0,209419000000.0,,-240641000000.0,,,,131869000000.0,115849385000000.0,6473855000000.0,179315000000.0,-450060000000.0,-456891000000.0,,131937000000.0,114242000000.0,-467595000000.0,33141193000000.0,111330738000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,3808727000000.0,359015000000.0,17.218,4226373510.0,4584065000000.0,73676000000.0,323206000000.0,1834572000000.0,70640000000.0,114113000000.0,669001000000.0,,,,1297083000000.0,1022889000000.0,11932000000.0,4226373510.0,114111000000.0,,,,,116894603000000.0,7978393000000.0,298698000000.0,102179000000.0,72773000000.0,16.556,96341000000.0,1067474000000.0,72773000000.0,31929108000000.0,111262673000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,3963493000000.0,365906000000.0,,,2936596000000.0,25065000000.0,382630000000.0,1851389000000.0,111667000000.0,115962000000.0,733113000000.0,,,,1347826000000.0,1032632000000.0,38291000000.0,,115965000000.0,,,,,117531379000000.0,7906606000000.0,296488000000.0,77674000000.0,50767000000.0,,79347000000.0,1060264000000.0,50767000000.0,33234696000000.0,111428412000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,3822214000000.0,607968000000.0,,,6080527000000.0,28331000000.0,164134000000.0,1851389000000.0,137632000000.0,218145000000.0,702066000000.0,,,,1428278000000.0,1053791000000.0,60650000000.0,,218143000000.0,,,,,119926945000000.0,8290170000000.0,336839000000.0,157493000000.0,124295000000.0,,71391000000.0,1390616000000.0,124295000000.0,32913523000000.0,113876129000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,5514173000000.0,710235000000.0,,,6239398000000.0,24778000000.0,,2337896000000.0,,686514000000.0,782089000000.0,,58978000000.0,,1663618000000.0,993171000000.0,377168000000.0,,686515000000.0,,,,,122992929000000.0,7321484000000.0,164932000000.0,309347000000.0,280857000000.0,,99731000000.0,5323156000000.0,280857000000.0,26700108000000.0,115431259000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
