date,quarterlyOperatingExpense,quarterlyDilutedAverageShares,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetPPE,quarterlyTaxProvision,quarterlyChangesInAccountReceivables,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicEPS,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyBasicAverageShares,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyChangeInInventory,quarterlyInventory,quarterlyGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyLongTermDebt,quarterlyIncomeTaxPayable
2003-09-30,7009829,30708938.0,,,,8628196,32559,33123463,8031905,5595741,,,-109114,-3117601.0,505126.0,41384766,37112848,8713342.0,-596291,-0.17,-3623981,8350872,5479212,,-5484452,0.0,521227,40879640.0,,3102430.0,-824496.0,,-4809764,4085084,35348022,674688,,1530617,1826040.0,25091558,-73265866,42708589,30708938.0,1525377,-46598834,5911124,78056611,-5198102,-3733095,-5183399,-5183399,,0.0,1031871.0,,0.0,,8031905,,-38357076,72145487,,982654.0,-0.17,301053,,,1525377.0,,,,,,,,,
2003-12-31,7063088,,,,,8031905,34000,40830000,9625000,5500000,,,-235883,-3446000.0,-533.0,7772711,33828000,8946000.0,1593011,,-2687285,11212997,5119694,,-5733501,0.0,1602509,7773244.0,,1726000.0,-951000.0,,-4954289,3832000,42671000,779212,,1943394,3289000.0,31205000,-78702000,39328000,,1329587,-14469529,7121000,81999000,-5622465,-2923168,-5436168,-5436168,,0.0,826000.0,,0.0,,9625000,,-3492415,74878000,,2106000.0,,297333,,,1329587.0,,,,,,,,,
2004-03-31,9180000,36548000.0,,,,9625000,42000,50650000,16886000,6720000,,,-778000,-3446000.0,0.0,62376000,82001000,10166000.0,7261000,-0.24,-3133000,10460000,7572000,,-7208000,0.0,2488000,62376000.0,,3679000.0,-607000.0,,-6333000,7720000,53519000,875000,,1608000,3724000.0,33764000,-85367000,88721000,36548000.0,1972000,-61664000,11444000,142240000,-8909000,-3911000,-6665000,-6665000,,0.0,1171000.0,,0.0,,16886000,,-51982000,130796000,,4041000.0,-0.24,543000,,,1972000.0,,,,,,,,,
2004-06-30,10934000,40192000.0,,,,16886000,42000,44071000,18502000,8919000,,,-2947000,-3446000.0,0.0,97000,77261000,12365000.0,1616000,-0.89,-7026000,23597000,9014000,,-9392000,0.0,162000,97000.0,,3288000.0,-737000.0,,-8300000,8269000,48484000,1092000,,1920000,4511000.0,25569000,-94203000,86180000,40192000.0,1542000,-12105000,12780000,134664000,-35921000,-9973000,-8836000,-8836000,,0.0,705000.0,,0.0,,18502000,,8545000,121884000,,4981000.0,-0.89,556000,,,1542000.0,,,,,,,,,
2004-09-30,11373000,41221000.0,,,,18502000,44000,40354000,14960000,9685000,,,-1636000,-4584000.0,0.0,299000,72984000,14269000.0,-3542000,-0.4,-6631000,33747000,9578000,,-9882000,0.0,1514000,299000.0,,3677000.0,-46000.0,,-8779000,7298000,43384000,1103000,,1795000,5241000.0,25394000,-103571000,82669000,41221000.0,1491000,-29321000,12539000,126053000,-16597000,-8267000,-9368000,-9368000,,0.0,647000.0,,0.0,,14960000,,2790000,113514000,,3621000.0,-0.4,514000,,,1491000.0,,,,,,,,,
2004-12-31,12882000,,,,,14960000,44000,37137000,9645000,9463000,,,-362000,-5027000.0,0.0,857000,69738000,14490000.0,-5315000,,-6489000,23406000,10993000,,-11186000,0.0,2979000,857000.0,,4815000.0,-65000.0,,-10196000,9675000,39908000,990000,,1889000,5601000.0,27492000,-114141000,79201000,,1696000,-22727000,15276000,119109000,-10570000,-6851000,-10570000,-10570000,,0.0,1477000.0,,0.0,,9645000,,317000,103833000,,4860000.0,,616000,,,1696000.0,,,,,,,,,
2005-03-31,10820000,42067000.0,,,,9645000,44000,43806000,10403000,9306000,,,-411000,-5589000.0,0.0,601000,56755000,14895000.0,758000,-0.18,-6176000,18519000,8975000,,-8214000,0.0,498000,601000.0,,1571000.0,-108000.0,,-7364000,10354000,45913000,850000,,1845000,4772000.0,33403000,-121694000,66061000,42067000.0,2606000,-11775000,15126000,111974000,-7553000,-6587000,-7553000,-7553000,,0.0,908000.0,,0.0,3194000.0,10403000,,6333000,96848000,,5589000.0,-0.18,661000,,,2606000.0,,,,,,,,,
2005-06-30,11222000,42187000.0,,,,10403000,44000,44130000,14230000,8911000,,,-182000,-6166000.0,0.0,62000,51327000,15077000.0,3827000,-0.2,-4608000,23275000,9365000,,-9022000,0.0,2827000,62000.0,,1619000.0,-147000.0,,-8108000,12272000,46318000,914000,,1857000,5773000.0,29900000,-130054000,60238000,42187000.0,2200000,-14720000,18045000,106556000,-8360000,-4790000,-8360000,-8360000,,0.0,642000.0,,0.0,3911000.0,14230000,,8373000,88511000,,6742000.0,-0.2,662000,,,2200000.0,,,,,,,,,
2005-09-30,9470000,42317000.0,,,,14230000,44000,41433000,10906000,8916000,,,-597000,-6543000.0,0.0,460000,45953000,15459000.0,-3324000,-0.15,-7552000,12399000,7806000,,-6838000,0.0,-2306000,460000.0,,4781000.0,-199000.0,,-5919000,11089000,43588000,919000,,1664000,4620000.0,30527000,-136225000,54869000,42317000.0,2632000,-8034000,15709000,98457000,-6171000,-8149000,-6171000,-6171000,,0.0,872000.0,,0.0,,10906000,,3768000,82748000,,6308000.0,-0.15,667000,,,2632000.0,,,,,,,,,
2005-12-31,10316000,,,,,10906000,44000,42471000,11156000,8532000,,,-212000,-7064000.0,0.0,29000,37341000,15596000.0,250000,,-7136000,11065000,8537000,,-7997000,0.0,-679000,29000.0,,5045000.0,-171000.0,,-7112000,11098000,44146000,885000,,1779000,3463000.0,31315000,-143574000,45873000,,2319000,-3496000,14561000,90019000,-7349000,-7348000,-7349000,-7349000,,0.0,683000.0,,0.0,,11156000,,7357000,75458000,,6053000.0,,648000,,,2319000.0,,,,,,,,,
